Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3937412637,dannyboy421,0,247.04001,DST Cowboys  FLEX Jakobi Meyers QB C.J. Stroud RB Christian McCaffrey RB De'Von Achane TE Cole Kmet WR DJ Moore WR Courtland Sutton WR Nico Collins,,Keenan Allen,WR,35.41%,12.2
2,3938661069,dollgener (2/4),0,246.12001,DST Cowboys  FLEX Khalil Herbert QB Brock Purdy RB Christian McCaffrey RB D'Andre Swift TE Jake Ferguson WR Puka Nacua WR Nico Collins WR Adam Thielen,,Adam Thielen,WR,29.22%,15.2
3,3936290493,Fizban2112 (4/8),0,245.00002,DST Browns  FLEX Adam Thielen QB Justin Fields RB Christian McCaffrey RB Kyren Williams TE Logan Thomas WR Puka Nacua WR DJ Moore WR Nico Collins,,Christian McCaffrey,RB,24.53%,51.7
4,3935322714,NateTheSlayer809 (1/17),0,242.1,DST Bills  FLEX DJ Moore QB Justin Fields RB Alvin Kamara RB Kyren Williams TE Chig Okonkwo WR Stefon Diggs WR Puka Nacua WR Nico Collins,,Browns ,DST,22.66%,4
4,3935322715,NateTheSlayer809 (2/17),0,242.1,DST Bills  FLEX DJ Moore QB Justin Fields RB Alvin Kamara RB Kyren Williams TE Chig Okonkwo WR Stefon Diggs WR Puka Nacua WR Nico Collins,,Tank Dell,WR,21.91%,3.9
4,3935322716,NateTheSlayer809 (3/17),0,242.1,DST Bills  FLEX DJ Moore QB Justin Fields RB Alvin Kamara RB Kyren Williams TE Chig Okonkwo WR Stefon Diggs WR Puka Nacua WR Nico Collins,,D'Andre Swift,RB,21.65%,17.9
4,3935322717,NateTheSlayer809 (4/17),0,242.1,DST Bills  FLEX DJ Moore QB Justin Fields RB Alvin Kamara RB Kyren Williams TE Chig Okonkwo WR Stefon Diggs WR Puka Nacua WR Nico Collins,,Puka Nacua,WR,21.16%,34.3
8,3940832134,dcdemondeac (1/20),0,241.5,DST Ravens  FLEX Christian McCaffrey QB Justin Fields RB Kyren Williams RB Khalil Herbert TE Cole Kmet WR Stefon Diggs WR Joshua Palmer WR Marvin Mims Jr.,,Kyren Williams,RB,20.65%,30.7
8,3940832200,dcdemondeac (12/20),0,241.5,DST Ravens  FLEX Christian McCaffrey QB Justin Fields RB Kyren Williams RB Khalil Herbert TE Cole Kmet WR Stefon Diggs WR Joshua Palmer WR Marvin Mims Jr.,,Joshua Palmer,WR,19.90%,10.7
10,3939882946,sportsdvl,0,240.8,DST Cowboys  FLEX Mark Andrews QB Anthony Richardson RB Christian McCaffrey RB Jaylen Warren TE Dalton Kincaid WR Puka Nacua WR Nico Collins WR Adam Thielen,,Zack Moss,RB,16.97%,9
11,3931324306,Navid841801 (15/20),0,240.12001,DST Ravens  FLEX Brandon Aiyuk QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE Logan Thomas WR Puka Nacua WR Nico Collins WR Adam Thielen,,Pat Freiermuth,TE,16.41%,3.7
12,3939101506,sigmasquared (8/20),0,239.24,DST Cowboys  FLEX Adam Thielen QB C.J. Stroud RB James Cook RB Kyren Williams TE Jake Ferguson WR Stefon Diggs WR Puka Nacua WR Nico Collins,,Ja'Marr Chase,WR,15.60%,14.3
13,3937976873,kissmaluckyegg (9/20),0,239.20001,DST Patriots  FLEX Christian McCaffrey QB Justin Fields RB Kyren Williams RB Jerome Ford TE Cole Kmet WR Puka Nacua WR Nico Collins WR Joshua Palmer,,Javonte Williams,RB,13.89%,3.9
14,3935391878,ctlandra (1/4),0,238.49998,DST Panthers  FLEX Nico Collins QB Josh Allen RB Christian McCaffrey RB De'Von Achane TE Chig Okonkwo WR Stefon Diggs WR Adam Thielen WR Josh Downs,,Davante Adams,WR,13.44%,15.5
15,3931219474,KingGhetto (1/3),0,238.18001,DST Cowboys  FLEX Tank Dell QB Justin Fields RB Derrick Henry RB Jaylen Warren TE Cole Kmet WR Stefon Diggs WR DJ Moore WR Nico Collins,,Justin Herbert,QB,12.84%,24.38
16,3940133123,gibbsgang,0,237.84,DST Ravens  FLEX James Cook QB C.J. Stroud RB Christian McCaffrey RB De'Von Achane TE Zach Ertz WR Puka Nacua WR Nico Collins WR Adam Thielen,,Eagles ,DST,12.55%,4
17,3933370837,JJQuail (1/20),0,236.84,DST Cowboys  FLEX Dameon Pierce QB C.J. Stroud RB Christian McCaffrey RB De'Von Achane TE Dalton Kincaid WR Puka Nacua WR Courtland Sutton WR Nico Collins,,James Cook,RB,12.54%,14.7
18,3939114874,MercyRule (13/20),0,236.12,DST Cowboys  FLEX Jerome Ford QB Russell Wilson RB Christian McCaffrey RB Kyren Williams TE Dalton Kincaid WR Puka Nacua WR Nico Collins WR Adam Thielen,,Raheem Mostert,RB,12.12%,6.5
