PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Kelly Olynyk,UTA,UTA @ WAS,01/25/2024,W,21,19,8,11,72.7,3,4,75,0,0,-,2,2,4,2,0,0,1,3,13,25.8
Haywood Highsmith,MIA,MIA vs. BOS,01/25/2024,L,26,14,5,7,71.4,4,4,100,0,0,-,1,2,3,1,0,0,1,3,-8,18.1
Duncan Robinson,MIA,MIA vs. BOS,01/25/2024,L,20,5,2,6,33.3,1,5,20,0,0,-,0,0,0,2,0,0,0,3,-13,8
Caleb Martin,MIA,MIA vs. BOS,01/25/2024,L,22,8,2,12,16.7,2,8,25,2,2,100,1,2,3,2,1,0,0,0,-25,17.6
Luke Kornet,BOS,BOS @ MIA,01/25/2024,W,19,12,4,4,100,0,0,-,4,4,100,1,4,5,1,0,0,0,1,10,19.5
Derrick White,BOS,BOS @ MIA,01/25/2024,W,29,15,6,12,50,3,9,33.3,0,0,-,2,4,6,6,0,2,1,0,24,36.2
Bam Adebayo,MIA,MIA vs. BOS,01/25/2024,L,29,19,8,14,57.1,0,0,-,3,4,75,1,4,5,2,1,1,0,0,-28,34
Jayson Tatum,BOS,BOS @ MIA,01/25/2024,W,32,26,7,15,46.7,3,7,42.9,9,10,90,1,7,8,4,0,0,1,1,22,40.6
Terry Rozier,MIA,MIA vs. BOS,01/25/2024,L,29,7,3,10,30,1,4,25,0,0,-,0,2,2,3,1,0,0,2,-28,16.9
Al Horford,BOS,BOS @ MIA,01/25/2024,W,23,8,3,4,75,2,3,66.7,0,0,-,0,7,7,6,0,1,1,2,12,27.4
Jordan Walsh,BOS,BOS @ MIA,01/25/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,2,2.7
Cole Swider,MIA,MIA vs. BOS,01/25/2024,L,7,0,0,2,0,0,1,0,0,0,-,0,0,0,0,0,0,0,1,-1,0
Dalano Banton,BOS,BOS @ MIA,01/25/2024,W,7,0,0,1,0,0,0,-,0,0,-,0,0,0,2,1,0,0,1,1,6
Sam Hauser,BOS,BOS @ MIA,01/25/2024,W,12,5,2,2,100,1,1,100,0,0,-,0,0,0,1,0,0,1,0,13,5.5
Lamar Stevens,BOS,BOS @ MIA,01/25/2024,W,4,2,1,3,33.3,0,0,-,0,0,-,0,1,1,1,0,0,1,0,3,3.7
Neemias Queta,BOS,BOS @ MIA,01/25/2024,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,2,3,4.2
Tyler Herro,MIA,MIA vs. BOS,01/25/2024,L,29,19,7,14,50,5,10,50,0,0,-,0,3,3,6,1,0,1,0,-24,33.6
Oshae Brissett,BOS,BOS @ MIA,01/25/2024,W,3,4,2,2,100,0,0,-,0,0,-,1,1,2,0,0,0,0,0,-1,6.4
Svi Mykhailiuk,BOS,BOS @ MIA,01/25/2024,W,3,6,2,2,100,2,2,100,0,0,-,0,0,0,0,0,0,0,0,2,6
Thomas Bryant,MIA,MIA vs. BOS,01/25/2024,L,13,7,3,4,75,0,1,0,1,2,50,3,2,5,2,0,0,0,1,-4,16
Jaylen Brown,BOS,BOS @ MIA,01/25/2024,W,27,18,7,11,63.6,4,8,50,0,0,-,1,3,4,5,3,0,3,1,22,36.3
Kristaps Porzingis,BOS,BOS @ MIA,01/25/2024,W,21,19,6,9,66.7,3,4,75,4,4,100,0,4,4,1,0,0,0,1,26,25.3
Jimmy Butler,MIA,MIA vs. BOS,01/25/2024,L,29,17,7,11,63.6,2,3,66.7,1,1,100,1,2,3,4,2,0,1,1,-24,31.6
Jrue Holiday,BOS,BOS @ MIA,01/25/2024,W,29,17,7,8,87.5,3,4,75,0,0,-,0,5,5,5,0,1,3,1,13,30.5
Cam Thomas,BKN,BKN vs. MIN,01/25/2024,L,28,25,7,15,46.7,1,4,25,10,10,100,0,6,6,3,2,0,5,0,6,37.7
Nic Claxton,BKN,BKN vs. MIN,01/25/2024,L,39,16,8,10,80,0,0,-,0,0,-,2,9,11,4,2,2,0,2,2,47.2
Lonnie Walker IV,BKN,BKN vs. MIN,01/25/2024,L,14,2,1,5,20,0,3,0,0,0,-,0,0,0,1,1,0,2,2,-12,4.5
Dennis Smith Jr.,BKN,BKN vs. MIN,01/25/2024,L,16,0,0,4,0,0,0,-,0,0,-,2,0,2,2,0,0,1,1,-3,4.4
Royce O'Neale,BKN,BKN vs. MIN,01/25/2024,L,18,3,1,4,25,1,4,25,0,0,-,1,3,4,2,0,1,1,2,-1,12.8
Karl-Anthony Towns,MIN,MIN @ BKN,01/25/2024,W,37,27,12,15,80,2,3,66.7,1,2,50,1,9,10,3,0,0,6,3,-6,37.5
Jaden McDaniels,MIN,MIN @ BKN,01/25/2024,W,33,9,4,6,66.7,1,1,100,0,0,-,1,3,4,1,0,0,0,2,2,15.3
Anthony Edwards,MIN,MIN @ BKN,01/25/2024,W,36,24,8,23,34.8,3,7,42.9,5,6,83.3,0,1,1,3,1,0,3,3,-5,29.7
Naz Reid,MIN,MIN @ BKN,01/25/2024,W,23,5,2,7,28.6,1,3,33.3,0,0,-,1,3,4,2,0,1,1,3,8,14.8
Cameron Johnson,BKN,BKN vs. MIN,01/25/2024,L,22,5,2,5,40,1,3,33.3,0,0,-,0,4,4,3,0,0,1,2,-6,13.3
Nickeil Alexander-Walker,MIN,MIN @ BKN,01/25/2024,W,17,6,2,4,50,1,3,33.3,1,2,50,0,1,1,4,0,0,0,2,1,13.2
Jordan McLaughlin,MIN,MIN @ BKN,01/25/2024,W,11,2,1,2,50,0,0,-,0,0,-,0,0,0,1,0,0,1,0,7,2.5
Mikal Bridges,BKN,BKN vs. MIN,01/25/2024,L,35,21,8,18,44.4,2,8,25,3,5,60,0,1,1,3,2,0,3,1,2,29.7
