full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Kenneth Walker,SEA,RB,7,26,26,0.8125,105,4.038461538,0,4.211913858,-0.1734523191,-0.1257948068,0,0,3,1.038461538,1,1,1,1,0,0,29,29,4,4,0.1379310345
Saquon Barkley,NYG,RB,7,21,21,0.65625,77,3.666666667,0,3.42206687,0.2445997965,-0.3422120356,1,0.04761904762,2.476190476,1.19047619,5,0.5555555556,0,0,0,0,25,25,4,4,0.16
Tyler Allgeier,ATL,RB,7,21,21,0.5526315789,59,2.80952381,0,3.629517436,-0.8199936264,-0.122534747,0,0,1.666666667,1.142857143,2,0.6666666667,0,0,0,0,24,24,3,3,0.125
Darrell Henderson,LA,RB,7,18,18,0.5806451613,61,3.388888889,1,4.063787927,-0.6748990377,-0.1443277003,1,0.05555555556,1.5,1.888888889,2,0.5,0,0,0,0,20,20,2,2,0.1
Jonathan Taylor,IND,RB,7,18,18,0.45,75,4.166666667,1,3.979426096,0.1872405711,-0.01522990979,0,0,2.111111111,2.055555556,1,0.2,0,0,0,0,22,22,4,4,0.1818181818
Zack Moss,IND,RB,7,18,18,0.45,57,3.166666667,0,2.564085952,0.602580715,-0.4379697423,0,0,2,1.166666667,4,0.8,3,1,2,1,20,20,5,5,0.25
Alvin Kamara,NO,RB,7,17,17,0.5483870968,62,3.647058824,0,3.370406886,0.276651937,0.1898866001,0,0,2.823529412,0.8235294118,1,0.5,1,1,0,0,32,32,16,16,0.5
D'Onta Foreman,CHI,RB,7,16,16,0.4210526316,89,5.5625,2,3.593298712,1.969201288,0.4221162849,2,0.125,5.1875,0.375,1,0.3333333333,1,0.5,0,0,21,21,6,6,0.2857142857
A.J. Dillon,GB,RB,7,15,15,0.5172413793,61,4.066666667,0,3.828132489,0.2385341775,-0.1527356816,0,0,2.133333333,1.933333333,0,0,0,0,0,0,17,17,2,2,0.1176470588
Christian McCaffrey,SF,RB,7,15,15,0.6818181818,45,3,1,3.223867395,-0.2238673951,-0.4000168483,1,0.06666666667,1.666666667,1.333333333,0,0,0,0,0,0,18,18,3,3,0.1666666667
D'Andre Swift,PHI,RB,7,15,15,0.4411764706,62,4.133333333,0,4.253013924,-0.1196805902,0.07968830053,0,0,2.933333333,1.2,3,1,0,0,0,0,18,18,3,3,0.1666666667
Javonte Williams,DEN,RB,7,15,15,0.6,82,5.466666667,0,3.238842376,2.227824291,-0.02759697688,2,0.1333333333,2.4,3.066666667,2,0.5,1,1,0,0,19,19,5,5,0.2631578947
Austin Ekeler,LAC,RB,7,14,14,0.5384615385,45,3.214285714,0,3.711900142,-0.4976144273,-0.1685027463,0,0,3,0.2142857143,1,1,0,0,0,0,16,16,2,2,0.125
Darrynton Evans,CHI,RB,7,14,14,0.3684210526,48,3.428571429,0,3.411273865,0.01729756396,-0.1993996501,0,0,3.428571429,0,2,0.6666666667,1,0.5,0,0,17,17,4,4,0.2352941176
Gus Edwards,BAL,RB,7,14,14,0.5185185185,64,4.571428571,1,4.145672596,0.4257559755,0.08287926977,2,0.1428571429,2.071428571,2.5,3,0.5,1,1,0,0,15,15,2,2,0.1333333333
Najee Harris,PIT,RB,7,14,14,0.4827586207,53,3.785714286,1,4.201744088,-0.4160298027,-0.03634726641,6,0.4285714286,1.571428571,2.214285714,2,0.6666666667,0,0,0,0,17,17,3,3,0.1764705882
Travis Etienne,JAX,RB,7,14,14,0.5384615385,53,3.785714286,2,4.839312872,-1.053598586,-0.3456959556,1,0.07142857143,2.428571429,1.357142857,0,0,0,0,0,0,19,19,5,5,0.2631578947
Emari Demercado,ARI,RB,7,13,13,0.52,58,4.461538462,0,4.645154739,-0.1836162776,-0.01794652299,0,0,4,0.4615384615,3,0.5,1,0.5,0,0,18,18,6,6,0.3333333333
Isiah Pacheco,KC,RB,7,13,13,0.619047619,32,2.461538462,0,4.639076657,-2.177538195,-0.3157558446,2,0.1538461538,1.769230769,0.6923076923,4,0.5714285714,2,0.6666666667,1,0.5,17,17,6,6,0.3529411765
James Cook,BUF,RB,7,13,13,0.5416666667,56,4.307692308,0,4.041405817,0.2662864906,-0.1266297733,0,0,1.769230769,2.538461538,0,0,0,0,0,0,16,16,3,3,0.1875
Rachaad White,TB,RB,7,13,13,0.65,34,2.615384615,0,3.390043538,-0.7746589228,-0.4074758419,0,0,2,0.6153846154,4,1,2,1,1,1,19,19,8,8,0.4210526316
Royce Freeman,LA,RB,7,12,12,0.3870967742,66,5.5,0,4.509758493,0.9902415066,0.05591867087,4,0.3333333333,1.916666667,3.583333333,2,0.5,1,1,0,0,12,12,1,1,0.08333333333
Ezekiel Elliott,NE,RB,7,11,11,0.44,31,2.818181818,1,2.877541407,-0.05935958929,0.05244701354,0,0,1.818181818,1,0,0,0,0,0,0,12,12,1,1,0.08333333333
Jahmyr Gibbs,DET,RB,7,11,11,0.7857142857,68,6.181818182,1,6.753245885,-0.571427703,0.1135105223,1,0.09090909091,4.272727273,1.909090909,0,0,0,0,0,0,22,22,11,11,0.5
Jalen Hurts,PHI,QB,7,11,11,0.3235294118,21,1.909090909,1,0,1.909090909,0.1507014711,0,0,1.727272727,0.1818181818,0,0,0,0,0,0,11,11,0,0,0
Jerome Ford,CLE,RB,7,11,11,0.3235294118,74,6.727272727,1,4.383623948,2.34364878,0.04716393582,0,0,6.272727273,0.4545454545,2,0.6666666667,2,1,1,1,15,15,6,6,0.4
Josh Jacobs,LV,RB,7,11,11,0.7857142857,35,3.181818182,0,5.151951249,-1.970133067,-0.1939474636,2,0.1818181818,2.454545455,0.7272727273,0,0,0,0,0,0,15,15,4,4,0.2666666667
Cam Akers,MIN,RB,7,10,10,0.4761904762,31,3.1,0,3.807030841,-0.7070308411,-0.1316260512,2,0.2,0.8,2.3,0,0,0,0,0,0,13,13,3,3,0.2307692308
Cordarrelle Patterson,ATL,RB,7,10,10,0.2631578947,56,5.6,0,4.808157508,0.7918424916,-0.07463259911,1,0.1,3.7,1.9,1,0.3333333333,0,0,0,0,10,10,0,0,0
Kareem Hunt,CLE,RB,7,10,10,0.2941176471,31,3.1,2,4.485027286,-1.385027286,0.1925747195,0,0,2.3,0.8,1,0.3333333333,0,0,0,0,11,11,1,1,0.09090909091
Lamar Jackson,BAL,QB,7,9,9,0.3333333333,36,4,1,0,4,-0.1403604395,0,0,3,1,2,0.3333333333,0,0,0,0,9,9,0,0,0
Pierre Strong,CLE,RB,7,9,9,0.2647058824,25,2.777777778,0,0,2.777777778,-0.3330905282,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0
Raheem Mostert,MIA,RB,7,9,9,0.75,45,5,0,0,5,-0.005110276986,0,0,2.555555556,2.444444444,0,0,0,0,0,0,12,12,3,3,0.25
Rhamondre Stevenson,NE,RB,7,9,9,0.36,34,3.777777778,0,0,3.777777778,-0.2462804545,1,0.1111111111,2.333333333,1.444444444,0,0,0,0,0,0,15,15,6,6,0.4
Aaron Jones,GB,RB,7,8,8,0.275862069,35,4.375,0,0,4.375,-0.009652133376,0,0,3,1.375,0,0,0,0,0,0,13,13,5,5,0.3846153846
