Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Cooper Kupp,,WR,9500.0,38.0,17.42,21.2,18.3,12.77,11.4,11.4,3.4,30.8,2.7,22.8,,,,,0.0,0.0
Stefon Diggs,,WR,8900.0,35.6,14.44,13.3,15.2,14.83,25.1,25.7,2.6,23.0,3.3,28.1,4.8,39.0,2.7,22.1,1.7,13.6
Austin Ekeler,,RB,8600.0,34.4,13.41,9.6,10.4,20.24,0.0,0.0,1.2,10.2,,,0.0,0.0,0.0,0.0,0.0,0.0
Keenan Allen,,WR,8600.0,34.4,14.04,22.0,9.8,10.31,34.1,31.59,2.6,21.5,,,1.5,12.2,6.4,48.46,4.8,34.1
Patrick Mahomes,,QB,8300.0,33.2,9.44,12.1,6.4,9.83,22.22,21.33,2.6,21.34,2.3,19.24,1.8,15.22,3.1,25.68,3.0,25.2
Davante Adams,,WR,8200.0,32.8,9.15,13.2,5.0,9.24,17.95,22.4,0.6,4.9,1.0,8.5,1.9,15.5,5.8,45.2,2.7,20.4
Josh Allen,,QB,8200.0,32.8,8.12,4.0,12.2,8.15,27.71,29.31,1.8,14.86,3.9,31.76,4.8,39.5,2.8,22.32,3.0,23.66
Saquon Barkley,,RB,8100.0,32.4,5.88,5.8,3.9,7.94,0.0,6.8,1.7,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.4,27.2
Travis Kelce,,TE,8000.0,32.0,13.06,19.1,12.7,7.38,16.25,16.8,3.2,24.4,3.0,22.7,1.6,12.0,2.8,19.9,1.7,12.6
Justin Herbert,,QB,8000.0,32.0,5.57,1.7,10.3,4.72,25.2,27.29,2.5,20.08,,,3.1,24.38,4.3,32.3,3.6,25.2
Amon-Ra St. Brown,,WR,8000.0,32.0,10.71,11.6,9.8,10.72,17.4,14.35,4.3,33.4,0.0,0.0,2.1,16.6,2.9,22.6,2.3,18.2
Lamar Jackson,,QB,7600.0,30.4,9.03,8.3,9.7,9.09,26.01,24.04,2.4,18.12,1.5,11.94,3.8,29.14,4.2,32.18,3.0,22.88
