Name,Position,Roster Position,TeamAbbrev,Week1_Salary,Week1_%Drafted,Week1_FPTS,Week2_Salary,Week2_%Drafted,Week2_FPTS,Week3_Salary,Week3_%Drafted,Week3_FPTS,Week4_Salary,Week4_%Drafted,Week4_FPTS,Week5_Salary,Week5_%Drafted,Week5_FPTS,Week6_Salary,Week6_%Drafted,Week6_FPTS,Week7_Salary,Week7_%Drafted,Week7_FPTS,Week8_Salary,Week8_%Drafted,Week8_FPTS,Week9_Salary,Week9_%Drafted,Week9_FPTS,Week10_Salary,Week10_%Drafted,Week10_FPTS,Week11_Salary,Week11_%Drafted,Week11_FPTS,Week12_Salary
Justin Jefferson,WR,WR/FLEX,MIN,8800.0,25.71%,27.0,9200,13.52%,28.9,9300.0,22.14%,30.9,9600.0,6.88%,26.5,9400.0,11.24%,5.8,9200.0,0.01%,0.0,3000.0,,,3000.0,0.01%,0.0,3000.0,0.00%,0.0,8900.0,0.05%,0.0,8900.0,0.06%,0.0,8700.0
Christian McCaffrey,RB,RB/FLEX,SF,8700.0,7.35%,28.9,8900,13.01%,25.5,9100.0,28.44%,22.9,9200.0,20.77%,51.7,9400.0,16.38%,14.8,9500.0,8.24%,14.2,9400.0,2.30%,23.6,9200.0,9.73%,29.8,,,,9200.0,14.14%,20.2,9300.0,9.13%,21.3,8700.0
Tyreek Hill,WR,WR/FLEX,MIA,8200.0,25.17%,47.5,8800,19.56%,15.0,9000.0,8.99%,33.7,9200.0,9.83%,10.2,9000.0,17.19%,35.1,9300.0,9.14%,31.3,9400.0,19.77%,25.8,9500.0,5.79%,28.2,9400.0,,,,,,9300.0,16.30%,33.6,9500.0
Austin Ekeler,RB,RB/FLEX,LAC,8400.0,17.03%,29.4,8700,0.26%,0.0,8500.0,0.08%,0.0,8500.0,0.36%,0.0,,,,8400.0,3.08%,10.2,8600.0,3.41%,5.6,8300.0,5.12%,24.3,8400.0,,,8400.0,3.36%,21.5,8600.0,8.43%,8.0,8300.0
Patrick Mahomes,QB,QB,KC,8100.0,,20.54,8300,4.83%,25.2,8300.0,9.85%,25.68,8300.0,4.83%,15.22,8200.0,7.16%,19.24,8100.0,14.21%,21.34,8300.0,7.49%,37.86,8400.0,8.86%,8.64,8100.0,,,,,,8000.0,6.03%,17.88,8200.0
Nick Chubb,RB,RB/FLEX,CLE,8200.0,5.63%,19.7,8100,8.93%,6.4,7900.0,,,4000.0,,,,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,4000.0
Stefon Diggs,WR,WR/FLEX,BUF,7100.0,,29.2,8000,11.45%,13.6,8100.0,4.08%,22.1,8100.0,6.98%,39.0,8400.0,12.51%,28.1,8800.0,10.45%,23.0,8900.0,5.93%,17.8,8900.0,16.35%,16.0,9000.0,,,9000.0,11.34%,6.4,9100.0,1.05%,6.7,8800.0
Saquon Barkley,RB,RB/FLEX,NYG,8100.0,,9.3,8000,3.84%,27.2,8100.0,0.01%,0.0,8100.0,0.08%,0.0,8100.0,0.13%,0.0,8100.0,0.24%,13.8,8100.0,1.44%,19.8,8000.0,0.94%,18.8,7900.0,19.78%,14.3,7700.0,1.02%,7.1,7100.0,1.24%,30.0,7300.0
Bijan Robinson,RB,RB/FLEX,ATL,8000.0,7.35%,20.3,7900,6.01%,24.2,7800.0,8.77%,10.0,7700.0,4.79%,21.7,7700.0,14.05%,12.8,7200.0,4.74%,13.0,7300.0,3.18%,0.3,6000.0,4.86%,12.2,6100.0,15.55%,6.9,6000.0,11.77%,17.6,,,,6500.0
Josh Allen,QB,QB,BUF,7300.0,,13.04,7900,6.44%,23.66,8100.0,1.80%,22.32,8200.0,3.19%,39.5,8100.0,7.36%,31.76,8300.0,8.63%,14.86,8200.0,2.14%,26.3,8000.0,13.11%,33.06,8300.0,,,8300.0,12.69%,17.38,8200.0,0.93%,23.5,8100.0
Ja'Marr Chase,WR,WR/FLEX,CIN,8100.0,13.20%,9.1,7900,7.82%,8.1,8000.0,1.67%,29.1,7800.0,7.83%,14.3,7900.0,7.54%,55.2,8300.0,18.45%,14.0,,,,8100.0,5.39%,28.2,8300.0,,,8600.0,7.70%,26.4,8700.0,8.89%,9.2,8300.0
Jalen Hurts,QB,QB,PHI,7800.0,8.59%,13.5,7800,18.43%,26.22,8000.0,3.44%,21.88,8000.0,3.69%,27.16,8000.0,5.01%,31.32,8200.0,2.78%,22.9,8100.0,12.85%,25.26,8200.0,5.95%,31.36,8000.0,13.64%,25.88,,,,8300.0,2.67%,19.9,8300.0
Amon-Ra St. Brown,WR,WR/FLEX,DET,7500.0,,19.1,7800,13.95%,18.2,7900.0,1.44%,22.6,7800.0,11.85%,16.6,7800.0,0.71%,0.0,7700.0,1.18%,33.4,8000.0,4.89%,26.2,8200.0,8.19%,19.8,,,,8300.0,19.94%,33.5,8800.0,11.66%,21.7,8500.0
A.J. Brown,WR,WR/FLEX,PHI,7600.0,6.85%,14.9,7700,11.89%,6.9,7700.0,4.25%,25.1,7700.0,2.83%,41.5,8000.0,5.05%,21.7,7800.0,2.55%,23.1,7900.0,16.83%,32.7,8000.0,12.72%,36.0,8600.0,24.94%,19.6,,,,8900.0,6.27%,1.8,9000.0
Lamar Jackson,QB,QB,BAL,8000.0,6.82%,8.56,7700,1.35%,22.88,7700.0,2.51%,32.18,7700.0,0.76%,29.14,7800.0,2.86%,11.94,7700.0,2.00%,18.12,7600.0,4.02%,37.88,8100.0,11.73%,11.98,8200.0,10.67%,12.48,8000.0,1.69%,15.02,7900.0,7.55%,23.96,8000.0
CeeDee Lamb,WR,WR/FLEX,DAL,7800.0,,11.7,7700,1.83%,28.3,7700.0,6.85%,10.2,7500.0,1.64%,14.8,7300.0,2.95%,8.9,7400.0,7.86%,21.7,,,,7600.0,3.02%,44.0,8200.0,29.92%,32.1,8500.0,12.55%,42.5,9200.0,6.96%,16.5,8700.0
Davante Adams,WR,WR/FLEX,LV,7900.0,4.70%,12.6,7600,5.45%,20.4,7800.0,3.29%,45.2,8000.0,12.05%,15.5,8100.0,5.30%,8.5,8100.0,1.68%,4.9,8200.0,2.30%,12.7,8000.0,1.87%,2.1,8100.0,6.75%,7.4,8000.0,1.35%,14.6,7900.0,1.50%,21.2,7800.0
Travis Kelce,TE,TE/FLEX,KC,0.0,,0.0,7600,4.95%,12.6,7200.0,11.58%,19.9,7400.0,10.25%,12.0,7600.0,10.55%,22.7,7700.0,7.95%,24.4,8000.0,8.81%,38.9,8400.0,10.79%,11.8,8200.0,,,,,,8100.0,9.34%,16.4,8200.0
Justin Fields,QB,QB,CHI,7700.0,4.09%,16.54,7600,1.38%,16.74,7100.0,0.59%,11.66,6600.0,3.21%,32.9,6700.0,6.74%,32.98,7300.0,7.49%,5.92,7000.0,,,7000.0,0.01%,0.0,7000.0,0.00%,0.0,7000.0,0.02%,0.0,6900.0,2.55%,24.16,7000.0
Tony Pollard,RB,RB/FLEX,DAL,7500.0,,22.2,7500,6.84%,19.9,8000.0,10.74%,18.1,7800.0,6.80%,9.0,7600.0,1.78%,9.4,7600.0,5.61%,17.0,,,,7500.0,4.49%,6.5,6800.0,4.87%,9.3,7300.0,11.03%,5.5,6600.0,8.96%,18.0,6700.0
Garrett Wilson,WR,WR/FLEX,NYJ,6900.0,,14.4,7500,0.53%,16.3,6800.0,1.11%,9.8,6400.0,0.97%,15.0,6000.0,11.98%,8.4,6000.0,1.67%,17.0,,,,6300.0,3.15%,20.6,6500.0,,,6600.0,2.89%,18.3,6400.0,1.86%,1.9,6200.0
Derrick Henry,RB,RB/FLEX,TEN,7800.0,7.22%,13.9,7400,6.06%,18.5,7400.0,1.08%,2.0,7000.0,1.63%,27.38,7500.0,4.07%,9.2,7500.0,2.05%,19.3,,,,7600.0,1.87%,19.2,7300.0,,,7400.0,2.58%,3.0,6300.0,3.22%,5.4,6400.0
Jaylen Waddle,WR,WR/FLEX,MIA,7100.0,8.45%,11.8,7400,3.12%,12.4,7500.0,0.11%,0.0,7600.0,1.65%,8.6,7500.0,3.72%,14.5,7600.0,2.46%,18.1,7500.0,5.67%,12.3,7500.0,1.01%,28.1,7800.0,,,,,,7600.0,2.98%,9.5,7500.0
DeVonta Smith,WR,WR/FLEX,PHI,7200.0,4.30%,17.7,7300,10.76%,26.1,7600.0,3.20%,6.8,7500.0,1.33%,14.8,7400.0,2.46%,1.6,7000.0,1.41%,9.4,7000.0,2.48%,8.9,6700.0,3.10%,22.9,7100.0,6.17%,14.1,,,,7000.0,3.26%,15.9,7100.0
Calvin Ridley,WR,WR/FLEX,JAX,6500.0,15.09%,27.1,7200,15.99%,5.2,7200.0,4.05%,7.0,6900.0,3.58%,11.8,6800.0,1.89%,23.6,6700.0,8.39%,6.6,6400.0,5.69%,1.5,5800.0,3.50%,14.3,,,,5600.0,6.35%,4.0,5400.0,4.72%,34.1,6000.0
Josh Jacobs,RB,RB/FLEX,LV,7700.0,8.05%,9.1,7100,4.80%,9.9,7000.0,4.89%,11.0,7100.0,3.98%,27.9,7300.0,11.77%,19.9,7000.0,5.06%,11.3,7400.0,11.76%,5.1,7100.0,2.11%,16.8,6900.0,18.45%,21.8,7000.0,8.87%,16.7,6800.0,4.02%,6.1,6700.0
Keenan Allen,WR,WR/FLEX,LAC,7300.0,11.95%,14.2,7100,5.07%,34.1,7600.0,9.46%,48.46,7900.0,26.46%,12.2,,,,8400.0,4.31%,21.5,8600.0,4.43%,9.5,8500.0,6.85%,14.9,8700.0,,,8800.0,3.57%,43.5,9000.0,1.16%,30.6,8900.0
Tua Tagovailoa,QB,QB,MIA,6700.0,5.83%,32.14,7100,8.32%,13.26,7000.0,5.70%,31.36,7400.0,4.89%,14.98,7100.0,11.17%,21.92,7600.0,6.11%,22.48,7700.0,9.48%,11.34,7700.0,3.07%,26.76,7800.0,,,,,,7700.0,5.24%,22.6,7900.0
DK Metcalf,WR,WR/FLEX,SEA,7000.0,7.67%,13.7,7000,2.38%,13.5,6900.0,0.57%,20.2,6800.0,4.34%,12.4,,,,6800.0,0.95%,10.9,6800.0,1.09%,0.0,6800.0,0.66%,11.7,6900.0,3.53%,6.0,6800.0,5.42%,16.8,6900.0,2.22%,20.4,6500.0
Justin Herbert,QB,QB,LAC,6900.0,13.64%,20.92,7000,4.44%,25.2,7500.0,4.58%,32.3,7800.0,9.80%,24.38,,,,7900.0,1.74%,20.08,8000.0,1.96%,12.86,7800.0,5.97%,24.02,7900.0,,,7700.0,1.83%,32.42,7600.0,1.08%,25.7,7800.0
Joe Burrow,QB,QB,CIN,7100.0,4.30%,3.18,6900,3.40%,16.38,6600.0,0.24%,9.16,6500.0,2.22%,5.7,6200.0,2.06%,27.38,6300.0,6.89%,14.8,,,,6000.0,2.32%,27.62,6400.0,,,6800.0,12.01%,24.88,6800.0,6.00%,8.74,4000.0
Travis Etienne Jr.,RB,RB/FLEX,JAX,6900.0,9.69%,21.4,6900,9.75%,6.2,6900.0,8.58%,17.8,7200.0,3.31%,10.2,7000.0,2.30%,39.4,7100.0,7.59%,23.3,7200.0,11.88%,22.7,7200.0,10.62%,25.9,,,,7100.0,11.18%,6.4,7200.0,7.72%,8.9,7100.0
Chris Olave,WR,WR/FLEX,NO,6500.0,15.03%,22.2,6900,5.89%,14.6,7000.0,2.58%,21.4,7100.0,4.61%,1.4,6900.0,1.79%,9.2,6600.0,0.77%,16.6,6300.0,8.19%,12.7,6400.0,2.74%,9.6,6300.0,15.17%,16.6,6400.0,6.85%,21.4,,,,6600.0
Trevor Lawrence,QB,QB,JAX,6500.0,9.86%,18.74,6700,5.45%,10.24,6800.0,2.46%,15.36,6800.0,1.84%,16.48,6600.0,0.93%,20.7,6500.0,3.94%,15.74,6300.0,2.42%,18.06,6200.0,1.23%,15.68,,,,6000.0,1.84%,5.1,6000.0,1.71%,32.18,6400.0
DeAndre Hopkins,WR,WR/FLEX,TEN,6900.0,2.35%,13.5,6700,1.14%,8.0,6300.0,0.47%,7.8,5800.0,1.03%,10.3,5700.0,3.31%,25.0,6000.0,3.73%,3.0,,,,5500.0,1.23%,37.8,6000.0,,,6000.0,18.01%,5.7,6100.0,2.62%,15.9,6100.0
Rhamondre Stevenson,RB,RB/FLEX,NE,7000.0,1.47%,14.9,6700,7.54%,15.0,6700.0,1.83%,7.2,6200.0,0.86%,6.0,5600.0,1.03%,2.4,5400.0,2.15%,18.0,5600.0,2.82%,14.5,5400.0,2.46%,7.0,5400.0,9.87%,22.9,5600.0,12.00%,13.2,,,,5800.0
Aaron Jones,RB,RB/FLEX,GB,6300.0,16.21%,26.7,6600,0.52%,0.0,6800.0,0.11%,0.0,6800.0,6.83%,2.4,6900.0,1.46%,0.0,,,,6800.0,2.53%,8.7,6400.0,0.69%,8.6,6200.0,3.62%,18.9,6500.0,2.05%,9.4,6200.0,5.26%,2.7,6000.0
Dak Prescott,QB,QB,DAL,6600.0,,6.32,6600,1.02%,19.6,6600.0,3.88%,15.36,6200.0,0.63%,14.34,6100.0,0.98%,7.32,6200.0,2.94%,24.88,,,,6100.0,3.73%,32.06,6500.0,14.68%,31.36,6700.0,7.48%,41.86,7300.0,4.73%,16.16,6800.0
Jerry Jeudy,WR,WR/FLEX,DEN,6600.0,0.08%,0.0,6600,0.53%,5.5,6500.0,0.47%,13.1,6600.0,1.00%,8.2,6300.0,0.54%,11.0,6100.0,2.63%,4.4,5800.0,1.09%,11.4,5400.0,0.56%,13.0,,,,5200.0,2.11%,6.5,5100.0,1.73%,10.8,4900.0
Kirk Cousins,QB,QB,MIN,6300.0,6.87%,22.46,6500,7.29%,32.56,6900.0,20.41%,29.68,7100.0,5.29%,11.56,6900.0,3.84%,19.86,7100.0,4.74%,9.74,6900.0,1.22%,25.02,6900.0,2.81%,19.86,6700.0,0.00%,0.0,4000.0,,,4000.0,,,4000.0
Joe Mixon,RB,RB/FLEX,CIN,6800.0,10.49%,10.3,6500,3.65%,13.5,6500.0,5.32%,14.0,6400.0,1.91%,8.6,6400.0,7.76%,13.4,6300.0,5.77%,9.2,,,,5800.0,2.30%,20.0,6000.0,,,6200.0,16.80%,12.5,6100.0,7.00%,21.0,6300.0
Tee Higgins,WR,WR/FLEX,CIN,6800.0,3.51%,0.0,6400,4.38%,28.9,6700.0,1.98%,4.1,6800.0,2.13%,3.9,6600.0,0.01%,0.0,6400.0,0.45%,4.0,,,,5900.0,1.64%,11.9,6100.0,,,6500.0,0.60%,0.0,6500.0,0.03%,0.0,6200.0
Aaron Rodgers,QB,QB,NYJ,6000.0,,0.0,6400,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,4000.0
Mark Andrews,TE,TE/FLEX,BAL,6200.0,0.29%,0.0,6300,0.79%,15.5,6000.0,4.27%,7.5,5400.0,1.70%,25.0,5500.0,6.64%,12.5,5500.0,5.58%,10.9,5700.0,10.64%,22.3,6400.0,4.37%,14.0,6800.0,8.28%,17.0,6900.0,1.93%,6.4,6700.0,10.04%,4.3,6700.0
Jahmyr Gibbs,RB,RB/FLEX,DET,6100.0,,8.0,6300,5.96%,12.6,6600.0,4.85%,9.2,6600.0,7.43%,9.1,5900.0,0.75%,0.0,5900.0,,,6300.0,2.66%,27.6,6600.0,22.58%,32.9,,,,7000.0,5.16%,26.2,7000.0,9.22%,21.5,6800.0
Anthony Richardson,QB,QB,IND,5600.0,4.27%,21.92,6300,2.92%,17.74,6700.0,0.01%,0.0,6700.0,1.72%,30.6,7000.0,3.45%,4.42,6900.0,,,4000.0,,,4000.0,,,4000.0,,,4000.0,,,,,,4000.0
Michael Pittman Jr.,WR,WR/FLEX,IND,6200.0,2.71%,23.7,6300,7.80%,13.6,6200.0,5.63%,16.7,6500.0,5.58%,4.5,6400.0,6.85%,10.2,6300.0,3.57%,22.9,6600.0,1.65%,16.3,6500.0,2.27%,18.0,6600.0,9.65%,14.4,6700.0,7.55%,16.4,,,,6800.0
Jared Goff,QB,QB,DET,6000.0,,14.02,6200,5.32%,26.92,6500.0,2.61%,19.02,6300.0,8.38%,12.4,6300.0,2.97%,27.44,6400.0,1.88%,25.42,6400.0,3.57%,10.36,6400.0,8.36%,13.68,,,,6400.0,8.93%,24.12,6600.0,7.55%,16.74,6300.0
Mike Evans,WR,WR/FLEX,TB,6300.0,4.67%,18.6,6200,6.32%,32.1,6600.0,13.42%,17.0,7000.0,3.22%,7.0,,,,7100.0,1.31%,8.9,7100.0,3.20%,20.2,7200.0,7.16%,12.9,7300.0,5.92%,12.7,7200.0,5.15%,29.3,7400.0,2.78%,15.3,7400.0
James Conner,RB,RB/FLEX,ARI,6400.0,2.28%,12.0,6200,3.07%,19.6,6300.0,0.61%,19.6,5900.0,1.61%,6.6,5800.0,7.46%,4.6,5800.0,,,4000.0,,,4000.0,,,4000.0,0.00%,0.0,5900.0,0.62%,7.3,5700.0,7.33%,8.3,5900.0
Deshaun Watson,QB,QB,CLE,6000.0,4.07%,21.66,6200,2.87%,14.6,6100.0,1.67%,21.16,6000.0,0.16%,0.0,,,,5800.0,0.05%,0.0,5700.0,1.20%,-0.8,5500.0,,,5400.0,5.19%,18.96,5400.0,0.41%,17.22,5400.0,0.02%,0.0,4000.0
