Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3990715175,garrett3433 (5/20),0,242.36,DST Cowboys  FLEX Rashid Shaheed QB Dak Prescott RB Alvin Kamara RB Breece Hall TE Trey McBride WR A.J. Brown WR CeeDee Lamb WR Josh Downs,,Breece Hall,RB,42.62%,21.3
2,3993188903,stanjennings36 (4/15),0,233.46,DST Patriots  FLEX Breece Hall QB Jalen Hurts RB Christian McCaffrey RB Gus Edwards TE Trey McBride WR A.J. Brown WR Jahan Dotson WR Rashid Shaheed,,Alvin Kamara,RB,28.04%,27
3,3991361183,landshark857 (16/20),0,232.86,DST Broncos  FLEX Ja'Marr Chase QB Dak Prescott RB Breece Hall RB Gus Edwards TE Trey McBride WR CeeDee Lamb WR Brandon Aiyuk WR Diontae Johnson,,Isiah Pacheco,RB,26.76%,6.7
4,3993167014,F0rtnah (7/8),0,232.72002,DST Bengals  FLEX DeAndre Hopkins QB Joe Burrow RB Alvin Kamara RB Joe Mixon TE Trey McBride WR Ja'Marr Chase WR CeeDee Lamb WR Tyler Boyd,,Zay Flowers,WR,23.85%,6.9
5,3992838334,Packersfan203 (4/20),0,231.96,DST Broncos  FLEX Kendrick Bourne QB Dak Prescott RB Alvin Kamara RB Breece Hall TE Trey McBride WR A.J. Brown WR CeeDee Lamb WR Diontae Johnson,,Nico Collins,WR,21.17%,7
6,3989824035,TeamUPS (1/20),0,231.16,DST Bengals  FLEX Alvin Kamara QB Jalen Hurts RB Travis Etienne Jr. RB Breece Hall TE Trey McBride WR A.J. Brown WR Jahan Dotson WR Rashid Shaheed,,Trey McBride,TE,20.61%,25.5
7,3986826922,lionchief (19/20),0,229.26001,DST Seahawks  FLEX Jordan Addison QB Dak Prescott RB Breece Hall RB Gus Edwards TE Trey McBride WR A.J. Brown WR CeeDee Lamb WR Rashee Rice,,Adam Thielen,WR,20.09%,15.2
8,3991390972,ppxknowledge (19/20),0,228.22,DST Falcons  FLEX A.J. Brown QB Will Levis RB Alvin Kamara RB Breece Hall TE Trey McBride WR CeeDee Lamb WR DeAndre Hopkins WR Nico Collins,,A.J. Brown,WR,19.89%,36
9,3992851650,bigredjim3030 (18/20),0,227.52,DST Broncos  FLEX Rashid Shaheed QB Joe Burrow RB Alvin Kamara RB Breece Hall TE Trey McBride WR Ja'Marr Chase WR CeeDee Lamb WR Chris Olave,,Lamar Jackson,QB,17.93%,11.98
10,3989514850,Gunnes-2019 (14/20),0,227.48,DST Browns  FLEX David Njoku QB Sam Howell RB Isiah Pacheco RB Gus Edwards TE Trey McBride WR Ja'Marr Chase WR A.J. Brown WR CeeDee Lamb,,Josh Downs,WR,15.03%,14.2
