Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (30808360),Christian McCaffrey,30808360,RB/FLEX,9200,SF@JAX 11/12/2023 01:00PM ET,SF,26.42
WR,Stefon Diggs (30808696),Stefon Diggs,30808696,WR/FLEX,9000,DEN@BUF 11/13/2023 08:15PM ET,BUF,23.49
WR,Justin Jefferson (30808698),Justin Jefferson,30808698,WR/FLEX,8900,NO@MIN 11/12/2023 01:00PM ET,MIN,23.82
WR,Keenan Allen (30808700),Keenan Allen,30808700,WR/FLEX,8800,DET@LAC 11/12/2023 04:05PM ET,LAC,21.32
WR,Ja'Marr Chase (30808702),Ja'Marr Chase,30808702,WR/FLEX,8600,HOU@CIN 11/12/2023 01:00PM ET,CIN,20.76
WR,CeeDee Lamb (30808704),CeeDee Lamb,30808704,WR/FLEX,8500,NYG@DAL 11/12/2023 04:25PM ET,DAL,21.46
RB,Austin Ekeler (30808362),Austin Ekeler,30808362,RB/FLEX,8400,DET@LAC 11/12/2023 04:05PM ET,LAC,18.1
RB,Alvin Kamara (30808364),Alvin Kamara,30808364,RB/FLEX,8300,NO@MIN 11/12/2023 01:00PM ET,NO,20.8
WR,Amon-Ra St. Brown (30808706),Amon-Ra St. Brown,30808706,WR/FLEX,8300,DET@LAC 11/12/2023 04:05PM ET,DET,22.27
QB,Josh Allen (30808268),Josh Allen,30808268,QB,8300,DEN@BUF 11/13/2023 08:15PM ET,BUF,25.58
QB,Lamar Jackson (30808269),Lamar Jackson,30808269,QB,8000,CLE@BAL 11/12/2023 01:00PM ET,BAL,20.57
WR,Davante Adams (30808708),Davante Adams,30808708,WR/FLEX,8000,NYJ@LV 11/12/2023 08:20PM ET,LV,14.37
WR,Adam Thielen (30808710),Adam Thielen,30808710,WR/FLEX,7700,CAR@CHI 11/09/2023 08:15PM ET,CAR,19.82
QB,Justin Herbert (30808270),Justin Herbert,30808270,QB,7700,DET@LAC 11/12/2023 04:05PM ET,LAC,20.86
RB,Saquon Barkley (30808366),Saquon Barkley,30808366,RB/FLEX,7700,NYG@DAL 11/12/2023 04:25PM ET,NYG,17.2
RB,Derrick Henry (30808368),Derrick Henry,30808368,RB/FLEX,7400,TEN@TB 11/12/2023 01:00PM ET,TEN,16.08
RB,Tony Pollard (30808370),Tony Pollard,30808370,RB/FLEX,7300,NYG@DAL 11/12/2023 04:25PM ET,DAL,13.92
WR,Mike Evans (30808712),Mike Evans,30808712,WR/FLEX,7200,TEN@TB 11/12/2023 01:00PM ET,TB,16.18
RB,Travis Etienne Jr. (30808372),Travis Etienne Jr.,30808372,RB/FLEX,7100,SF@JAX 11/12/2023 01:00PM ET,JAX,20.86
WR,Brandon Aiyuk (30808714),Brandon Aiyuk,30808714,WR/FLEX,7100,SF@JAX 11/12/2023 01:00PM ET,SF,16.86
QB,Justin Fields (30808271),Justin Fields,30808271,QB,7000,CAR@CHI 11/09/2023 08:15PM ET,CHI,19.46
RB,Jahmyr Gibbs (30808374),Jahmyr Gibbs,30808374,RB/FLEX,7000,DET@LAC 11/12/2023 04:05PM ET,DET,16.57
RB,Josh Jacobs (30808376),Josh Jacobs,30808376,RB/FLEX,7000,NYJ@LV 11/12/2023 08:20PM ET,LV,14.76
TE,Mark Andrews (30809210),Mark Andrews,30809210,TE/FLEX,6900,CLE@BAL 11/12/2023 01:00PM ET,BAL,15.59
QB,C.J. Stroud (30808272),C.J. Stroud,30808272,QB,6900,HOU@CIN 11/12/2023 01:00PM ET,HOU,21.2
RB,David Montgomery (30808378),David Montgomery,30808378,RB/FLEX,6900,DET@LAC 11/12/2023 04:05PM ET,DET,18.42
QB,Joe Burrow (30808273),Joe Burrow,30808273,QB,6800,HOU@CIN 11/12/2023 01:00PM ET,CIN,16.19
RB,Kenneth Walker III (30808380),Kenneth Walker III,30808380,RB/FLEX,6800,WAS@SEA 11/12/2023 04:25PM ET,SEA,14.79
WR,DK Metcalf (30808716),DK Metcalf,30808716,WR/FLEX,6800,WAS@SEA 11/12/2023 04:25PM ET,SEA,12.63
WR,Michael Pittman Jr. (30808718),Michael Pittman Jr.,30808718,WR/FLEX,6700,IND@NE 11/12/2023 09:30AM ET,IND,15.59
WR,Chris Godwin (30808720),Chris Godwin,30808720,WR/FLEX,6700,TEN@TB 11/12/2023 01:00PM ET,TB,12.4
QB,Dak Prescott (30808274),Dak Prescott,30808274,QB,6700,NYG@DAL 11/12/2023 04:25PM ET,DAL,18.90
RB,Breece Hall (30808382),Breece Hall,30808382,RB/FLEX,6700,NYJ@LV 11/12/2023 08:20PM ET,NYJ,14.52
RB,Jonathan Taylor (30808384),Jonathan Taylor,30808384,RB/FLEX,6600,IND@NE 11/12/2023 09:30AM ET,IND,13.1
WR,Nico Collins (30808722),Nico Collins,30808722,WR/FLEX,6600,HOU@CIN 11/12/2023 01:00PM ET,HOU,16.14
WR,Garrett Wilson (30808724),Garrett Wilson,30808724,WR/FLEX,6600,NYJ@LV 11/12/2023 08:20PM ET,NYJ,14.44
WR,Tee Higgins (30808726),Tee Higgins,30808726,WR/FLEX,6500,HOU@CIN 11/12/2023 01:00PM ET,CIN,10.69
RB,Aaron Jones (30808386),Aaron Jones,30808386,RB/FLEX,6500,GB@PIT 11/12/2023 01:00PM ET,GB,13.06
WR,Chris Olave (30808728),Chris Olave,30808728,WR/FLEX,6400,NO@MIN 11/12/2023 01:00PM ET,NO,13.81
QB,Jared Goff (30808275),Jared Goff,30808275,QB,6400,DET@LAC 11/12/2023 04:05PM ET,DET,18.66
WR,Amari Cooper (30808730),Amari Cooper,30808730,WR/FLEX,6300,CLE@BAL 11/12/2023 01:00PM ET,CLE,14.71
RB,James Cook (30808388),James Cook,30808388,RB/FLEX,6300,DEN@BUF 11/13/2023 08:15PM ET,BUF,12.08
RB,Joe Mixon (30808390),Joe Mixon,30808390,RB/FLEX,6200,HOU@CIN 11/12/2023 01:00PM ET,CIN,13.35
WR,Deebo Samuel (30808732),Deebo Samuel,30808732,WR/FLEX,6200,SF@JAX 11/12/2023 01:00PM ET,SF,12.45
WR,Jakobi Meyers (30808734),Jakobi Meyers,30808734,WR/FLEX,6200,NYJ@LV 11/12/2023 08:20PM ET,LV,15.24
RB,Gus Edwards (30808392),Gus Edwards,30808392,RB/FLEX,6100,CLE@BAL 11/12/2023 01:00PM ET,BAL,12.06
TE,George Kittle (30809212),George Kittle,30809212,TE/FLEX,6100,SF@JAX 11/12/2023 01:00PM ET,SF,12.19
WR,Tyler Lockett (30808736),Tyler Lockett,30808736,WR/FLEX,6100,WAS@SEA 11/12/2023 04:25PM ET,SEA,12.28
QB,Trevor Lawrence (30808276),Trevor Lawrence,30808276,QB,6000,SF@JAX 11/12/2023 01:00PM ET,JAX,16.38
WR,Christian Kirk (30808740),Christian Kirk,30808740,WR/FLEX,6000,SF@JAX 11/12/2023 01:00PM ET,JAX,14.44
WR,DeAndre Hopkins (30808738),DeAndre Hopkins,30808738,WR/FLEX,6000,TEN@TB 11/12/2023 01:00PM ET,TEN,14.49
RB,Bijan Robinson (30808394),Bijan Robinson,30808394,RB/FLEX,6000,ATL@ARI 11/12/2023 04:05PM ET,ATL,13.49
WR,Jordan Addison (30808742),Jordan Addison,30808742,WR/FLEX,5900,NO@MIN 11/12/2023 01:00PM ET,MIN,15.51
QB,Kyler Murray (30808278),Kyler Murray,30808278,QB,5900,ATL@ARI 11/12/2023 04:05PM ET,ARI,0
RB,James Conner (30808396),James Conner,30808396,RB/FLEX,5900,ATL@ARI 11/12/2023 04:05PM ET,ARI,12.48
QB,Sam Howell (30808277),Sam Howell,30808277,QB,5900,WAS@SEA 11/12/2023 04:25PM ET,WAS,19.73
WR,DJ Moore (30808746),DJ Moore,30808746,WR/FLEX,5800,CAR@CHI 11/09/2023 08:15PM ET,CHI,17.61
QB,Derek Carr (30808280),Derek Carr,30808280,QB,5800,NO@MIN 11/12/2023 01:00PM ET,NO,15.02
RB,Rachaad White (30808398),Rachaad White,30808398,RB/FLEX,5800,TEN@TB 11/12/2023 01:00PM ET,TB,14.46
QB,Geno Smith (30808279),Geno Smith,30808279,QB,5800,WAS@SEA 11/12/2023 04:25PM ET,SEA,14.13
WR,Terry McLaurin (30808744),Terry McLaurin,30808744,WR/FLEX,5800,WAS@SEA 11/12/2023 04:25PM ET,WAS,13.53
WR,Zay Flowers (30808750),Zay Flowers,30808750,WR/FLEX,5700,CLE@BAL 11/12/2023 01:00PM ET,BAL,11.04
QB,Brock Purdy (30808281),Brock Purdy,30808281,QB,5700,SF@JAX 11/12/2023 01:00PM ET,SF,18.88
TE,Sam LaPorta (30809214),Sam LaPorta,30809214,TE/FLEX,5700,DET@LAC 11/12/2023 04:05PM ET,DET,13.8
WR,Gabe Davis (30808748),Gabe Davis,30808748,WR/FLEX,5700,DEN@BUF 11/13/2023 08:15PM ET,BUF,11.8
