PlayerName,Rank,Source
Justin Tucker,1,PlayerProfiler
Harrison Butker,2,PlayerProfiler
Matt Gay,3,PlayerProfiler
Daniel Carlson,4,PlayerProfiler
Brandon Aubrey,5,PlayerProfiler
Graham Gano,6,PlayerProfiler
Evan McPherson,7,PlayerProfiler
Younghoe Koo,8,PlayerProfiler
Jason Sanders,9,PlayerProfiler
Cameron Dicker,10,PlayerProfiler
Tyler Bass,11,PlayerProfiler
Eddy Pineiro,12,PlayerProfiler
Nick Folk,13,PlayerProfiler
Chris Boswell,14,PlayerProfiler
Will Lutz,15,PlayerProfiler
Justin Tucker,1,PFF
Harrison Butker,2,PFF
Tyler Bass,3,PFF
Evan McPherson,4,PFF
Cameron Dicker,5,PFF
Daniel Carlson,6,PFF
Jason Myers,7,PFF
Jake Elliott,8,PFF
Jason Sanders,9,PFF
Greg Zuerlein,10,PFF
Greg Joseph,11,PFF
Brandon McManus,12,PFF
Younghoe Koo,13,PFF
Jake Moody,14,PFF
Chris Boswell,15,PFF
Brandon Aubrey,16,PFF
Dustin Hopkins,17,PFF
Graham Gano,18,PFF
Will Lutz,19,PFF
Cairo Santos,20,PFF
Riley Patterson,21,PFF
Matt Gay,22,PFF
Blake Grupe,23,PFF
Nick Folk,24,PFF
Chad Ryland,25,PFF
Eddy Pineiro,26,PFF
Brett Maher,27,PFF
Joey Slye,28,PFF
Matt Prater,29,PFF
Anders Carlson,30,PFF
Ka'imi Fairbairn,31,PFF
Chase McLaughlin,32,PFF
Justin Tucker,1,TheScore
Tyler Bass,2,TheScore
Harrison Butker,3,TheScore
Evan McPherson,4,TheScore
Jason Myers,5,TheScore
Daniel Carlson,6,TheScore
Jason Myers,7,TheScore
Cameron Dicker,8,TheScore
Jason Sanders,9,TheScore
Jake Elliott,10,TheScore
Greg Joseph,11,TheScore
Greg Zuerlein,12,TheScore
Brandon McManus,13,TheScore
Jake Moody,14,TheScore
Chris Boswell,15,TheScore
Younghoe Koo,16,TheScore
Matt Gay,17,TheScore
Chad Ryland,18,TheScore
Nick Folk,19,TheScore
Graham Gano,20,TheScore
Will Lutz,21,TheScore
Eddy Pineiro,22,TheScore
Cairo Santos,23,TheScore
Joey Slye,24,TheScore
Riley Patterson,25,TheScore
Brett Maher,26,TheScore
Blake Grupe,27,TheScore
Brandon Aubrey,28,TheScore
Matt Prater,29,TheScore
Anders Carlson,30,TheScore
Ka'imi Fairbairn,31,TheScore
Chase McLaughlin,32,TheScore
Justin Tucker,1,RotoBaller
Harrison Butker,2,RotoBaller
Tyler Bass,3,RotoBaller
Daniel Carlson,4,RotoBaller
Evan McPherson,5,RotoBaller
Younghoe Koo,6,RotoBaller
Jason Sanders,7,RotoBaller
Brandon Aubrey,8,RotoBaller
Brandon McManus,9,RotoBaller
Jason Myers,10,RotoBaller
Will Lutz,11,RotoBaller
Matt Prater,12,RotoBaller
Greg Zuerlein,13,RotoBaller
Greg Joseph,14,RotoBaller
Jake Elliott,15,RotoBaller
Matt Gay,16,RotoBaller
Graham Gano,17,RotoBaller
Cameron Dicker,18,RotoBaller
Dustin Hopkins,19,RotoBaller
Joey Slye,20,RotoBaller
Chris Boswell,21,RotoBaller
Riley Patterson,22,RotoBaller
Jake Moody,23,RotoBaller
Nick Folk,24,RotoBaller
Cairo Santos,25,RotoBaller
Eddy Pineiro,26,RotoBaller
Chase McLaughlin,27,RotoBaller
Ka'imi Fairbairn,28,RotoBaller
Anders Carlson,29,RotoBaller
Chad Ryland,30,RotoBaller
Blake Grupe,31,RotoBaller
Brett Maher,32,RotoBaller
Justin Tucker,1,FantasyPros
Tyler Bass,2,FantasyPros
Harrison Butker,3,FantasyPros
Evan McPherson,4,FantasyPros
Daniel Carlson,5,FantasyPros
Younghoe Koo,6,FantasyPros
Jason Sanders,7,FantasyPros
Jason Myers,8,FantasyPros
Jake Elliott,9,FantasyPros
Brandon McManus,10,FantasyPros
Greg Zuerlein,11,FantasyPros
Greg Joseph,12,FantasyPros
Graham Gano,13,FantasyPros
Will Lutz,14,FantasyPros
Jake Moody,15,FantasyPros
Matt Gay,16,FantasyPros
Chris Boswell,17,FantasyPros
Riley Patterson,18,FantasyPros
Cameron Dicker,19,FantasyPros
Dustin Hopkins,20,FantasyPros
Nick Folk,21,FantasyPros
Cairo Santos,22,FantasyPros
Matt Prater,23,FantasyPros
Ka'imi Fairbairn,24,FantasyPros
Eddy Pineiro,25,FantasyPros
Brandon Aubrey,26,FantasyPros
Joey Slye,27,FantasyPros
Brett Maher,28,FantasyPros
Chad Ryland,29,FantasyPros
Anders Carlson,30,FantasyPros
Chase McLaughlin,31,FantasyPros
Blake Grupe,32,FantasyPros
Justin Tucker,1,DraftSharks
Evan McPherson,2,DraftSharks
Tyler Bass,3,DraftSharks
Harrison Butker,4,DraftSharks
Brandon McManus,5,DraftSharks
Cameron Dicker,6,DraftSharks
Daniel Carlson,7,DraftSharks
Riley Patterson,8,DraftSharks
Greg Joseph,9,DraftSharks
Greg Zuerlein,10,DraftSharks
Jake Elliott,11,DraftSharks
Jason Myers,12,DraftSharks
Graham Gano,13,DraftSharks
Younghoe Koo,14,DraftSharks
Dustin Hopkins,15,DraftSharks
Jason Sanders,16,DraftSharks
Matt Gay,17,DraftSharks
Chris Boswell,18,DraftSharks
Jake Moody,19,DraftSharks
Will Lutz,20,DraftSharks
Joey Slye,21,DraftSharks
Brett Maher,22,DraftSharks
Nick Folk,23,DraftSharks
Matt Prater,24,DraftSharks
Brandon Aubrey,25,DraftSharks
Cairo Santos,26,DraftSharks
Ka'imi Fairbairn,27,DraftSharks
Chad Ryland,28,DraftSharks
Anders Carlson,29,DraftSharks
Eddy Pineiro,30,DraftSharks
Blake Grupe,31,DraftSharks
Chase McLaughlin,32,DraftSharks
Evan McPherson,1,RotoWire
Justin Tucker,2,RotoWire
Tyler Bass,3,RotoWire
Harrison Butker,4,RotoWire
Jason Sanders,5,RotoWire
Riley Patterson,6,RotoWire
Daniel Carlson,7,RotoWire
Younghoe Koo,8,RotoWire
Jake Elliottt,9,RotoWire
Chris Boswell,10,RotoWire
Brandon Aubrey,11,RotoWire
Graham Gano,12,RotoWire
Greg Zuerlein,13,RotoWire
Matt Gay,14,RotoWire
Jason Myers,15,RotoWire
Greg Joseph,16,RotoWire
Jake Moody,17,RotoWire
Cameron Dicker,18,RotoWire
Wil Lutz,19,RotoWire
Brandon McManus,20,RotoWire
Dustin Hopkins,21,RotoWire
Blake Grupe,22,RotoWire
Matt Prater,23,RotoWire
Nick Folk,24,RotoWire
Anders Carlson,25,RotoWire
Cairo Santos,26,RotoWire
Chad Ryland,27,RotoWire
Ka'imi Fairbairn,28,RotoWire
Chase McLaughlin,29,RotoWire
Joey Slye,30,RotoWire
Brett Maher,31,RotoWire
Eddy Pineiro,32,RotoWire
