Rank,Full Name,id,position,name,preferred,,ADP,AVG
1,Ja'Marr Chase,10062,WR,Ja'Marr Chase,any,,2.1,19.78
2,Justin Jefferson,7888,WR,Justin Jefferson,any,,1.1,21.13
3,Christian McCaffrey,1743,RB,Christian McCaffrey,any,,3.9,20.81
4,Travis Kelce,968,TE,Travis Kelce,any,,5.8,19.65
5,Tyreek Hill,964,WR,Tyreek Hill,any,,5.1,20.2
6,Cooper Kupp,1476,WR,Cooper Kupp,any,,3.6,22.38
7,Austin Ekeler,998,RB,Austin Ekeler,any,,7.2,21.72
8,Stefon Diggs,1664,WR,Stefon Diggs,any,,8,18.27
9,CeeDee Lamb,7883,WR,CeeDee Lamb,any,,11.3,17.93
10,A.J. Brown,7149,WR,A.J. Brown,any,,10.3,16.66
11,Amon-Ra St. Brown,10068,WR,Amon-Ra St. Brown,any,,12,16.73
12,Nick Chubb,5258,RB,Nick Chubb,any,,14.1,16.55
13,Jonathan Taylor,7893,RB,Jonathan Taylor,any,,18.6,13.31
14,Bijan Robinson,1002796,RB,Bijan Robinson,any,,9.1,0
15,Davante Adams,1626,WR,Davante Adams,any,,13,19.74
16,Derrick Henry,1285,RB,Derrick Henry,any,,22.1,18.92
17,Garrett Wilson,1001017,WR,Garrett Wilson,any,,14.8,12.69
18,Tony Pollard,7187,RB,Tony Pollard,any,,19,14.78
19,Saquon Barkley,4947,RB,Saquon Barkley,any,,17.6,17.89
20,Devonta Smith,10063,WR,Devonta Smith,any,,20.3,15.54
21,Jaylen Waddle,10064,WR,Jaylen Waddle,any,,16.6,14.86
22,Chris Olave,1001019,WR,Chris Olave,any,,21.1,13.21
23,Patrick Mahomes,970,QB,Patrick Mahomes,any,,22.3,23.88
24,Rhamondre Stevenson,10057,RB,Rhamondre Stevenson,any,,32.9,14.65
25,Josh Allen,4937,QB,Josh Allen,any,,28.8,23.03
26,Jalen Hurts,7924,QB,Jalen Hurts,any,,24.7,25.42
27,Mark Andrews,5040,TE,Mark Andrews,any,,29.1,12.68
28,Breece Hall,1000978,RB,Breece Hall,any,,32.1,16.44
29,Tee Higgins,7885,WR,Tee Higgins,any,,24,14.39
30,DK Metcalf,7136,WR,DK Metcalf,any,,26.7,14.58
31,Najee Harris,10046,RB,Najee Harris,any,,40.3,13.17
32,Josh Jacobs,7127,RB,Josh Jacobs,any,,30.9,19.31
33,Deebo Samuel,7138,WR,Deebo Samuel,any,,32.4,13.12
34,Christian Watson,1001079,WR,Christian Watson,any,,42.7,11.72
35,Keenan Allen,986,WR,Keenan Allen,any,,28.2,16.01
36,Jerry Jeudy,7882,WR,Jerry Jeudy,any,,37.4,14.59
37,Joe Mixon,1112,RB,Joe Mixon,any,,46.4,15.33
38,Lamar Jackson,5052,QB,Lamar Jackson,any,,35.2,19.67
39,Amari Cooper,1024,WR,Amari Cooper,any,,36.3,14.47
40,Terry McLaurin,7141,WR,Terry McLaurin,any,,44.6,13.47
41,DeAndre Hopkins,1196,WR,DeAndre Hopkins,any,,39.2,16.86
42,Joe Burrow,7874,QB,Joe Burrow,any,,46.4,20.64
43,Chris Godwin,1795,WR,Chris Godwin,any,,56.4,15.08
44,Jahmyr Gibbs,1002801,RB,Jahmyr Gibbs,any,,35.5,0
45,Aaron Jones,1640,RB,Aaron Jones,any,,52.2,14.62
46,Kenneth Walker,1000975,RB,Kenneth Walker,any,,53.8,13.51
47,Justin Herbert,7876,QB,Justin Herbert,any,,52.5,16.52
48,Travis Etienne,10045,RB,Travis Etienne,any,,45.3,12.38
49,Drake London,1001021,WR,Drake London,any,,43.8,10.51
50,Diontae Johnson,7159,WR,Diontae Johnson,any,,54.3,10.63
51,Christian Kirk,5430,WR,Christian Kirk,any,,42.1,14.93
52,Mike Evans,1792,WR,Mike Evans,any,,64.7,15.05
53,Calvin Ridley,4942,WR,Calvin Ridley,any,,30,0
54,T.J. Hockenson,7123,TE,T.J. Hockenson,any,,48,13.24
55,Justin Fields,10086,QB,Justin Fields,any,,51.6,19.73
56,Mike Williams,1016,WR,Mike Williams,any,,46.2,13.58
57,DJ Moore,4939,WR,DJ Moore,any,,48.5,11.71
58,Marquise Brown,7128,WR,Marquise Brown,any,,59.7,13
59,Michael Pittman,7909,WR,Michael Pittman,any,,67.5,13.53
60,George Kittle,1517,TE,George Kittle,any,,60.2,12.74
61,Tyler Lockett,1543,WR,Tyler Lockett,any,,60.7,14.54
62,J.K. Dobbins,7894,RB,J.K. Dobbins,any,,68.4,11.3
63,Brandon Aiyuk,7891,WR,Brandon Aiyuk,any,,56,12.24
64,Miles Sanders,7143,RB,Miles Sanders,any,,68.3,12.24
65,Dameon Pierce,1000996,RB,Dameon Pierce,any,,70.2,12.8
66,Cam Akers,7896,RB,Cam Akers,any,,65.2,9.42
67,Brandin Cooks,867,WR,Brandin Cooks,any,,84.6,11.2
68,Trevor Lawrence,10085,QB,Trevor Lawrence,any,,62.3,17.43
69,Treylon Burks,1001016,WR,Treylon Burks,any,,82.9,8.55
70,Alexander Mattison,7147,RB,Alexander Mattison,any,,59,4.98
71,Jahan Dotson,1001020,WR,Jahan Dotson,any,,69.9,11.87
72,Rachaad White,1000989,RB,Rachaad White,any,,82.4,8.87
73,Jaxon Smith-Njigba,1002798,WR,Jaxon Smith-Njigba,any,,64.6,0
74,Dalvin Cook,1663,RB,Dalvin Cook,any,,99.4,13.93
75,Kyle Pitts,10091,TE,Kyle Pitts,any,,66.7,7.56
76,D'Andre Swift,7892,RB,D'Andre Swift,any,,75,13.65
77,Darren Waller,1080,TE,Darren Waller,any,,78.6,10.6
78,James Conner,1156,RB,James Conner,any,,78,15.4
79,David Montgomery,7144,RB,David Montgomery,any,,84.3,11.11
80,George Pickens,1001026,WR,George Pickens,any,,75.7,9.79
81,Deshaun Watson,1207,QB,Deshaun Watson,any,,82.3,14.26
82,Courtland Sutton,5285,WR,Courtland Sutton,any,,91.9,11.39
83,Dallas Goedert,4944,TE,Dallas Goedert,any,,73.1,11.82
84,Elijah Moore,10072,WR,Elijah Moore,any,,87,6.78
85,Jordan Addison,1002793,WR,Jordan Addison,any,,76.4,0
86,Javonte Williams,10047,RB,Javonte Williams,any,,82.1,10.5
87,Rashod Bateman,10065,WR,Rashod Bateman,any,,91,10.7
88,Isiah Pacheco,1000995,RB,Isiah Pacheco,any,,89.4,8.66
89,Skyy Moore,1001078,WR,Skyy Moore,any,,93.9,3.34
90,Dak Prescott,1327,QB,Dak Prescott,any,,102.8,17.55
91,Antonio Gibson,7923,RB,Antonio Gibson,any,,97.6,11.06
92,Tua Tagovailoa,7875,QB,Tua Tagovailoa,any,,93.5,17.76
93,AJ Dillon,7900,RB,AJ Dillon,any,,100.4,9.86
94,Michael Thomas,1784,WR,Michael Thomas,any,,92.8,17.03
95,Evan Engram,1344,TE,Evan Engram,any,,95,10.91
96,James Cook,1000980,RB,James Cook,any,,90.3,6.59
97,Jakobi Meyers,7265,WR,Jakobi Meyers,any,,119,12.87
98,Pat Freiermuth,10092,TE,Pat Freiermuth,any,,112.4,10.59
99,Gabe Davis,7949,WR,Gabe Davis,any,,70.2,11.78
100,David Njoku,1142,TE,David Njoku,any,,106.6,10.14
101,Anthony Richardson,1002792,QB,Anthony Richardson,any,,112.2,0
102,Kirk Cousins,1403,QB,Kirk Cousins,any,,105.4,17.63
103,Samaje Perine,1421,RB,Samaje Perine,any,,102.7,8.71
104,Aaron Rodgers,1651,QB,Aaron Rodgers,any,,131,14.07
105,JuJu Smith-Schuster,1174,WR,JuJu Smith-Schuster,any,,125,10.75
106,Geno Smith,1362,QB,Geno Smith,any,,114.5,17.82
107,Daniel Jones,7124,QB,Daniel Jones,any,,107.9,17.92
108,Alvin Kamara,1772,RB,Alvin Kamara,any,,93.4,14.12
109,Allen Lazard,5016,WR,Allen Lazard,any,,115.1,11.65
110,Tyler Higbee,1475,TE,Tyler Higbee,any,,136.7,10.13
111,Brian Robinson,1000983,RB,Brian Robinson,any,,115.6,9.39
112,Zach Charbonnet,1000981,RB,Zach Charbonnet,any,,103.5,0
113,Rondale Moore,10066,WR,Rondale Moore,any,,123.6,10.99
114,De'Von Achane,1002807,RB,De'Von Achane,any,,115.7,0
115,Russell Wilson,1562,QB,Russell Wilson,any,,124.1,15.05
116,Odell Beckham,1340,WR,Odell Beckham,any,,105.4,0
117,Zay Jones,814,WR,Zay Jones,any,,123.1,12.93
118,Greg Dulcich,1001187,TE,Greg Dulcich,any,,137.3,8.61
119,Dalton Schultz,5223,TE,Dalton Schultz,any,,126.3,11.56
120,Damien Harris,7152,RB,Damien Harris,any,,115.1,8.27
121,Tyler Boyd,1087,WR,Tyler Boyd,any,,117.8,10.02
122,Kyler Murray,7121,QB,Kyler Murray,any,,171,18.23
123,Quentin Johnston,1002794,WR,Quentin Johnston,any,,77.8,0
124,Jared Goff,1470,QB,Jared Goff,any,,127.6,16.72
125,Rashee Rice,1002855,WR,Rashee Rice,any,,131.9,0
126,Nico Collins,10073,WR,Nico Collins,any,,112.1,9.71
127,Gerald Everett,1469,TE,Gerald Everett,any,,145.5,10.15
128,Darnell Mooney,7940,WR,Darnell Mooney,any,,130.9,9.23
129,K.J. Osborn,7943,WR,K.J. Osborn,any,,135.8,9.74
130,Zay Flowers,1001024,WR,Zay Flowers,any,,85.6,0
131,Chigoziem Okonkwo,1001233,TE,Chigoziem Okonkwo,any,,145.1,7.48
132,Romeo Doubs,1001038,WR,Romeo Doubs,any,,111.6,9.24
133,Khalil Herbert,10056,RB,Khalil Herbert,any,,121,9.06
134,Jayden Reed,1002859,WR,Jayden Reed,any,,166.4,0
135,Elijah Mitchell,10058,RB,Elijah Mitchell,any,,128,8.49
136,Dalton Kincaid,1002797,TE,Dalton Kincaid,any,,140,0
137,Cole Kmet,7879,TE,Cole Kmet,any,,155,9.82
138,Derek Carr,1021,QB,Derek Carr,any,,147.5,14.61
139,Jamaal Williams,1655,RB,Jamaal Williams,any,,128.7,13.29
140,DJ Chark,4950,WR,DJ Chark,any,,151.6,10.91
141,Kadarius Toney,10070,WR,Kadarius Toney,any,,87.4,6.39
142,Jaylen Warren,1001294,RB,Jaylen Warren,any,,134.7,5.83
143,Van Jefferson,7922,WR,Van Jefferson,any,,142.8,8.77
144,Adam Thielen,1684,WR,Adam Thielen,any,,147.3,10.44
145,Matthew Stafford,1618,QB,Matthew Stafford,any,,156.1,12.04
146,Rashaad Penny,5420,RB,Rashaad Penny,any,,107.3,10.44
147,Roschon Johnson,1002853,RB,Roschon Johnson,any,,157.5,0
148,Irv Smith,7148,TE,Irv Smith,any,,161,7.81
149,Tyler Allgeier,1000984,RB,Tyler Allgeier,any,,143.2,9.96
150,Curtis Samuel,1747,WR,Curtis Samuel,any,,168.5,10.37
151,Hunter Renfrow,7198,WR,Hunter Renfrow,any,,189.4,7.9
152,DeVante Parker,852,WR,DeVante Parker,any,,184.8,10.29
153,Jameson Williams,1001018,WR,Jameson Williams,any,,112.2,7.55
154,Michael Gallup,5211,WR,Michael Gallup,any,,134.2,8.64
155,Juwan Johnson,8240,TE,Juwan Johnson,any,,176.7,9.63
156,Donovan Peoples-Jones,8221,WR,Donovan Peoples-Jones,any,,156.7,10.44
157,Trey McBride,1001068,TE,Trey McBride,any,,203.5,5.59
158,Brock Purdy,1000964,QB,Brock Purdy,any,,163.7,12.45
159,Marquez Valdes-Scantling,5411,WR,Marquez Valdes-Scantling,any,,151.8,8.53
160,John Metchie,1001027,WR,John Metchie,any,,189.7,0
161,Tank Bigsby,1002818,RB,Tank Bigsby,any,,135.8,0
162,Jonathan Mingo,1003145,WR,Jonathan Mingo,any,,149.9,0
163,Mike Gesicki,5297,TE,Mike Gesicki,any,,186.5,7.18
164,Sam LaPorta,1002815,TE,Sam LaPorta,any,,157,0
