Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3890380307,metsbearsdalejr69 (15/20),0,225.34,DST Browns  FLEX Brandon Aiyuk QB Tua Tagovailoa RB Austin Ekeler RB Nick Chubb TE Kyle Pitts WR Tyreek Hill WR Kendrick Bourne WR Tutu Atwell,,Commanders ,DST,35.52%,11
2,3863711258,larryluv79 (10/20),0,220.44,DST Commanders  FLEX Tyreek Hill QB Tua Tagovailoa RB Austin Ekeler RB Raheem Mostert TE Chig Okonkwo WR Calvin Ridley WR Brandon Aiyuk WR Kendrick Bourne,,Justin Jefferson,WR,25.71%,27
3,3895264813,n.m_93 (3/4),0,219.64,DST Cardinals  FLEX Brandon Aiyuk QB Tua Tagovailoa RB Travis Etienne Jr. RB Aaron Jones TE Gerald Everett WR Tyreek Hill WR Jaylen Waddle WR Tutu Atwell,,Tyreek Hill,WR,25.17%,47.5
3,3895264832,n.m_93 (4/4),0,219.64,DST Cardinals  FLEX Brandon Aiyuk QB Tua Tagovailoa RB Travis Etienne Jr. RB Aaron Jones TE Gerald Everett WR Tyreek Hill WR Jaylen Waddle WR Tutu Atwell,,Isaiah Likely,TE,17.56%,1.4
5,3890429314,cw1tt (20/20),0,216.18,DST Commanders  FLEX Tyreek Hill QB Sam Howell RB Austin Ekeler RB Jamaal Williams TE Hunter Henry WR Justin Jefferson WR Brandon Aiyuk WR Kendrick Bourne,,Raheem Mostert,RB,17.08%,13
6,3897131066,socalwhitt (11/20),0,214.13998,DST Commanders  FLEX Tyreek Hill QB Tua Tagovailoa RB Austin Ekeler RB Dameon Pierce TE Hayden Hurst WR Justin Jefferson WR Kendrick Bourne WR Tutu Atwell,,Austin Ekeler,RB,17.03%,29.4
7,3896956390,1020Design (6/20),0,212.81999,DST Browns  FLEX Kendrick Bourne QB Anthony Richardson RB Austin Ekeler RB Aaron Jones TE Luke Musgrave WR Tyreek Hill WR Chris Olave WR Michael Pittman Jr.,,Jamaal Williams,RB,16.80%,7.2
8,3897411952,cowboys767 (14/20),0,212.4,DST Cardinals  FLEX Aaron Jones QB Jordan Love RB Bijan Robinson RB Kenneth Walker III TE George Kittle WR Tyreek Hill WR Brandon Aiyuk WR Kendrick Bourne,,Aaron Jones,RB,16.21%,26.7
9,3897898325,King_Koopa (12/20),0,211.64001,DST Cardinals  FLEX Tyreek Hill QB Mac Jones RB Austin Ekeler RB Aaron Jones TE Hunter Henry WR Davante Adams WR JuJu Smith-Schuster WR Kendrick Bourne,,Mike Williams,WR,15.94%,8.5
10,3898749816,bkell002 (1/6),0,211.62,DST Commanders  FLEX Marvin Mims Jr. QB Justin Herbert RB Austin Ekeler RB Aaron Jones TE Hayden Hurst WR Tyreek Hill WR Chris Olave WR Brandon Aiyuk,,Calvin Ridley,WR,15.09%,27.1
11,3887940543,NCJohn111 (1/8),0,210.54,DST Commanders  FLEX Zay Jones QB Tua Tagovailoa RB Joe Mixon RB Aaron Jones TE Logan Thomas WR Tyreek Hill WR Chris Olave WR Brandon Aiyuk,,Chris Olave,WR,15.03%,22.2
12,3872637249,UsmToTheTop (13/20),0,210.28001,DST Commanders  FLEX Tyreek Hill QB Russell Wilson RB Christian McCaffrey RB Austin Ekeler TE Hayden Hurst WR Courtland Sutton WR Jakobi Meyers WR Tutu Atwell,,Justin Herbert,QB,13.64%,20.92
