Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4080633786,peebody-express,0,221.85999,DST Bills  FLEX Raheem Mostert QB Joe Flacco RB Christian McCaffrey RB James Cook TE David Njoku WR Amari Cooper WR Jordan Addison WR Kadarius Toney,,Christian McCaffrey,RB,27.51%,44.7
2,4080732081,masterdoro (1/2),0,220.1,DST Raiders  FLEX Devin Singletary QB Aidan O'Connell RB Christian McCaffrey RB Kyren Williams TE Sam LaPorta WR Jakobi Meyers WR Joshua Palmer WR Odell Beckham Jr.,,Kyren Williams,FLEX,22.48%,29.5
3,4078433681,YoDoggs,0,216.28,DST Bears  FLEX Isaiah Likely QB Brock Purdy RB Christian McCaffrey RB Ty Chandler TE Trey McBride WR Cooper Kupp WR Jayden Reed WR Demarcus Robinson,,Odell Beckham Jr.,WR,16.52%,2.4
4,4080648865,weller96 (10/18),0,213.22,DST Raiders  FLEX D'Andre Swift QB Aidan O'Connell RB Christian McCaffrey RB Kyren Williams TE Tucker Kraft WR Davante Adams WR Curtis Samuel WR Demarcus Robinson,,Jayden Reed,WR,15.58%,17.2
5,4081954173,Racktracker13 (16/20),0,212.82,DST Dolphins  FLEX James Cook QB Jalen Hurts RB Christian McCaffrey RB Kyren Williams TE Chig Okonkwo WR Jerry Jeudy WR Joshua Palmer WR Darius Slayton,,Ezekiel Elliott,RB,14.53%,9.6
6,4080569268,golphbum,0,211.34001,DST Raiders  FLEX Christian McCaffrey QB Lamar Jackson RB Kyren Williams RB Ty Chandler TE Gerald Everett WR Terry McLaurin WR Joshua Palmer WR Odell Beckham Jr.,,Isaiah Likely,TE,13.58%,18
7,4080671252,weller96 (17/18),0,211.15999,DST Raiders  FLEX Isaiah Likely QB Jake Browning RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Courtland Sutton WR Rashee Rice WR A.T. Perry,,Brock Purdy,QB,12.28%,25.68
8,4081214675,CbusDawg (4/4),0,210.42001,DST Raiders  FLEX T.J. Hockenson QB Jared Goff RB Christian McCaffrey RB Zamir White TE Sam LaPorta WR Courtland Sutton WR Jaxon Smith-Njigba WR Joshua Palmer,,Matthew Stafford,QB,12.25%,18.52
9,4079402100,LatinaKitten (11/20),0,210.28,DST Raiders  FLEX Christian McCaffrey QB Sam Howell RB Kyren Williams RB Zamir White TE Trey McBride WR Terry McLaurin WR Curtis Samuel WR Zay Jones,,Cooper Kupp,WR,11.64%,28.1
10,4081188477,Txmartinez28 (2/2),0,210.2,DST Raiders  FLEX Jakobi Meyers QB Aidan O'Connell RB Christian McCaffrey RB Austin Ekeler TE David Njoku WR Davante Adams WR Joshua Palmer WR Quentin Johnston,,Jakobi Meyers,WR,11.25%,15.68
11,4081844079,KillerQuan,0,208.75998,DST Raiders  FLEX Trey McBride QB Joe Flacco RB Christian McCaffrey RB Alvin Kamara TE David Njoku WR Diontae Johnson WR Curtis Samuel WR Quentin Johnston,,Raiders ,DST,11.14%,25
12,4078797914,WharfRatz (3/3),0,208.37999,DST Raiders  FLEX Joshua Palmer QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Zay Flowers WR Jayden Reed WR Zay Jones,,DK Metcalf,WR,11.11%,12.8
13,4082034636,vallman01 (9/10),0,208.29999,DST Raiders  FLEX Jake Ferguson QB Aidan O'Connell RB Christian McCaffrey RB Zamir White TE Michael Mayer WR Cooper Kupp WR Davante Adams WR Jakobi Meyers,,Deebo Samuel,WR,10.98%,21.9
14,4081653998,aclimbingnerd (6/20),0,207.32,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Zamir White TE Trey McBride WR Terry McLaurin WR Tyler Lockett WR Demarcus Robinson,,Zay Flowers,WR,10.96%,1.7
15,4082034428,vallman01 (8/10),0,207.22002,DST Browns  FLEX Terry McLaurin QB Jared Goff RB Jahmyr Gibbs RB Zamir White TE Gerald Everett WR Amon-Ra St. Brown WR Cooper Kupp WR Joshua Palmer,,T.J. Hockenson,TE,10.48%,12.3
16,4081844216,taxman1228 (2/10),0,206.76003,DST Raiders  FLEX James Conner QB Josh Allen RB Christian McCaffrey RB Ty Chandler TE Dallas Goedert WR Terry McLaurin WR Jaxon Smith-Njigba WR Joshua Palmer,,49ers ,DST,10.33%,12
17,4081206867,cardshow (18/20),0,206.51999,DST Raiders  FLEX Michael Gallup QB Matthew Stafford RB Christian McCaffrey RB James Cook TE Trey McBride WR Puka Nacua WR Terry McLaurin WR Demarcus Robinson,,David Njoku,TE,10.29%,29.4
18,4080008280,jmoney49 (1/2),0,205.52,DST Rams  FLEX Christian McCaffrey QB Aidan O'Connell RB Aaron Jones RB Ty Chandler TE Michael Mayer WR Davante Adams WR Jordan Addison WR Jayden Reed,,Zamir White,RB,10.07%,17.5
19,4081844217,taxman1228 (3/10),0,205.46,DST Raiders  FLEX Kyren Williams QB Josh Allen RB Christian McCaffrey RB Ty Chandler TE Chig Okonkwo WR Terry McLaurin WR Joshua Palmer WR Odell Beckham Jr.,,Puka Nacua,WR,9.66%,10.3
19,4081962209,harvick2010 (18/20),0,205.46,DST Raiders  FLEX Kyren Williams QB Josh Allen RB Christian McCaffrey RB Ty Chandler TE Chig Okonkwo WR Terry McLaurin WR Joshua Palmer WR Odell Beckham Jr.,,Austin Ekeler,RB,9.42%,7.8
21,4080826602,ogcnasty (1/2),0,204.88,DST Cardinals  FLEX Joshua Palmer QB Brock Purdy RB Rachaad White RB James Cook TE David Njoku WR Amon-Ra St. Brown WR Rashee Rice WR Jayden Reed,,Zack Moss,RB,9.11%,12.3
22,4080952619,CWBarry81 (2/2),0,204.72,DST Raiders  FLEX Ty Chandler QB Matthew Stafford RB Christian McCaffrey RB Jahmyr Gibbs TE David Njoku WR Cooper Kupp WR Odell Beckham Jr. WR John Metchie III,,Lamar Jackson,QB,8.95%,19.54
23,4081430093,Guero40z (5/20),0,204.36,DST Raiders  FLEX Isaiah Likely QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE Sam LaPorta WR Jakobi Meyers WR Jaxon Smith-Njigba WR Odell Beckham Jr.,,Bijan Robinson,FLEX,8.93%,1.4
24,4081894795,shawnmlesky,0,203.96,DST Saints  FLEX Jakobi Meyers QB Easton Stick RB Christian McCaffrey RB Kyren Williams TE Isaiah Likely WR Davante Adams WR Joshua Palmer WR Quentin Johnston,,Davante Adams,WR,8.75%,27.1
25,4079705333,abwilson19 (18/20),0,203.72,DST Dolphins  FLEX Diontae Johnson QB Matthew Stafford RB Kyren Williams RB Ty Chandler TE David Njoku WR Cooper Kupp WR Romeo Doubs WR Joshua Palmer,,D'Andre Swift,RB,8.11%,9.5
26,4079954868,taanderson99 (2/2),0,203.56001,DST Dolphins  FLEX Jayden Reed QB Joe Flacco RB Christian McCaffrey RB James Cook TE Chig Okonkwo WR Michael Pittman Jr. WR Diontae Johnson WR Curtis Samuel,,Rachaad White,RB,8.03%,21.9
27,4081060962,RealScril (12/12),0,202.96,DST Bills  FLEX Ja'Marr Chase QB Jake Browning RB Christian McCaffrey RB James Cook TE Michael Mayer WR Davante Adams WR Curtis Samuel WR Demarcus Robinson,,A.J. Brown,WR,8.00%,10.6
28,4081536600,Hera88 (2/20),0,202.88,DST Bills  FLEX Jaxon Smith-Njigba QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE Trey McBride WR Rashee Rice WR Jayden Reed WR Demarcus Robinson,,Ty Chandler,RB,7.85%,27.7
29,4080455615,blove2500 (1/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,Rashee Rice,WR,7.74%,24.1
29,4080455616,blove2500 (2/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,Garrett Wilson,WR,7.44%,5.9
29,4080455617,blove2500 (3/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,Tyler Lockett,WR,7.28%,5.1
29,4080455618,blove2500 (4/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,DeAndre Hopkins,WR,7.28%,4.1
29,4080455619,blove2500 (5/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,Jaxon Smith-Njigba,WR,7.11%,14.8
29,4080455620,blove2500 (6/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,David Montgomery,RB,6.95%,10.2
29,4080455621,blove2500 (7/20),0,202.81999,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Kyren Williams RB Ezekiel Elliott TE Chig Okonkwo WR Tee Higgins WR Jordan Addison WR Demarcus Robinson,,Jets ,DST,6.85%,2
