Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3912939477,boknowsjackson (9/9),0,216.14,DST Buccaneers  FLEX Puka Nacua QB Daniel Jones RB Christian McCaffrey RB Rachaad White TE Darren Waller WR Keenan Allen WR Mike Williams WR Tank Dell,,Joshua Kelley,RB,34.15%,3.9
2,3909199418,bronxbomber88 (2/4),0,204.38,DST Buccaneers  FLEX Tee Higgins QB Baker Mayfield RB Bijan Robinson RB Zack Moss TE Sam LaPorta WR Amon-Ra St. Brown WR Mike Evans WR Nico Collins,,Stefon Diggs,WR,23.47%,13.6
3,3903625244,thebodyspill (7/20),0,203.94,DST Buccaneers  FLEX Mike Evans QB Daniel Jones RB Kenneth Walker III RB Rachaad White TE Darren Waller WR Amon-Ra St. Brown WR Tee Higgins WR Jayden Reed,,Deebo Samuel,WR,22.41%,22.1
4,3903625252,thebodyspill (15/20),0,196.2,DST Buccaneers  FLEX CeeDee Lamb QB Daniel Jones RB Kenneth Walker III RB Rachaad White TE Darren Waller WR Amon-Ra St. Brown WR Christian Kirk WR Jayden Reed,,Ja'Marr Chase,FLEX,22.25%,8.1
5,3903625242,thebodyspill (5/20),0,194.44002,DST Buccaneers  FLEX CeeDee Lamb QB Daniel Jones RB David Montgomery RB Rachaad White TE Darren Waller WR Tee Higgins WR Gabe Davis WR Skyy Moore,,Rachaad White,RB,21.03%,21.3
6,3911329249,jpachowicz (4/4),0,193.64001,DST Jets  FLEX Tutu Atwell QB Daniel Jones RB Christian McCaffrey RB Saquon Barkley TE Darren Waller WR Keenan Allen WR Josh Reynolds WR Jayden Reed,,Calvin Ridley,WR,19.01%,5.2
7,3909868350,TigerLV (4/20),0,189.82,DST Buccaneers  FLEX Puka Nacua QB Geno Smith RB Joe Mixon RB Joshua Kelley TE Travis Kelce WR Keenan Allen WR Tyler Lockett WR Josh Reynolds,,Davante Adams,WR,18.80%,20.4
8,3913070554,pjbastura (3/7),0,187.04,DST Commanders  FLEX James Conner QB Daniel Jones RB Bijan Robinson RB Derrick Henry TE Luke Musgrave WR Keenan Allen WR Gabe Davis WR Tank Dell,,Amon-Ra St. Brown,WR,18.59%,18.2
9,3912315145,gbohblue (1/2),0,186.58002,DST Cowboys  FLEX Stefon Diggs QB Jared Goff RB Saquon Barkley RB David Montgomery TE Sam LaPorta WR Christian Kirk WR Nico Collins WR Josh Reynolds,,Josh Allen,QB,18.33%,23.66
9,3912322634,gbohblue (2/2),0,186.58002,DST Cowboys  FLEX Stefon Diggs QB Jared Goff RB Saquon Barkley RB David Montgomery TE Sam LaPorta WR Christian Kirk WR Nico Collins WR Josh Reynolds,,Zay Flowers,WR,17.66%,10.8
11,3911611513,lilfredd (14/20),0,186.12,DST Cardinals  FLEX Puka Nacua QB Geno Smith RB James Conner RB Kenneth Walker III TE Luke Musgrave WR Davante Adams WR Keenan Allen WR Tyler Lockett,,Christian McCaffrey,FLEX,16.48%,25.5
12,3909278015,kraff86 (8/20),0,185.99998,DST Buccaneers  FLEX Deebo Samuel QB Patrick Mahomes RB Kenneth Walker III RB Rachaad White TE Travis Kelce WR Mike Williams WR Puka Nacua WR Jayden Reed,,Buccaneers ,DST,16.11%,17
13,3908939905,Poppy0,0,185.12,DST Buccaneers  FLEX Tank Dell QB Jared Goff RB Christian McCaffrey RB Derrick Henry TE Dalton Kincaid WR Amon-Ra St. Brown WR Tyler Lockett WR Josh Reynolds,,Travis Kelce,FLEX,15.90%,12.6
