Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3907299522,bdg_316 (1/20),0,214.88,DST Buccaneers  FLEX Nico Collins QB Baker Mayfield RB Christian McCaffrey RB Bijan Robinson TE Zach Ertz WR Mike Evans WR DJ Moore WR Puka Nacua,,Tyreek Hill,FLEX,19.56%,15
2,3905426649,Vincent800 (14/17),0,212.46,DST Buccaneers  FLEX Christian Kirk QB Justin Herbert RB James Cook RB Rachaad White TE T.J. Hockenson WR Keenan Allen WR Zay Flowers WR Nico Collins,,Cowboys ,DST,18.86%,15
3,3906824131,anangryspill (3/8),0,212.16,DST Cowboys  FLEX Deebo Samuel QB Kirk Cousins RB D'Andre Swift RB Deuce Vaughn TE Darren Waller WR Justin Jefferson WR Puka Nacua WR Nico Collins,,Jalen Hurts,QB,18.43%,26.22
4,3906148700,jcksprint (4/12),0,209.72002,DST Cowboys  FLEX Tee Higgins QB Jared Goff RB James Cook RB D'Andre Swift TE T.J. Hockenson WR Chris Olave WR Deebo Samuel WR Josh Reynolds,,Brandon Aiyuk,WR,17.88%,7.3
5,3907738930,jmny109,0,203.16002,DST Cowboys  FLEX Joshua Kelley QB Kirk Cousins RB Saquon Barkley RB D'Andre Swift TE Sam LaPorta WR Justin Jefferson WR Nico Collins WR Josh Reynolds,,Calvin Ridley,WR,15.99%,5.2
6,3906926210,ColdDef (5/5),0,202.48001,DST Cowboys  FLEX D'Andre Swift QB Joe Burrow RB Bijan Robinson RB Tony Pollard TE Sam LaPorta WR Tee Higgins WR Puka Nacua WR Josh Reynolds,,Kendrick Bourne,FLEX,15.67%,6.9
7,3903852895,Unc0mm0n (3/8),0,202.42,DST Saints  FLEX Mike Evans QB Geno Smith RB Brian Robinson Jr. RB D'Andre Swift TE Jake Ferguson WR Ja'Marr Chase WR Keenan Allen WR Tyler Lockett,,D'Andre Swift,RB,14.23%,30.1
8,3906109138,localcustoms (1/2),0,202.28001,DST Cowboys  FLEX Josh Reynolds QB Matthew Stafford RB Tony Pollard RB Kyren Williams TE Hunter Henry WR Amon-Ra St. Brown WR CeeDee Lamb WR Puka Nacua,,Amon-Ra St. Brown,WR,13.95%,18.2
9,3907345873,Aldo305 (7/7),0,202.02,DST Buccaneers  FLEX D'Andre Swift QB Jalen Hurts RB James Conner RB Rachaad White TE T.J. Hockenson WR Keenan Allen WR Mike Williams WR Nick Westbrook-Ikhine,,Hunter Henry,FLEX,13.60%,17.2
10,3906598816,cuzzo74 (3/8),0,200.98,DST Eagles  FLEX Mike Evans QB Jared Goff RB Saquon Barkley RB James Cook TE Logan Thomas WR Chris Olave WR Christian Kirk WR Puka Nacua,,Justin Jefferson,WR,13.52%,28.9
11,3906643479,Joeydthatsme (4/9),0,200.90001,DST Cowboys  FLEX Chris Olave QB Patrick Mahomes RB D'Andre Swift RB Jerome Ford TE Travis Kelce WR Deebo Samuel WR Nico Collins WR Josh Reynolds,,Tyler Allgeier,RB,13.52%,4.8
12,3907007254,rrr27 (5/6),0,200.06001,DST Bills  FLEX Josh Reynolds QB Kirk Cousins RB Bijan Robinson RB Raheem Mostert TE T.J. Hockenson WR Justin Jefferson WR Allen Robinson II WR Marvin Mims Jr.,,Christian McCaffrey,RB,13.01%,25.5
12,3906471677,Moneymoveslikejayz (2/2),0,200.06,DST Cowboys  FLEX Tank Dell QB Kirk Cousins RB Tony Pollard RB D'Andre Swift TE Dallas Goedert WR DeVonta Smith WR Tyler Lockett WR Deebo Samuel,,Zay Flowers,WR,12.37%,10.8
12,3907304941,Catcher4357 (2/2),0,200.06,DST Ravens  FLEX Deebo Samuel QB Justin Herbert RB Kenneth Walker III RB D'Andre Swift TE T.J. Hockenson WR Keenan Allen WR Mike Williams WR Christian Kirk,,Joshua Kelley,RB,12.22%,3.9
15,3906696606,ogsmashers (3/10),0,199.76001,DST Buccaneers  FLEX Dawson Knox QB Kirk Cousins RB Alexander Mattison RB D'Andre Swift TE T.J. Hockenson WR Justin Jefferson WR DeVonta Smith WR Josh Reynolds,,Cardinals ,DST,12.03%,4
16,3907599318,cajunpower,0,199.70001,DST Saints  FLEX Chris Godwin QB Justin Herbert RB Rachaad White RB D'Andre Swift TE T.J. Hockenson WR Keenan Allen WR Michael Thomas WR Puka Nacua,,David Montgomery,RB,11.90%,13.4
