Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3922111307,summers8240 (1/2),0,285.24,DST Bills  FLEX Justin Jefferson QB Kirk Cousins RB De'Von Achane RB Jerome Ford TE Kyle Pitts WR Keenan Allen WR Amari Cooper WR Adam Thielen,,Justin Jefferson,WR,33.01%,30.9
2,3919952362,sdsuchris23 (10/20),0,282.94,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Taysom Hill WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Kirk Cousins,QB,24.77%,29.68
3,3923831855,dodgers2019 (13/20),0,271.42,DST Bills  FLEX Raheem Mostert QB Tua Tagovailoa RB Kenneth Walker III RB Jerome Ford TE Durham Smythe WR Tyreek Hill WR Keenan Allen WR Tank Dell,,Joshua Kelley,RB,22.38%,2.7
4,3925598657,Oldschool45,0,267.12,DST Bills  FLEX Adam Thielen QB Tua Tagovailoa RB Kenneth Walker III RB Zack Moss TE Durham Smythe WR Tyreek Hill WR Keenan Allen WR Tank Dell,,Tyreek Hill,WR,21.30%,33.7
5,3920585276,Jclizee (6/15),0,266.94,DST Titans  FLEX Tank Dell QB Kirk Cousins RB James Cook RB De'Von Achane TE Sam LaPorta WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Mike Williams,WR,21.13%,28.1
6,3921678960,cmaday (1/20),0,266.56,DST Bills  FLEX Adam Thielen QB Justin Herbert RB Alexander Mattison RB Miles Sanders TE Sam LaPorta WR Tyreek Hill WR Keenan Allen WR Tank Dell,,Tank Dell,FLEX,20.96%,28.5
7,3926489020,Sockoh (3/13),0,266.46002,DST Bills  FLEX Tank Dell QB Deshaun Watson RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Justin Jefferson WR Mike Williams WR Amari Cooper,,Nico Collins,WR,19.43%,5.4
8,3922023078,wyodiddy (8/12),0,266.33997,DST Bills  FLEX Hunter Henry QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE Sam LaPorta WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Tony Pollard,RB,19.24%,18.1
9,3925723470,bstrizzy67 (9/20),0,265.66,DST Bills  FLEX Raheem Mostert QB Justin Herbert RB Travis Etienne Jr. RB Tyler Allgeier TE Sam LaPorta WR Keenan Allen WR Mike Williams WR Adam Thielen,,Kenneth Walker III,RB,18.94%,30.6
10,3919792283,D-Rock023 (15/20),0,265.64,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Chig Okonkwo WR Justin Jefferson WR Keenan Allen WR K.J. Osborn,,Travis Etienne Jr.,RB,18.84%,17.8
