Player,Team,Pos,Injury,Status,Est. Return
Israel Abanikanda,NYJ,RB,Coach's Decision,Inactive,9/24/2023
Andrew Adams,FA,S,Knee,Questionable,9/24/2023
Davante Adams,LV,WR,Concussion,Questionable,9/24/2023
Jamal Adams,SEA,S,Knee,Inactive,9/24/2023
Tony Adams,NYJ,S,Hamstring,Questionable,9/24/2023
Adetomiwa Adebawore,IND,DT,Coach's Decision,Inactive,9/24/2023
Salvon Ahmed,MIA,RB,Groin,Questionable,9/24/2023
Cam Akers,LAR,RB,Coach's Decision,Inactive,9/25/2023
Otaro Alaka,FA,LB,Undisclosed,Questionable,9/24/2023
Christian Albright,FA,LB,Undisclosed,Questionable,9/24/2023
Mackensie Alexander,FA,CB,Undisclosed,Questionable,9/24/2023
Josh Ali,ATL,WR,Coach's Decision,Inactive,9/24/2023
Brandon Allen,SF,QB,Coach's Decision,Inactive,9/21/2023
Chase Allen,FA,TE,Undisclosed,Questionable,9/24/2023
Christopher Allen,FA,LB,Groin,Questionable,9/24/2023
Josh Allen,JAX,LB,Shoulder,Questionable,9/24/2023
Torrence Allen,FA,WR,Undisclosed,Questionable,10/8/2023
Jaquan Amos,FA,S,Undisclosed,Questionable,9/24/2023
Bradlee Anae,NYJ,DE,Undisclosed,IR,2/12/2024
Troy Andersen,ATL,LB,Concussion,Inactive,9/24/2023
Alec Anderson,BUF,OT,Coach's Decision,Inactive,9/24/2023
Darius Anderson,FA,RB,Knee,Questionable,9/24/2023
Henry Anderson,CAR,DE,Foot,IR,2/12/2024
Jack Anderson,FA,OG,Undisclosed,Out,10/15/2023
Zayne Anderson,GB,S,Coach's Decision,Inactive,9/24/2023
Ezekiel Ansah,FA,DE,Biceps,Questionable,9/24/2023
Troy Apke,WAS,CB,Shoulder,IR,2/12/2024
Terron Armstead,MIA,OT,Leg,Inactive,9/24/2023
Cornell Armstrong,FA,CB,Hamstring,Questionable,9/24/2023
Damon Arnette,FA,CB,Suspension,Reserve-Sus,9/28/2023
Jaytlin Askew,FA,CB,Quadriceps,Questionable,9/24/2023
Alex Austin,HOU,CB,Coach's Decision,Inactive,9/24/2023
Anthony Averett,FA,CB,Undisclosed,Questionable,9/24/2023
C. J. Avery,FA,LB,Undisclosed,Questionable,9/24/2023
Genard Avery,IND,DE,Knee - Meniscus,IR,2/12/2024
Alex Bachman,FA,WR,Oblique,Questionable,9/24/2023
David Bada,WAS,DT,Triceps,IR,2/12/2024
Tyson Bagent,CHI,QB,Coach's Decision,Inactive,9/24/2023
Budda Baker,ARI,S,Hamstring,Inactive,9/24/2023
David Bakhtiari,GB,OT,Knee,Inactive,9/24/2023
Daylen Baldwin,FA,WR,Hamstring,Questionable,9/24/2023
Josh Ball,DAL,OT,Hip,IR,2/12/2024
Matt Barkley,FA,QB,Elbow,Questionable,9/24/2023
Saquon Barkley,NYG,RB,Ankle,Questionable,9/21/2023
Zaire Barnes,NYJ,LB,Coach's Decision,Inactive,9/24/2023
Evan Baylis,FA,TE,Ankle,Questionable,9/24/2023
Robert Beal,SF,DE,Hamstring,IR,10/8/2023
Cole Beasley,FA,WR,Leg,Out,10/8/2023
Abraham Beauplan,FA,LB,Undisclosed,Questionable,9/24/2023
Willie Beavers,FA,OG,Undisclosed,Questionable,9/24/2023
Nate Becker,FA,TE,Undisclosed,Questionable,9/24/2023
Odell Beckham,BAL,WR,Ankle,Questionable,9/24/2023
B.J. Bello,FA,LB,Ankle,Questionable,9/24/2023
Eno Benjamin,NO,RB,Achilles,IR,2/12/2024
Stetson Bennett,LAR,QB,Illness,NFI-R,10/15/2023
Jarrick Bernard-Converse,NYJ,CB,Foot,PUP-R,10/8/2023
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret,2/12/2024
Rashod Berry,FA,DE,Suspension,Reserve-Sus,2/12/2024
Stanley Berryhill,FA,WR,Suspension,Reserve-Sus,10/22/2023
Josh Blackwell,CHI,CB,Hamstring,Inactive,9/24/2023
Chris Blair,FA,WR,Undisclosed,Questionable,9/24/2023
Marquise Blair,FA,S,Undisclosed,Questionable,9/24/2023
Reed Blankenship,PHI,S,Ribs,Inactive,9/25/2023
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus,1/7/2024
Joey Blount,FA,S,Shoulder,Questionable,9/24/2023
C.J. Board,FA,WR,Ribs,Questionable,9/24/2023
Isaiah Bolden,NE,CB,Concussion,IR,2/12/2024
Devante Bond,FA,LB,Knee,Questionable,9/24/2023
Mike Boone,HOU,RB,Coach's Decision,Inactive,9/24/2023
Breon Borders,FA,CB,Suspension,Reserve-Sus,9/24/2023
Jon Bostic,FA,LB,Pectoral,Questionable,9/24/2023
Kayshon Boutte,NE,WR,Coach's Decision,Inactive,9/24/2023
Tyus Bowser,BAL,LB,Knee,NFI-R,10/8/2023
James Bradberry,PHI,CB,Concussion,Inactive,9/25/2023
Garrett Bradbury,MIN,C,Back,Inactive,9/24/2023
Ben Braden,FA,OG,Undisclosed,Questionable,9/24/2023
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable,9/24/2023
Shaun Bradley,PHI,LB,Achilles,IR,2/12/2024
Ben Bredeson,NYG,OG,Concussion,Questionable,9/21/2023
Julius Brents,IND,CB,Coach's Decision,Inactive,9/24/2023
Shemar Bridges,FA,WR,Knee,Questionable,9/24/2023
Beau Brinkley,FA,C,Undisclosed,Questionable,9/24/2023
Curtis Brooks,WAS,DT,Undisclosed,IR,2/12/2024
Ben Brown,SEA,OG,Coach's Decision,Inactive,9/24/2023
Brittain Brown,LV,RB,Undisclosed,IR,2/12/2024
Daniel Brown,FA,TE,Hip,Questionable,9/24/2023
Jayon Brown,FA,LB,Hand,Questionable,9/24/2023
Mike Brown,FA,OG,Undisclosed,Questionable,9/24/2023
Noah Brown,HOU,WR,Groin,IR,10/15/2023
Shakel Brown,TEN,DT,Ankle,IR,2/12/2024
Shakur Brown,FA,CB,Undisclosed,Questionable,9/24/2023
Trent Brown,NE,OT,Concussion,Inactive,9/24/2023
Troy Brown,FA,LB,Undisclosed,Questionable,9/24/2023
Baron Browning,DEN,LB,Knee,PUP-R,10/8/2023
Jason Brownlee,NYJ,WR,Coach's Decision,Inactive,9/24/2023
Hunter Bryant,FA,TE,Undisclosed,Questionable,9/24/2023
Isaiah Buggs,DET,DT,Coach's Decision,Inactive,9/24/2023
Bryan Bulaga,FA,OT,Back,Questionable,9/24/2023
LaTrell Bumphus,SEA,DT,Undisclosed,IR,2/12/2024
Ian Bunting,FA,TE,Neck,Questionable,9/24/2023
Amari Burney,LV,LB,Coach's Decision,Inactive,9/24/2023
Joe Burrow,CIN,QB,Calf,Questionable,9/25/2023
Devin Bush,SEA,LB,Shoulder,Inactive,9/24/2023
Darien Butler,LV,LB,Undisclosed,IR,2/12/2024
Hakeem Butler,FA,WR,Undisclosed,Questionable,9/24/2023
