Player,Position,Team,Opponent,Salary,% ownership,Notes
Jordan Mason,RB,SF,LA,"$4,600",33.20%,
CeeDee Lamb,WR,DAL,WAS,"$9,300",32.70%,
Justin Jefferson,WR,MIN,DET,"$8,500",32.50%,
Tony Pollard,RB,DAL,WAS,"$6,500",22.80%,
Zamir White,RB,LV,DEN,"$6,000",22.40%,
Pierre Strong Jr.,RB,CLE,CIN,"$4,000",22.30%,
Chris Olave,WR,NO,ATL,"$6,700",21.40%,
Chargers,DST,LAC,KC,"$2,800",17.30%,
Trey McBride,TE,ARI,SEA,"$6,000",16.80%,
Evan Engram,TE,JAX,TEN,"$5,400",16.00%,
Jake Ferguson,TE,DAL,WAS,"$4,900",15.90%,
Ezekiel Elliott,RB,NE,NYJ,"$5,900",15.70%,
Amon-Ra St. Brown,WR,DET,MIN,"$8,600",14.90%,
Tyler Lockett,WR,SEA,ARI,"$5,600",14.80%,
Bengals,DST,CIN,CLE,"$3,000",14.00%,
Demario Douglas,WR,NE,NYJ,"$4,400",13.80%,
Breece Hall,RB,NYJ,NE,"$7,200",13.70%,
Nick Mullens,QB,MIN,DET,"$5,100",13.30%,
Davante Adams,WR,LV,DEN,"$7,900",13.30%,
Dak Prescott,QB,DAL,WAS,"$8,000",13.20%,
Kenneth Walker III,RB,SEA,ARI,"$6,500",13.20%,
James Conner,RB,ARI,SEA,"$6,100",12.70%,
Geno Smith,QB,SEA,ARI,"$6,100",12.60%,
Chuba Hubbard,RB,CAR,TB,"$5,500",12.60%,
Aaron Jones,RB,GB,CHI,"$6,300",11.60%,
Ja'Marr Chase,WR,CIN,CLE,"$7,300",11.30%,
Noah Gray,TE,KC,LAC,"$2,500",11.30%,
Bijan Robinson,RB,ATL,NO,"$6,600",11.00%,
DeAndre Hopkins,WR,TEN,JAX,"$6,100",10.50%,
Drake London,WR,ATL,NO,"$5,000",10.40%,
Johnny Mundt,TE,MIN,DET,"$3,000",10.10%,
Rachaad White,RB,TB,CAR,"$7,600",10.00%,
Jaguars,DST,JAX,TEN,"$3,200",9.50%,
DK Metcalf,WR,SEA,ARI,"$7,200",9.40%,
Chris Godwin,WR,TB,CAR,"$6,300",9.20%,
Saquon Barkley,RB,NYG,PHI,"$6,900",9.10%,
Jalen Hurts,QB,PHI,NYG,"$8,100",9.00%,
Jayden Reed,WR,GB,CHI,"$5,700",8.90%,
Gerald Everett,TE,LAC,KC,"$3,900",8.60%,
Patriots,DST,NE,NYJ,"$3,600",8.30%,
Juwan Johnson,TE,NO,ATL,"$3,600",8.30%,
Ronnie Bell,WR,SF,LA,"$3,200",8.10%,
Jahmyr Gibbs,RB,DET,MIN,"$6,700",8.00%,
Wan'Dale Robinson,WR,NYG,PHI,"$4,200",7.90%,
Kyler Murray,QB,ARI,SEA,"$6,400",7.50%,
Justin Fields,QB,CHI,GB,"$7,200",7.40%,
DJ Chark Jr.,WR,CAR,TB,"$3,700",7.00%,
Cowboys,DST,DAL,WAS,"$4,100",6.70%,
Calvin Ridley,WR,JAX,TEN,"$6,500",6.30%,
Alvin Kamara,RB,NO,ATL,"$7,500",6.30%,
Lions,DST,DET,MIN,"$3,100",6.00%,
Ronnie Rivers,RB,LA,SF,"$4,000",5.80%,
Travis Etienne Jr.,RB,JAX,TEN,"$7,300",5.50%,
Jake Browning,QB,CIN,CLE,"$5,700",5.30%,
Jaxon Smith-Njigba,WR,SEA,ARI,"$4,800",5.10%,
Jakobi Meyers,WR,LV,DEN,"$5,400",5.10%,
Jets,DST,NYJ,NE,"$3,700",5.00%,
Easton Stick,QB,LAC,KC,"$5,000",4.90%,
Richie James Jr.,WR,KC,LAC,"$3,000",4.90%,
Javonte Williams,RB,DEN,LV,"$5,300",4.70%,
Chris Conley,WR,SF,LA,"$3,000",4.60%,
A.J. Brown,WR,PHI,NYG,"$8,700",4.60%,
Mike Evans,WR,TB,CAR,"$7,400",4.60%,
Joe Mixon,RB,CIN,CLE,"$6,300",4.60%,
Josh Reynolds,WR,DET,MIN,"$3,300",4.30%,
Raiders,DST,LV,DEN,"$3,300",4.30%,
Garrett Wilson,WR,NYJ,NE,"$5,900",4.30%,
Terry McLaurin,WR,WAS,DAL,"$5,500",4.30%,
Jeff Driskel,QB,CLE,CIN,"$4,000",4.20%,
Derek Carr,QB,NO,ATL,"$5,600",4.10%,
Jamaal Williams,RB,NO,ATL,"$5,200",4.00%,
DJ Moore,WR,CHI,GB,"$7,000",3.60%,
Adam Thielen,WR,CAR,TB,"$6,000",3.60%,
Austin Ekeler,RB,LAC,KC,"$6,600",3.30%,
Chig Okonkwo,TE,TEN,JAX,"$3,500",3.20%,
Carson Wentz,QB,LA,SF,"$4,500",3.20%,
Harrison Bryant,TE,CLE,CIN,"$2,500",3.10%,
Cedric Tillman,WR,CLE,CIN,"$3,900",3.00%,
Sam LaPorta,TE,DET,MIN,"$6,200",2.90%,
Jarrett Stidham,QB,DEN,LV,"$4,900",2.90%,
Tyrod Taylor,QB,NYG,PHI,"$5,300",2.90%,
Willie Snead IV,WR,SF,LA,"$3,000",2.80%,
Rashid Shaheed,WR,NO,ATL,"$4,700",2.80%,
Davis Allen,TE,LA,SF,"$2,500",2.80%,
Saints,DST,NO,ATL,"$3,400",2.80%,
