ID,Player,Team,Opp,Pos,Salary,Own %
30168932,Raheem Mostert,MIA,CAR,RB,"$6,400",25.30%
30169006,Chuba Hubbard,CAR,MIA,RB,"$4,300",21.40%
30169166,Ja'Marr Chase,CIN,SEA,WR,"$8,300",18.60%
30169208,Jordan Addison,MIN,CHI,WR,"$5,700",15.50%
30169216,Christian Kirk,JAC,IND,WR,"$5,400",15.40%
30168930,Kyren Williams,LAR,ARI,RB,"$6,500",15.20%
30168920,Travis Etienne Jr.,JAC,IND,RB,"$7,100",13.80%
30168938,D'Andre Swift,PHI,NYJ,RB,"$6,100",13.80%
30168934,Joe Mixon,CIN,SEA,RB,"$6,300",12.40%
30168849,Joe Burrow,CIN,SEA,QB,"$6,300",12.20%
30168850,Matthew Stafford,LAR,ARI,QB,"$6,100",11.40%
30169160,Tyreek Hill,MIA,CAR,WR,"$9,300",11.40%
30168847,Trevor Lawrence,JAC,IND,QB,"$6,500",11.30%
30168916,David Montgomery,DET,TB,RB,"$7,300",11.30%
30169218,Marquise Brown,ARI,LAR,WR,"$5,300",11.30%
30169584,Evan Engram,JAC,IND,TE,"$4,500",11.20%
30169816,Minnesota Vikings,MIN,CHI,D,"$3,000",11.20%
30169598,Kyle Pitts,ATL,WAS,TE,"$3,500",10.80%
30169242,Josh Downs,IND,JAC,WR,"$4,100",10.80%
30168922,Josh Jacobs,LV,NE,RB,"$7,000",10.70%
30168924,Alvin Kamara,NO,HOU,RB,"$6,800",10.70%
30169164,Cooper Kupp,LAR,ARI,WR,"$9,000",10.30%
30169821,Detroit Lions,DET,TB,D,"$2,700",9.80%
30169194,Michael Pittman Jr.,IND,JAC,WR,"$6,300",9.30%
30168912,Christian McCaffrey,SF,CLE,RB,"$9,500",9.20%
30168998,D'Onta Foreman,CHI,MIN,RB,"$4,400",9.20%
30169176,Jaylen Waddle,MIA,CAR,WR,"$7,600",9.10%
30169811,Miami Dolphins,MIA,CAR,D,"$3,500",9.10%
30169202,Adam Thielen,CAR,MIA,WR,"$5,900",9.00%
30169206,Jakobi Meyers,LV,NE,WR,"$5,800",9.00%
30169210,Tyler Lockett,SEA,CIN,WR,"$5,700",9.00%
30169212,Nico Collins,HOU,NO,WR,"$5,600",9.00%
30169808,Philadelphia Eagles,PHI,NYJ,D,"$3,800",8.40%
30169170,Puka Nacua,LAR,ARI,WR,"$8,000",8.20%
30169806,San Francisco 49ers,SF,CLE,D,"$4,000",8.20%
30169186,Calvin Ridley,JAC,IND,WR,"$6,700",8.20%
30168918,Bijan Robinson,ATL,WAS,RB,"$7,200",8.20%
30169596,Zach Ertz,ARI,LAR,TE,"$3,600",8.00%
30168926,Kenneth Walker III,SEA,CIN,RB,"$6,700",8.00%
30168950,Rachaad White,TB,DET,RB,"$5,500",8.00%
30168958,Dameon Pierce,HOU,NO,RB,"$5,100",8.00%
30169230,Tyler Boyd,CIN,SEA,WR,"$4,600",7.60%
30169248,Robert Woods,HOU,NO,WR,"$3,800",7.50%
30169822,New England Patriots,NE,LV,D,"$2,600",7.40%
30169574,T.J. Hockenson,MIN,CHI,TE,"$6,600",7.40%
30169580,Dallas Goedert,PHI,NYJ,TE,"$4,800",7.20%
30169214,Terry McLaurin,WAS,ATL,WR,"$5,500",7.20%
30169234,K.J. Osborn,MIN,CHI,WR,"$4,400",7.10%
30168940,Breece Hall,NYJ,PHI,RB,"$6,000",6.90%
30169618,Durham Smythe,MIA,CAR,TE,"$2,900",6.40%
30169825,Tampa Bay Buccaneers,TB,DET,D,"$2,300",6.30%
30168980,Tyler Allgeier,ATL,WAS,RB,"$4,600",6.20%
30169226,Drake London,ATL,WAS,WR,"$4,800",6.10%
30169192,Tee Higgins,CIN,SEA,WR,"$6,400",6.10%
30169172,A.J. Brown,PHI,NYJ,WR,"$7,800",6.00%
30168946,Brian Robinson Jr.,WAS,ATL,RB,"$5,700",6.00%
30168956,Jerome Ford,CLE,SF,RB,"$5,200",6.00%
30169168,Davante Adams,LV,NE,WR,"$8,100",6.00%
30169224,Michael Thomas,NO,HOU,WR,"$4,900",6.00%
30169238,Kendrick Bourne,NE,LV,WR,"$4,200",6.00%
30169272,DeVante Parker,NE,LV,WR,"$3,500",6.00%
30169819,Houston Texans,HOU,NO,D,"$2,900",5.70%
30169826,Cleveland Browns,CLE,SF,D,"$2,200",5.60%
30168843,Tua Tagovailoa,MIA,CAR,QB,"$7,600",5.60%
30168952,Rhamondre Stevenson,NE,LV,RB,"$5,400",5.50%
30168856,Sam Howell,WAS,ATL,QB,"$5,500",5.40%
30168851,C.J. Stroud,HOU,NO,QB,"$6,000",5.20%
30169576,Sam LaPorta,DET,TB,TE,"$5,600",4.90%
30169196,Brandon Aiyuk,SF,CLE,WR,"$6,200",4.90%
30169198,Deebo Samuel,SF,CLE,WR,"$6,100",4.90%
30169818,Cincinnati Bengals,CIN,SEA,D,"$2,900",4.80%
30169594,Dalton Schultz,HOU,NO,TE,"$3,600",4.80%
30169600,Logan Thomas,WAS,ATL,TE,"$3,500",4.80%
30169178,Mike Evans,TB,DET,WR,"$7,100",4.80%
30169184,DK Metcalf,SEA,CIN,WR,"$6,800",4.80%
30169188,Chris Olave,NO,HOU,WR,"$6,600",4.80%
30169190,D.J. Moore,CHI,MIN,WR,"$6,500",4.80%
30169200,Garrett Wilson,NYJ,PHI,WR,"$6,000",4.80%
30169228,Jahan Dotson,WAS,ATL,WR,"$4,700",4.80%
30169252,Michael Wilson,ARI,LAR,WR,"$3,800",4.80%
30169258,Allen Lazard,NYJ,PHI,WR,"$3,700",4.80%
30168860,Joshua Dobbs,ARI,LAR,QB,"$5,200",4.70%
30169220,Tutu Atwell,LAR,ARI,WR,"$5,100",4.60%
30169582,Cole Kmet,CHI,MIN,TE,"$4,600",4.60%
30168948,Alexander Mattison,MIN,CHI,RB,"$5,600",4.60%
30169280,Braxton Berrios,MIA,CAR,WR,"$3,400",4.60%
30168844,Justin Fields,CHI,MIN,QB,"$7,300",4.60%
30168845,Kirk Cousins,MIN,CHI,QB,"$7,100",4.40%
30168842,Jalen Hurts,PHI,NYJ,QB,"$8,200",4.10%
30169823,Chicago Bears,CHI,MIN,D,"$2,500",4.00%
30168854,Geno Smith,SEA,CIN,QB,"$5,700",4.00%
30169578,George Kittle,SF,CLE,TE,"$5,000",3.90%
30168864,Gardner Minshew,IND,JAC,QB,"$5,000",3.90%
30169602,Jonnu Smith,ATL,WAS,TE,"$3,400",3.50%
30169807,Las Vegas Raiders,LV,NE,D,"$3,900",3.40%
30168862,Desmond Ridder,ATL,WAS,QB,"$5,000",3.20%
30168848,Jared Goff,DET,TB,QB,"$6,400",3.20%
30168857,Baker Mayfield,TB,DET,QB,"$5,400",3.10%
30168858,Jimmy Garoppolo,LV,NE,QB,"$5,300",3.10%
30169256,Curtis Samuel,WAS,ATL,WR,"$3,700",3.10%
30169276,Jonathan Mingo,CAR,MIA,WR,"$3,500",3.10%
30169180,DeVonta Smith,PHI,NYJ,WR,"$7,000",3.00%
30168928,Jonathan Taylor,IND,JAC,RB,"$6,600",3.00%
30168936,Zack Moss,IND,JAC,RB,"$6,200",3.00%
30169518,Brandon Powell,MIN,CHI,WR,"$3,000",2.80%
30169809,Los Angeles Rams,LAR,ARI,D,"$3,700",2.80%
