PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Christian McCaffrey,RB,SF,CIN,-202,43.50,-4.50,24.00,9200,22.30,2.4,19.81
Breece Hall,RB,NYJ,NYG,-156,35.50,-3.00,19.25,5900,15.06,2.6,19.06
Atlanta Falcons,D,ATL,TEN,-142,35.50,-2.50,19.00,2900,7.98,2.8,18.78
Bijan Robinson,RB,ATL,TEN,-142,35.50,-2.50,19.00,6000,15.67,2.6,16.46
Jacksonville Jaguars,D,JAX,PIT,-133,41.00,-2.50,21.75,2800,7.17,2.6,15.64
Alvin Kamara,RB,NO,IND,-115,43.50,-1.00,22.25,7300,17.87,2.5,13.05
Tony Pollard,RB,DAL,LAR,-275,45.50,-6.50,26.00,7500,15.20,2.0,12.08
Travis Etienne,RB,JAX,PIT,-133,41.00,-2.50,21.75,7200,16.30,2.3,11.23
Tyreek Hill,WR,MIA,NE,-455,47.00,-9.50,28.25,9500,19.72,2.1,11.17
Isiah Pacheco,RB,KC,DEN,-347,47.00,-7.00,27.00,6100,13.85,2.3,10.42
Seattle Seahawks,D,SEA,CLE,-187,37.50,-3.50,20.50,3400,7.79,2.3,10.20
D'Andre Swift,RB,PHI,WAS,-327,43.50,-7.00,25.25,6300,13.85,2.2,10.02
Zay Flowers,WR,BAL,ARI,-471,44.50,-9.50,27.00,5600,13.25,2.4,9.97
Ja'Marr Chase,WR,CIN,SF,167,43.50,4.50,19.50,8100,18.48,2.3,9.36
Trey McBride,TE,ARI,BAL,360,44.50,9.50,17.50,2800,8.14,2.9,9.21
Patrick Mahomes,QB,KC,DEN,-347,47.00,-7.00,27.00,8400,27.67,3.3,9.07
Rhamondre Stevenson,RB,NE,MIA,352,47.00,9.50,18.75,5400,12.16,2.3,8.89
Dameon Pierce,RB,HOU,CAR,-182,43.50,-3.50,23.50,5300,11.80,2.2,8.51
Jonathan Taylor,RB,IND,NO,100,43.50,1.00,21.25,6200,13.47,2.2,8.45
Joe Mixon,RB,CIN,SF,167,43.50,4.50,19.50,5800,12.48,2.2,8.33
CeeDee Lamb,WR,DAL,LAR,-275,45.50,-6.50,26.00,7600,16.58,2.2,8.33
Jordan Addison,WR,MIN,GB,-126,42.00,-1.50,21.75,5700,13.35,2.3,8.27
A.J. Brown,WR,PHI,WAS,-327,43.50,-7.00,25.25,8000,16.73,2.1,8.12
Javonte Williams,RB,DEN,KC,272,47.00,7.00,20.00,5200,11.23,2.2,8.11
Jalen Hurts,QB,PHI,WAS,-327,43.50,-7.00,25.25,8200,23.19,2.8,7.97
Drake London,WR,ATL,TEN,-142,35.50,-2.50,19.00,5100,13.53,2.7,7.73
Michael Gallup,WR,DAL,LAR,-275,45.50,-6.50,26.00,3400,8.74,2.6,7.59
Kareem Hunt,RB,CLE,SEA,156,37.50,3.50,17.00,5200,11.09,2.1,7.52
Chris Olave,WR,NO,IND,-115,43.50,-1.00,22.25,6400,14.12,2.2,7.46
Joe Burrow,QB,CIN,SF,167,43.50,4.50,19.50,6000,18.78,3.1,7.31
George Pickens,WR,PIT,JAX,111,41.00,2.50,19.25,5600,13.82,2.5,7.16
Nico Collins,WR,HOU,CAR,-182,43.50,-3.50,23.50,5500,12.54,2.3,7.01
Kenneth Walker,RB,SEA,CLE,-187,37.50,-3.50,20.50,7000,14.09,2.0,6.97
Saquon Barkley,RB,NYG,NYJ,130,35.50,3.00,16.25,8000,15.86,2.0,6.93
Michael Thomas,WR,NO,IND,-115,43.50,-1.00,22.25,4900,12.07,2.5,6.89
Lamar Jackson,QB,BAL,ARI,-471,44.50,-9.50,27.00,8100,22.41,2.8,6.88
Dak Prescott,QB,DAL,LAR,-275,45.50,-6.50,26.00,6100,17.66,2.9,6.83
Diontae Johnson,WR,PIT,JAX,111,41.00,2.50,19.25,5000,11.65,2.3,6.65
Evan Engram,TE,JAX,PIT,-133,41.00,-2.50,21.75,4500,11.70,2.6,6.63
Terry McLaurin,WR,WAS,PHI,255,43.50,7.00,18.25,5300,12.47,2.3,6.54
Travis Kelce,TE,KC,DEN,-347,47.00,-7.00,27.00,8400,17.31,2.1,6.53
Brandon Powell,WR,MIN,GB,-126,42.00,-1.50,21.75,3200,8.19,2.6,6.49
Marquise Brown,WR,ARI,BAL,360,44.50,9.50,17.50,5200,12.40,2.4,6.48
Kadarius Toney,WR,KC,DEN,-347,47.00,-7.00,27.00,3400,8.92,2.6,6.41
Raheem Mostert,RB,MIA,NE,-455,47.00,-9.50,28.25,7700,14.70,1.9,6.36
Tee Higgins,WR,CIN,SF,167,43.50,4.50,19.50,5900,13.62,2.3,6.35
