"full_name","posteam","position","games","targets","targets_pg","target_share","receptions","rec_pg","rec_ypg","rec_tds","rz_targets_pg","rz_target_share","rec_drops","rec_drop_rate","rec_ay_pg","ay_share","rec_adot","wopr","racr","yac","yac_pr"
"Amon-Ra St. Brown","DET","WR",1,19,19,0.322033898305085,13,13,102,0,0,0,0,0,122,0.353623188405797,6.42105263157895,0.698383689511177,0.836065573770492,26,2
"Alvin Kamara","NO","RB",1,15,15,0.263157894736842,12,12,93,0,1,0.125,15,1,6,0.0186335403726708,0.4,0.381464530892448,15.5,93,7.75
"Chris Olave","NO","WR",1,15,15,0.263157894736842,7,7,57,0,3,0.375,15,1,118,0.366459627329193,7.86666666666667,0.624942791762014,0.483050847457627,25,3.57142857142857
"Tyreek Hill","MIA","WR",1,15,15,0.416666666666667,11,11,88,1,0,0,0,0,99,0.382239382239382,6.6,0.850900900900901,0.888888888888889,25,2.27272727272727
"A.J. Brown","PHI","WR",1,15,15,0.441176470588235,10,10,137,2,2,0.4,0,0,146,0.640350877192982,9.73333333333333,1.06589267285862,0.938356164383562,29,2.9
"Travis Kelce","KC","TE",1,13,13,0.302325581395349,12,12,179,1,1,0.125,0,0,130,0.379008746355685,10,0.688561936402468,1.37692307692308,73,6.08333333333333
"Jakobi Meyers","LV","WR",1,13,13,0.276595744680851,7,7,50,1,0,NA,0,0,135,0.428571428571429,10.3846153846154,0.687234042553192,0.37037037037037,9,1.28571428571429
"Chris Godwin","TB","WR",1,12,12,0.266666666666667,6,6,66,0,3,0.5,0,0,97,0.30503144654088,8.08333333333333,0.58685534591195,0.680412371134021,38,6.33333333333333
"Stefon Diggs","BUF","WR",1,12,12,0.27906976744186,6,6,58,1,4,0.666666666666667,0,0,219,0.487750556792873,18.25,0.732123064173616,0.264840182648402,24,4
"Davante Adams","LV","WR",1,12,12,0.25531914893617,7,7,57,1,0,NA,0,0,85,0.26984126984127,7.08333333333333,0.546335697399527,0.670588235294118,26,3.71428571428571
"Puka Nacua","LA","WR",1,12,12,0.375,8,8,154,0,2,0.666666666666667,0,0,116,0.44106463878327,9.66666666666667,0.833745247148289,1.32758620689655,92,11.5
"T.J. Hockenson","MIN","TE",1,12,12,0.266666666666667,11,11,86,0,2,0.5,0,0,52,0.208835341365462,4.33333333333333,0.519518072289157,1.65384615384615,36,3.27272727272727
"Jahmyr Gibbs","DET","RB",1,11,11,0.186440677966102,9,9,58,0,0,0,0,0,4,0.0115942028985507,0.363636363636364,0.269132891181528,14.5,57,6.33333333333333
"Jordan Addison","MIN","WR",1,10,10,0.222222222222222,7,7,123,2,0,0,0,0,99,0.397590361445783,9.9,0.589424364123159,1.24242424242424,55,7.85714285714286
"David Njoku","CLE","TE",1,9,9,0.230769230769231,5,5,54,0,1,0.166666666666667,0,0,23,0.0759075907590759,2.55555555555556,0.376212236608276,2.34782608695652,42,8.4
"Keenan Allen","LAC","WR",1,9,9,0.257142857142857,4,4,55,0,0,0,0,0,95,0.29320987654321,10.5555555555556,0.565246913580247,0.578947368421053,13,3.25
"D.J. Moore","CHI","WR",1,9,9,0.290322580645161,8,8,54,0,0,0,0,0,30,0.508474576271186,3.33333333333333,0.762383816293056,1.8,29,3.625
"Jauan Jennings","SF","WR",1,9,9,0.290322580645161,5,5,54,0,0,0,0,0,70,0.291666666666667,7.77777777777778,0.610618279569892,0.771428571428571,21,4.2
"Terry McLaurin","WAS","WR",1,9,9,0.1875,6,6,90,0,2,0.166666666666667,0,0,109,0.299450549450549,12.1111111111111,0.472115384615385,0.825688073394495,18,3
"Mike Evans","TB","WR",1,8,8,0.177777777777778,6,6,82,1,2,0.333333333333333,0,0,87,0.273584905660377,10.875,0.440398322851153,0.942528735632184,23,3.83333333333333
"Dalton Kincaid","BUF","TE",1,8,8,0.186046511627907,8,8,75,0,1,0.166666666666667,0,0,37,0.0824053452115813,4.625,0.318148857927177,2.02702702702703,38,4.75
"Amari Cooper","CLE","WR",1,8,8,0.205128205128205,2,2,22,0,2,0.333333333333333,0,0,123,0.405940594059406,15.375,0.571337903021071,0.178861788617886,1,0.5
"Rashid Shaheed","NO","WR",1,8,8,0.140350877192982,4,4,28,1,2,0.25,0,0,76,0.236024844720497,9.5,0.361708619374523,0.368421052631579,16,4
"George Pickens","PIT","WR",1,8,8,0.296296296296296,5,5,107,0,1,0.333333333333333,0,0,131,0.615023474178404,16.375,0.845331246739697,0.816793893129771,34,6.8
"Cooper Kupp","LA","WR",1,8,8,0.25,2,2,31,0,0,0,0,0,49,0.186311787072243,6.125,0.48041825095057,0.63265306122449,0,0
"Curtis Samuel","WAS","WR",1,8,8,0.166666666666667,4,4,25,0,1,0.0833333333333333,0,0,57,0.156593406593407,7.125,0.342948717948718,0.43859649122807,14,3.5
"Jahan Dotson","WAS","WR",1,8,8,0.166666666666667,5,5,43,0,2,0.166666666666667,0,0,75,0.206043956043956,9.375,0.377564102564103,0.573333333333333,11,2.2
"Darren Waller","NYG","TE",1,8,8,0.242424242424242,7,7,98,1,1,0.142857142857143,0,0,76,0.238993710691824,9.5,0.506689536878216,1.28947368421053,31,4.42857142857143
"Jaxon Smith-Njigba","SEA","WR",1,7,7,0.269230769230769,4,4,63,1,0,0,0,0,70,0.305676855895196,10,0.590896876049714,0.9,13,3.25
"Marquise Brown","ARI","WR",1,7,7,0.184210526315789,3,3,49,0,2,0.222222222222222,0,0,71,0.300847457627119,10.1428571428571,0.468487957181088,0.690140845070423,8,2.66666666666667
"Drake London","ATL","WR",1,7,7,0.269230769230769,6,6,54,0,1,0.5,0,0,36,0.177339901477833,5.14285714285714,0.50106100795756,1.5,23,3.83333333333333
"Kendrick Bourne","NE","WR",1,7,7,0.225806451612903,6,6,63,1,1,0.5,0,0,13,0.13,1.85714285714286,0.407129032258065,4.84615384615385,46,7.66666666666667
"Elijah Moore","CLE","WR",1,7,7,0.179487179487179,4,4,59,0,1,0.166666666666667,0,0,63,0.207920792079208,9,0.396826605737497,0.936507936507937,21,5.25
"Odell Beckham","BAL","WR",1,7,7,0.25,5,5,49,0,1,0.333333333333333,0,0,83,0.336032388663968,11.8571428571429,0.585222672064777,0.590361445783133,7,1.4
