full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Amon-Ra St. Brown,DET,WR,7,19,19,0.3220338983,13,13,102,0,0,0,38,2,122,0.357771261,6.421052632,0.7012873403,0.8360655738,26,2
Alvin Kamara,NO,RB,7,15,15,0.2631578947,12,12,93,0,1,0.125,15,1,6,0.01863354037,0.4,0.3814645309,15.5,93,7.75
Chris Olave,NO,WR,7,15,15,0.2631578947,7,7,57,0,3,0.375,15,1,118,0.3664596273,7.866666667,0.6249427918,0.4830508475,25,3.571428571
Tyreek Hill,MIA,WR,7,15,15,0.4166666667,11,11,88,1,0,0,30,2,99,0.3822393822,6.6,0.8509009009,0.8888888889,25,2.272727273
A.J. Brown,PHI,WR,7,15,15,0.4411764706,10,10,137,2,2,0.4,15,1,146,0.6403508772,9.733333333,1.065892673,0.9383561644,29,2.9
Travis Kelce,KC,TE,7,13,13,0.3023255814,12,12,179,1,1,0.125,0,0,130,0.3790087464,10,0.6885619364,1.376923077,73,6.083333333
Jakobi Meyers,LV,WR,7,13,13,0.2765957447,7,7,50,1,0,NA,0,0,135,0.4179566563,10.38461538,0.679803702,0.3703703704,9,1.285714286
Chris Godwin,TB,WR,7,12,12,0.2666666667,6,6,66,0,3,0.5,0,0,97,0.3050314465,8.083333333,0.5868553459,0.6804123711,38,6.333333333
Stefon Diggs,BUF,WR,7,12,12,0.2790697674,6,6,58,1,4,0.6666666667,12,1,219,0.4877505568,18.25,0.7321230642,0.2648401826,24,4
Davante Adams,LV,WR,7,12,12,0.2553191489,7,7,57,1,0,NA,0,0,85,0.2631578947,7.083333333,0.5416573348,0.6705882353,26,3.714285714
Puka Nacua,LA,WR,7,12,12,0.375,8,8,154,0,2,0.6666666667,0,0,116,0.4410646388,9.666666667,0.8337452471,1.327586207,92,11.5
T.J. Hockenson,MIN,TE,7,12,12,0.2666666667,11,11,86,0,2,0.5,0,0,52,0.2088353414,4.333333333,0.5195180723,1.653846154,36,3.272727273
Jahmyr Gibbs,DET,RB,7,11,11,0.186440678,9,9,58,0,0,0,0,0,4,0.01173020528,0.3636363636,0.2692280928,14.5,57,6.333333333
Jordan Addison,MIN,WR,7,10,10,0.2222222222,7,7,123,2,0,0,0,0,99,0.3975903614,9.9,0.5894243641,1.242424242,55,7.857142857
David Njoku,CLE,TE,7,9,9,0.2307692308,5,5,54,0,1,0.1666666667,9,1,23,0.07590759076,2.555555556,0.3762122366,2.347826087,42,8.4
