"full_name","posteam","position","games","carries","carries_pg","pct_team_carries","rush_yards_pg","rush_yards_pc","rush_tds","exp_rush_yards_pc","ryoe_pc","rush_epa_pp","broken_tackles","broken_tackles_rate","ybc_pc","yac_pc","rz_carries","pct_team_rz_carries","i10_carries","pct_team_i10_carries","i5_carries","pct_team_i5_carries","opps","opps_pg","hvts","hvts_pg","hvt_pct"
"Kenneth Walker","SEA","RB",1,26,26,0.8125,105,4.03846153846154,0,4.21191385753664,-0.173452319075098,-0.125794806846758,0,0,0,0,1,1,1,1,0,0,29,29,4,4,0.137931034482759
"Saquon Barkley","NYG","RB",1,21,21,0.65625,77,3.66666666666667,0,3.42206687016038,0.24459979650629,-0.342212035592335,0,0,0,0,5,0.555555555555556,0,0,0,0,25,25,4,4,0.16
"Tyler Allgeier","ATL","RB",1,21,21,0.552631578947368,59,2.80952380952381,0,3.85821620262264,-1.04869239309883,-0.122534746981502,0,0,0,0,2,0.666666666666667,0,0,0,0,24,24,3,3,0.125
"Darrell Henderson","LA","RB",1,18,18,0.580645161290323,61,3.38888888888889,1,4.06378792659348,-0.674899037704591,-0.144327700290079,0,0,0,0,2,0.5,0,0,0,0,20,20,2,2,0.1
"Jonathan Taylor","IND","RB",1,18,18,0.45,75,4.16666666666667,1,3.97942609555297,0.187240571113694,-0.0152299097907316,0,0,0,0,1,0.2,0,0,0,0,22,22,4,4,0.181818181818182
"Zack Moss","IND","RB",1,18,18,0.45,57,3.16666666666667,0,2.56408595166349,0.602580715003172,-0.437969742329895,0,0,0,0,4,0.8,3,1,2,1,20,20,5,5,0.25
"Alvin Kamara","NO","RB",1,17,17,0.548387096774194,62,3.64705882352941,0,3.37040688648334,0.27665193704607,0.189886600080439,0,0,2.82352941176471,0.823529411764706,1,0.5,1,1,0,0,32,32,16,16,0.5
"D'Onta Foreman","CHI","RB",1,16,16,0.421052631578947,89,5.5625,2,3.59329871188012,1.96920128811988,0.422116284942604,0,0,0,0,1,0.333333333333333,1,0.5,0,0,21,21,6,6,0.285714285714286
"A.J. Dillon","GB","RB",1,15,15,0.517241379310345,61,4.06666666666667,0,3.82813248914989,0.238534177516775,-0.152735681614528,0,0,0,0,0,0,0,0,0,0,17,17,2,2,0.117647058823529
"Christian McCaffrey","SF","RB",1,15,15,0.681818181818182,45,3,1,3.22386739506923,-0.223867395069225,-0.400016848335508,0,0,0,0,0,0,0,0,0,0,18,18,3,3,0.166666666666667
"D'Andre Swift","PHI","RB",1,15,15,0.441176470588235,62,4.13333333333333,0,4.25301392353915,-0.11968059020582,0.07968830052608,0,0,0,0,3,1,0,0,0,0,18,18,3,3,0.166666666666667
"Javonte Williams","DEN","RB",1,15,15,0.6,82,5.46666666666667,0,3.23884237576457,2.2278242909021,-0.0275969768835542,0,0,0,0,2,0.5,1,1,0,0,19,19,5,5,0.263157894736842
"Austin Ekeler","LAC","RB",1,14,14,0.538461538461538,45,3.21428571428571,0,3.71190014155406,-0.49761442726835,-0.168502746303732,0,0,0,0,1,1,0,0,0,0,16,16,2,2,0.125
"Darrynton Evans","CHI","RB",1,14,14,0.368421052631579,48,3.42857142857143,0,3.41127386461088,0.0172975639605519,-0.199399650109366,0,0,0,0,2,0.666666666666667,1,0.5,0,0,17,17,4,4,0.235294117647059
"Gus Edwards","BAL","RB",1,14,14,0.518518518518518,64,4.57142857142857,1,4.14567259588666,0.425755975541911,0.0828792697741717,0,0,0,0,3,0.5,1,1,0,0,15,15,2,2,0.133333333333333
"Najee Harris","PIT","RB",1,14,14,0.482758620689655,53,3.78571428571429,1,4.20174408837843,-0.41602980266414,-0.0363472664113423,0,0,0,0,2,0.666666666666667,0,0,0,0,17,17,3,3,0.176470588235294
"Travis Etienne","JAX","RB",1,14,14,0.538461538461538,53,3.78571428571429,2,4.83931287189704,-1.05359858618276,-0.345695955591509,1,0.0714285714285714,2.42857142857143,1.35714285714286,0,0,0,0,0,0,19,19,5,5,0.263157894736842
"Emari Demercado","ARI","RB",1,13,13,0.52,58,4.46153846153846,0,4.64515473911784,-0.183616277579381,-0.017946522987376,0,0,0,0,3,0.5,1,0.5,0,0,18,18,6,6,0.333333333333333
"Isiah Pacheco","KC","RB",1,13,13,0.619047619047619,32,2.46153846153846,0,4.63907665702564,-2.17753819548718,-0.31575584464008,0,0,0,0,4,0.571428571428571,2,0.666666666666667,1,0.5,17,17,6,6,0.352941176470588
"James Cook","BUF","RB",1,13,13,0.541666666666667,56,4.30769230769231,0,4.04140581710251,0.266286490589802,-0.126629773310224,0,0,0,0,0,0,0,0,0,0,16,16,3,3,0.1875
"Rachaad White","TB","RB",1,13,13,0.65,34,2.61538461538462,0,3.39004353820636,-0.774658922821743,-0.407475841934614,0,0,0,0,4,1,2,1,1,1,19,19,8,8,0.421052631578947
"Royce Freeman","LA","RB",1,12,12,0.387096774193548,66,5.5,0,4.50975849340609,0.99024150659391,0.0559186708732923,0,0,0,0,2,0.5,1,1,0,0,12,12,1,1,0.0833333333333333
