"Rank","Player","CMP","ATT","PCT","YDS","Y/A","PASSTD","INT","SACKS","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"1","Dak Prescott (DAL)","21","30","70.0","272","9.1","1","0","5","7","40","1","0","1","24.9","24.9","80.9%"
"2","Jalen Hurts (PHI)","28","45","62.2","280","6.2","1","3","2","8","47","1","0","1","22.9","22.9","100.0%"
"3","Tua Tagovailoa (MIA)","21","31","67.7","262","8.5","3","0","0","1","0","0","0","1","22.5","22.5","97.2%"
"4","Jared Goff (DET)","30","44","68.2","353","8.0","2","0","3","2","3","0","0","1","22.4","22.4","72.1%"
"5","Justin Herbert (LAC)","22","37","59.5","227","6.1","2","1","1","6","20","0","0","1","20.1","20.1","98.7%"
"6","Desmond Ridder (ATL)","28","47","59.6","307","6.5","2","3","3","2","18","0","0","1","19.1","19.1","7.1%"
"7","Sam Howell (WAS)","14","23","60.9","151","6.6","3","0","5","4","3","0","0","1","18.3","18.3","28.6%"
"8","Patrick Mahomes II (KC)","30","40","75.0","306","7.7","1","1","2","6","31","0","0","1","18.3","18.3","100.0%"
"9","Lamar Jackson (BAL)","21","30","70.0","223","7.4","1","1","1","13","62","0","0","1","18.1","18.1","99.7%"
"10","Derek Carr (NO)","32","50","64.0","353","7.1","1","1","2","1","2","0","0","1","17.3","17.3","20.0%"
"11","Trevor Lawrence (JAC)","20","30","66.7","181","6.0","2","1","3","3","15","0","0","1","15.7","15.7","92.9%"
"12","C.J. Stroud (HOU)","13","27","48.1","199","7.4","2","1","2","3","2","0","0","1","15.2","15.2","66.9%"
"13","Josh Allen (BUF)","19","30","63.3","169","5.6","2","1","0","2","11","0","0","1","14.9","14.9","100.0%"
"14","Joe Burrow (CIN)","24","35","68.6","185","5.3","2","1","3","2","4","0","0","1","14.8","14.8","97.6%"
"15","Matthew Stafford (LAR)","15","24","62.5","226","9.4","1","0","3","1","2","0","0","1","13.2","13.2","64.4%"
"16","Geno Smith (SEA)","27","41","65.9","323","7.9","0","2","4","4","20","0","0","1","12.9","12.9","64.4%"
"17","Bryce Young (CAR)","23","38","60.5","217","5.7","1","0","4","0","0","0","0","1","12.7","12.7","10.8%"
"18","Gardner Minshew II (IND)","33","55","60.0","329","6.0","1","3","3","2","4","0","1","1","12.6","12.6","6.0%"
"19","Joshua Dobbs (ARI)","21","41","51.2","235","5.7","0","1","2","7","47","0","1","1","11.1","11.1","20.9%"
"20","Zach Wilson (NYJ)","19","33","57.6","186","5.6","0","0","5","4","15","0","0","1","10.9","10.9","7.0%"
"21","Tyrod Taylor (NYG)","24","36","66.7","200","5.6","0","0","3","5","24","0","0","1","10.4","10.4","1.4%"
"22","Jimmy Garoppolo (LV)","14","22","63.6","162","7.4","1","1","0","2","4","0","0","1","9.9","9.9","13.4%"
"23","Russell Wilson (DEN)","13","22","59.1","95","4.3","1","2","4","4","31","0","0","1","8.9","8.9","60.7%"
"24","Kirk Cousins (MIN)","21","31","67.7","181","5.8","1","0","2","2","-5","0","1","1","8.7","8.7","93.6%"
"25","Brock Purdy (SF)","12","27","44.4","125","4.6","1","1","3","3","7","0","0","1","8.7","8.7","85.1%"
"26","Baker Mayfield (TB)","19","37","51.4","206","5.6","0","1","1","2","6","0","0","1","7.8","7.8","24.2%"
"27","Mac Jones (NE)","24","33","72.7","200","6.1","0","1","3","1","-1","0","0","1","6.9","6.9","7.0%"
"28","Tyson Bagent (CHI)","10","14","71.4","83","5.9","0","1","1","2","4","1","1","1","6.7","6.7","0.1%"
"29","Justin Fields (CHI)","6","10","60.0","58","5.8","0","1","4","8","46","0","0","1","5.9","5.9","96.2%"
"30","PJ Walker (CLE)","18","34","52.9","192","5.6","0","2","2","3","1","0","0","1","5.8","5.8","0.7%"
"31","Malik Willis (TEN)","4","5","80.0","74","14.8","0","0","4","3","17","0","0","1","4.7","4.7","0.1%"
"32","Brian Hoyer (LV)","6","10","60.0","102","10.2","0","0","0","3","-3","0","0","1","3.8","3.8","0.1%"
"33","Ryan Tannehill (TEN)","8","16","50.0","76","4.8","0","1","2","0","0","0","0","1","2.0","2.0","5.6%"
"34","Kenny Pickett (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.7%"
"35","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.9%"
"36","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Kellen Mond (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Jake Fromm (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.7%"
"43","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"44","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"45","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"46","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Ben DiNucci (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"51","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"52","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"55","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.0%"
"57","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"59","Nathan Rourke (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Malik Cunningham (NE)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.7%"
"62","Holton Ahlers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"64","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"65","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"66","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.3%"
"70","Brett Rypien (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
