"Rank","Player","ATT","YDS","Y/A","LG","20+","RUSHTD","REC","TGT","YDS","Y/R","RECTD","FL","G","FPTS","FPTS/G","ROST"
"1","Raheem Mostert (MIA)","17","115","6.8","49","3","2","3","3","17","5.7","1","0","1","34.2","34.2","96.5%"
"2","Travis Etienne Jr. (JAC)","18","55","3.1","22","1","2","3","3","28","9.3","0","0","1","23.3","23.3","99.7%"
"3","Kyren Williams (LAR)","20","158","7.9","31","3","1","0","0","0","0","0","0","1","21.8","21.8","95.2%"
"4","Breece Hall (NYJ)","12","39","3.3","9","0","1","5","5","54","10.8","0","0","1","20.3","20.3","96.4%"
"5","Derrick Henry (TEN)","12","97","8.1","63","4","1","2","2","16","8.0","0","0","1","19.3","19.3","100.0%"
"6","Rhamondre Stevenson (NE)","10","46","4.6","15","0","1","5","6","24","4.8","0","0","1","18.0","18.0","95.9%"
"7","Zack Moss (IND)","7","21","3.0","9","0","1","6","7","38","6.3","0","0","1","17.9","17.9","84.9%"
"8","Kenneth Walker III (SEA)","19","62","3.3","21","1","1","3","3","27","9.0","0","0","1","17.9","17.9","98.0%"
"9","D'Andre Swift (PHI)","10","18","1.8","9","0","0","8","10","40","5.0","1","1","1","17.8","17.8","96.3%"
"10","Alvin Kamara (NO)","19","68","3.6","13","0","0","7","8","36","5.1","0","0","1","17.4","17.4","97.5%"
"11","Tony Pollard (DAL)","15","30","2.0","7","0","0","6","7","80","13.3","0","0","1","17.0","17.0","99.9%"
"12","Kareem Hunt (CLE)","12","47","3.9","16","0","1","3","3","24","8.0","0","0","1","16.1","16.1","31.4%"
"13","Chuba Hubbard (CAR)","19","88","4.6","19","0","1","1","1","2","2.0","0","0","1","16.0","16.0","52.5%"
"14","Isiah Pacheco (KC)","16","62","3.9","15","0","0","6","6","36","6.0","0","0","1","15.8","15.8","95.7%"
"15","Christian McCaffrey (SF)","11","43","3.9","27","1","0","3","3","9","3.0","1","0","1","14.2","14.2","100.0%"
"16","Saquon Barkley (NYG)","24","93","3.9","34","2","0","4","5","5","1.3","0","0","1","13.8","13.8","99.9%"
"17","Brian Robinson Jr. (WAS)","10","31","3.1","9","0","0","2","2","25","12.5","1","0","1","13.6","13.6","90.5%"
"18","Bijan Robinson (ATL)","13","37","2.8","9","0","0","5","8","43","8.6","0","0","1","13.0","13.0","100.0%"
"19","Salvon Ahmed (MIA)","6","23","3.8","9","0","1","3","5","11","3.7","0","0","1","12.4","12.4","15.1%"
"20","Ezekiel Elliott (NE)","7","34","4.9","8","0","1","1","1","15","15.0","0","0","1","11.9","11.9","41.6%"
"21","Jonathan Taylor (IND)","8","19","2.4","5","0","0","5","6","46","9.2","0","0","1","11.5","11.5","97.2%"
"22","Josh Jacobs (LV)","25","77","3.1","18","0","0","2","5","16","8.0","0","0","1","11.3","11.3","99.9%"
"23","Alexander Mattison (MIN)","18","44","2.4","8","0","0","4","7","28","7.0","0","0","1","11.2","11.2","94.3%"
"24","Jerome Ford (CLE)","17","84","4.9","22","1","0","2","2","7","3.5","0","0","1","11.1","11.1","85.9%"
"25","Austin Ekeler (LAC)","14","27","1.9","6","0","0","4","6","35","8.8","0","0","1","10.2","10.2","100.0%"
"26","Joe Mixon (CIN)","12","38","3.2","5","0","0","3","4","24","8.0","0","0","1","9.2","9.2","98.9%"
"27","Jordan Mason (SF)","5","27","5.4","10","0","1","0","0","0","0","0","0","1","8.7","8.7","4.2%"
"28","Antonio Gibson (WAS)","3","15","5.0","9","0","0","1","1","1","1.0","1","0","1","8.6","8.6","51.1%"
"29","D'Onta Foreman (CHI)","15","65","4.3","10","0","0","1","1","2","2.0","0","0","1","7.7","7.7","43.1%"
"30","Tyjae Spears (TEN)","4","15","3.8","12","0","0","1","1","48","48.0","0","0","1","7.3","7.3","43.7%"
"31","Javonte Williams (DEN)","10","52","5.2","18","0","0","0","0","0","0","0","0","1","7.2","7.2","84.8%"
"32","Devin Singletary (HOU)","12","58","4.8","17","0","0","1","2","4","4.0","0","0","1","7.2","7.2","20.2%"
"33","James Cook (BUF)","14","71","5.1","14","0","0","0","0","0","0","0","0","1","7.1","7.1","95.9%"
"34","Keaontay Ingram (ARI)","10","40","4.0","12","0","0","2","2","11","5.5","0","0","1","7.1","7.1","14.5%"
"35","Rachaad White (TB)","7","26","3.7","8","0","0","3","4","12","4.0","0","0","1","6.8","6.8","92.2%"
"36","Justice Hill (BAL)","8","35","4.4","10","0","0","3","3","0","0.0","0","0","1","6.5","6.5","37.2%"
"37","Craig Reynolds (DET)","10","15","1.5","8","0","0","2","2","28","14.0","0","0","1","6.3","6.3","4.3%"
"38","Gus Edwards (BAL)","16","41","2.6","8","0","0","1","1","12","12.0","0","0","1","6.3","6.3","59.9%"
"39","Jaleel McLaughlin (DEN)","7","30","4.3","9","0","0","2","2","12","6.0","0","0","1","6.2","6.2","51.2%"
"40","Damien Williams (ARI)","8","36","4.5","9","0","0","1","1","8","8.0","0","0","1","5.4","5.4","0.0%"
"41","Tyler Allgeier (ATL)","13","51","3.9","11","0","0","0","1","0","0","0","0","1","5.1","5.1","61.6%"
"42","Jerick McKinnon (KC)","0","0","0","0","0","0","3","5","20","6.7","0","0","1","5.0","5.0","43.5%"
"43","Latavius Murray (BUF)","12","45","3.8","12","0","0","0","0","0","0","0","0","1","4.5","4.5","10.3%"
"44","Darrynton Evans (CHI)","9","32","3.6","12","0","0","1","1","2","2.0","0","0","1","4.4","4.4","0.3%"
"45","David Montgomery (DET)","6","14","2.3","6","0","0","1","1","19","19.0","0","0","1","4.3","4.3","96.8%"
"46","Zach Charbonnet (SEA)","2","5","2.5","3","0","0","2","2","14","7.0","0","0","1","3.9","3.9","42.5%"
"47","Dameon Pierce (HOU)","13","34","2.6","8","0","0","0","0","0","0","0","0","1","3.4","3.4","94.7%"
"48","Raheem Blackshear (CAR)","5","18","3.6","9","0","0","1","1","4","4.0","0","0","1","3.2","3.2","0.7%"
"49","Zamir White (LV)","2","2","1.0","1","0","0","2","2","7","3.5","0","0","1","2.9","2.9","2.0%"
"50","Chris Brooks (MIA)","6","28","4.7","28","1","0","0","0","0","0","0","0","1","2.8","2.8","1.0%"
"51","Kenneth Gainwell (PHI)","2","13","6.5","12","0","0","1","2","4","4.0","0","0","1","2.7","2.7","35.7%"
"52","Emari Demercado (ARI)","2","11","5.5","6","0","0","1","1","6","6.0","0","0","1","2.7","2.7","57.4%"
"53","Boston Scott (PHI)","2","2","1.0","9","0","0","1","1","14","14.0","0","0","1","2.6","2.6","0.3%"
"54","Clyde Edwards-Helaire (KC)","2","7","3.5","7","0","0","1","1","9","9.0","0","0","1","2.6","2.6","8.9%"
"55","Cam Akers (MIN)","1","8","8.0","8","0","0","1","1","7","7.0","0","0","1","2.5","2.5","65.4%"
"56","Dalvin Cook (NYJ)","3","12","4.0","8","0","0","1","1","2","2.0","0","0","1","2.4","2.4","57.3%"
"57","Ronnie Rivers (LAR)","3","9","3.0","6","0","0","1","1","4","4.0","0","0","1","2.3","2.3","2.0%"
"58","Trayveon Williams (CIN)","0","0","0","0","0","0","2","2","3","1.5","0","0","1","2.3","2.3","0.8%"
