"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","9","9","124","13.8","40","3","0","0","0","0","0","1","21.4","21.4","100.0%"
"2","Dalton Schultz (HOU)","4","7","61","15.3","31","2","1","0","0","0","0","1","16.1","16.1","57.0%"
"3","Kyle Pitts (ATL)","4","6","43","10.8","19","0","1","0","0","0","0","1","14.3","14.3","90.5%"
"4","Jonnu Smith (ATL)","4","5","36","9.0","17","0","1","0","0","0","0","1","13.6","13.6","16.9%"
"5","Michael Mayer (LV)","5","6","75","15.0","32","2","0","0","0","0","0","1","12.5","12.5","3.2%"
"6","Taysom Hill (NO)","7","8","49","7.0","11","0","0","1","2","0","0","1","12.3","12.3","5.9%"
"7","Evan Engram (JAC)","7","7","41","5.9","19","0","0","0","0","0","0","1","11.1","11.1","94.7%"
"8","T.J. Hockenson (MIN)","6","8","50","8.3","21","1","0","0","0","0","0","1","11.0","11.0","99.9%"
"9","Mark Andrews (BAL)","4","6","69","17.3","38","3","0","1","0","0","0","1","10.9","10.9","99.9%"
"10","Gerald Everett (LAC)","3","5","16","5.3","15","0","1","1","2","0","0","1","10.8","10.8","25.5%"
"11","Brenton Strange (JAC)","2","3","27","13.5","17","0","1","0","0","0","0","1","10.7","10.7","0.1%"
"12","Trey McBride (ARI)","4","5","62","15.5","27","1","0","0","0","0","0","1","10.2","10.2","0.7%"
"13","Kylen Granson (IND)","3","4","67","22.3","45","4","0","0","0","0","0","1","9.7","9.7","1.1%"
"14","Darren Waller (NYG)","5","7","43","8.6","20","1","0","0","0","0","0","1","9.3","9.3","95.2%"
"15","Dallas Goedert (PHI)","5","8","42","8.4","13","0","0","0","0","0","0","1","9.2","9.2","95.4%"
"16","Quintin Morris (BUF)","1","1","15","15.0","15","0","1","0","0","0","0","1","8.5","8.5","0.0%"
"17","Sam LaPorta (DET)","4","11","36","9.0","19","0","0","0","0","0","0","1","7.6","7.6","92.9%"
"18","Foster Moreau (NO)","4","4","33","8.3","17","0","0","0","0","0","0","1","7.3","7.3","0.1%"
"19","Mike Gesicki (NE)","3","3","28","9.3","15","0","0","0","0","0","0","1","5.8","5.8","4.5%"
"20","David Njoku (CLE)","3","4","24","8.0","10","0","0","0","0","0","0","1","5.4","5.4","58.2%"
"21","Tyler Conklin (NYJ)","3","4","24","8.0","14","0","0","0","0","0","0","1","5.4","5.4","14.3%"
"22","Dawson Knox (BUF)","3","6","17","5.7","10","0","0","0","0","0","0","1","4.7","4.7","14.0%"
"23","Colby Parkinson (SEA)","3","4","16","5.3","8","0","0","0","0","0","0","1","4.6","4.6","0.1%"
"24","Tommy Tremble (CAR)","2","2","25","12.5","21","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"25","Zach Ertz (ARI)","2","5","22","11.0","12","0","0","0","0","0","0","1","4.2","4.2","60.9%"
"26","Austin Hooper (LV)","2","2","19","9.5","12","0","0","0","0","0","0","1","3.9","3.9","0.5%"
"27","Donald Parham Jr. (LAC)","2","3","19","9.5","13","0","0","0","0","0","0","1","3.9","3.9","2.3%"
"28","Chigoziem Okonkwo (TEN)","2","4","18","9.0","11","0","0","0","0","0","0","1","3.8","3.8","26.9%"
"29","Tyler Higbee (LAR)","2","3","18","9.0","9","0","0","0","0","0","0","1","3.8","3.8","67.8%"
"30","Noah Gray (KC)","2","2","14","7.0","6","0","0","1","1","0","0","1","3.5","3.5","1.7%"
"31","Cole Kmet (CHI)","2","3","9","4.5","7","0","0","0","0","0","0","1","2.9","2.9","83.3%"
"32","Hayden Hurst (CAR)","1","3","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","8.6%"
"33","Pharaoh Brown (NE)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"34","Cade Otton (TB)","1","2","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","2.6%"
"35","Jake Ferguson (DAL)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","67.4%"
"36","Robert Tonyan (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"37","Josh Whyle (TEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"38","Brevin Jordan (HOU)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"39","MyCole Pruitt (ATL)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"40","Noah Fant (SEA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","2.9%"
"41","Payne Durham (TB)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"42","Jeremy Ruckert (NYJ)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"43","Brock Wright (DET)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.2%"
"44","Hunter Henry (NE)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","45.7%"
"45","Irv Smith Jr. (CIN)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","4.3%"
"46","Drew Sample (CIN)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"47","Adam Trautman (DEN)","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.3%"
"48","Will Dissly (SEA)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.2%"
"49","Greg Dulcich (DEN)","1","2","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","9.7%"
"50","Logan Thomas (WAS)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","49.1%"
"51","George Kittle (SF)","1","2","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","98.9%"
"52","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Pat Freiermuth (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.4%"
"54","Nick Bowers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Jesper Horsted (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Josh Oliver (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"58","Trevon Wesco (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Zach Gentry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Tanner Hudson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Ross Dwelley (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"66","Tommy Sweeney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Albert Okwuegbunam (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Noah Togiai (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Lawrence Cager (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Sean McKeon (DAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"78","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Juwan Johnson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"82","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"88","Harrison Bryant (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
