"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"1","Amon-Ra St. Brown (DET)","12","15","124","10.3","27","2","1","0","0","0","0","1","30.4","30.4","99.9%"
"2","Adam Thielen (CAR)","11","13","115","10.5","27","1","1","0","0","0","0","1","28.5","28.5","91.2%"
"3","Tyreek Hill (MIA)","6","10","163","27.2","47","8","1","0","0","0","0","1","28.3","28.3","100.0%"
"4","Cooper Kupp (LAR)","7","9","148","21.1","49","6","1","0","0","0","0","1","27.8","27.8","99.9%"
"5","Keenan Allen (LAC)","7","11","85","12.1","23","2","1","0","0","0","0","1","21.5","21.5","99.3%"
"6","Drake London (ATL)","9","12","125","13.9","32","3","0","0","0","0","0","1","21.5","21.5","86.3%"
"7","A.J. Brown (PHI)","7","9","131","18.7","49","5","0","0","0","0","0","1","20.1","20.1","100.0%"
"8","Stefon Diggs (BUF)","10","16","100","10.0","28","1","0","0","0","0","0","1","20.0","20.0","100.0%"
"9","Michael Pittman Jr. (IND)","9","14","109","12.1","40","3","0","0","0","0","0","1","19.9","19.9","93.7%"
"10","Kendrick Bourne (NE)","10","11","89","8.9","36","2","0","1","4","0","0","1","19.3","19.3","18.7%"
"11","CeeDee Lamb (DAL)","7","7","117","16.7","23","2","0","0","0","0","0","1","18.7","18.7","100.0%"
"12","Rashid Shaheed (NO)","2","6","85","42.5","51","6","1","2","18","0","0","1","18.3","18.3","22.8%"
"13","Jaylen Waddle (MIA)","7","9","51","7.3","17","0","1","0","0","0","0","1","18.1","18.1","99.5%"
"14","Zay Flowers (BAL)","6","8","50","8.3","14","0","1","1","1","0","0","1","17.1","17.1","87.1%"
"15","Jakobi Meyers (LV)","5","7","61","12.2","16","0","1","0","0","0","0","1","17.1","17.1","84.7%"
"16","Garrett Wilson (NYJ)","8","12","90","11.3","33","2","0","0","0","0","0","1","17.0","17.0","98.8%"
"17","Tyler Boyd (CIN)","7","7","38","5.4","9","0","1","0","0","0","0","1","16.8","16.8","48.7%"
"18","Chris Olave (NO)","7","10","96","13.7","24","1","0","0","0","0","0","1","16.6","16.6","98.8%"
"19","Tyler Lockett (SEA)","6","8","94","15.7","36","4","0","0","0","0","0","1","15.4","15.4","93.0%"
"20","Brandin Cooks (DAL)","4","4","36","9.0","17","0","1","1","14","0","0","1","15.0","15.0","48.4%"
"21","Amari Cooper (CLE)","4","8","108","27.0","58","5","0","0","0","0","0","1","14.8","14.8","96.8%"
"22","Courtland Sutton (DEN)","4","6","46","11.5","21","1","1","0","0","0","0","1","14.6","14.6","78.0%"
"23","Wan'Dale Robinson (NYG)","8","8","62","7.8","13","0","0","0","0","0","0","1","14.2","14.2","11.6%"
"24","Curtis Samuel (WAS)","4","4","42","10.5","16","0","1","1","0","0","0","1","14.2","14.2","31.8%"
"25","Terry McLaurin (WAS)","6","11","81","13.5","22","1","0","0","0","0","0","1","14.1","14.1","92.8%"
"26","Ja'Marr Chase (CIN)","6","13","80","13.3","31","3","0","0","0","0","0","1","14.0","14.0","100.0%"
