Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
6,1,Baltimore,4.5,4.3,5,4.4,4.6,6.6
6,2,Cleveland,4.6,4.8,4,4,6.7,6.4
6,3,San Francisco,5.1,5.7,5.1,5.2,5,6.3
6,4,Kansas City,5.3,5.3,3.7,5.3,5.3,6.1
6,5,New Orleans,5.4,5.8,6.6,6.3,5,5.8
6,6,Detroit,5.7,5.7,5.5,5.8,5.7,7.5
6,7,Atlanta,5.8,6.4,5.3,5.3,7,7
6,8,Philadelphia,6,5.5,4.7,7.1,5.3,5.5
6,9,Green Bay,6,5.9,5.9,5.9,6.1,7
6,10,NY Jets,6.1,6,6,6.1,6,5.8
6,11,LA Rams,6.1,6.8,5.2,6.9,5.3,6.9
6,12,Buffalo,6.2,6.6,5.1,6.5,5.9,5.9
6,13,Dallas,6.2,7.3,5.9,6.2,6.3,6.1
6,14,Las Vegas,6.2,5.8,5.3,6.4,6.1,7
6,15,New England,6.3,7.3,8.3,6.4,6.3,6.2
6,16,Tampa Bay,6.4,6.2,7.7,7.1,5.5,6.2
6,17,Seattle,6.4,5,4.8,7,6,6.8
6,18,Minnesota,6.5,5.4,4.7,7.2,5.5,7.4
6,19,Cincinnati,6.6,6.8,7.2,7,6,6.6
6,20,Miami,6.6,7.1,4.8,6.1,7.1,6.5
6,21,Pittsburgh,6.7,7.2,5.5,5.8,8.1,7
6,22,Indianapolis,6.8,6.8,4.9,7.5,6.1,6.6
6,23,Jacksonville,6.9,6.6,5.6,7,6.7,6.6
6,24,Houston,6.9,6.9,6.7,6.1,7.8,6.8
6,25,Carolina,7,7.7,8.2,6,7.5,6.7
6,26,Washington,7.2,7.8,6.3,6.6,7.6,6.3
6,27,NY Giants,7.3,7.3,5.6,5.9,7.8,6.4
6,28,Arizona,7.3,8.4,8.5,6.7,8.3,6.6
6,29,Tennessee,7.4,6.9,7.4,5.9,8.2,7
6,30,Chicago,7.7,6.8,5.6,7.3,8,7.7
6,31,LA Chargers,7.7,6.5,8.2,7.9,7.4,6.7
6,32,Denver,8.2,7.5,7.1,7,9.3,5.9
