Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
6,1,Miami,6.5,7,4.9,7.4,5.2,4.2
6,2,Arizona,5.3,4.9,4.3,6.4,4.1,4.3
6,3,NY Jets,5.2,6.2,4.2,4.7,6.2,4.2
6,4,Denver,4.9,5.5,5,5.3,4.5,4.4
6,5,Chicago,4.8,5.2,4.5,4.7,4.9,5.4
6,6,Tennessee,4.6,5.3,6.8,4.7,4.5,4.4
6,7,San Francisco,4.5,4.1,4.3,3.9,5.2,4.6
6,8,Philadelphia,4.5,3.9,3.6,4.8,4.3,4.6
6,9,Cleveland,4.5,3.7,4.7,4.1,5.7,4.7
6,10,Buffalo,4.4,3.6,4.4,4.5,4.3,5.1
6,11,Kansas City,4.3,4.4,3.6,3.9,4.8,4.7
6,12,Baltimore,4.3,4.1,3.6,4.3,4.3,5.1
6,13,Washington,4.3,3.5,3.3,4.4,4.1,4
6,14,LA Rams,4.2,5.1,6.4,5,3.7,4
6,15,Indianapolis,4.2,4.5,2.6,4.3,4.1,4.3
6,16,Seattle,4.2,4.4,3.5,4.5,4,4.8
6,17,Carolina,4.1,3.7,4.3,3.7,4.3,4.6
6,18,Atlanta,4,3.8,3.7,4,4.1,4.9
6,19,Detroit,4,4.3,1.8,4.3,3.7,4.5
6,20,Minnesota,4,4,2.1,4.1,3.9,4.1
6,21,Dallas,3.9,3.7,3.7,3.5,4.3,4.3
6,22,LA Chargers,3.9,3.2,2.3,4.4,2.5,3.7
6,23,Jacksonville,3.8,3.8,2.9,3.7,3.8,4.9
6,24,NY Giants,3.8,3.6,3.9,3.9,3.7,4.9
6,25,Green Bay,3.5,3.7,4.4,3.2,3.7,4.6
6,26,Cincinnati,3.5,3.3,3.1,3.4,3.5,3.9
6,27,Pittsburgh,3.4,3.6,2.9,3,3.9,4.1
6,28,New Orleans,3.4,3.4,3.6,3,3.6,4.3
6,29,New England,3.4,3,4.4,3.2,3.6,4.3
6,30,Houston,3.2,3.5,3.9,3.3,3.1,3.7
6,31,Las Vegas,3,3,2.5,3.1,2.9,4.8
6,32,Tampa Bay,3,3,2.9,3.1,2.8,3.4
