Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
6,1,Baltimore,7.5,7.7,8.7,7,7.8,9.9
6,2,San Francisco,8,9.2,9.7,7.8,8.1,9.6
6,3,Minnesota,8.6,7.3,7.1,9.5,7.3,11.1
6,4,Kansas City,8.8,8.1,6.3,9.1,8.6,9.3
6,5,Cleveland,8.8,8.5,8.9,7.5,13.3,10.6
6,6,Green Bay,9.1,8.6,8.3,8.7,9.3,10.7
6,7,Las Vegas,9.1,9.5,7.3,10.3,8.2,10.3
6,8,NY Jets,9.2,9.6,9.6,9.8,8.2,9.3
6,9,Buffalo,9.3,9.6,7.7,9.6,9,9.6
6,10,Philadelphia,9.3,8.8,8.2,10.1,8.8,8.6
6,11,Seattle,9.4,7.5,7,11.5,7.8,10.9
6,12,Detroit,9.4,9.7,10.8,8.9,10.1,11.8
6,13,New England,9.4,10.1,13.2,9.3,9.6,10.1
6,14,Miami,9.5,10,7.8,9.5,9.5,9.8
6,15,Atlanta,9.5,9.9,8.6,9.4,9.7,10.6
6,16,New Orleans,9.7,9.9,13.6,10.2,9.3,9.7
6,17,Houston,9.8,10,10.3,8.9,10.6,10.6
6,18,Tampa Bay,9.8,9.6,11.3,11.3,8,9.7
6,19,Indianapolis,10,10.1,7.4,10.8,9.2,9.8
6,20,Tennessee,10.3,9.8,10.5,8.9,11,10.6
6,21,Arizona,10.4,10.7,13.5,9.5,11.7,9.5
6,22,Dallas,10.4,12,10,12.5,9.6,9.9
6,23,Carolina,10.5,11.5,12.5,9.9,10.8,10.1
6,24,Jacksonville,10.7,10.5,9.4,10.8,10.5,10.4
6,25,Cincinnati,10.7,11,10.9,10.9,10.5,11.1
6,26,LA Rams,10.8,12.4,10.2,11.4,10.1,10.2
6,27,Denver,10.8,9.9,9.8,9.7,11.7,9.1
6,28,Chicago,10.9,9.5,8.3,11,10.9,11.5
6,29,NY Giants,11.3,11.3,8.9,10.8,11.5,10.2
6,30,Pittsburgh,11.4,12.2,9.5,9.9,13.4,11.4
6,31,LA Chargers,11.6,10.1,11.7,12.3,10.5,10.9
6,32,Washington,11.7,12.9,10.6,10.8,12.5,10.6
