Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
7,1,Atlanta,3.2,3.5,3.1,2.5,3.7,4.9
7,2,Baltimore,3.3,3.4,2.9,3.3,3.2,5.2
7,3,Buffalo,3.4,3.3,2.5,3.9,2.9,4.1
7,4,Carolina,3.5,3.6,4.3,3.7,2.6,4.7
7,5,Chicago,3.5,3.4,2.1,3.2,3.7,4.9
7,6,Cincinnati,3.6,4,4.2,3.6,3.5,4.7
7,7,Cleveland,3.6,3.8,2.6,3.6,3.6,4.1
7,8,Dallas,3.6,4.4,3.6,3.4,3.7,3.4
7,9,Denver,3.7,3.5,4.5,2.5,4.4,4.5
7,10,Detroit,3.7,3.8,1.8,3.9,3.1,4.4
7,11,Green Bay,3.7,3.9,2.9,3.8,3.5,4.1
7,12,Houston,3.7,3.1,3.3,3.8,3.5,4.4
7,13,Indianapolis,3.9,3.5,3.6,4.5,3.4,5.1
7,14,Jacksonville,3.9,3.4,3.9,4,3.8,4.5
7,15,Kansas City,4,4.1,4.7,3.5,4.4,3.4
7,16,LA Chargers,4,4.2,6.8,3.6,4.2,3.8
7,17,LA Rams,4,4.1,3.7,3.5,4.7,5.4
7,18,Las Vegas,4.1,3.6,4.3,3.5,4.5,4.1
7,19,Miami,4.2,3.2,2.3,3,4.5,4.4
7,20,Minnesota,4.3,4.1,3.3,4.4,4.2,5
7,21,New England,4.3,4.3,4.4,4,4.6,4.5
7,22,New Orleans,4.3,4.2,4.3,4.6,4,4.3
7,23,NY Giants,4.4,5.4,3.6,4.5,4.1,4.2
7,24,NY Jets,4.5,5.1,5,4.2,4.8,4.4
7,25,Philadelphia,4.5,4.4,6.4,4.5,4.5,4.5
7,26,Pittsburgh,4.6,4.4,3.7,4.9,4.2,4.4
7,27,San Francisco,4.8,4.1,5,5.4,3.6,4.2
7,28,Seattle,4.9,5.3,4.9,4.8,4.9,4.3
7,29,Tampa Bay,5,5,3.5,4.5,5.5,4.1
7,30,Arizona,5.1,6.3,4.4,4.6,5.4,5.3
7,31,Tennessee,5.4,5.1,3.9,4.8,5.8,4.3
7,32,Washington,5.6,5.6,3.6,5,6.1,4.3
8,1,New England,3.4,3,3.4,3.8,2.9,4.1
8,2,Chicago,3.4,2.5,2.8,3.1,3.7,4.9
8,3,Seattle,3.5,4.1,5.1,3.3,3.7,4.9
8,4,Jacksonville,3.6,3,3.6,3.6,3.6,4.1
8,5,Philadelphia,3.6,4,3.8,3.7,3.5,4.7
8,6,Minnesota,3.6,3.7,3,2.6,4.4,4.5
8,7,Tennessee,3.6,4.4,3.6,3.4,3.7,3.4
8,8,Cleveland,3.7,4.2,4.2,3.7,3.7,4.7
8,9,Detroit,3.7,4.4,5.4,3.3,4,5.2
8,10,Atlanta,3.7,3.2,3.7,3.8,3.5,4.4
8,11,Tampa Bay,3.8,3.4,4.1,4,3.1,4.4
8,12,Indianapolis,3.8,3.9,4.5,4,3.5,4.1
8,13,Houston,3.9,3.5,3.6,4.5,3.4,5.1
8,14,Miami,3.9,3.3,2.9,3.5,4.1,4.1
8,15,San Francisco,3.9,3.9,3.5,3.5,4.2,3.4
8,16,LA Chargers,3.9,3.4,3.2,3.5,4.3,5.4
8,17,New Orleans,3.9,3.7,4.3,4.1,3.8,4.5
8,18,LA Rams,4.1,3.8,3,4.2,4,4.3
8,19,Dallas,4.2,3.2,2.3,3,4.5,4.4
8,19,Baltimore,4.2,4.8,6,4.1,4.2,3.8
8,21,Las Vegas,4.4,4.5,4.6,4,4.6,4.5
8,22,Arizona,4.4,4.3,3.6,4.5,4.3,4.5
8,23,Washington,4.4,4.2,3.3,4.9,3.9,4.4
8,24,NY Jets,4.4,5.4,3.6,4.5,4.1,4.2
8,25,Green Bay,4.5,4.7,5.8,4.4,4.5,5
8,26,Kansas City,4.6,4.8,5.3,4.5,4.8,4.4
8,27,Pittsburgh,4.7,4.2,4.4,5.4,3.9,4.2
8,28,Carolina,4.9,5.3,4.9,4.8,4.9,4.3
8,29,NY Giants,5,6,4,4.4,5.4,5.3
8,30,Cincinnati,5,5,3.5,4.5,5.5,4.1
8,31,Buffalo,5.2,4.3,4,4.8,5.4,4.3
8,32,Denver,5.5,5.3,4.7,4.9,6.1,4.3
9,1,Chicago,3.3,2.3,2.2,3.1,3.4,4.9
9,2,New England,3.4,2.9,3,3.8,2.9,4.1
9,3,Seattle,3.6,4.1,3.9,3.5,3.7,4.9
9,4,Jacksonville,3.6,3.4,3.9,3.6,3.6,4.1
9,5,Houston,3.6,2.7,1.8,4.5,3.1,5.1
9,6,Minnesota,3.6,4,4.4,2.6,4.4,4.5
9,7,Detroit,3.7,4.5,4.4,3.5,4,5.2
9,8,Atlanta,3.8,3.8,4.1,3.8,3.7,4.4
9,9,Philadelphia,3.8,4.4,5.3,3.7,3.8,4.7
9,10,LA Chargers,3.8,3.3,2.9,3.4,4.3,5.4
