Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
6,1,Miami,9.7,8.8,8.2,10.5,9.1,7.9
6,2,San Francisco,8.5,9.1,4.6,10.2,6.8,8
6,3,Detroit,8,8,8,8.4,7.6,7.6
6,4,Houston,7.8,8.2,7.4,8.5,7.1,6.3
6,5,Buffalo,7.7,8.9,5.6,8.3,7.2,7.5
6,6,LA Chargers,7.6,7.8,6.1,6.6,8.5,6.7
6,7,LA Rams,7.4,7.6,9.4,6.5,8.3,6.6
6,8,Tennessee,7.3,8,7.1,9.8,6.2,7.1
6,9,Chicago,7.3,8.6,5.9,7.2,7.4,6.9
6,10,Seattle,7.2,7.7,7.9,6.6,7.6,7.5
6,11,Baltimore,7.2,7.4,7.4,7,7.4,6.6
6,12,Las Vegas,7.2,7,8.3,7.4,7,7.1
6,13,Philadelphia,7.2,7.5,6.2,8.5,6.7,7.9
6,14,Minnesota,7.1,6.2,5.8,7.1,7.3,7.1
6,15,Kansas City,7.1,7.1,7.5,7.1,7,7.9
6,16,Denver,7.1,6.3,4.3,7,7.1,7
6,17,Washington,7,7.2,6.6,6.8,7.2,6.8
6,18,Dallas,7,7.8,9.1,7.2,6.8,7.1
6,19,Atlanta,6.9,7.3,6.5,7.5,5.7,7.1
6,20,Jacksonville,6.8,7.2,6,6,7.7,6.8
6,21,Green Bay,6.7,6.2,6.1,6.3,7,6.9
6,22,Tampa Bay,6.7,6.3,5.6,7,6.3,6.2
6,23,Indianapolis,6.6,7.4,6,7.5,5.9,6.4
6,24,New Orleans,6.5,5.9,7,6.2,6.6,7.8
6,25,Pittsburgh,6.4,6.7,7,6.3,6.6,6.4
6,26,Arizona,6.2,5.8,5.7,6.9,5.6,6
6,27,NY Jets,6,6.4,5.6,5.6,7,6.4
6,28,New England,5.9,5.7,6.1,5.3,6.6,7.1
6,29,NY Giants,5.8,6,5.6,4.9,6.3,6.6
6,30,Cleveland,5.8,5.8,5.6,5.7,5.9,6.9
6,31,Carolina,5.5,6,5.7,5.5,5.6,7.1
6,32,Cincinnati,5.3,6,5.3,5.3,5.2,7.3
