Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
7,1,Miami,6.5,7,4.9,7.4,5.2,4.2
7,2,Arizona,5.3,4.9,4.3,6.4,4.1,4.3
7,3,NY Jets,5.2,6.2,4.2,4.7,6.2,4.2
7,4,Denver,4.9,5.5,5,5.3,4.5,4.4
7,5,Chicago,4.8,5.2,4.5,4.7,4.9,5.4
7,6,Tennessee,4.6,5.3,6.8,4.7,4.5,4.4
7,7,San Francisco,4.5,4.1,4.3,3.9,5.2,4.6
7,8,Philadelphia,4.5,3.9,3.6,4.8,4.3,4.6
7,9,Cleveland,4.5,3.7,4.7,4.1,5.7,4.7
7,10,Buffalo,4.4,3.6,4.4,4.5,4.3,5.1
7,11,Kansas City,4.3,4.4,3.6,3.9,4.8,4.7
7,12,Baltimore,4.3,4.1,3.6,4.3,4.3,5.1
7,13,Washington,4.3,3.5,3.3,4.4,4.1,4
7,14,LA Rams,4.2,5.1,6.4,5,3.7,4
7,15,Indianapolis,4.2,4.5,2.6,4.3,4.1,4.3
7,16,Seattle,4.2,4.4,3.5,4.5,4,4.8
7,17,Carolina,4.1,3.7,4.3,3.7,4.3,4.6
7,18,Atlanta,4,3.8,3.7,4,4.1,4.9
7,19,Detroit,4,4.3,1.8,4.3,3.7,4.5
7,20,Minnesota,4,4,2.1,4.1,3.9,4.1
7,21,Dallas,3.9,3.7,3.7,3.5,4.3,4.3
7,22,LA Chargers,3.9,3.2,2.3,4.4,2.5,3.7
7,23,Jacksonville,3.8,3.8,2.9,3.7,3.8,4.9
7,24,NY Giants,3.8,3.6,3.9,3.9,3.7,4.9
7,25,Green Bay,3.5,3.7,4.4,3.2,3.7,4.6
7,26,Cincinnati,3.5,3.3,3.1,3.4,3.5,3.9
7,27,Pittsburgh,3.4,3.6,2.9,3,3.9,4.1
7,28,New Orleans,3.4,3.4,3.6,3,3.6,4.3
7,29,New England,3.4,3,4.4,3.2,3.6,4.3
7,30,Houston,3.2,3.5,3.9,3.3,3.1,3.7
7,31,Las Vegas,3,3,2.5,3.1,2.9,4.8
7,32,Tampa Bay,3,3,2.9,3.1,2.8,3.4
8,1,Miami,6.3,6.3,3.8,7.4,5,4.2
8,2,Arizona,5.2,5.2,5.1,6.4,4.4,4.3
8,3,NY Jets,5.2,6.2,4.2,4.7,6.2,4.2
8,4,Denver,5.1,5.7,5.8,5.4,4.5,4.4
8,5,Chicago,4.8,4.8,4.6,4.7,4.9,5.4
8,6,Tennessee,4.6,5.3,6.8,4.7,4.5,4.4
8,7,Cleveland,4.5,4.4,4.5,4.1,5.1,4.7
8,8,Baltimore,4.4,4.5,5.4,4.6,4.3,5.1
8,9,San Francisco,4.3,3.9,3,3.9,4.8,4.6
8,10,LA Rams,4.3,5,4.4,4.8,3.7,4
8,11,Philadelphia,4.3,3.6,2.9,4.2,4.3,4.6
8,12,Buffalo,4.2,3.6,3.4,4.5,4,5.1
8,13,Washington,4.2,3.5,4,4.4,4.1,4
8,14,Indianapolis,4.2,4.5,4.2,4.3,4.1,4.3
8,15,Kansas City,4.2,3.3,3.2,3.8,4.8,4.7
8,16,LA Chargers,4.1,4,5.3,4.4,3.7,3.7
8,17,Detroit,4.1,4.3,6,4.3,4,4.5
8,18,Carolina,4.1,3.7,4.3,3.7,4.3,4.6
8,19,Seattle,4.1,4,3.6,4.2,4,4.8
8,20,Atlanta,4,3.5,4.1,4,4.1,4.9
8,21,Dallas,3.9,3.7,3.7,3.5,4.3,4.3
8,22,Minnesota,3.9,3.1,3.5,3.9,3.9,4.1
8,23,Jacksonville,3.8,4.1,4.3,3.7,3.9,4.9
8,24,Green Bay,3.8,4.2,4.7,3.2,4,4.6
8,25,NY Giants,3.7,3.4,3.3,3.7,3.7,4.9
8,26,New England,3.5,3.7,4,3.4,3.6,4.3
8,27,Cincinnati,3.5,3.3,3.1,3.4,3.5,3.9
8,28,New Orleans,3.5,3.4,3.6,3.3,3.6,4.3
8,29,Pittsburgh,3.3,3.4,3,3,3.6,4.1
8,30,Houston,3.2,3.5,3.9,3.3,3.1,3.7
8,31,Tampa Bay,3.1,3.4,3.7,3.2,2.8,3.4
8,32,Las Vegas,3,2.9,2.8,3.1,2.9,4.8
9,1,Miami,5.9,4,3,6.5,5,4.2
9,2,Arizona,5.1,4.4,4,5.7,4.4,4.3
9,3,NY Jets,4.9,5.1,2.6,4.7,5.1,4.2
9,4,Denver,4.8,4.7,3.8,4.9,4.5,4.4
9,5,Chicago,4.6,4.1,2.9,4.7,4.4,5.4
9,6,Indianapolis,4.5,4.6,6.8,4.7,4.1,4.3
9,7,Tennessee,4.5,4.8,4.1,4.5,4.5,4.4
9,8,Baltimore,4.4,4.4,4.5,4.6,4.3,5.1
9,9,San Francisco,4.4,4.1,4.9,4.1,4.8,4.6
9,10,Cleveland,4.4,4.3,3.9,4.1,4.7,4.7
9,11,Seattle,4.3,4.3,6.7,4.6,4,4.8
9,12,Washington,4.3,4.1,5.3,4.6,4.1,4
9,13,Detroit,4.3,4.4,5.2,4.6,4,4.5
9,14,Buffalo,4.3,4.1,4.4,4.5,4,5.1
9,15,LA Rams,4.2,4.9,3.8,4.8,3.7,4
9,16,Atlanta,4.2,4.3,5.4,4,4.4,4.9
9,17,Kansas City,4.2,3.5,3.9,3.8,4.6,4.7
9,18,Philadelphia,4.1,3.1,2.7,4.2,4,4.6
9,19,Dallas,3.9,3.6,3.9,3.6,4.3,4.3
9,20,LA Chargers,3.9,3.3,2.2,4,3.7,3.7
9,21,Green Bay,3.8,4.5,4.4,3.6,4,4.6
9,22,Jacksonville,3.8,3.6,3.5,3.7,3.8,4.9
9,23,Carolina,3.8,3.5,1.8,3.1,4.3,4.6
9,24,Cincinnati,3.7,3.8,5,3.4,3.9,3.9
9,25,NY Giants,3.7,3.7,3.9,3.8,3.7,4.9
9,26,New Orleans,3.6,3.9,4.5,3.3,3.8,4.3
9,27,New England,3.6,4.1,4.1,3.4,3.7,4.3
9,28,Minnesota,3.6,2.5,2,3.9,3.2,4.1
9,29,Pittsburgh,3.4,3.2,3.9,3.2,3.6,4.1
9,30,Houston,3.3,3.5,3.7,3.3,3.3,3.7
9,31,Tampa Bay,3.2,3.7,4.6,3.2,3.2,3.4
9,32,Las Vegas,3.1,3.1,4.4,3.1,3.1,4.8
10,1,Miami,5.9,4.1,5.6,6.5,5.1,4.2
10,2,Denver,4.8,4.7,3.8,4.9,4.5,4.4
10,3,Baltimore,4.8,5.9,7.3,5.4,4.3,5.1
10,4,Arizona,4.8,3.8,2,5.7,4,4.3
10,5,NY Jets,4.7,3.3,3.2,4.4,5.1,4.2
10,6,Chicago,4.6,4.2,4.9,4.7,4.5,5.4
10,7,Tennessee,4.4,4.8,4.2,4.5,4.4,4.4
10,8,San Francisco,4.4,4.1,4.9,4.1,4.8,4.6
10,9,Washington,4.3,4.4,4.3,4.6,4.1,4
10,10,Detroit,4.3,4.4,5.2,4.6,4,4.5
10,11,Indianapolis,4.3,4.4,2.6,4.7,3.7,4.3
10,12,Buffalo,4.3,4,4.3,4.5,4.1,5.1
10,13,Atlanta,4.1,4.4,3.9,4,4.4,4.9
10,14,Cleveland,4.1,3.7,2.8,3.8,4.7,4.7
10,15,Seattle,4.1,4,1.9,4.6,3.6,4.8
10,16,Kansas City,4.1,3.7,3.9,3.8,4.5,4.7
10,17,LA Rams,4,3.6,2.6,4.8,3.5,4
10,18,Philadelphia,4,3,3.3,4,4,4.6
10,19,Green Bay,4,4.7,4.8,4.1,4,4.6
10,20,Carolina,3.9,3.8,4.9,3.6,4.3,4.6
10,21,Dallas,3.9,3.7,3.5,3.6,4.1,4.3
10,22,LA Chargers,3.9,3.8,4,4,3.8,3.7
10,23,NY Giants,3.8,4,4.9,3.8,3.9,4.9
10,24,Jacksonville,3.8,3.6,3.5,3.7,3.8,4.9
10,25,New England,3.7,4.5,5.6,3.8,3.7,4.3
10,26,Pittsburgh,3.7,4.2,5.5,3.8,3.6,4.1
10,27,Minnesota,3.7,3.3,4.4,3.9,3.5,4.1
10,28,Cincinnati,3.6,3.7,2.5,3.1,3.9,3.9
10,29,New Orleans,3.6,3.8,3.2,3.3,3.8,4.3
10,30,Houston,3.3,3.6,3.1,3.3,3.3,3.7
10,31,Las Vegas,3.2,3.7,3.7,3.3,3.1,4.8
10,32,Tampa Bay,3.1,3.4,2.6,3.2,3,3.4
11,1,Miami,5.9,4.1,5.6,6.5,5.1,4.2
11,2,Baltimore,4.8,5.7,4.4,5.3,4.3,5.1
11,3,Arizona,4.8,3.7,4.7,5.5,4,4.3
11,4,NY Jets,4.7,3.7,5.1,4.4,5.1,4.2
11,5,Buffalo,4.6,5.5,7.4,5,4.1,5.1
11,6,Denver,4.6,4.1,3.2,4.9,4,4.4
11,7,Detroit,4.5,5.8,6.5,4.6,4.5,4.5
11,8,Chicago,4.5,3.9,3.6,4.5,4.5,5.4
11,9,San Francisco,4.4,4.3,4.8,4.1,4.8,4.6
11,10,Washington,4.4,4.7,4.9,4.6,4.2,4
11,11,Tennessee,4.3,3.8,2.6,4.5,4.2,4.4
11,12,Cleveland,4.2,3.8,4.9,3.8,4.7,4.7
11,13,Seattle,4.2,4.5,4.6,4.6,3.6,4.8
11,14,Atlanta,4.2,4.6,4.5,4,4.4,4.9
11,15,Kansas City,4.1,3.7,3.9,3.8,4.5,4.7
11,16,Indianapolis,4.1,3.9,2.7,4.7,3.5,4.3
11,17,Green Bay,4.1,4.7,4.8,4.1,4.1,4.6
11,18,Dallas,4,4.3,5.1,4,4.1,4.3
11,19,Pittsburgh,4,5.3,5.7,4.3,3.6,4.1
11,20,LA Rams,4,3.6,2.6,4.8,3.5,4
11,21,Philadelphia,4,3,3.3,4,4,4.6
11,22,NY Giants,3.9,4.4,4.8,3.8,4.1,4.9
11,23,New England,3.9,4.7,4.6,3.8,3.9,4.3
11,24,LA Chargers,3.8,3.2,3.5,3.9,3.8,3.7
11,25,Carolina,3.8,3.3,2.7,3.6,4.1,4.6
11,26,Jacksonville,3.8,3.8,3.5,3.7,3.8,4.9
11,27,Minnesota,3.7,3.4,3.8,3.9,3.5,4.1
11,28,Cincinnati,3.6,3.9,4.1,3.3,3.9,3.9
11,29,New Orleans,3.6,4,4.3,3.3,3.8,4.3
11,30,Houston,3.6,4.3,5.5,3.3,3.8,3.7
11,31,Las Vegas,3.4,4.2,4.6,3.6,3.1,4.8
11,32,Tampa Bay,3.1,3.1,2.7,3.1,3,3.4
12,1,Miami,5.6,3.9,3.5,6,5.1,4.2
12,2,Baltimore,4.8,5.8,5.1,5.2,4.3,5.1
12,3,Arizona,4.8,4,4.9,5.5,4.1,4.3
12,4,NY Jets,4.6,4,3.5,4.4,4.8,4.2
12,5,Detroit,4.6,5.6,5.2,4.7,4.5,4.5
12,6,Washington,4.6,5.2,6.2,5.1,4.2,4
12,7,Denver,4.5,3.5,3.1,4.8,4,4.4
12,8,Buffalo,4.4,4.9,3.4,4.7,4.1,5.1
12,9,Chicago,4.4,4.1,4,4.5,4.4,5.4
12,10,San Francisco,4.4,4.5,3.8,4,4.8,4.6
12,11,Tennessee,4.4,4,4.8,4.5,4.3,4.4
12,12,Kansas City,4.3,4.6,5.6,4.2,4.5,4.7
12,13,Pittsburgh,4.3,5.9,6.6,4.3,4.3,4.1
12,14,Atlanta,4.2,4.6,4.5,4,4.4,4.9
12,15,Cleveland,4.2,3.7,3.3,3.7,4.7,4.7
12,16,Indianapolis,4.1,3.9,2.7,4.7,3.5,4.3
12,17,Seattle,4.1,3.5,3.2,4.6,3.5,4.8
12,18,LA Chargers,4.1,4.5,6.3,3.9,4.3,3.7
12,19,Green Bay,4.1,4.5,3.6,4,4.1,4.6
12,20,Dallas,4,4.3,4,4,4.1,4.3
12,21,Philadelphia,4,3.4,4.2,4,4.1,4.6
12,22,NY Giants,4,4.9,4.8,3.8,4.2,4.9
12,23,LA Rams,3.9,3.1,3,4.4,3.5,4
12,24,Carolina,3.9,4.3,4.8,3.8,4.1,4.6
12,25,New England,3.9,4.7,4.6,3.8,3.9,4.3
12,26,Cincinnati,3.9,4.2,5.9,3.3,4.3,3.9
12,27,Minnesota,3.9,4.4,4.9,3.9,3.8,4.1
12,28,Jacksonville,3.7,3.5,3.6,3.6,3.8,4.9
12,29,Houston,3.6,4.6,4.4,3.5,3.8,3.7
12,30,New Orleans,3.6,4,4.3,3.3,3.8,4.3
12,31,Las Vegas,3.3,3.8,2.3,3.6,3,4.8
12,32,Tampa Bay,3.1,2.9,3.7,3.1,3.1,3.4
13,1,Miami,5.5,4.5,4.5,6,4.9,4.2
13,2,Baltimore,4.9,5.1,5.6,5.2,4.5,5.1
13,3,Arizona,4.8,4.8,4.9,5.4,4.1,4.3
13,4,Detroit,4.6,5.4,4.5,4.6,4.5,4.5
13,5,NY Jets,4.5,4.1,2.9,4.3,4.8,4.2
13,6,Washington,4.5,5.1,4,5.1,4.2,4
13,7,San Francisco,4.5,4.6,5.1,4,4.8,4.6
13,8,Denver,4.4,3.7,4.3,4.7,4,4.4
13,9,Buffalo,4.4,4.8,4.3,4.7,4.1,5.1
13,10,Chicago,4.4,3.9,4.2,4.5,4.3,5.4
13,11,Atlanta,4.4,4.7,5.6,4.3,4.4,4.9
13,12,Pittsburgh,4.3,5.6,4.6,4.3,4.4,4.1
13,13,LA Rams,4.3,4.4,6.9,4.4,4.2,4
13,14,Indianapolis,4.3,3.7,5.7,4.8,3.5,4.3
13,15,Tennessee,4.3,3.6,3.3,4.3,4.3,4.4
13,16,Philadelphia,4.2,4.4,5.8,4.3,4.1,4.6
13,17,Kansas City,4.2,4.3,3,4.2,4.2,4.7
13,18,Cleveland,4.2,4.3,4.5,3.7,4.7,4.7
13,19,Dallas,4.1,4.8,5.6,4.2,4.1,4.3
13,20,Green Bay,4.1,4.4,5,4,4.2,4.6
13,21,Seattle,4.1,4.1,4.2,4.5,3.5,4.8
13,22,LA Chargers,4.1,4.7,4.5,3.9,4.3,3.7
13,23,New England,4,4.9,4.7,3.8,4.1,4.3
13,24,NY Giants,3.9,4.3,3.1,3.7,4.2,4.9
13,25,Minnesota,3.9,4.3,4.3,3.9,3.8,4.1
13,26,Carolina,3.8,3.5,3,3.8,3.8,4.6
13,27,Cincinnati,3.8,4.5,2.3,3.2,4.3,3.9
13,28,New Orleans,3.8,4.3,5.3,3.3,4,4.3
13,29,Houston,3.7,5.1,5.1,3.7,3.8,3.7
13,30,Jacksonville,3.7,3.2,2.7,3.6,3.7,4.9
13,31,Las Vegas,3.5,4.3,5.3,3.8,3,4.8
13,32,Tampa Bay,3.3,4.1,6.6,3.1,3.6,3.4
14,1,Miami,5.3,3.9,3.6,6,4.7,4.2
14,2,Baltimore,4.9,5.1,5.6,5.2,4.5,5.1
14,3,Arizona,4.7,4.4,3.9,5.4,4.1,4.3
14,4,Detroit,4.6,4.8,4.7,4.6,4.6,4.5
14,5,Washington,4.6,5.1,4.9,5.1,4.2,4
14,6,San Francisco,4.5,4.7,5.2,4,4.9,4.6
14,7,Buffalo,4.4,4.8,4.3,4.7,4.1,5.1
14,8,Denver,4.4,4,3.9,4.7,4,4.4
14,9,Chicago,4.4,3.9,4.2,4.5,4.3,5.4
14,10,Kansas City,4.3,4.9,5.9,4.2,4.5,4.7
14,11,NY Jets,4.3,2.9,2.5,4,4.8,4.2
14,12,Pittsburgh,4.3,5.1,4.2,4.3,4.4,4.1
14,13,LA Rams,4.3,5.1,4.8,4.5,4.2,4
14,14,Tennessee,4.3,4.1,4.2,4.3,4.3,4.4
14,15,Green Bay,4.2,4.5,5.2,4.2,4.2,4.6
14,16,Atlanta,4.2,4.3,2.6,4.3,4.1,4.9
14,17,Cleveland,4.2,3.8,3.8,3.7,4.6,4.7
14,18,Indianapolis,4.1,3.7,2.4,4.8,3.3,4.3
14,19,Philadelphia,4.1,4.5,2.6,4.2,4.1,4.6
14,20,Dallas,4.1,4.3,4,4.1,4.1,4.3
14,21,Seattle,4.1,3.6,3.3,4.5,3.5,4.8
14,22,New England,4,4.7,4.6,4,4.1,4.3
14,23,Cincinnati,3.9,4.9,5,3.2,4.5,3.9
14,24,NY Giants,3.9,4.3,3.1,3.7,4.2,4.9
14,25,Minnesota,3.9,4.3,4.3,3.9,3.8,4.1
14,26,LA Chargers,3.9,4,1.2,3.9,3.8,3.7
14,27,Carolina,3.8,3.8,3.9,3.8,3.8,4.6
14,28,New Orleans,3.7,4.1,3.1,3.2,4,4.3
14,29,Houston,3.7,4,3,3.5,3.8,3.7
14,30,Jacksonville,3.6,3.1,2.8,3.5,3.7,4.9
14,31,Las Vegas,3.5,4.3,5.3,3.8,3,4.8
14,32,Tampa Bay,3.5,4.9,4.6,3.4,3.6,3.4
15,1,Miami,5.3,4.4,5.1,5.8,4.7,4.2
15,2,Baltimore,4.9,5.4,5.3,5.2,4.5,5.1
15,3,Arizona,4.7,4.4,3.9,5.4,4.1,4.3
