Week,Team,Pos,G,Cmp,Passing Attempts,Passing Yards,Passing TDs,INTs,Rushing Attempts,Rushing Yards,Rushing TDs,Receptions,Receiving Yards,Receiving TDs,FPts,FPts/G
6,Broncos,RB,5,,,,,,134,821,8,30,256,4,209.7,41.9
6,Panthers,RB,5,,,,,,123,640,8,20,144,1,152.4,30.5
6,Bears,RB,5,,,,,,107,394,4,31,331,4,151.5,30.3
6,Cardinals,RB,5,,,,,,122,500,4,29,185,4,145.5,29.1
6,Packers,RB,5,,,,,,132,534,5,32,211,0,136.5,27.3
6,Giants,RB,5,,,,,,128,679,7,16,91,0,135,27
6,Chargers,RB,4,,,,,,89,370,3,27,218,0,103.8,26
6,Bills,RB,5,,,,,,93,527,4,26,247,0,127.4,25.5
6,Texans,RB,5,,,,,,119,441,5,23,195,1,122.6,24.5
6,Jets,RB,5,,,,,,126,534,1,31,260,1,122.4,24.5
6,Patriots,RB,5,,,,,,117,422,5,28,181,0,118.3,23.7
6,Colts,RB,5,,,,,,123,445,5,24,183,0,116.8,23.4
6,Seahawks,RB,4,,,,,,91,237,5,22,144,0,90.1,22.5
6,Steelers,RB,5,,,,,,123,585,3,17,127,1,112.2,22.4
6,Raiders,RB,5,,,,,,122,520,3,23,126,0,105.6,21.1
6,Dolphins,RB,5,,,,,,114,473,4,16,171,0,104.4,20.9
6,Buccaneers,RB,4,,,,,,68,333,0,26,124,1,77.7,19.4
6,Cowboys,RB,5,,,,,,101,389,3,21,118,1,95.7,19.1
6,Bengals,RB,5,,,,,,107,536,3,14,101,0,95.7,19.1
6,Titans,RB,5,,,,,,102,410,3,13,127,1,90.7,18.1
6,Commanders,RB,5,,,,,,98,433,3,19,92,0,89.5,17.9
6,49ers,RB,5,,,,,,59,217,2,30,170,1,86.7,17.3
6,Ravens,RB,5,,,,,,109,417,0,23,155,1,86.2,17.2
6,Vikings,RB,5,,,,,,120,431,2,17,87,0,80.8,16.2
6,Jaguars,RB,5,,,,,,84,301,1,28,159,0,80,16
6,Rams,RB,5,,,,,,102,428,2,16,86,0,79.4,15.9
