Week,Team,Pos,G,Cmp,Att,Yard,TD,INT,Att,Yard,TD,Rec,Receiving Yards,Receiving TDs,FPts,FPts/G
6,Bills,QB,5,128,175,"1,407",11,5,27,113,3,,,,143.7,28.7
6,Dolphins,QB,5,121,168,"1,681",12,5,14,20,0,,,,134.1,26.8
6,Chargers,QB,4,103,145,"1,105",7,1,20,56,3,,,,106.9,26.7
6,Eagles,QB,5,113,168,"1,262",6,4,55,206,4,,,,131.7,26.3
6,Vikings,QB,5,137,204,"1,498",13,4,8,22,0,,,,129.1,25.8
6,Bears,QB,5,94,152,"1,143",11,5,39,191,1,,,,126.3,25.3
6,Chiefs,QB,5,126,189,"1,318",10,6,25,153,0,,,,121.2,24.2
6,Ravens,QB,5,100,143,"1,030",4,2,49,273,4,,,,118.8,23.8
6,Broncos,QB,5,109,163,"1,210",11,2,18,119,0,,,,116.4,23.3
6,Colts,QB,5,107,167,"1,130",5,1,29,140,4,,,,114.5,22.9
6,49ers,QB,5,99,137,"1,272",9,0,17,19,2,,,,113.5,22.7
6,Lions,QB,5,111,159,"1,265",9,3,16,10,2,,,,112.3,22.5
6,Packers,QB,5,90,162,"1,083",8,6,19,109,2,,,,109.1,21.8
6,Commanders,QB,5,131,191,"1,349",6,6,15,101,1,,,,107.6,21.5
6,Texans,QB,5,114,186,"1,461",7,0,15,53,0,,,,106.4,21.3
6,Buccaneers,QB,4,87,125,882,7,2,23,61,0,,,,78.2,19.6
6,Rams,QB,5,124,203,"1,451",5,5,10,49,0,,,,97.5,19.5
6,Jaguars,QB,5,123,182,"1,267",5,2,30,132,0,,,,96.6,19.3
6,Cardinals,QB,5,102,155,980,6,2,27,142,1,,,,93.2,18.6
6,Panthers,QB,5,126,202,"1,111",7,4,11,77,0,,,,91.3,18.3
6,Browns,QB,4,84,138,799,4,5,19,107,1,,,,72.7,18.2
6,Raiders,QB,5,110,164,"1,155",6,8,19,26,1,,,,90.4,18.1
6,Falcons,QB,5,102,156,"1,073",4,3,18,57,2,,,,87.4,17.5
6,Seahawks,QB,4,86,129,909,5,1,9,33,0,,,,68.8,17.2
6,Giants,QB,5,115,166,976,2,6,42,213,1,,,,84.1,16.8
6,Patriots,QB,5,112,186,"1,087",5,6,15,60,0,,,,80.4,16.1
6,Cowboys,QB,5,115,165,"1,089",5,4,16,41,0,,,,78.6,15.7
6,Steelers,QB,5,98,164,"1,045",5,4,16,12,0,,,,73.5,14.7
6,Bengals,QB,5,123,198,"1,045",5,3,13,9,0,,,,73.2,14.6
6,Titans,QB,5,90,142,"1,052",2,5,12,40,1,,,,70.6,14.1
6,Jets,QB,5,91,150,911,4,5,15,83,0,,,,69.9,14
6,Saints,QB,5,108,167,"1,047",4,3,13,1,0,,,,68.5,13.7
6,Dolphins,RB,5,,,,,,113,864,12,30,280,3,234.4,46.9
6,49ers,RB,5,,,,,,140,679,8,29,213,2,178.2,35.6
6,Lions,RB,5,,,,,,145,637,7,21,123,0,139,27.8
6,Falcons,RB,5,,,,,,129,555,2,29,213,2,129.8,26
6,Chiefs,RB,5,,,,,,106,439,4,25,197,2,124.6,24.9
6,Browns,RB,4,,,,,,101,458,2,16,120,2,97.8,24.5
6,Cowboys,RB,5,,,,,,129,488,3,30,177,1,120.5,24.1
6,Seahawks,RB,4,,,,,,90,401,5,14,107,0,94.8,23.7
6,Broncos,RB,5,,,,,,85,389,1,34,268,2,117.7,23.5
6,Bills,RB,5,,,,,,102,468,4,23,205,0,114.3,22.9
6,Jaguars,RB,5,,,,,,116,445,5,21,159,0,111.4,22.3
6,Eagles,RB,5,,,,,,124,614,2,25,126,0,111,22.2
6,Rams,RB,5,,,,,,109,375,6,16,119,1,107.4,21.5
6,Titans,RB,5,,,,,,113,484,3,23,164,0,105.8,21.2
6,Colts,RB,5,,,,,,119,512,3,17,124,1,104.6,20.9
6,Jets,RB,5,,,,,,96,516,2,25,147,0,103.3,20.7
6,Ravens,RB,5,,,,,,107,431,5,17,132,0,103.3,20.7
6,Commanders,RB,5,,,,,,83,332,3,21,220,1,100.2,20
6,Saints,RB,5,,,,,,104,354,3,29,141,0,96.5,19.3
6,Raiders,RB,5,,,,,,91,278,2,31,256,0,96.4,19.3
6,Bears,RB,5,,,,,,89,436,1,23,149,1,93.5,18.7
6,Vikings,RB,5,,,,,,82,373,0,25,135,2,87.8,17.6
,Steelers,RB,5,,,,,,97,371,0,28,214,0,86.5,17.3
6,Cardinals,RB,5,,,,,,94,427,3,15,78,0,83.5,16.7
6,Patriots,RB,5,,,,,,112,354,1,27,145,0,82.9,16.6
6,Panthers,RB,5,,,,,,96,344,1,27,138,0,81.2,16.2
6,Giants,RB,5,,,,,,80,240,2,25,138,1,80.8,16.2
6,Chargers,RB,4,,,,,,85,352,2,9,80,0,64.2,16.1
6,Packers,RB,5,,,,,,94,295,2,12,141,1,73.6,14.7
6,Buccaneers,RB,4,,,,,,91,265,1,16,98,0,58.3,14.6
6,Texans,RB,5,,,,,,114,350,1,16,127,0,69.7,13.9
6,Bengals,RB,5,,,,,,92,362,1,18,82,0,68.4,13.7
6,Dolphins,WR,5,,,,,,8,45,0,80,"1,278",9,266.3,53.3
6,Chargers,WR,4,,,,,,7,70,0,75,911,5,203.1,50.8
6,Bills,WR,5,,,,,,4,0,0,76,"1,006",10,236.6,47.3
6,Rams,WR,5,,,,,,6,46,0,88,"1,090",4,225.6,45.1
6,Vikings,WR,5,,,,,,1,9,0,73,"1,034",8,225.3,45.1
6,Texans,WR,5,,,,,,5,8,0,75,"1,113",5,217.1,43.4
6,Bengals,WR,5,,,,,,1,2,0,91,865,5,207.7,41.5
6,Buccaneers,WR,4,,,,,,3,22,0,57,705,6,165.7,41.4
6,Panthers,WR,5,,,,,,12,59,0,81,819,5,198.8,39.8
6,Broncos,WR,5,,,,,,3,13,0,60,831,8,192.4,38.5
6,Raiders,WR,5,,,,,,5,53,0,70,796,6,190.9,38.2
6,Eagles,WR,5,,,,,,0,0,0,65,921,5,187.1,37.4
6,Lions,WR,5,,,,,,3,55,0,60,820,6,183.5,36.7
6,Jaguars,WR,5,,,,,,6,19,0,68,810,5,180.9,36.2
6,Commanders,WR,5,,,,,,3,20,1,76,781,3,180.1,36
6,49ers,WR,5,,,,,,16,84,1,53,844,4,175.8,35.2
6,Cardinals,WR,5,,,,,,9,145,1,55,655,5,171,34.2
6,Cowboys,WR,5,,,,,,10,93,1,63,733,2,163.6,32.7
6,Seahawks,WR,4,,,,,,0,0,0,50,505,5,130.5,32.6
6,Packers,WR,5,,,,,,2,-7,0,50,708,7,162.1,32.4
6,Saints,WR,5,,,,,,3,11,0,66,816,2,160.7,32.1
