Rank,Rank_Overall,Rank_Superflex,"Full Name","Team Abbrev",Position,"Fantasy Points Per Game","Best Ball Points Added",ADP,id
1,1,5,"Christian McCaffrey",SF,RB,24.5,283.3,1.2,9e801ec6-ed8e-49b1-8b66-90553d7dd7e2
2,2,6,"Tyreek Hill",MIA,WR,23.5,245.2,3.2,a36d312f-0f65-4e3a-98ef-823608309b21
3,3,7,"CeeDee Lamb",DAL,WR,23.7,263.8,2.1,098d87b9-1fc9-4466-a7dd-7f35f697f506
4,4,8,"Ja'Marr Chase",CIN,WR,16.4,137.4,4.1,5a9b6074-7296-4571-94f8-6b9e803ba039
5,5,9,"Justin Jefferson",MIN,WR,20.2,126.1,5.4,8209c653-34c2-4bc5-8434-d5a6d2c8b27b
6,6,10,"Amon-Ra St. Brown",DET,WR,20.7,202.8,6.1,7b36b9f5-93c3-4fb7-8703-f89aa740c452
7,7,11,"Breece Hall",NYJ,RB,17.1,188.6,7.8,3f671138-3ef9-437b-af4b-f865c1423161
8,8,13,"Bijan Robinson",ATL,RB,14.5,145.2,7.1,7f4475be-2cd2-4e94-9272-9d6e1c6a6262
9,9,15,"A.J. Brown",PHI,WR,17.0,166.2,10.2,2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7
10,10,18,"Puka Nacua",LAR,WR,17.6,165.1,9.3,fb1781a7-ebfc-47c4-a925-18ad114c9834
11,11,20,"Jahmyr Gibbs",DET,RB,16.1,142.7,11.7,f098bc7a-7b26-4b95-8a2a-5603e0c79eab
12,12,22,"Garrett Wilson",NYJ,WR,12.5,86.4,11.2,c76953d5-dc07-49f6-85e2-731b919c09a0
13,13,23,"Jonathan Taylor",IND,RB,15.6,91.3,16.1,b4792419-5e76-45de-864a-741ac6df7651
14,14,24,"Marvin Harrison Jr.",ARI,WR,-,-,13.5,ffadf9c7-84c5-4cbd-882c-08ac77e4ceff
15,15,25,"Saquon Barkley",PHI,RB,15.9,130.3,15.4,5b733acd-4a48-40f0-9662-51e4540b0351
