"Player ID",Name,URL,Team,Position,Age,"Draft Pick",Type,Strategy,"Lifetime Value","Lifetime Value Change",Rank,"Positional Rank"
AJ-2501,"Ashton Jeanty",http://www.playerprofiler.com/nfl/ashton-jeanty/,"Boise State",RB,21.2,-,ppr,default,284.620000,0.00,1,1
TM-0223,"Tetairoa McMillan",http://www.playerprofiler.com/nfl/tetairoa-mcmillan/,Arizona,WR,21.9,-,ppr,default,162.260000,0.00,2,1
TH-0223,"Travis Hunter",http://www.playerprofiler.com/nfl/travis-hunter/,Colorado,WR,21.9,-,ppr,default,128.530000,0.00,3,2
KJ-0512,"Kaleb Johnson",http://www.playerprofiler.com/nfl/kaleb-johnson/,Iowa,RB,21.5,-,ppr,default,114.330000,0.00,4,2
OH-2501,"Omarion Hampton",http://www.playerprofiler.com/nfl/omarion-hampton/,"North Carolina",RB,21.9,-,ppr,default,113.560000,0.00,5,3
EE-0222,"Emeka Egbuka",http://www.playerprofiler.com/nfl/emeka-egbuka/,"Ohio State",WR,22.4,-,ppr,default,111.360000,0.00,6,3
TH-9147,"TreVeyon Henderson",http://www.playerprofiler.com/nfl/treveyon-henderson/,"Ohio State",RB,22.3,-,ppr,default,108.720000,7.31,7,4
LB-0222,"Luther Burden III",http://www.playerprofiler.com/nfl/luther-burden/,Missouri,WR,21.2,-,ppr,default,107.160000,0.00,8,4
QJ-2501,"Quinshon Judkins",http://www.playerprofiler.com/nfl/quinshon-judkins/,"Ohio State",RB,21.3,-,ppr,default,104.680000,12.93,9,5
TW-2504,"Tyler Warren",http://www.playerprofiler.com/nfl/tyler-warren/,"Penn State",TE,22.8,-,ppr,default,90.950000,9.56,10,1
EA-2501,"Elic Ayomanor",http://www.playerprofiler.com/nfl/elic-ayomanor/,Stanford,WR,21.7,-,ppr,default,73.040000,0.00,11,5
MG-2502,"Matthew Golden",http://www.playerprofiler.com/nfl/matthew-golden/,Texas,WR,21.6,-,ppr,default,65.920000,0.00,12,6
OG-2501,"Ollie Gordon II",http://www.playerprofiler.com/nfl/ollie-gordon/,"Oklahoma State",RB,21.1,-,ppr,default,64.990000,0.00,13,6
DN-2501,"Devin Neal",http://www.playerprofiler.com/nfl/devin-neal/,Kansas,RB,21.5,-,ppr,default,61.470000,0.00,14,7
DS-2503,"Dylan Sampson",http://www.playerprofiler.com/nfl/dylan-sampson/,Tennessee,RB,20.4,-,ppr,default,59.160000,0.00,15,8
WM-2501,"Woody Marks",http://www.playerprofiler.com/nfl/woody-marks/,USC,RB,24.2,-,ppr,default,58.770000,0.00,16,9
TH-2502,"Tre Harris",http://www.playerprofiler.com/nfl/tre-harris/,"Ole Miss",WR,23.0,-,ppr,default,57.370000,0.00,17,7
IB-0222,"Isaiah Bond",http://www.playerprofiler.com/nfl/isaiah-bond/,Texas,WR,21.9,-,ppr,default,49.450000,0.00,18,8
CL-2503,"Colston Loveland",http://www.playerprofiler.com/nfl/colston-loveland/,Michigan,TE,20.9,-,ppr,default,49.190000,0.00,19,2
