ID,Name,Position,Roster Position,TeamAbbrev,Salary
35660205,CeeDee Lamb,WR,WR/FLEX,DAL,8900
35660207,Tyreek Hill,WR,WR/FLEX,MIA,8700
35659901,Christian McCaffrey,RB,RB/FLEX,SF,8600
35660209,Justin Jefferson,WR,WR/FLEX,MIN,8400
35660211,Amon-Ra St. Brown,WR,WR/FLEX,DET,8200
35660213,A.J. Brown,WR,WR/FLEX,PHI,8000
35659805,Josh Allen,QB,QB,BUF,8000
35659806,Lamar Jackson,QB,QB,BAL,7800
35660215,Ja'Marr Chase,WR,WR/FLEX,CIN,7800
35659903,Jonathan Taylor,RB,RB/FLEX,IND,7800
35659905,Bijan Robinson,RB,RB/FLEX,ATL,7700
35660217,Davante Adams,WR,WR/FLEX,LV,7600
35659907,Breece Hall,RB,RB/FLEX,NYJ,7500
35659807,C.J. Stroud,QB,QB,HOU,7500
35660219,Puka Nacua,WR,WR/FLEX,LAR,7400
35659808,Jalen Hurts,QB,QB,PHI,7300
35660221,Mike Evans,WR,WR/FLEX,TB,7300
35660223,Marvin Harrison Jr.,WR,WR/FLEX,ARI,7200
35659909,Travis Etienne Jr.,RB,RB/FLEX,JAX,7200
35659809,Dak Prescott,QB,QB,DAL,7100
35660225,Cooper Kupp,WR,WR/FLEX,LAR,7100
35660227,Deebo Samuel Sr.,WR,WR/FLEX,SF,7000
35659911,Saquon Barkley,RB,RB/FLEX,PHI,7000
35660229,Nico Collins,WR,WR/FLEX,HOU,7000
35659810,Tua Tagovailoa,QB,QB,MIA,7000
35659811,Patrick Mahomes,QB,QB,KC,6900
35659915,Derrick Henry,RB,RB/FLEX,BAL,6900
35660233,Garrett Wilson,WR,WR/FLEX,NYJ,6900
35659913,James Cook,RB,RB/FLEX,BUF,6900
35660231,Keenan Allen,WR,WR/FLEX,CHI,6900
35660237,Brandon Aiyuk,WR,WR/FLEX,SF,6800
35660235,Michael Pittman Jr.,WR,WR/FLEX,IND,6800
35659919,De'Von Achane,RB,RB/FLEX,MIA,6800
35659917,Kyren Williams,RB,RB/FLEX,LAR,6800
