Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (37128352),Saquon Barkley,37128352,RB/FLEX,8600,DAL@PHI 12/29/2024 01:00PM ET,PHI,24.49
QB,Josh Allen (37128254),Josh Allen,37128254,QB,8500,NYJ@BUF 12/29/2024 01:00PM ET,BUF,24.87
RB,Jahmyr Gibbs (37128354),Jahmyr Gibbs,37128354,RB/FLEX,8500,DET@SF 12/30/2024 08:15PM ET,DET,20.04
WR,Ja'Marr Chase (37128674),Ja'Marr Chase,37128674,WR/FLEX,8400,DEN@CIN 12/28/2024 04:30PM ET,CIN,24.68
WR,Justin Jefferson (37128676),Justin Jefferson,37128676,WR/FLEX,8300,GB@MIN 12/29/2024 04:25PM ET,MIN,20.46
RB,Bijan Robinson (37128356),Bijan Robinson,37128356,RB/FLEX,8200,ATL@WAS 12/29/2024 08:20PM ET,ATL,19.84
RB,Josh Jacobs (37128358),Josh Jacobs,37128358,RB/FLEX,8100,GB@MIN 12/29/2024 04:25PM ET,GB,18.77
WR,Puka Nacua (37128678),Puka Nacua,37128678,WR/FLEX,8000,ARI@LAR 12/28/2024 08:10PM ET,LAR,19.57
RB,Jonathan Taylor (37128360),Jonathan Taylor,37128360,RB/FLEX,7900,IND@NYG 12/29/2024 01:00PM ET,IND,17.59
WR,A.J. Brown (37128682),A.J. Brown,37128682,WR/FLEX,7800,DAL@PHI 12/29/2024 01:00PM ET,PHI,18.28
QB,Jayden Daniels (37128255),Jayden Daniels,37128255,QB,7800,ATL@WAS 12/29/2024 08:20PM ET,WAS,22.06
RB,De'Von Achane (37128362),De'Von Achane,37128362,RB/FLEX,7700,MIA@CLE 12/29/2024 04:05PM ET,MIA,18.6
WR,Amon-Ra St. Brown (37128680),Amon-Ra St. Brown,37128680,WR/FLEX,7700,DET@SF 12/30/2024 08:15PM ET,DET,19.70
RB,Chase Brown (37128364),Chase Brown,37128364,RB/FLEX,7600,DEN@CIN 12/28/2024 04:30PM ET,CIN,16.39
WR,Mike Evans (37128684),Mike Evans,37128684,WR/FLEX,7500,CAR@TB 12/29/2024 01:00PM ET,TB,16.57
QB,Jalen Hurts (37128256),Jalen Hurts,37128256,QB,7500,DAL@PHI 12/29/2024 01:00PM ET,PHI,21.88
RB,Kyren Williams (37128366),Kyren Williams,37128366,RB/FLEX,7500,ARI@LAR 12/28/2024 08:10PM ET,LAR,18.06
WR,CeeDee Lamb (37128686),CeeDee Lamb,37128686,WR/FLEX,7400,DAL@PHI 12/29/2024 01:00PM ET,DAL,18.23
RB,James Conner (37128368),James Conner,37128368,RB/FLEX,7400,ARI@LAR 12/28/2024 08:10PM ET,ARI,18
RB,Alvin Kamara (37128370),Alvin Kamara,37128370,RB/FLEX,7300,LV@NO 12/29/2024 01:00PM ET,NO,19.59
RB,James Cook (37128372),James Cook,37128372,RB/FLEX,7200,NYJ@BUF 12/29/2024 01:00PM ET,BUF,18.47
QB,Joe Burrow (37128257),Joe Burrow,37128257,QB,7200,DEN@CIN 12/28/2024 04:30PM ET,CIN,23.59
WR,Terry McLaurin (37128688),Terry McLaurin,37128688,WR/FLEX,7200,ATL@WAS 12/29/2024 08:20PM ET,WAS,17.47
WR,Davante Adams (37128690),Davante Adams,37128690,WR/FLEX,7100,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,18.32
RB,Chuba Hubbard (37128374),Chuba Hubbard,37128374,RB/FLEX,7000,CAR@TB 12/29/2024 01:00PM ET,CAR,17.11
QB,Baker Mayfield (37128258),Baker Mayfield,37128258,QB,6900,CAR@TB 12/29/2024 01:00PM ET,TB,22.77
WR,Tyreek Hill (37128692),Tyreek Hill,37128692,WR/FLEX,6900,MIA@CLE 12/29/2024 04:05PM ET,MIA,13.38
WR,Tee Higgins (37128694),Tee Higgins,37128694,WR/FLEX,6900,DEN@CIN 12/28/2024 04:30PM ET,CIN,17.57
WR,Brian Thomas Jr. (37128696),Brian Thomas Jr.,37128696,WR/FLEX,6800,TEN@JAX 12/29/2024 01:00PM ET,JAX,16.79
QB,Jared Goff (37128259),Jared Goff,37128259,QB,6800,DET@SF 12/30/2024 08:15PM ET,DET,20.96
TE,Brock Bowers (37129210),Brock Bowers,37129210,TE/FLEX,6700,LV@NO 12/29/2024 01:00PM ET,LV,15.94
RB,Bucky Irving (37128376),Bucky Irving,37128376,RB/FLEX,6700,CAR@TB 12/29/2024 01:00PM ET,TB,14.13
WR,Ladd McConkey (37128700),Ladd McConkey,37128700,WR/FLEX,6600,LAC@NE 12/28/2024 01:00PM ET,LAC,14.57
WR,Malik Nabers (37128698),Malik Nabers,37128698,WR/FLEX,6600,IND@NYG 12/29/2024 01:00PM ET,NYG,17.39
WR,Jerry Jeudy (37128702),Jerry Jeudy,37128702,WR/FLEX,6500,MIA@CLE 12/29/2024 04:05PM ET,CLE,14.41
RB,Isaac Guerendo (37128378),Isaac Guerendo,37128378,RB/FLEX,6500,DET@SF 12/30/2024 08:15PM ET,SF,5.77
WR,Cooper Kupp (37128704),Cooper Kupp,37128704,WR/FLEX,6500,ARI@LAR 12/28/2024 08:10PM ET,LAR,16.37
RB,Tony Pollard (37128380),Tony Pollard,37128380,RB/FLEX,6400,TEN@JAX 12/29/2024 01:00PM ET,TEN,13.7
QB,Sam Darnold (37128260),Sam Darnold,37128260,QB,6400,GB@MIN 12/29/2024 04:25PM ET,MIN,19.77
WR,Drake London (37128706),Drake London,37128706,WR/FLEX,6400,ATL@WAS 12/29/2024 08:20PM ET,ATL,15.03
RB,Breece Hall (37128382),Breece Hall,37128382,RB/FLEX,6300,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,16.03
WR,Jordan Addison (37128710),Jordan Addison,37128710,WR/FLEX,6300,GB@MIN 12/29/2024 04:25PM ET,MIN,15.28
QB,Brock Purdy (37128261),Brock Purdy,37128261,QB,6300,DET@SF 12/30/2024 08:15PM ET,SF,18.68
WR,Courtland Sutton (37128708),Courtland Sutton,37128708,WR/FLEX,6300,DEN@CIN 12/28/2024 04:30PM ET,DEN,14.2
WR,Jaxon Smith-Njigba (37128712),Jaxon Smith-Njigba,37128712,WR/FLEX,6200,SEA@CHI 12/26/2024 08:15PM ET,SEA,16.7
QB,Jordan Love (37128263),Jordan Love,37128263,QB,6200,GB@MIN 12/29/2024 04:25PM ET,GB,17.78
RB,Aaron Jones Sr. (37128384),Aaron Jones Sr.,37128384,RB/FLEX,6200,GB@MIN 12/29/2024 04:25PM ET,MIN,15.09
QB,Bo Nix (37128262),Bo Nix,37128262,QB,6200,DEN@CIN 12/28/2024 04:30PM ET,DEN,18.39
TE,Trey McBride (37129212),Trey McBride,37129212,TE/FLEX,6200,ARI@LAR 12/28/2024 08:10PM ET,ARI,14.71
RB,Kenneth Walker III (37128388),Kenneth Walker III,37128388,RB/FLEX,6100,SEA@CHI 12/26/2024 08:15PM ET,SEA,16.74
WR,Garrett Wilson (37128714),Garrett Wilson,37128714,WR/FLEX,6100,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,15.88
RB,Brian Robinson Jr. (37128386),Brian Robinson Jr.,37128386,RB/FLEX,6100,ATL@WAS 12/29/2024 08:20PM ET,WAS,13.28
RB,Zach Charbonnet (37128392),Zach Charbonnet,37128392,RB/FLEX,6000,SEA@CHI 12/26/2024 08:15PM ET,SEA,11.35
WR,Jakobi Meyers (37128718),Jakobi Meyers,37128718,WR/FLEX,6000,LV@NO 12/29/2024 01:00PM ET,LV,13.82
RB,Rico Dowdle (37128390),Rico Dowdle,37128390,RB/FLEX,6000,DAL@PHI 12/29/2024 01:00PM ET,DAL,12.97
WR,Jameson Williams (37128716),Jameson Williams,37128716,WR/FLEX,6000,DET@SF 12/30/2024 08:15PM ET,DET,14.41
TE,George Kittle (37129214),George Kittle,37129214,TE/FLEX,6000,DET@SF 12/30/2024 08:15PM ET,SF,17.05
QB,Kyler Murray (37128264),Kyler Murray,37128264,QB,6000,ARI@LAR 12/28/2024 08:10PM ET,ARI,17.96
WR,DJ Moore (37128722),DJ Moore,37128722,WR/FLEX,5900,SEA@CHI 12/26/2024 08:15PM ET,CHI,13.99
WR,Jayden Reed (37128720),Jayden Reed,37128720,WR/FLEX,5900,GB@MIN 12/29/2024 04:25PM ET,GB,13.29
RB,Jerome Ford (37128394),Jerome Ford,37128394,RB/FLEX,5900,MIA@CLE 12/29/2024 04:05PM ET,CLE,10.14
QB,Justin Herbert (37128266),Justin Herbert,37128266,QB,5900,LAC@NE 12/28/2024 01:00PM ET,LAC,16.06
QB,Anthony Richardson (37128265),Anthony Richardson,37128265,QB,5900,IND@NYG 12/29/2024 01:00PM ET,IND,16.22
WR,Keenan Allen (37128728),Keenan Allen,37128728,WR/FLEX,5800,SEA@CHI 12/26/2024 08:15PM ET,CHI,13.57
WR,DeVonta Smith (37128726),DeVonta Smith,37128726,WR/FLEX,5800,DAL@PHI 12/29/2024 01:00PM ET,PHI,14.37
QB,Tua Tagovailoa (37128267),Tua Tagovailoa,37128267,QB,5800,MIA@CLE 12/29/2024 04:05PM ET,MIA,18.42
WR,Jauan Jennings (37128724),Jauan Jennings,37128724,WR/FLEX,5800,DET@SF 12/30/2024 08:15PM ET,SF,14.43
QB,Drake Maye (37128268),Drake Maye,37128268,QB,5800,LAC@NE 12/28/2024 01:00PM ET,NE,16.57
RB,J.K. Dobbins (37128398),J.K. Dobbins,37128398,RB/FLEX,5800,LAC@NE 12/28/2024 01:00PM ET,LAC,15.64
RB,Tyrone Tracy Jr. (37128396),Tyrone Tracy Jr.,37128396,RB/FLEX,5800,IND@NYG 12/29/2024 01:00PM ET,NYG,11.69
QB,Caleb Williams (37128271),Caleb Williams,37128271,QB,5700,SEA@CHI 12/26/2024 08:15PM ET,CHI,17.27
QB,Aaron Rodgers (37128270),Aaron Rodgers,37128270,QB,5700,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,16.28
RB,Rachaad White (37128400),Rachaad White,37128400,RB/FLEX,5700,CAR@TB 12/29/2024 01:00PM ET,TB,14.16
WR,Adam Thielen (37128732),Adam Thielen,37128732,WR/FLEX,5700,CAR@TB 12/29/2024 01:00PM ET,CAR,13.14
TE,Jonnu Smith (37129216),Jonnu Smith,37129216,TE/FLEX,5700,MIA@CLE 12/29/2024 04:05PM ET,MIA,13.21
WR,Deebo Samuel Sr. (37128730),Deebo Samuel Sr.,37128730,WR/FLEX,5700,DET@SF 12/30/2024 08:15PM ET,SF,10.82
QB,Matthew Stafford (37128269),Matthew Stafford,37128269,QB,5700,ARI@LAR 12/28/2024 08:10PM ET,LAR,14.76
RB,Rhamondre Stevenson (37128402),Rhamondre Stevenson,37128402,RB/FLEX,5700,LAC@NE 12/28/2024 01:00PM ET,NE,12.99
WR,DK Metcalf (37128736),DK Metcalf,37128736,WR/FLEX,5600,SEA@CHI 12/26/2024 08:15PM ET,SEA,13.9
WR,Khalil Shakir (37128734),Khalil Shakir,37128734,WR/FLEX,5600,NYJ@BUF 12/29/2024 01:00PM ET,BUF,13.07
RB,Alexander Mattison (37128404),Alexander Mattison,37128404,RB/FLEX,5600,LV@NO 12/29/2024 01:00PM ET,LV,10.54
QB,Bryce Young (37128272),Bryce Young,37128272,QB,5600,CAR@TB 12/29/2024 01:00PM ET,CAR,12.72
QB,Geno Smith (37128274),Geno Smith,37128274,QB,5500,SEA@CHI 12/26/2024 08:15PM ET,SEA,17.42
RB,D'Andre Swift (37128408),D'Andre Swift,37128408,RB/FLEX,5500,SEA@CHI 12/26/2024 08:15PM ET,CHI,12.86
WR,Calvin Ridley (37128738),Calvin Ridley,37128738,WR/FLEX,5500,TEN@JAX 12/29/2024 01:00PM ET,TEN,11.92
RB,Kendre Miller (37128406),Kendre Miller,37128406,RB/FLEX,5500,LV@NO 12/29/2024 01:00PM ET,NO,5.24
QB,Kenny Pickett (37128273),Kenny Pickett,37128273,QB,5500,DAL@PHI 12/29/2024 01:00PM ET,PHI,2.53
RB,Patrick Taylor Jr. (37128410),Patrick Taylor Jr.,37128410,RB/FLEX,5500,DET@SF 12/30/2024 08:15PM ET,SF,1.52
RB,Tyjae Spears (37128412),Tyjae Spears,37128412,RB/FLEX,5400,TEN@JAX 12/29/2024 01:00PM ET,TEN,9.12
QB,Cooper Rush (37128275),Cooper Rush,37128275,QB,5400,DAL@PHI 12/29/2024 01:00PM ET,DAL,10.22
WR,Jaylen Waddle (37128740),Jaylen Waddle,37128740,WR/FLEX,5400,MIA@CLE 12/29/2024 04:05PM ET,MIA,10.47
RB,Javonte Williams (37128414),Javonte Williams,37128414,RB/FLEX,5400,DEN@CIN 12/28/2024 04:30PM ET,DEN,9.81
QB,Michael Penix Jr. (37128276),Michael Penix Jr.,37128276,QB,5400,ATL@WAS 12/29/2024 08:20PM ET,ATL,2.97
RB,Travis Etienne Jr. (37128418),Travis Etienne Jr.,37128418,RB/FLEX,5300,TEN@JAX 12/29/2024 01:00PM ET,JAX,8.75
QB,Spencer Rattler (37128277),Spencer Rattler,37128277,QB,5300,LV@NO 12/29/2024 01:00PM ET,NO,9.05
QB,Derek Carr (37128278),Derek Carr,37128278,QB,5300,LV@NO 12/29/2024 01:00PM ET,NO,15.59
RB,Gus Edwards (37128416),Gus Edwards,37128416,RB/FLEX,5300,LAC@NE 12/28/2024 01:00PM ET,LAC,5.83
WR,Darnell Mooney (37128742),Darnell Mooney,37128742,WR/FLEX,5300,ATL@WAS 12/29/2024 08:20PM ET,ATL,12.9
QB,Mac Jones (37128279),Mac Jones,37128279,QB,5200,TEN@JAX 12/29/2024 01:00PM ET,JAX,9.40
RB,Tank Bigsby (37128420),Tank Bigsby,37128420,RB/FLEX,5200,TEN@JAX 12/29/2024 01:00PM ET,JAX,8.68
WR,Chris Olave (37128746),Chris Olave,37128746,WR/FLEX,5200,LV@NO 12/29/2024 01:00PM ET,NO,10.09
WR,Marvin Harrison Jr. (37128744),Marvin Harrison Jr.,37128744,WR/FLEX,5200,ARI@LAR 12/28/2024 08:10PM ET,ARI,11.37
RB,Antonio Gibson (37128422),Antonio Gibson,37128422,RB/FLEX,5200,LAC@NE 12/28/2024 01:00PM ET,NE,5.8
WR,Rome Odunze (37128750),Rome Odunze,37128750,WR/FLEX,5100,SEA@CHI 12/26/2024 08:15PM ET,CHI,9.71
WR,Romeo Doubs (37128748),Romeo Doubs,37128748,WR/FLEX,5100,GB@MIN 12/29/2024 04:25PM ET,GB,9.78
QB,Aidan O'Connell (37128280),Aidan O'Connell,37128280,QB,5100,LV@NO 12/29/2024 01:00PM ET,LV,9.72
RB,Ameer Abdullah (37128426),Ameer Abdullah,37128426,RB/FLEX,5100,LV@NO 12/29/2024 01:00PM ET,LV,7.23
WR,Quentin Johnston (37128752),Quentin Johnston,37128752,WR/FLEX,5100,LAC@NE 12/28/2024 01:00PM ET,LAC,10.48
RB,Austin Ekeler (37128424),Austin Ekeler,37128424,RB/FLEX,5100,ATL@WAS 12/29/2024 08:20PM ET,WAS,11.56
RB,Braelon Allen (37128430),Braelon Allen,37128430,RB/FLEX,5000,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,5.22
WR,Amari Cooper (37128754),Amari Cooper,37128754,WR/FLEX,5000,NYJ@BUF 12/29/2024 01:00PM ET,BUF,8.32
QB,Mason Rudolph (37128281),Mason Rudolph,37128281,QB,5000,TEN@JAX 12/29/2024 01:00PM ET,TEN,14.91
QB,Will Levis (37128282),Will Levis,37128282,QB,5000,TEN@JAX 12/29/2024 01:00PM ET,TEN,11.38
RB,Audric Estime (37128432),Audric Estime,37128432,RB/FLEX,5000,DEN@CIN 12/28/2024 04:30PM ET,DEN,3.24
RB,Tyler Allgeier (37128428),Tyler Allgeier,37128428,RB/FLEX,5000,ATL@WAS 12/29/2024 08:20PM ET,ATL,6.56
RB,Cam Akers (37128434),Cam Akers,37128434,RB/FLEX,4900,GB@MIN 12/29/2024 04:25PM ET,MIN,4.93
WR,Christian Watson (37128758),Christian Watson,37128758,WR/FLEX,4900,GB@MIN 12/29/2024 04:25PM ET,GB,8.02
WR,Cedric Tillman (37128756),Cedric Tillman,37128756,WR/FLEX,4900,MIA@CLE 12/29/2024 04:05PM ET,CLE,7.4
TE,Sam LaPorta (37129218),Sam LaPorta,37129218,TE/FLEX,4900,DET@SF 12/30/2024 08:15PM ET,DET,10.42
RB,Trey Benson (37128436),Trey Benson,37128436,RB/FLEX,4900,ARI@LAR 12/28/2024 08:10PM ET,ARI,3.62
QB,Drew Lock (37128283),Drew Lock,37128283,QB,4900,IND@NYG 12/29/2024 01:00PM ET,NYG,7.33
QB,Joe Flacco (37128284),Joe Flacco,37128284,QB,4900,IND@NYG 12/29/2024 01:00PM ET,IND,13.36
QB,Jake Haener (37128287),Jake Haener,37128287,QB,4800,LV@NO 12/29/2024 01:00PM ET,NO,1.78
