Player,Position,Team,Opponent,Salary,% ownership
Saquon Barkley,RB,PHI,WAS,"$8,600",84.70%
Travis Kelce,TE,KC,BUF,"$6,000",65.30%
Xavier Worthy,WR,KC,BUF,"$5,500",54.30%
Khalil Shakir,WR,BUF,@KC,"$5,700",45.40%
A.J. Brown,WR,PHI,WAS,"$6,800",44.20%
Eagles,DST,PHI,WAS,"$3,300",42.50%
Terry McLaurin,WR,WAS,@PHI,"$6,700",40.40%
Hollywood Brown,WR,KC,BUF,"$4,200",39.80%
James Cook,RB,BUF,@KC,"$6,900",37.30%
Patrick Mahomes,QB,KC,BUF,"$6,000",36.70%
DeVonta Smith,WR,PHI,WAS,"$5,800",34.60%
Austin Ekeler,RB,WAS,@PHI,"$5,300",31.40%
Dalton Kincaid,TE,BUF,@KC,"$3,600",30.50%
Dyami Brown,WR,WAS,@PHI,"$4,400",29.10%
Jayden Daniels,QB,WAS,@PHI,"$7,000",25.30%
Bills,DST,BUF,@KC,"$2,900",24.50%
Dallas Goedert,TE,PHI,WAS,"$4,500",24.20%
Zach Ertz,TE,WAS,@PHI,"$4,300",21.90%
Josh Allen,QB,BUF,@KC,"$7,500",21.40%
Kareem Hunt,RB,KC,BUF,"$5,400",19.90%
Brian Robinson Jr.,RB,WAS,@PHI,"$5,600",17.30%
Chiefs,DST,KC,BUF,"$3,100",16.50%
Jalen Hurts,QB,PHI,WAS,"$6,500",16.50%
Commanders,DST,WAS,@PHI,"$2,700",16.40%
Isiah Pacheco,RB,KC,BUF,"$5,200",14.00%
Keon Coleman,WR,BUF,@KC,"$3,700",10.10%
Noah Gray,TE,KC,BUF,"$3,000",8.80%
DeAndre Hopkins,WR,KC,BUF,"$4,700",8.70%
Olamide Zaccheaus,WR,WAS,@PHI,"$3,900",7.70%
Dawson Knox,TE,BUF,@KC,"$2,600",6.50%
Mack Hollins,WR,BUF,@KC,"$3,300",4.40%
Jamison Crowder,WR,WAS,@PHI,"$3,100",3.60%
Ty Johnson,RB,BUF,@KC,"$4,400",3.50%
Curtis Samuel,WR,BUF,@KC,"$3,500",3.30%
Amari Cooper,WR,BUF,@KC,"$4,100",3.30%
JuJu Smith-Schuster,WR,KC,BUF,"$3,200",1.30%
Samaje Perine,RB,KC,BUF,"$4,200",1.20%
Ray Davis,RB,BUF,@KC,"$4,300",0.80%
Kenneth Gainwell,RB,PHI,WAS,"$4,600",0.40%
