Player,Position,Team,Opponent,Salary,% ownership
De'Von Achane,RB,MIA,@CLE,"$7,700",32.60%
Bucky Irving,RB,TB,CAR,"$6,700",31.90%
Aaron Jones Sr.,RB,MIN,GB,"$6,200",25.40%
Brian Thomas Jr.,WR,JAX,TEN,"$6,800",25.30%
Adam Thielen,WR,CAR,@TB,"$5,700",23.30%
Chuba Hubbard,RB,CAR,@TB,"$7,000",22.00%
T.J. Hockenson,TE,MIN,GB,"$4,500",20.20%
Mike Evans,WR,TB,CAR,"$7,500",20.00%
Jake Ferguson,TE,DAL,@PHI,"$3,700",19.90%
Malik Nabers,WR,NYG,IND,"$6,600",19.80%
Jakobi Meyers,WR,LV,@NO,"$6,000",19.00%
Justin Jefferson,WR,MIN,GB,"$8,300",19.00%
Saquon Barkley,RB,PHI,DAL,"$8,600",18.90%
Calvin Ridley,WR,TEN,@JAX,"$5,500",16.90%
Sam Darnold,QB,MIN,GB,"$6,400",15.90%
Anthony Richardson,QB,IND,@NYG,"$5,900",15.30%
Jalen Coker,WR,CAR,@TB,"$4,300",15.10%
Brock Bowers,TE,LV,@NO,"$6,700",14.60%
Juwan Johnson,TE,NO,LV,"$3,500",14.30%
Davante Adams,WR,NYJ,@BUF,"$7,100",13.90%
Breece Hall,RB,NYJ,@BUF,"$6,300",13.80%
Rico Dowdle,RB,DAL,@PHI,"$6,000",13.40%
Jalen McMillan,WR,TB,CAR,"$4,600",13.20%
Baker Mayfield,QB,TB,CAR,"$6,900",12.60%
Jonathan Taylor,RB,IND,@NYG,"$7,900",12.50%
Tyreek Hill,WR,MIA,@CLE,"$6,900",12.50%
Jordan Addison,WR,MIN,GB,"$6,300",12.10%
Chig Okonkwo,TE,TEN,@JAX,"$3,600",11.80%
Garrett Wilson,WR,NYJ,@BUF,"$6,100",11.00%
Kendre Miller,RB,NO,LV,"$5,500",10.70%
DeVonta Smith,WR,PHI,DAL,"$5,800",10.60%
Khalil Shakir,WR,BUF,NYJ,"$5,600",10.40%
Josh Downs,WR,IND,@NYG,"$4,800",9.80%
Wan'Dale Robinson,WR,NYG,IND,"$4,400",9.50%
Josh Jacobs,RB,GB,@MIN,"$8,100",9.50%
Jerome Ford,RB,CLE,MIA,"$5,900",8.10%
Payne Durham,TE,TB,CAR,"$2,900",7.90%
Tucker Kraft,TE,GB,@MIN,"$3,900",7.80%
Kevin Austin Jr.,WR,NO,LV,"$3,100",7.50%
Jordan Love,QB,GB,@MIN,"$6,200",7.50%
Jonnu Smith,TE,MIA,@CLE,"$5,700",7.20%
Aidan O'Connell,QB,LV,@NO,"$5,100",6.90%
Josh Allen,QB,BUF,NYJ,"$8,500",6.90%
Brenton Strange,TE,JAX,TEN,"$4,000",6.80%
Dalton Kincaid,TE,BUF,NYJ,"$4,300",6.70%
Brandin Cooks,WR,DAL,@PHI,"$4,600",6.70%
A.J. Brown,WR,PHI,DAL,"$7,800",6.60%
Christian Watson,WR,GB,@MIN,"$4,900",6.30%
Tua Tagovailoa,QB,MIA,@CLE,"$5,800",6.20%
Mason Rudolph,QB,TEN,@JAX,"$5,000",6.10%
Bryce Young,QB,CAR,@TB,"$5,600",5.80%
Jalen Tolbert,WR,DAL,@PHI,"$4,100",5.80%
Michael Pittman Jr.,WR,IND,@NYG,"$4,700",5.60%
Rachaad White,RB,TB,CAR,"$5,700",5.40%
Tyrone Tracy Jr.,RB,NYG,IND,"$5,800",5.40%
Foster Moreau,TE,NO,LV,"$3,000",5.30%
Alexander Mattison,RB,LV,@NO,"$5,600",5.10%
Romeo Doubs,WR,GB,@MIN,"$5,100",4.90%
Dante Pettis,WR,NO,LV,"$3,000",4.30%
Tyler Conklin,TE,NYJ,@BUF,"$2,900",4.20%
Mac Jones,QB,JAX,TEN,"$5,200",3.90%
Dorian Thompson-Robinson,QB,CLE,MIA,"$4,800",3.70%
David Njoku,TE,CLE,MIA,"$4,700",3.70%
Jayden Reed,WR,GB,@MIN,"$5,900",3.60%
Travis Etienne Jr.,RB,JAX,TEN,"$5,300",3.50%
KaVontae Turpin,WR,DAL,@PHI,"$3,400",3.30%
James Cook,RB,BUF,NYJ,"$7,200",3.30%
Tre Tucker,WR,LV,@NO,"$3,800",3.10%
David Moore,WR,CAR,@TB,"$4,100",2.90%
Tony Pollard,RB,TEN,@JAX,"$6,400",2.90%
Tyjae Spears,RB,TEN,@JAX,"$5,400",2.70%
Kenny Pickett,QB,PHI,DAL,"$5,500",2.50%
Aaron Rodgers,QB,NYJ,@BUF,"$5,700",2.10%
Drew Lock,QB,NYG,IND,"$4,900",1.90%
Daniel Bellinger,TE,NYG,IND,"$2,800",1.80%
Malik Washington,WR,MIA,@CLE,"$4,000",1.80%
Ameer Abdullah,RB,LV,@NO,"$5,100",1.70%
Spencer Rattler,QB,NO,LV,"$5,300",1.70%
Michael Mayer,TE,LV,@NO,"$2,700",1.60%
Ryan Miller,WR,TB,CAR,"$3,000",1.60%
Jerry Jeudy,WR,CLE,MIA,"$6,500",1.50%
Dontayvion Wicks,WR,GB,@MIN,"$3,900",1.40%
Amari Cooper,WR,BUF,NYJ,"$5,000",1.30%
Parker Washington,WR,JAX,TEN,"$4,200",1.30%
Cooper Rush,QB,DAL,@PHI,"$5,400",1.10%
Tank Bigsby,RB,JAX,TEN,"$5,200",0.90%
Sterling Shepard,WR,TB,CAR,"$3,600",0.80%
Raheem Mostert,RB,MIA,@CLE,"$4,700",0.80%
