week,Player,Salary,Roster Position,%Drafted,FPTS
4,Puka Nacua,7900,WR,37.93%,39.0
4,Omarion Hampton,5900,RB,33.85%,30.5
4,Jakobi Meyers,5400,FLEX,30.36%,7.0
4,Christian McCaffrey,8500,RB,30.17%,26.1
4,James Cook III,7100,RB,28.25%,25.5
4,Chris Olave,5100,WR,21.60%,10.0
4,Rome Odunze,6300,WR,19.12%,16.9
4,Texans,3400,DST,18.26%,14.0
4,Cam Skattebo,5500,RB,17.94%,13.0
4,Jonathan Taylor,7500,FLEX,16.91%,14.6
4,Tyler Warren,4600,TE,16.90%,18.3
4,Kyren Williams,6300,RB,15.99%,11.4
4,Tre Tucker,4200,WR,15.84%,4.2
4,Drake London,5700,WR,14.90%,28.0
4,Hunter Henry,4000,TE,14.56%,11.9
4,Ashton Jeanty,6200,FLEX,14.48%,37.5
4,Keenan Allen,5300,WR,14.37%,8.7
4,Brock Bowers,5800,TE,13.69%,9.6
4,Bijan Robinson,8200,RB,13.10%,31.1
4,Davante Adams,6200,WR,13.04%,15.6
4,Lions,3500,DST,12.67%,19.0
4,Michael Pittman Jr.,5100,WR,12.41%,15.1
4,Geno Smith,5400,QB,12.10%,12.78
4,Caleb Williams,5800,QB,10.20%,12.78
4,Saquon Barkley,7600,RB,9.96%,17.4
4,Quentin Johnston,5500,WR,9.90%,23.8
4,Amon-Ra St. Brown,7300,FLEX,9.20%,26.0
4,Deebo Samuel Sr.,6000,WR,9.09%,20.1
4,Bills,3700,DST,8.77%,6.0
4,Juwan Johnson,4200,FLEX,8.68%,5.8
4,Ricky Pearsall,5700,WR,8.66%,8.6
4,Justin Herbert,6300,QB,8.47%,14.52
4,Titans,2300,DST,8.44%,2.0
4,Jahmyr Gibbs,7700,RB,8.26%,17.7
4,Malik Nabers,7000,WR,8.22%,4.0
4,Daniel Jones,5600,QB,8.21%,12.38
4,A.J. Brown,6400,WR,7.89%,2.7
4,Nico Collins,7400,WR,7.64%,11.9
4,Derrick Henry,7200,FLEX,7.57%,7.8
4,Patriots,3100,DST,7.24%,11.0
4,Chargers,3300,DST,7.02%,6.0
4,Zay Flowers,6700,WR,6.90%,14.4
4,D'Andre Swift,5400,FLEX,6.89%,16.0
4,Drake Maye,5500,QB,6.88%,23.22
4,Brenton Strange,3200,TE,6.81%,10.5
4,Falcons,2700,DST,6.54%,4.0
4,Ladd McConkey,6500,WR,6.45%,2.1
4,Emeka Egbuka,6800,FLEX,6.39%,23.1
4,Josh Downs,4100,FLEX,6.38%,6.4
4,Bucky Irving,6900,RB,6.33%,29.5
4,Jaxson Dart,4500,QB,6.29%,19.84
4,Kyle Pitts Sr.,3600,TE,6.29%,18.0
4,Patrick Mahomes,6000,QB,6.24%,27.3
4,Brian Thomas Jr.,6100,FLEX,5.84%,10.6
4,Zach Ertz,4100,TE,5.84%,6.1
4,Marcus Mariota,5000,QB,5.78%,17.24
4,Lamar Jackson,7500,QB,5.74%,12.68
4,Adonai Mitchell,3100,WR,5.57%,11.6
4,Travis Kelce,4800,TE,5.57%,9.8
4,Josh Allen,7700,QB,5.44%,25.86
4,Raiders,2600,DST,5.30%,3.0
4,Xavier Worthy,5800,WR,5.29%,17.1
4,Tetairoa McMillan,5900,WR,5.10%,10.2
4,Jauan Jennings,5000,WR,4.88%,6.4
4,Jalen Hurts,6700,QB,4.83%,19.4
4,DJ Moore,5600,FLEX,4.72%,7.8
4,David Njoku,3800,TE,4.68%,3.1
4,TreVeyon Henderson,5200,RB,4.36%,12.6
4,DeVonta Smith,5400,WR,4.34%,4.9
4,Dalton Kincaid,4500,TE,4.33%,9.8
4,Oronde Gadsden II,2600,TE,3.95%,3.6
4,Matthew Stafford,5900,QB,3.93%,30.4
4,Panthers,2500,DST,3.92%,-3.0
4,Sam LaPorta,4400,TE,3.92%,6.9
4,Tony Pollard,5600,RB,3.76%,10.6
4,Brock Purdy,6100,QB,3.46%,23.66
4,Cole Kmet,3000,TE,3.18%,7.6
4,Mark Andrews,4300,TE,3.13%,10.0
4,Nick Chubb,5100,RB,3.08%,8.2
4,Jerry Jeudy,4900,WR,3.07%,7.8
4,Quinshon Judkins,5500,RB,3.05%,21.5
4,Alvin Kamara,6100,RB,2.94%,11.2
4,Stefon Diggs,4500,WR,2.87%,19.1
4,Rams,2900,DST,2.87%,9.0
4,Tyquan Thornton,4000,WR,2.81%,8.1
4,Christian Kirk,4400,WR,2.78%,5.0
4,Jaguars,2500,DST,2.71%,15.0
4,Darnell Mooney,4700,FLEX,2.70%,2.5
4,Dallas Goedert,3900,TE,2.59%,19.7
4,Browns,2200,DST,2.58%,1.0
4,Travis Etienne Jr.,5800,RB,2.49%,22.5
4,Dalton Schultz,3300,TE,2.49%,8.0
4,Eagles,3000,DST,2.48%,14.0
4,Jared Goff,6400,QB,2.45%,13.72
4,C.J. Stroud,5300,QB,2.33%,18.42
4,Keon Coleman,5600,WR,2.28%,7.5
4,David Montgomery,5700,RB,2.28%,1.2
4,Jameson Williams,5900,WR,2.16%,5.7
4,Giants,2400,DST,2.12%,7.0
4,Cade Otton,3400,TE,2.11%,3.9
4,Hollywood Brown,5200,WR,2.07%,12.8
4,49ers,3200,DST,2.00%,0.0
4,Michael Penix Jr.,5100,QB,1.89%,22.72
4,Hunter Renfrow,3800,WR,1.89%,3.0
4,Chig Okonkwo,3500,TE,1.83%,1.4
4,Wan'Dale Robinson,5000,WR,1.82%,4.4
4,Tommy Tremble,2700,TE,1.81%,15.2
4,Trevor Lawrence,5200,QB,1.78%,11.66
4,Khalil Shakir,5300,WR,1.75%,17.9
4,Parker Washington,3700,WR,1.70%,5.9
4,Harold Fannin Jr.,3700,TE,1.69%,4.5
4,Bears,2900,DST,1.67%,10.0
4,Elic Ayomanor,3900,WR,1.62%,6.4
4,Chuba Hubbard,6000,RB,1.57%,9.9
4,Rashod Bateman,4800,WR,1.44%,3.4
4,Spencer Rattler,4700,QB,1.41%,13.94
4,Cedric Tillman,4200,WR,1.31%,1.6
4,Commanders,3000,DST,1.29%,2.0
4,Rashid Shaheed,4600,FLEX,1.21%,9.2
4,Ravens,2700,DST,1.20%,-3.0
4,Calvin Ridley,4900,WR,1.14%,5.0
4,Sterling Shepard,4000,WR,1.13%,4.0
4,Colts,2600,DST,1.07%,5.0
4,Kayshon Boutte,4300,WR,0.87%,2.8
4,Baker Mayfield,6500,QB,0.86%,19.86
4,Olamide Zaccheaus,3600,FLEX,0.81%,9.1
4,Luther Burden III,4700,FLEX,0.78%,1.6
4,Buccaneers,2800,DST,0.77%,3.0
4,Bryce Young,4900,QB,0.74%,10.3
4,Saints,2000,DST,0.72%,4.0
4,Isiah Pacheco,5000,RB,0.70%,12.8
4,Luke McCaffrey,3400,WR,0.65%,10.1
4,Rhamondre Stevenson,5100,FLEX,0.60%,5.1
4,Isaiah Likely,3300,TE,0.59%,0.0
4,Joe Flacco,4700,QB,0.58%,4.26
4,Chris Godwin Jr.,6000,WR,0.56%,5.6
4,Woody Marks,4400,RB,0.55%,27.9
4,Jake Tonges,3100,TE,0.52%,14.8
4,Theo Johnson,2900,TE,0.51%,10.7
4,Dont'e Thornton Jr.,3900,WR,0.48%,0.0
4,Kareem Hunt,4800,FLEX,0.45%,5.7
4,Joshua Palmer,4300,WR,0.45%,4.5
4,DeAndre Hopkins,4500,WR,0.42%,0.0
4,Noah Gray,2700,TE,0.41%,1.1
4,Travis Hunter,4600,WR,0.34%,7.2
4,Chris Moore,3000,WR,0.30%,0.9
4,Chiefs,2800,DST,0.28%,8.0
4,Cam Ward,4800,QB,0.21%,5.52
4,Jaylin Lane,3300,WR,0.18%,3.8
4,Kendrick Bourne,3700,WR,0.18%,2.7
4,Demarcus Robinson,3500,FLEX,0.18%,3.0
4,Tyler Higbee,2800,TE,0.18%,4.5
4,Jacory Croskey-Merritt,5300,RB,0.17%,7.7
4,Chris Rodriguez Jr.,4200,RB,0.17%,5.9
4,JuJu Smith-Schuster,3800,FLEX,0.16%,13.6
4,Darius Slayton,3700,WR,0.15%,7.4
4,Dawson Knox,2500,FLEX,0.14%,0.0
4,Bhayshul Tuten,4800,RB,0.12%,3.2
4,Jeremy McNichols,4900,RB,0.11%,1.3
4,Jordan Whittington,3000,FLEX,0.10%,1.7
4,Devontez Walker,3400,FLEX,0.10%,0.0
4,Blake Corum,4300,FLEX,0.10%,3.6
4,David Moore,3000,WR,0.10%,1.2
4,Rico Dowdle,4500,RB,0.10%,4.0
4,Davis Allen,2500,TE,0.09%,1.0
4,DeMario Douglas,3800,WR,0.09%,0.0
4,Tyler Conklin,2700,TE,0.08%,1.3
4,Elijah Moore,3600,WR,0.08%,0.0
