Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4883558263,powerbait (110/150),0,260.94,DST Saints  FLEX Rico Dowdle QB Sam Darnold RB Jonathan Taylor RB Javonte Williams TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Jaylen Waddle,,De'Von Achane,RB,35.97%,16.6
2,4880692203,Stubbs0001 (92/150),0,252.14001,DST Saints  FLEX Jonathan Taylor QB Sam Darnold RB Javonte Williams RB Rico Dowdle TE AJ Barner WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Garrett Wilson,,Breece Hall,RB,33.71%,21.5
3,4884914073,wmfloyd43 (102/150),0,251.74,DST Saints  FLEX Rachaad White QB Sam Darnold RB Jonathan Taylor RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Deebo Samuel Sr.,,Garrett Wilson,WR,29.02%,19.1
4,4886893901,mrbullgator (17/20),0,247.06,DST Colts  FLEX Rachaad White QB Baker Mayfield RB Javonte Williams RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Deebo Samuel Sr.,,Jaxon Smith-Njigba,WR,28.09%,30.2
5,4882864928,AshtonDupreez (7/150),0,246.82,DST Saints  FLEX Breece Hall QB Justin Fields RB Jonathan Taylor RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Jaylen Waddle,,Tyler Warren,TE,27.58%,14.4
5,4885949794,j12forheisman (90/150),0,246.82,DST Saints  FLEX Rico Dowdle QB Justin Fields RB Jonathan Taylor RB Breece Hall TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Jaylen Waddle,,Jahmyr Gibbs,RB,25.52%,16.7
7,4884887445,PurplePain42 (6/150),0,243.86,DST Saints  FLEX Rico Dowdle QB C.J. Stroud RB Jonathan Taylor RB Javonte Williams TE Jake Ferguson WR Emeka Egbuka WR Nico Collins WR Jaylen Waddle,,Jonathan Taylor,RB,25.47%,31.6
8,4886734426,kennedy0218 (1/50),0,243.64,DST Colts  FLEX Rachaad White QB Sam Darnold RB Jonathan Taylor RB Rico Dowdle TE Tyler Warren WR Jaxon Smith-Njigba WR Emeka Egbuka WR Jaylen Waddle,,Jake Ferguson,TE,23.56%,23.9
9,4881562875,ApoxGawt90 (69/122),0,242.68001,DST Saints  FLEX Emeka Egbuka QB Dak Prescott RB Javonte Williams RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Deebo Samuel Sr. WR Garrett Wilson,,Justin Fields,QB,22.36%,25.92
10,4884109823,djudge077 (69/150),0,242.66,DST Saints  FLEX Rachaad White QB Baker Mayfield RB Jonathan Taylor RB Rico Dowdle TE Tyler Warren WR Jaxon Smith-Njigba WR Emeka Egbuka WR Jaylen Waddle,,Amon-Ra St. Brown,WR,22.17%,21
11,4880700457,BeanoTheKid (107/150),0,242.12001,DST Saints  FLEX Jonathan Taylor QB Justin Fields RB Javonte Williams RB Rico Dowdle TE Mason Taylor WR Jaxon Smith-Njigba WR Emeka Egbuka WR Garrett Wilson,,George Pickens,WR,21.74%,13.7
12,4886463583,burnttoast422 (59/150),0,242.04,DST Colts  FLEX Emeka Egbuka QB Sam Darnold RB Javonte Williams RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR George Pickens WR Jaylen Waddle,,Jakobi Meyers,WR,21.64%,7.2
13,4885405604,JCDuncan (23/150),0,241.43999,DST Saints  FLEX Jake Ferguson QB Sam Darnold RB Jonathan Taylor RB Rico Dowdle TE Mason Taylor WR Amon-Ra St. Brown WR Ja'Marr Chase WR Jaxon Smith-Njigba,,Rico Dowdle,RB,20.39%,35.4
14,4883395655,Sportspickspedia (147/150),0,240.64,DST Texans  FLEX Rico Dowdle QB Sam Darnold RB Jonathan Taylor RB Breece Hall TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Calvin Ridley,,Saints ,DST,20.25%,18
15,4883027943,ODunlaing (86/150),0,240.34,DST Saints  FLEX Jonathan Taylor QB Sam Darnold RB Javonte Williams RB Rico Dowdle TE Tyler Warren WR Jaxon Smith-Njigba WR Emeka Egbuka WR Ladd McConkey,,Omarion Hampton,RB,19.21%,13
16,4885041064,dtnichols09 (111/150),0,240.02,DST Saints  FLEX Jonathan Taylor QB Justin Fields RB Javonte Williams RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Garrett Wilson WR Jaylen Waddle,,Quentin Johnston,WR,18.25%,7.9
17,4885815399,darkknyt (15/150),0,239.76,DST Saints  FLEX Jonathan Taylor QB C.J. Stroud RB Javonte Williams RB Rico Dowdle TE Jake Ferguson WR Jaxon Smith-Njigba WR Nico Collins WR Jaylen Waddle,,Trey McBride,TE,18.07%,9.1
17,4885843412,Tylerjh18 (27/150),0,239.76,DST Saints  FLEX Rico Dowdle QB C.J. Stroud RB Jonathan Taylor RB Javonte Williams TE Jake Ferguson WR Jaxon Smith-Njigba WR Nico Collins WR Jaylen Waddle,,Rachaad White,FLEX,17.89%,23.1
19,4885681765,patki (16/21),0,239.04001,DST Saints  FLEX Rico Dowdle QB Sam Darnold RB De'Von Achane RB Javonte Williams TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Garrett Wilson,,Michael Pittman Jr.,WR,17.51%,14.9
20,4883932800,Jakkoe (133/150),0,238.22,DST Saints  FLEX Rico Dowdle QB Justin Fields RB Jonathan Taylor RB Javonte Williams TE Jake Ferguson WR Ja'Marr Chase WR Garrett Wilson WR DeVonta Smith,,Nico Collins,WR,16.88%,16
