Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4932309740,tbatey25 (36/150),0,264.7,DST Titans  FLEX Kyle Monangai QB Caleb Williams RB Christian McCaffrey RB Jaylen Warren TE Brock Bowers WR Ja'Marr Chase WR Drake London WR Olamide Zaccheaus,,Kyle Monangai,RB,55.43%,25.8
2,4930980711,rome7789 (19/35),0,261.60004,DST Titans  FLEX Brock Bowers QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Colston Loveland WR Puka Nacua WR Ja'Marr Chase WR Olamide Zaccheaus,,Christian McCaffrey,RB,38.19%,37.3
3,4930729065,ken.folk (85/150),0,260.28,DST Steelers  FLEX Parker Washington QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR DJ Moore,,Ja'Marr Chase,WR,31.70%,20.1
4,4932416702,WuDreamz (117/150),0,259.89996,DST Titans  FLEX Kyren Williams QB Joe Flacco RB TreVeyon Henderson RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Drake London WR Tee Higgins,,Rashee Rice,WR,22.55%,18.6
5,4931587305,Sajohnson98 (140/150),0,259.7,DST Steelers  FLEX Kyle Monangai QB Caleb Williams RB Christian McCaffrey RB Jaylen Warren TE Brock Bowers WR Puka Nacua WR Tee Higgins WR Olamide Zaccheaus,,Puka Nacua,WR,20.64%,22.8
6,4930729066,ken.folk (86/150),0,259.18,DST Panthers  FLEX Drake London QB Joe Flacco RB Kyren Williams RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR DJ Moore,,Kimani Vidal,RB,20.16%,3
7,4930729070,ken.folk (90/150),0,256.47998,DST Titans  FLEX Darius Slayton QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR DJ Moore,,TreVeyon Henderson,FLEX,19.53%,12.7
8,4931330171,laggeler (96/150),0,256.2,DST Titans  FLEX Christian McCaffrey QB Joe Flacco RB Jaylen Warren RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR Parker Washington,,Tyrone Tracy Jr.,RB,18.91%,6.7
9,4928498901,PiReZ (24/150),0,255.50002,DST Panthers  FLEX Puka Nacua QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Michael Pittman Jr. WR Tee Higgins WR Andrei Iosivas,,DK Metcalf,WR,17.36%,2.6
10,4931521436,jp.miles (14/150),0,253.28,DST Vikings  FLEX Parker Washington QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR DJ Moore,,Wan'Dale Robinson,WR,16.42%,13.6
11,4932283577,rosskosh (80/150),0,252.78,DST Falcons  FLEX Rashee Rice QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Tee Higgins WR DJ Moore WR Parker Washington,,Tyler Warren,FLEX,15.93%,7.6
12,4930551084,bkn2244 (57/150),0,252.58,DST Rams  FLEX Rashee Rice QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Tee Higgins WR DJ Moore WR Olamide Zaccheaus,,Rams ,DST,15.81%,9
13,4927359660,ccman1707 (90/150),0,252.28,DST Falcons  FLEX Parker Washington QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR DJ Moore,,Jauan Jennings,WR,15.50%,14.1
14,4931647017,smccarty (85/150),0,251.48001,DST Titans  FLEX Jahmyr Gibbs QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Tee Higgins WR DJ Moore WR Alec Pierce,,Jaylen Warren,RB,14.99%,16.9
15,4928337670,Bluedog24 (38/90),0,250.57999,DST Rams  FLEX Christian McCaffrey QB Caleb Williams RB Chase Brown RB TreVeyon Henderson TE Colston Loveland WR Drake London WR Tee Higgins WR DJ Moore,,Jahmyr Gibbs,FLEX,14.04%,5.8
16,4931655542,rayrayp3 (135/150),0,250.00002,DST Titans  FLEX Jauan Jennings QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR Wan'Dale Robinson,,Brian Thomas Jr.,WR,13.77%,8.5
16,4932388361,jklewis (118/150),0,250.00002,DST Vikings  FLEX Dalton Kincaid QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR Wan'Dale Robinson,,Michael Pittman Jr.,WR,13.72%,23.5
16,4924682678,Supapicker (56/150),0,250,DST Colts  FLEX Brock Bowers QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Sam LaPorta WR Rashee Rice WR Tee Higgins WR Alec Pierce,,Jaxson Dart,QB,13.69%,27.24
19,4931803819,TexasShiner (121/150),0,249.80002,DST Panthers  FLEX Brock Bowers QB Caleb Williams RB Christian McCaffrey RB Kyle Monangai TE Colston Loveland WR Puka Nacua WR Ja'Marr Chase WR Parker Washington,,Parker Washington,WR,13.49%,17
20,4929097642,SteelBowl7 (76/150),0,249.10002,DST Titans  FLEX Kyle Monangai QB Joe Flacco RB Christian McCaffrey RB TreVeyon Henderson TE Brock Bowers WR Ja'Marr Chase WR Tee Higgins WR Jauan Jennings,,Travis Kelce,TE,13.06%,12.6
21,4929354850,PigskinABlanket (94/150),0,248.88,DST Texans  FLEX Parker Washington QB Joe Flacco RB Christian McCaffrey RB Kyle Monangai TE Brock Bowers WR Amon-Ra St. Brown WR Tee Higgins WR DJ Moore,,Brock Bowers,TE,12.93%,46.3
