Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40235746),Jonathan Taylor,40235746,RB/FLEX,8000,LV@IND 10/05/2025 01:00PM ET,IND,23.92
WR,Amon-Ra St. Brown (40235976),Amon-Ra St. Brown,40235976,WR/FLEX,7900,DET@CIN 10/05/2025 04:25PM ET,DET,24.35
WR,Ja'Marr Chase (40235978),Ja'Marr Chase,40235978,WR/FLEX,7800,DET@CIN 10/05/2025 04:25PM ET,CIN,18
RB,Jahmyr Gibbs (40235748),Jahmyr Gibbs,40235748,RB/FLEX,7700,DET@CIN 10/05/2025 04:25PM ET,DET,19.75
WR,CeeDee Lamb (40235980),CeeDee Lamb,40235980,WR/FLEX,7600,DAL@NYJ 10/05/2025 01:00PM ET,DAL,14.73
RB,Saquon Barkley (40235750),Saquon Barkley,40235750,RB/FLEX,7500,DEN@PHI 10/05/2025 01:00PM ET,PHI,15.68
QB,Lamar Jackson (40235679),Lamar Jackson,40235679,QB,7300,HOU@BAL 10/05/2025 01:00PM ET,BAL,23.84
RB,De'Von Achane (40235752),De'Von Achane,40235752,RB/FLEX,7300,MIA@CAR 10/05/2025 01:00PM ET,MIA,19.6
RB,Bucky Irving (40235754),Bucky Irving,40235754,RB/FLEX,7200,TB@SEA 10/05/2025 04:05PM ET,TB,19
WR,Jaxon Smith-Njigba (40235982),Jaxon Smith-Njigba,40235982,WR/FLEX,7100,TB@SEA 10/05/2025 04:05PM ET,SEA,19.58
RB,Derrick Henry (40235756),Derrick Henry,40235756,RB/FLEX,7000,HOU@BAL 10/05/2025 01:00PM ET,BAL,13.75
QB,Jayden Daniels (40235680),Jayden Daniels,40235680,QB,7000,WAS@LAC 10/05/2025 04:25PM ET,WAS,19.91
WR,Emeka Egbuka (40235984),Emeka Egbuka,40235984,WR/FLEX,6900,TB@SEA 10/05/2025 04:05PM ET,TB,18.52
WR,Nico Collins (40235986),Nico Collins,40235986,WR/FLEX,6800,HOU@BAL 10/05/2025 01:00PM ET,HOU,14.5
QB,Jalen Hurts (40235681),Jalen Hurts,40235681,QB,6800,DEN@PHI 10/05/2025 01:00PM ET,PHI,21.32
RB,Ashton Jeanty (40235758),Ashton Jeanty,40235758,RB/FLEX,6700,LV@IND 10/05/2025 01:00PM ET,LV,15.8
WR,George Pickens (40235988),George Pickens,40235988,WR/FLEX,6600,DAL@NYJ 10/05/2025 01:00PM ET,DAL,19.5
WR,Mike Evans (40235990),Mike Evans,40235990,WR/FLEX,6500,TB@SEA 10/05/2025 04:05PM ET,TB,11.33
QB,Jared Goff (40235682),Jared Goff,40235682,QB,6500,DET@CIN 10/05/2025 04:25PM ET,DET,18.82
RB,Omarion Hampton (40235760),Omarion Hampton,40235760,RB/FLEX,6500,WAS@LAC 10/05/2025 04:25PM ET,LAC,16.75
WR,Tyreek Hill (40235992),Tyreek Hill,40235992,WR/FLEX,6400,MIA@CAR 10/05/2025 01:00PM ET,MIA,14.6
QB,Baker Mayfield (40235683),Baker Mayfield,40235683,QB,6300,TB@SEA 10/05/2025 04:05PM ET,TB,20.02
RB,Kenneth Walker III (40235762),Kenneth Walker III,40235762,RB/FLEX,6300,TB@SEA 10/05/2025 04:05PM ET,SEA,14.3
WR,Deebo Samuel Sr. (40235994),Deebo Samuel Sr.,40235994,WR/FLEX,6300,WAS@LAC 10/05/2025 04:25PM ET,WAS,16.25
WR,Zay Flowers (40235996),Zay Flowers,40235996,WR/FLEX,6200,HOU@BAL 10/05/2025 01:00PM ET,BAL,15.92
RB,Javonte Williams (40235764),Javonte Williams,40235764,RB/FLEX,6200,DAL@NYJ 10/05/2025 01:00PM ET,DAL,19.4
WR,Garrett Wilson (40235998),Garrett Wilson,40235998,WR/FLEX,6100,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,18.63
RB,Chase Brown (40235766),Chase Brown,40235766,RB/FLEX,6100,DET@CIN 10/05/2025 04:25PM ET,CIN,9.2
QB,Justin Herbert (40235684),Justin Herbert,40235684,QB,6100,WAS@LAC 10/05/2025 04:25PM ET,LAC,20.96
RB,Cam Skattebo (40235768),Cam Skattebo,40235768,RB/FLEX,6000,NYG@NO 10/05/2025 01:00PM ET,NYG,13.48
QB,Dak Prescott (40235685),Dak Prescott,40235685,QB,6000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,20.49
WR,A.J. Brown (40236000),A.J. Brown,40236000,WR/FLEX,6000,DEN@PHI 10/05/2025 01:00PM ET,PHI,9.52
WR,Courtland Sutton (40236002),Courtland Sutton,40236002,WR/FLEX,6000,DEN@PHI 10/05/2025 01:00PM ET,DEN,15.5
RB,Alvin Kamara (40235770),Alvin Kamara,40235770,RB/FLEX,5900,NYG@NO 10/05/2025 01:00PM ET,NO,12.12
QB,Kyler Murray (40235686),Kyler Murray,40235686,QB,5900,TEN@ARI 10/05/2025 04:05PM ET,ARI,16.37
WR,Chris Godwin Jr. (40236004),Chris Godwin Jr.,40236004,WR/FLEX,5900,TB@SEA 10/05/2025 04:05PM ET,TB,5.6
WR,Tee Higgins (40236006),Tee Higgins,40236006,WR/FLEX,5900,DET@CIN 10/05/2025 04:25PM ET,CIN,7.8
RB,Chuba Hubbard (40235772),Chuba Hubbard,40235772,RB/FLEX,5800,MIA@CAR 10/05/2025 01:00PM ET,CAR,14.02
QB,Daniel Jones (40235687),Daniel Jones,40235687,QB,5800,LV@IND 10/05/2025 01:00PM ET,IND,20.88
TE,Trey McBride (40236352),Trey McBride,40236352,TE/FLEX,5800,TEN@ARI 10/05/2025 04:05PM ET,ARI,13.35
WR,Terry McLaurin (40236008),Terry McLaurin,40236008,WR/FLEX,5800,WAS@LAC 10/05/2025 04:25PM ET,WAS,8.3
WR,Tetairoa McMillan (40236012),Tetairoa McMillan,40236012,WR/FLEX,5700,MIA@CAR 10/05/2025 01:00PM ET,CAR,12.2
QB,Bo Nix (40235688),Bo Nix,40235688,QB,5700,DEN@PHI 10/05/2025 01:00PM ET,DEN,14.83
RB,Trey Benson (40235774),Trey Benson,40235774,RB/FLEX,5700,TEN@ARI 10/05/2025 04:05PM ET,ARI,8.85
WR,Quentin Johnston (40236010),Quentin Johnston,40236010,WR/FLEX,5700,WAS@LAC 10/05/2025 04:25PM ET,LAC,19.88
WR,Jakobi Meyers (40236016),Jakobi Meyers,40236016,WR/FLEX,5600,LV@IND 10/05/2025 01:00PM ET,LV,11.7
QB,Justin Fields (40235689),Justin Fields,40235689,QB,5600,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,17.25
RB,Breece Hall (40235776),Breece Hall,40235776,RB/FLEX,5600,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,11.5
WR,Keenan Allen (40236014),Keenan Allen,40236014,WR/FLEX,5600,WAS@LAC 10/05/2025 04:25PM ET,LAC,16.28
QB,Tua Tagovailoa (40235690),Tua Tagovailoa,40235690,QB,5500,MIA@CAR 10/05/2025 01:00PM ET,MIA,14.9
TE,Brock Bowers (40236354),Brock Bowers,40236354,TE/FLEX,5500,LV@IND 10/05/2025 01:00PM ET,LV,11.62
RB,J.K. Dobbins (40235778),J.K. Dobbins,40235778,RB/FLEX,5500,DEN@PHI 10/05/2025 01:00PM ET,DEN,15.2
WR,Ladd McConkey (40236018),Ladd McConkey,40236018,WR/FLEX,5500,WAS@LAC 10/05/2025 04:25PM ET,LAC,8.35
RB,Woody Marks (40235782),Woody Marks,40235782,RB/FLEX,5400,HOU@BAL 10/05/2025 01:00PM ET,HOU,9.72
WR,Jaylen Waddle (40236020),Jaylen Waddle,40236020,WR/FLEX,5400,MIA@CAR 10/05/2025 01:00PM ET,MIA,13.23
QB,Geno Smith (40235691),Geno Smith,40235691,QB,5400,LV@IND 10/05/2025 01:00PM ET,LV,16.63
RB,Tony Pollard (40235780),Tony Pollard,40235780,RB/FLEX,5400,TEN@ARI 10/05/2025 04:05PM ET,TEN,10.65
WR,Marvin Harrison Jr. (40236022),Marvin Harrison Jr.,40236022,WR/FLEX,5400,TEN@ARI 10/05/2025 04:05PM ET,ARI,12.2
QB,Jaxson Dart (40235692),Jaxson Dart,40235692,QB,5300,NYG@NO 10/05/2025 01:00PM ET,NYG,6.61
WR,Wan'Dale Robinson (40236024),Wan'Dale Robinson,40236024,WR/FLEX,5300,NYG@NO 10/05/2025 01:00PM ET,NYG,12.68
RB,Zach Charbonnet (40235784),Zach Charbonnet,40235784,RB/FLEX,5300,TB@SEA 10/05/2025 04:05PM ET,SEA,8.03
QB,C.J. Stroud (40235693),C.J. Stroud,40235693,QB,5200,HOU@BAL 10/05/2025 01:00PM ET,HOU,13.87
RB,Nick Chubb (40235788),Nick Chubb,40235788,RB/FLEX,5200,HOU@BAL 10/05/2025 01:00PM ET,HOU,9.1
WR,Chris Olave (40236026),Chris Olave,40236026,WR/FLEX,5200,NYG@NO 10/05/2025 01:00PM ET,NO,12.38
RB,David Montgomery (40235786),David Montgomery,40235786,RB/FLEX,5200,DET@CIN 10/05/2025 04:25PM ET,DET,13.75
WR,Michael Pittman Jr. (40236028),Michael Pittman Jr.,40236028,WR/FLEX,5100,LV@IND 10/05/2025 01:00PM ET,IND,15.6
RB,Braelon Allen (40235792),Braelon Allen,40235792,RB/FLEX,5100,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,4.9
QB,Sam Darnold (40235694),Sam Darnold,40235694,QB,5100,TB@SEA 10/05/2025 04:05PM ET,SEA,14.25
RB,Jacory Croskey-Merritt (40235790),Jacory Croskey-Merritt,40235790,RB/FLEX,5100,WAS@LAC 10/05/2025 04:25PM ET,WAS,8.42
RB,Justice Hill (40235796),Justice Hill,40235796,RB/FLEX,5000,HOU@BAL 10/05/2025 01:00PM ET,BAL,10.4
RB,Tyrone Tracy Jr. (40235794),Tyrone Tracy Jr.,40235794,RB/FLEX,5000,NYG@NO 10/05/2025 01:00PM ET,NYG,6.73
WR,DeVonta Smith (40236030),DeVonta Smith,40236030,WR/FLEX,5000,DEN@PHI 10/05/2025 01:00PM ET,PHI,9.7
QB,Marcus Mariota (40235695),Marcus Mariota,40235695,QB,5000,WAS@LAC 10/05/2025 04:25PM ET,WAS,19.26
RB,Joe Mixon (40235798),Joe Mixon,40235798,RB/FLEX,4900,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
QB,Jake Browning (40235696),Jake Browning,40235696,QB,4900,DET@CIN 10/05/2025 04:25PM ET,CIN,14.32
WR,Jameson Williams (40236032),Jameson Williams,40236032,WR/FLEX,4900,DET@CIN 10/05/2025 04:25PM ET,DET,10.1
RB,Ollie Gordon II (40235800),Ollie Gordon II,40235800,RB/FLEX,4800,MIA@CAR 10/05/2025 01:00PM ET,MIA,4.47
QB,Spencer Rattler (40235697),Spencer Rattler,40235697,QB,4800,NYG@NO 10/05/2025 01:00PM ET,NO,14.95
TE,Jake Ferguson (40236356),Jake Ferguson,40236356,TE/FLEX,4800,DAL@NYJ 10/05/2025 01:00PM ET,DAL,15.58
WR,Calvin Ridley (40236034),Calvin Ridley,40236034,WR/FLEX,4800,TEN@ARI 10/05/2025 04:05PM ET,TEN,6.02
QB,Bryce Young (40235698),Bryce Young,40235698,QB,4700,MIA@CAR 10/05/2025 01:00PM ET,CAR,14.86
WR,Tre Tucker (40236036),Tre Tucker,40236036,WR/FLEX,4700,LV@IND 10/05/2025 01:00PM ET,LV,16.6
