Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4958521437,Santiago1901 (20/20),0,259.36,DST Browns  FLEX A.J. Brown QB Caleb Williams RB Jahmyr Gibbs RB Emanuel Wilson TE Colston Loveland WR Amon-Ra St. Brown WR Wan'Dale Robinson WR DJ Moore,,Michael Wilson,WR,31.27%,24.8
2,4960199059,xanguiano (7/15),0,250.34,DST Browns  FLEX Michael Wilson QB Jameis Winston RB Jahmyr Gibbs RB Travis Etienne Jr. TE Colston Loveland WR Jaxon Smith-Njigba WR Rashee Rice WR Isaiah Hodgins,,Trey McBride,TE,24.81%,16.9
3,4959363913,Deathflower74 (11/20),0,233.98,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Trey McBride WR Wan'Dale Robinson WR Jauan Jennings WR Michael Wilson,,Christian McCaffrey,RB,22.94%,27.2
4,4958319774,JERKER19 (1/3),0,233.87999,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Browns ,DST,22.34%,16
5,4959363916,Deathflower74 (14/20),0,233.18001,DST Bills  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Hunter Henry WR Amon-Ra St. Brown WR DK Metcalf WR Michael Wilson,,Jahmyr Gibbs,RB,22.17%,58.4
6,4960352026,PappybigJohn,0,231.88,DST Saints  FLEX Andrei Iosivas QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Jaxon Smith-Njigba WR Rome Odunze WR Michael Wilson,,TreVeyon Henderson,RB,19.61%,11.1
7,4960747412,CoffeeInBed (14/20),0,230.56,DST Saints  FLEX Emanuel Wilson QB Jared Goff RB Jahmyr Gibbs RB Chase Brown TE Colby Parkinson WR Amon-Ra St. Brown WR DeVonta Smith WR Wan'Dale Robinson,,Tetairoa McMillan,WR,19.60%,11.5
8,4958521421,Santiago1901 (4/20),0,228.88,DST Browns  FLEX Michael Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Derrick Henry TE Noah Fant WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Greg Dortch,,Jameson Williams,FLEX,18.05%,0
9,4960747414,CoffeeInBed (16/20),0,227.56,DST Raiders  FLEX Emanuel Wilson QB Jared Goff RB Jahmyr Gibbs RB Kareem Hunt TE Gunnar Helm WR Amon-Ra St. Brown WR DeVonta Smith WR Wan'Dale Robinson,,Amon-Ra St. Brown,WR,16.69%,32.9
10,4960556093,GmonyDS (8/14),0,224.98001,DST Rams  FLEX Noah Fant QB Jacoby Brissett RB Bijan Robinson RB Jahmyr Gibbs TE Hunter Henry WR Jaxon Smith-Njigba WR Wan'Dale Robinson WR Luther Burden III,,Emanuel Wilson,RB,16.65%,29.5
