,Player,Position,Team,Opponent,Salary,% ownership
0,Christian McCaffrey,RB,SF,@NYG,"$8,800",36.0%
1,Ja'Marr Chase,WR,CIN,CHI,"$8,400",27.9%
2,Tyrone Tracy Jr.,RB,NYG,SF,"$5,100",25.2%
3,Jaylen Warren,RB,PIT,IND,"$5,500",24.9%
4,Puka Nacua,WR,LAR,NO,"$8,500",19.2%
5,Kyren Williams,RB,LAR,NO,"$6,800",17.8%
6,Wan'Dale Robinson,WR,NYG,SF,"$5,100",16.2%
7,Kimani Vidal,RB,LAC,@TEN,"$6,300",14.5%
8,Rashee Rice,WR,KC,@BUF,"$7,600",14.2%
9,George Kittle,TE,SF,@NYG,"$4,800",13.5%
10,Ladd McConkey,WR,LAC,@TEN,"$6,000",13.3%
11,DK Metcalf,WR,PIT,IND,"$5,500",13.3%
12,Jauan Jennings,WR,SF,@NYG,"$4,300",13.2%
13,Amon-Ra St. Brown,WR,DET,MIN,"$8,300",12.6%
14,Jaxson Dart,QB,NYG,SF,"$5,200",12.6%
15,Bijan Robinson,RB,ATL,@NE,"$8,700",11.8%
16,Travis Hunter,WR,JAX,@LV,"$4,700",11.7%
17,Patrick Mahomes,QB,KC,@BUF,"$7,100",11.6%
18,Olamide Zaccheaus,WR,CHI,@CIN,"$3,300",11.4%
19,Jahmyr Gibbs,RB,DET,MIN,"$8,000",11.1%
20,D'Andre Swift,RB,CHI,@CIN,"$6,100",10.9%
22,Theo Johnson,TE,NYG,SF,"$3,500",10.1%
23,Brock Bowers,TE,LV,JAX,"$5,000",10.1%
24,Kyle Pitts Sr.,TE,ATL,@NE,"$4,200",9.9%
25,Travis Etienne Jr.,RB,JAX,@LV,"$5,600",9.8%
27,Travis Kelce,TE,KC,@BUF,"$4,600",9.4%
28,Josh Jacobs,RB,GB,CAR,"$7,700",9.0%
30,Tucker Kraft,TE,GB,CAR,"$5,700",8.9%
31,Sam LaPorta,TE,DET,MIN,"$4,300",8.9%
32,Caleb Williams,QB,CHI,@CIN,"$5,700",8.8%
33,Oronde Gadsden II,TE,LAC,@TEN,"$5,300",8.7%
34,Tyler Warren,TE,IND,@PIT,"$5,500",8.6%
35,Jonathan Taylor,RB,IND,@PIT,"$9,800",8.4%
36,Rome Odunze,WR,CHI,@CIN,"$6,600",8.4%
39,Romeo Doubs,WR,GB,CAR,"$5,200",8.1%
40,Michael Pittman Jr.,WR,IND,@PIT,"$5,900",8.0%
41,Ashton Jeanty,RB,LV,JAX,"$6,700",7.6%
42,Stefon Diggs,WR,NE,ATL,"$5,700",7.4%
43,Chase Brown,RB,CIN,CHI,"$5,900",7.3%
44,Kareem Hunt,RB,KC,@BUF,"$4,700",7.2%
45,Justin Jefferson,WR,MIN,@DET,"$7,800",7.0%
46,Hunter Henry,TE,NE,ATL,"$3,700",6.9%
49,David Montgomery,RB,DET,MIN,"$5,000",6.4%
50,Trevor Lawrence,QB,JAX,@LV,"$5,400",6.3%
51,Justin Herbert,QB,LAC,@TEN,"$6,800",6.3%
52,James Cook III,RB,BUF,KC,"$7,200",6.3%
53,Rhamondre Stevenson,RB,NE,ATL,"$5,400",6.2%
54,Darnell Mooney,WR,ATL,@NE,"$4,200",6.2%
55,Calvin Austin III,WR,PIT,IND,"$4,000",6.0%
56,Mac Jones,QB,SF,@NYG,"$5,000",5.9%
57,Jakobi Meyers,WR,LV,JAX,"$5,300",5.9%
58,Jordan Love,QB,GB,CAR,"$6,100",5.7%
59,Khalil Shakir,WR,BUF,KC,"$5,300",5.7%
60,Brian Thomas Jr.,WR,JAX,@LV,"$6,200",5.7%
61,Jameson Williams,WR,DET,MIN,"$4,800",5.5%
62,DJ Moore,WR,CHI,@CIN,"$5,200",5.4%
63,Keenan Allen,WR,LAC,@TEN,"$5,600",5.3%
65,Joe Flacco,QB,CIN,CHI,"$5,600",5.2%
66,Drake Maye,QB,NE,ATL,"$6,500",5.1%
67,Juwan Johnson,TE,NO,LAR,"$3,200",5.1%
68,Josh Allen,QB,BUF,KC,"$7,300",5.0%
69,Xavier Worthy,WR,KC,@BUF,"$5,600",5.0%
70,Chimere Dike,WR,TEN,LAC,"$3,900",5.0%
71,Keon Coleman,WR,BUF,KC,"$4,500",5.0%
73,Darius Slayton,WR,NYG,SF,"$4,100",4.9%
74,Tre Tucker,WR,LV,JAX,"$4,800",4.7%
75,Dalton Schultz,TE,HOU,DEN,"$3,600",4.6%
76,Drake London,WR,ATL,@NE,"$6,400",4.4%
77,Daniel Jones,QB,IND,@PIT,"$6,200",4.4%
78,Dalton Kincaid,TE,BUF,KC,"$4,000",4.4%
80,T.J. Hockenson,TE,MIN,@DET,"$3,400",4.3%
81,Tetairoa McMillan,WR,CAR,@GB,"$5,800",4.3%
82,Davante Adams,WR,LAR,NO,"$7,500",4.2%
83,Chris Olave,WR,NO,LAR,"$6,100",4.1%
84,Tee Higgins,WR,CIN,CHI,"$5,900",4.0%
85,Elic Ayomanor,WR,TEN,LAC,"$3,800",4.0%
87,Josh Downs,WR,IND,@PIT,"$4,400",4.0%
88,Matthew Stafford,QB,LAR,NO,"$6,300",3.7%
89,Jared Goff,QB,DET,MIN,"$6,000",3.7%
90,Rashid Shaheed,WR,NO,LAR,"$5,100",3.6%
91,J.J. McCarthy,QB,MIN,@DET,"$4,900",3.6%
92,Colston Loveland,TE,CHI,@CIN,"$3,300",3.5%
93,Geno Smith,QB,LV,JAX,"$4,600",3.4%
94,Alec Pierce,WR,IND,@PIT,"$4,600",3.4%
95,Andrei Iosivas,WR,CIN,CHI,"$3,400",3.3%
96,Troy Franklin,WR,DEN,@HOU,"$4,900",3.2%
97,Jordan Addison,WR,MIN,@DET,"$5,800",3.1%
99,Quentin Johnston,WR,LAC,@TEN,"$5,400",2.7%
100,Nico Collins,WR,HOU,DEN,"$7,100",2.7%
102,Alvin Kamara,RB,NO,LAR,"$5,500",2.6%
104,C.J. Stroud,QB,HOU,DEN,"$5,100",2.6%
106,Courtland Sutton,WR,DEN,@HOU,"$6,500",2.4%
107,Jonnu Smith,TE,PIT,IND,"$3,400",2.4%
109,Aaron Rodgers,QB,PIT,IND,"$5,800",2.3%
112,Evan Engram,TE,DEN,@HOU,"$3,900",1.9%
113,Kendrick Bourne,WR,SF,@NYG,"$5,000",1.9%
114,Christian Watson,WR,GB,CAR,"$4,400",1.9%
115,Matthew Golden,WR,GB,CAR,"$4,700",1.8%
117,Hunter Long,TE,JAX,@LV,"$2,800",1.7%
119,Noah Fant,TE,CIN,CHI,"$3,300",1.6%
120,Brashard Smith,RB,KC,@BUF,"$4,200",1.6%
121,Rico Dowdle,RB,CAR,@GB,"$5,800",1.4%
122,Parker Washington,WR,JAX,@LV,"$3,700",1.3%
124,Dyami Brown,WR,JAX,@LV,"$3,800",1.2%
125,Van Jefferson,WR,TEN,LAC,"$3,200",1.1%
126,Michael Penix Jr.,QB,ATL,@NE,"$4,800",1.1%
127,Kayshon Boutte,WR,NE,ATL,"$5,000",1.0%
128,Aaron Jones Sr.,RB,MIN,@DET,"$5,200",1.0%
129,Tony Pollard,RB,TEN,LAC,"$5,300",1.0%
131,Tyler Shough,QB,NO,LAR,"$4,400",0.9%
