Team,Week,Opponent,Home/Away
ARI,1,NO,Away
ARI,2,CAR,Home
ARI,3,SF,Away
ARI,4,SEA,Home
ARI,5,TEN,Home
ARI,6,IND,Away
ARI,7,GB,Home
ARI,8,BYE,Home
ARI,9,DAL,Away
ARI,10,SEA,Away
ARI,11,SF,Home
ARI,12,JAC,Home
ARI,13,TB,Away
ARI,14,LAR,Home
ARI,15,HOU,Away
ARI,16,ATL,Home
ARI,17,CIN,Away
ARI,18,LAR,Away
ATL,1,TB,Home
ATL,2,MIN,Away
ATL,3,CAR,Away
ATL,4,WAS,Home
ATL,5,BYE,Home
ATL,6,BUF,Home
ATL,7,SF,Away
ATL,8,MIA,Home
ATL,9,NE,Away
ATL,10,IND,Away
ATL,11,CAR,Home
ATL,12,NO,Away
ATL,13,NYJ,Away
ATL,14,SEA,Home
ATL,15,TB,Away
ATL,16,ARI,Away
ATL,17,LAR,Home
ATL,18,NO,Home
BAL,1,BUF,Away
BAL,2,CLE,Home
BAL,3,DET,Home
BAL,4,KC,Away
BAL,5,HOU,Home
BAL,6,LAR,Home
BAL,7,BYE,Home
BAL,8,CHI,Home
BAL,9,MIA,Away
BAL,10,MIN,Away
BAL,11,CLE,Away
BAL,12,NYJ,Home
BAL,13,CIN,Home
BAL,14,PIT,Home
BAL,15,CIN,Away
BAL,16,NE,Home
BAL,17,GB,Away
BAL,18,PIT,Away
BUF,1,BAL,Home
BUF,2,NYJ,Away
BUF,3,MIA,Home
BUF,4,NO,Home
BUF,5,NE,Home
BUF,6,ATL,Away
BUF,7,BYE,Home
BUF,8,CAR,Away
BUF,9,KC,Home
BUF,10,MIA,Away
BUF,11,TB,Home
BUF,12,HOU,Away
BUF,13,PIT,Away
BUF,14,CIN,Home
BUF,15,NE,Away
BUF,16,CLE,Away
BUF,17,PHI,Home
BUF,18,NYJ,Home
CAR,1,JAC,Away
CAR,2,ARI,Away
CAR,3,ATL,Home
CAR,4,NE,Away
CAR,5,MIA,Home
CAR,6,DAL,Home
CAR,7,NYJ,Away
CAR,8,BUF,Home
CAR,9,GB,Away
CAR,10,NO,Home
CAR,11,ATL,Away
CAR,12,SF,Away
CAR,13,LAR,Home
CAR,14,BYE,Home
CAR,15,NO,Away
CAR,16,TB,Home
CAR,17,SEA,Home
CAR,18,TB,Away
CHI,1,MIN,Home
CHI,2,DET,Away
CHI,3,DAL,Home
CHI,4,LV,Away
CHI,5,BYE,Home
CHI,6,WAS,Away
CHI,7,NO,Home
CHI,8,BAL,Away
CHI,9,CIN,Away
CHI,10,NYG,Home
CHI,11,MIN,Away
CHI,12,PIT,Home
CHI,13,PHI,Away
CHI,14,GB,Away
CHI,15,CLE,Home
CHI,16,GB,Home
CHI,17,SF,Away
CHI,18,DET,Home
CIN,1,CLE,Away
CIN,2,JAC,Home
CIN,3,MIN,Away
CIN,4,DEN,Away
CIN,5,DET,Home
CIN,6,GB,Away
CIN,7,PIT,Home
CIN,8,NYJ,Home
CIN,9,CHI,Home
CIN,10,BYE,Home
CIN,11,PIT,Away
CIN,12,NE,Home
CIN,13,BAL,Away
CIN,14,BUF,Away
CIN,15,BAL,Home
