Team,Pick
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
12,13
11,14
10,15
9,16
8,17
7,18
6,19
5,20
4,21
3,22
2,23
1,24
1,25
2,26
3,27
4,28
5,29
6,30
7,31
8,32
9,33
10,34
11,35
12,36
12,37
11,38
10,39
9,40
8,41
7,42
6,43
5,44
4,45
3,46
2,47
1,48
1,49
2,50
3,51
4,52
5,53
6,54
7,55
8,56
9,57
10,58
11,59
12,60
12,61
11,62
10,63
9,64
8,65
7,66
6,67
5,68
4,69
3,70
2,71
1,72
1,73
2,74
3,75
4,76
5,77
6,78
7,79
8,80
9,81
10,82
11,83
12,84
