id,position,name,preferred,team abbr,ADP,AVG
"10062","WR","Ja'Marr Chase","any","CIN","1.1",23.71
"7888","WR","Justin Jefferson","any","MIN","2.5",18.68
"1002796","RB","Bijan Robinson","any","ATL","3.1",20.1
"7883","WR","CeeDee Lamb","any","DAL","4.2",17.56
"4947","RB","Saquon Barkley","any","PHI","4.9",23.23
"1002801","RB","Jahmyr Gibbs","any","DET","5.8",22.13
"1004650","WR","Malik Nabers","any","NYG","7.9",18.24
"1003178","WR","Puka Nacua","any","LAR","8.3",18.53
"1743","RB","Christian McCaffrey","any","SF","9",11.95
"10073","WR","Nico Collins","any","HOU","9.9",17.21
"10068","WR","Amon-Ra St. Brown","any","DET","11.6",18.77
"1005946","RB","Ashton Jeanty","any","LV","12.1",0
"1004652","WR","Brian Thomas","any","JAX","13.2",16.71
"1002807","RB","De'Von Achane","any","MIA","13.8",17.64
"1001021","WR","Drake London","any","ATL","14.8",16.52
"1285","RB","Derrick Henry","any","BAL","16.1",19.49
"7149","WR","A.J. Brown","any","PHI","16.4",15.95
"1004658","WR","Ladd McConkey","any","LAC","18.3",15.06
"1004646","TE","Brock Bowers","any","LV","19.4",15.45
"1002855","WR","Rashee Rice","any","KC","20.1",16.23
"7893","RB","Jonathan Taylor","any","IND","21.8",17.48
"1001017","WR","Garrett Wilson","any","NYJ","22.2",14.82
"7885","WR","Tee Higgins","any","CIN","24.2",18.51
"1004638","RB","Bucky Irving","any","TB","24.3",14.38
"964","WR","Tyreek Hill","any","MIA","25",12.84
"1626","WR","Davante Adams","any","LAR","26.9",17.24
"1002852","RB","Chase Brown","any","CIN","27.1",15.94
"1001068","TE","Trey McBride","any","ARI","27.6",15.61
"1004649","WR","Marvin Harrison","any","ARI","28.9",11.56
"7127","RB","Josh Jacobs","any","GB","29.3",17.24
"1002798","WR","Jaxon Smith-Njigba","any","SEA","31.2",14.88
"5052","QB","Lamar Jackson","any","BAL","31.7",24.91
"7141","WR","Terry McLaurin","any","WAS","32.9",15.82
"1000978","RB","Breece Hall","any","NYJ","33.3",15.06
"4937","QB","Josh Allen","any","BUF","34.3",23.31
"1000976","RB","Kyren Williams","any","LAR","35.9",16.56
"1792","WR","Mike Evans","any","TB","36.6",17.17
"1517","TE","George Kittle","any","SF","37.6",15.77
"1004630","QB","Jayden Daniels","any","WAS","39.1",21.36
"4939","WR","DJ Moore","any","CHI","40.5",14.01
"1005994","WR","Tetairoa McMillan","any","CAR","41.9",0
"7924","QB","Jalen Hurts","any","PHI","42.3",21.93
"1004657","WR","Xavier Worthy","any","KC","43.3",13.35
"7136","WR","DK Metcalf","any","PIT","44.3",12.75
"1000980","RB","James Cook","any","BUF","45",17.02
"1000975","RB","Kenneth Walker","any","SEA","46.1",16.47
"1001018","WR","Jameson Williams","any","DET","47.1",14.08
"10063","WR","DeVonta Smith","any","PHI","47.7",14.43
"1005947","RB","Omarion Hampton","any","LAC","48.7",0
"5285","WR","Courtland Sutton","any","DEN","50.4",14.14
"1772","RB","Alvin Kamara","any","NO","51",18.95
"1001026","WR","George Pickens","any","DAL","52.2",11.74
"1001024","WR","Zay Flowers","any","BAL","53.2",12.32
"10064","WR","Jaylen Waddle","any","MIA","53.4",9.97
"10050","RB","Chuba Hubbard","any","CAR","54.8",16.11
"7874","QB","Joe Burrow","any","CIN","54.8",21.93
"4942","WR","Calvin Ridley","any","TEN","55.5",11.72
"1006003","WR","Travis Hunter","any","JAX","58.6",0
"7934","WR","Jauan Jennings","any","SF","60.3",14.03
"1112","RB","Joe Mixon","any","HOU","60.4",17.23
"1156","RB","James Conner","any","ARI","60.8",15.86
"1001019","WR","Chris Olave","any","NO","62.7",9.59
"1005957","RB","RJ Harvey","any","DEN","63.3",0
"1005949","RB","TreVeyon Henderson","any","NE","64.3",0
"7892","RB","D'Andre Swift","any","CHI","65.7",12.62
"1795","WR","Chris Godwin","any","TB","66",19.69
"1004651","WR","Rome Odunze","any","CHI","66.2",8.52
"7882","WR","Jerry Jeudy","any","CLE","67.7",14.17
"7265","WR","Jakobi Meyers","any","LV","70",14.53
"7138","WR","Deebo Samuel","any","WAS","70.7",10.97
"1002793","WR","Jordan Addison","any","MIN","72.3",14.17
"1005948","RB","Kaleb Johnson","any","PIT","72.9",0
"7144","RB","David Montgomery","any","DET","73.5",15.02
"1002815","TE","Sam LaPorta","any","DET","73.9",11.28
"1004667","WR","Ricky Pearsall","any","SF","74.7",8.5
"1664","WR","Stefon Diggs","any","NE","76.2",15.24
"7187","RB","Tony Pollard","any","TEN","77.6",12.54
"1002805","WR","Josh Downs","any","IND","78.4",13.11
"1005950","RB","Quinshon Judkins","any","CLE","78.7",0
"1001039","WR","Khalil Shakir","any","BUF","79.4",12.11
"1640","RB","Aaron Jones","any","MIN","81.4",14.21
"970","QB","Patrick Mahomes","any","KC","81.6",18.34
"1005997","WR","Matthew Golden","any","GB","83.6",0
"1002859","WR","Jayden Reed","any","GB","84.2",11.59
"1000995","RB","Isiah Pacheco","any","KC","84.7",6.53
"7940","WR","Darnell Mooney","any","ATL","87.5",12.08
"968","TE","Travis Kelce","any","KC","88",12.21
"1000983","RB","Brian Robinson","any","WAS","88.6",11.44
"1005996","WR","Emeka Egbuka","any","TB","89.1",0
"7123","TE","T.J. Hockenson","any","MIN","89.3",8.65
"5261","QB","Baker Mayfield","any","TB","91",21.52
"10086","QB","Justin Fields","any","NYJ","91.2",11.91
"1476","WR","Cooper Kupp","any","SEA","92.6",14.32
"1001269","RB","Jordan Mason","any","MIN","94.1",9.58
"7909","WR","Michael Pittman","any","IND","96.3",10.36
"1001294","RB","Jaylen Warren","any","PIT","97.1",8.27
"7121","QB","Kyler Murray","any","ARI","97.7",17.48
"1004633","QB","Bo Nix","any","DEN","98.5",18.66
"10045","RB","Travis Etienne","any","JAX","98.9",8.68
"1006005","WR","Jayden Higgins","any","HOU","99.8",0
"1004653","WR","Keon Coleman","any","BUF","101.8",7.68
"1344","TE","Evan Engram","any","DEN","102.1",9.94
"10046","RB","Najee Harris","any","LAC","103.5",12.04
"1001315","WR","Rashid Shaheed","any","NO","104.1",13.3
