name,owner
Ja'Marr Chase,damelch
Justin Jefferson,KevinTurcot
Saquon Barkley,Jerzeboy2
CeeDee Lamb,Laxachussetts
Bijan Robinson,Buffalojay
Puka Nacua,kbw612
Malik Nabers,BigDraftEnergy
Jahmyr Gibbs,herlachecal
Christian McCaffrey,Foxystyle71
Nico Collins,SpikeandPunch
Brian Thomas,Spudson
Amon-Ra St. Brown,JETPOWER
Ashton Jeanty,JETPOWER
Brock Bowers,Spudson
De'Von Achane,SpikeandPunch
Drake London,Foxystyle71
Derrick Henry,herlachecal
A.J. Brown,BigDraftEnergy
Ladd McConkey,kbw612
Tee Higgins,Buffalojay
Rashee Rice,Laxachussetts
Trey McBride,Jerzeboy2
Garrett Wilson,KevinTurcot
Jonathan Taylor,damelch
Jaxon Smith-Njigba,damelch
Chase Brown,KevinTurcot
Lamar Jackson,Jerzeboy2
Tyreek Hill,Laxachussetts
Josh Allen,Buffalojay
Davante Adams,kbw612
Marvin Harrison,BigDraftEnergy
Bucky Irving,herlachecal
Josh Jacobs,Foxystyle71
Terry McLaurin,SpikeandPunch
George Kittle,pudson
Breece Hall,JETPOWER
Mike Evans,JETPOWER
DJ Moore,Spudson
Jayden Daniels,SpikeandPunch
Kyren Williams,Foxystyle71
Xavier Worthy,herlachecal
Jalen Hurts,BigDraftEnergy
Omarion Hampton,kbw612
James Cook,Buffalojay
Tetairoa McMillan,Laxachussetts
Alvin Kamara,Jerzeboy2
Kenneth Walker,KevinTurcot
DeVonta Smith,damelch
Joe Burrow,damelch
DK Metcalf,KevinTurcot
Courtland Sutton,Jerzeboy2
Zay Flowers,Laxachussetts
Jameson Williams,Buffalojay
George Pickens,kbw612
