Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18
ARI,@LAC,SEA,@SF,@NYG,DET,@LAR,DEN,@DAL,@SEA,LAR,@KC,WAS,PHI,BYE,NYJ,@NO,LV,SF
ATL,@PIT,CAR,@GB,@NO,BAL,CHI,SF,@TB,CIN,KC,BYE,@MIN,DET,@CLE,@WAS,TB,NO,@CAR
BAL,@IND,NO,@DAL,TEN,@ATL,@CLE,CIN,@BUF,JAC,@LAC,@CAR,@HOU,BYE,TB,@PIT,CLE,@CIN,PIT
BUF,@HOU,DET,LAC,NE,@LAR,@LV,BYE,BAL,@MIN,@NYJ,MIA,KC,@NE,@GB,CHI,@DEN,@MIA,NYJ
CAR,CHI,@ATL,@CLE,DET,BYE,@PHI,TB,@GB,DEN,@NO,BAL,@TB,@MIN,NO,CIN,@PIT,SEA,ATL
CHI,@CAR,MIN,PHI,NYJ,@GB,@ATL,NE,@SEA,TB,BYE,NO,@DET,JAC,@MIA,@BUF,GB,DET,@MIN
CIN,TB,@HOU,@PIT,JAC,@MIA,BYE,@BAL,TEN,@ATL,PIT,@WAS,NO,@CLE,KC,@CAR,@IND,BAL,CLE
CLE,@JAC,@TB,CAR,PIT,@NYJ,BAL,@TEN,@PIT,@NO,HOU,BYE,LV,CIN,ATL,@NYG,@BAL,IND,@CIN
DAL,@NYG,WAS,BAL,@HOU,TB,@GB,@PHI,ARI,@IND,SF,TEN,PHI,@SEA,BYE,@LAR,JAC,NYG,@WAS
DEN,@KC,JAC,LAR,@SF,@LAC,SEA,@ARI,KC,@CAR,BYE,LV,@PIT,MIA,@NYJ,@LV,BUF,@NE,LAC
DET,NO,@BUF,NYJ,@CAR,@ARI,BYE,GB,MIN,@MIA,NE,TB,CHI,@ATL,TEN,@MIN,NYG,@CHI,@GB
GB,@MIN,@NYJ,ATL,@TB,CHI,DAL,@DET,CAR,@NE,MIN,BYE,@LAR,@NO,BUF,MIA,@CHI,HOU,DET
HOU,BUF,CIN,@IND,DAL,@TEN,@JAC,NYG,BYE,@LAC,@CLE,IND,BAL,@PIT,@WAS,JAC,@PHI,@GB,TEN
IND,BAL,@KC,HOU,@WAS,@PIT,TEN,@MIN,@JAC,DAL,MIA,@HOU,NYG,BYE,@PHI,@TEN,CIN,@CLE,JAC
JAC,CLE,@DEN,NE,@CIN,PHI,HOU,BYE,IND,@BAL,@TEN,@NYG,TEN,@CHI,PIT,@HOU,@DAL,WAS,@IND
KC,DEN,IND,@MIA,@LV,BYE,LAC,@SEA,@DEN,NYJ,@ATL,ARI,@BUF,@LAR,@CIN,NE,SF,@LAC,LV
LAC,ARI,LV,@BUF,@SEA,DEN,@KC,BYE,@LAR,HOU,BAL,NYJ,NE,@TB,@LV,SF,@MIA,KC,@DEN
LAR,SF,NYG,@DEN,@PHI,BUF,ARI,@LV,LAC,@WAS,@ARI,BYE,GB,KC,@SF,DAL,@SEA,@TB,SEA
LV,MIA,@LAC,@NO,KC,@NE,BUF,LAR,@NYJ,@SF,SEA,@DEN,@CLE,BYE,LAC,DEN,TEN,@ARI,@KC
MIA,@LV,@SF,KC,@MIN,CIN,BYE,@NYJ,NE,DET,@IND,@BUF,NYJ,@DEN,CHI,@GB,LAC,BUF,@NE
MIN,GB,@CHI,@TB,MIA,@NO,BYE,IND,@DET,BUF,@GB,@SF,ATL,CAR,@NE,DET,WAS,@NYJ,CHI
NE,@SEA,PIT,@JAC,@BUF,LV,NYJ,@CHI,@MIA,GB,@DET,BYE,@LAC,BUF,MIN,@KC,@NYJ,DEN,MIA
NO,@DET,@BAL,LV,ATL,MIN,@NYG,PIT,BYE,CLE,CAR,@CHI,@CIN,GB,@CAR,@TB,ARI,@ATL,TB
NYG,DAL,@LAR,TEN,ARI,@WAS,NO,@HOU,BYE,@PHI,WAS,JAC,@IND,SF,@SEA,CLE,@DET,@DAL,PHI
NYJ,@TEN,GB,@DET,@CHI,CLE,@NE,MIA,LV,@KC,BUF,@LAC,@MIA,BYE,DEN,@ARI,NE,MIN,@BUF
PHI,WAS,@TEN,@CHI,LAR,@JAC,CAR,DAL,@WAS,NYG,BYE,PIT,@DAL,@ARI,IND,SEA,HOU,@SF,@NYG
PIT,ATL,@NE,CIN,@CLE,IND,@TB,@NO,CLE,BYE,@CIN,@PHI,DEN,HOU,@JAC,BAL,CAR,@TEN,@BAL
SEA,NE,@ARI,@WAS,LAC,SF,@DEN,KC,CHI,ARI,@LV,BYE,@SF,DAL,NYG,@PHI,LAR,@CAR,@LAR
SF,@LAR,MIA,ARI,DEN,@SEA,WAS,@ATL,BYE,LV,@DAL,MIN,SEA,@NYG,LAR,@LAC,@KC,PHI,@ARI
TB,@CIN,CLE,MIN,GB,@DAL,PIT,@CAR,ATL,@CHI,BYE,@DET,CAR,LAC,@BAL,NO,@ATL,LAR,@NO
TEN,NYJ,PHI,@NYG,@BAL,HOU,@IND,CLE,@CIN,BYE,JAC,@DAL,@JAC,WAS,@DET,IND,@LV,PIT,@HOU
WAS,@PHI,@DAL,SEA,IND,NYG,@SF,BYE,PHI,LAR,@NYG,CIN,@ARI,@TEN,HOU,ATL,@MIN,@JAC,DAL
