Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
1,Jahmyr Gibbs,DET,RB,1.2,21.58,,
2,Bijan Robinson,ATL,RB,2,21.81,,
3,Puka Nacua,LAR,WR,4,23.82,,
4,Ja'Marr Chase,CIN,WR,3,19.6,,
5,Jaxon Smith-Njigba,SEA,WR,5.6,20.44,,
6,Christian McCaffrey,SF,RB,6.4,24.13,,
7,Justin Jefferson,MIN,WR,9.5,11.85,,
8,Amon-Ra St. Brown,DET,WR,6.8,19.06,,
9,CeeDee Lamb,DAL,WR,10.8,14.35,,
10,Jonathan Taylor,IND,RB,9.7,21.31,,
11,Saquon Barkley,PHI,RB,13.6,14.61,,
12,James Cook,BUF,RB,12.1,17.02,,
13,Ashton Jeanty,LV,RB,8.1,14.42,,
14,Drake London,ATL,WR,20.5,16.83,,
15,Kenneth Walker,KC,RB,15.6,13.33,,
16,Brock Bowers,LV,TE,18.2,14.68,,
17,Chase Brown,CIN,RB,15.9,16.62,,
18,De'Von Achane,MIA,RB,18.1,20.18,,
19,Omarion Hampton,LAC,RB,14.2,13.56,,
20,A.J. Brown,NE,WR,17.2,14.11,,
21,Derrick Henry,BAL,RB,20.3,16.44,,
22,Trey McBride,ARI,TE,27.1,18.58,,
23,George Pickens,DAL,WR,25.9,17.17,,
24,Nico Collins,HOU,WR,21.9,14.46,,
25,Rashee Rice,KC,WR,23.2,18.76,,
26,Chris Olave,NO,WR,28.9,16.75,,
27,Jeremiyah Love,ARI,RB,27.4,0,,
28,Garrett Wilson,NYJ,WR,36.6,14.21,,
29,DeVonta Smith,PHI,WR,24.5,12.04,,
30,Malik Nabers,NYG,WR,37.7,14.28,,
31,Breece Hall,NYJ,RB,33.3,12.98,,
32,Kyren Williams,LAR,RB,31,16.03,,
33,Ladd McConkey,LAC,WR,34.8,11.01,,
34,Zay Flowers,BAL,WR,29.7,14.31,,
35,Emeka Egbuka,TB,WR,30.3,11.51,,
36,Josh Allen,BUF,QB,28.1,23.15,,
37,Javonte Williams,DAL,RB,37.1,15.18,,
38,Tee Higgins,CIN,WR,35.3,14.11,,
39,Colston Loveland,CHI,TE,41.6,11.02,,
40,Josh Jacobs,GB,RB,41.3,15.24,,
41,Travis Etienne,NO,RB,42.7,15.36,,
42,Terry McLaurin,WAS,WR,40.5,11.42,,
43,Davante Adams,LAR,WR,48.6,15.2,,
44,Tetairoa McMillan,CAR,WR,43.2,12.47,,
45,Cam Skattebo,NYG,RB,45.8,15.96,,
46,Luther Burden,CHI,WR,45.6,8.24,,
47,D'Andre Swift,CHI,RB,48.3,14.08,,
48,Jaylen Waddle,DEN,WR,38.3,12.13,,
49,Jameson Williams,DET,WR,53.8,12.94,,
50,Lamar Jackson,BAL,QB,50.7,16.53,,
51,Mike Evans,SF,WR,51.8,10.6,,
52,David Montgomery,HOU,RB,50.8,9.82,,
53,Bucky Irving,TB,RB,59.3,13.85,,
54,DJ Moore,BUF,WR,52.9,10.79,,
55,Jayden Daniels,WAS,QB,64.3,16.33,,
56,Bhayshul Tuten,JAX,RB,48.9,5.86,,
57,Jordyn Tyson,NO,WR,70.1,0,,
58,Tyler Warren,IND,TE,61.1,11.09,,
59,Jadarian Price,SEA,RB,64.9,0,,
60,TreVeyon Henderson,NE,RB,55.4,10.58,,
61,Christian Watson,GB,WR,55.7,13.18,,
62,DK Metcalf,PIT,WR,76.4,12.09,,
63,Quinshon Judkins,CLE,RB,56.1,12.13,,
64,Jaylen Warren,PIT,RB,68.7,13.11,,
65,Carnell Tate,TEN,WR,61.3,0,,
66,Joe Burrow,CIN,QB,66.6,16.81,,
67,Rhamondre Stevenson,NE,RB,74.9,12.84,,
68,Parker Washington,JAX,WR,64.6,12.27,,
69,Jalen Hurts,PHI,QB,73.9,18.3,,
70,Drake Maye,NE,QB,66.3,19.85,,
71,Marvin Harrison,ARI,WR,63.2,10.65,,
72,Brian Thomas,JAX,WR,66.7,9.93,,
73,Tony Pollard,TEN,RB,73,10.93,,
74,Rome Odunze,CHI,WR,56.2,11.35,,
75,Chuba Hubbard,CAR,RB,81.5,9.08,,
76,Rico Dowdle,PIT,RB,90.8,12.16,,
77,Jayden Reed,GB,WR,80.8,9.17,,
78,RJ Harvey,DEN,RB,82.9,12.01,,
79,Tucker Kraft,GB,TE,79.2,14.65,,
80,Caleb Williams,CHI,QB,71.4,18.78,,
81,Dak Prescott,DAL,QB,85.5,18.46,,
82,Jordan Addison,MIN,WR,96.7,9.65,,
83,Courtland Sutton,DEN,WR,81.9,12.62,,
84,Sam LaPorta,DET,TE,80.3,11.88,,
85,Justin Herbert,LAC,QB,83.1,17.47,,
86,Brock Purdy,SF,QB,95.2,18.14,,
87,Chris Godwin,TB,WR,85.2,9.22,,
