Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes,,,,,,,,#REF!
1,Myles Garrett,LAR,ED001,DE,DL,87,30.4,,,,,,,,,
2,Aidan Hutchinson,DET,ED002,DL,DL,70,25.8,,,,,,,,,
3,Will Anderson,HOU,ED003,DL,"DL, LB",106,24.7,,,,,,,,,
4,Jack Campbell,DET,LB001,LB,LB,194.8,25.7,Tackles safe bet,,,,,,,,
5,Carson Schwesinger,CLE,LB002,LB,LB,99,22.8,,,,,,,,,
6,Travis Hunter,JAX,CB001,WR,"DB, WR",248.5,23,,,,,,,,,
7,Nick Bosa,SF,ED004,DE,DL,89,28.6,,,,,,,,,
8,Maxx Crosby,LV,ED005,DE,DL,73,28.7,,,,,,,,,
9,T.J. Watt,PIT,ED006,LB,"DL, LB",90,31.6,,,,,,,,,
10,Roquan Smith,BAL,LB003,LB,LB,85,29.1,,,,,,,,,
11,Blake Cashman,MIN,LB004,LB,LB,273.4,30,Tackles safe bet,,,,,,,,
12,Jordyn Brooks,MIA,LB005,LB,LB,182,28.6,,,,,,,,,
13,Nick Bolton,KC,LB006,LB,LB,167,26.2,Tackles safe bet,,,,,,,,
14,Jared Verse,CLE,ED007,DL,DL,101,25.5,,,,,,,,,
15,Danielle Hunter,HOU,ED008,DE,"DL, LB",193,31.6,,,,,,,,,
16,Nik Bonitto,DEN,ED009,LB,"DL, LB",125,26.6,,,,,,,,,
17,Brian Burns,NYG,ED010,DE,"DL, LB",143,28.1,,,,,,,,,
18,Josh Hines-Allen,JAX,ED011,DE,"DL, LB",153,28.8,,,,,,,,,
19,Laiatu Latu,IND,ED012,DL,DL,228,25.4,EDGE1 Darkhouse,,,,,,,,
20,Abdul Carter,NYG,ED013,DL,"DL, LB",144,22.6,,,,,,,,,
21,Alex Highsmith,PIT,ED014,LB,"DL, LB",270,28.8,,,,,,,,,
22,Dallas Turner,MIN,ED015,LB,"DL, LB",370,23.3,,,,,,,,,
23,Byron Young,LAR,ED016,LB,"DL, LB",153,28.2,,,,,,,,,
24,Quay Walker,LV,LB007,LB,LB,96,26,,,,,,,,,
25,Devin Lloyd,CAR,LB008,LB,LB,207,27.6,LB1 Darkhouse,,,,,,,,
26,Fred Warner,SF,LB009,LB,LB,115.1,29.5,Tackles safe bet,,,,,,,,
27,Ernest Jones,SEA,LB010,LB,LB,171,26.5,,,,,,,,,
28,Nate Landman,LAR,LB011,LB,LB,999,27.5,Tackles safe bet,,,,,,,,
29,Foyesade Oluokun,JAX,LB012,LB,LB,150.9,30.8,,,,,,,,,
30,Tremaine Edmunds,NYG,LB013,LB,LB,225,28,,,,,,,,,
31,Edgerrin Cooper,GB,LB014,LB,LB,91,24.5,,,,,,,,,
32,Zack Baun,PHI,LB015,LB,LB,103,29.4,,,,,,,,,
33,Jeffery Simmons,TEN,DT001,DT,DL,294,28.8,,,,,,,,,
34,DeForest Buckner,IND,DT002,DT,DL,298.3,32.2,,,,,,,,,
35,Zach Allen,DEN,DT003,DE,DL,272.9,28.7,,,,,,,,,
36,Sonny Styles,WAS,LB016,LB,LB,145,21.5,,,,,,,,,
37,Kaden Elliss,NO,LB017,LB,LB,295.2,30.9,LB1 Darkhouse,,,,,,,,
38,Nakobe Dean,LV,LB018,LB,LB,414,25.4,,,,,,,,,
39,Trey Hendrickson,BAL,ED017,DE,DL,178,31.5,,,,,,,,,
40,George Karlaftis,KC,ED018,DL,DL,401,25.1,EDGE1 Darkhouse,,,,,,,,
41,Tuli Tuipulotu,LAC,ED019,DL,"DL, LB",260,23.7,,,,,,,,,
42,Jaelan Phillips,CAR,ED020,LB,"DL, LB",287,27,EDGE1 Darkhouse,,,,,,,,
43,Montez Sweat,CHI,ED021,DE,DL,331,29.7,,,,,,,,,
44,Jonathan Greenard,PHI,ED022,DE,"DL, LB",248,29,,,,,,,,,
45,Kyle Hamilton,BAL,S001,DB,DB,135.5,25.2,,,,,,,,,
46,Nick Emmanwori,SEA,S002,DB,DB,381,23.6,,,,,,,,,
47,Derwin James,LAC,S003,DB,DB,147.5,29.8,,,,,,,,,
48,Nick Cross,WAS,S004,DB,DB,202.5,24.7,,,,,,,,,
49,Alex Singleton,DEN,LB019,LB,LB,222,32.4,LB1 Darkhouse,,,,,,,,
50,Jamien Sherwood,NYJ,LB020,LB,LB,94,26.3,,,,,,,,,
51,Zaire Franklin,GB,LB021,LB,LB,100.6,29.9,,,,,,,,,
52,T.J. Edwards,CHI,LB022,LB,LB,304.9,29.8,,,,,,,,,
53,Robert Spillane,NE,LB023,LB,LB,201,30.4,Tackles Red Flag,,,,,,,,
54,CJ Allen,IND,LB024,LB,LB,162,21.2,,,,,,,,,
55,Azeez Al-Shaair,HOU,LB025,LB,LB,231,28.8,"Bounce-back, Tackles Red Flag",,,,,,,,
56,Barrett Carter,CIN,LB026,LB,LB,999,25.7,,,,,,,,,
57,Terrel Bernard,BUF,LB027,LB,LB,184,27,,,,,,,,,
58,Patrick Queen,PIT,LB028,LB,LB,220,26.8,,,,,,,,,
59,Andrew Van Ginkel,MIN,ED023,LB,"DL, LB",191,30.9,,,,,,,,,
60,Greg Rousseau,BUF,ED024,DE,DL,163,26.1,,,,,,,,,
61,Travon Walker,JAX,ED025,LB,"DL, LB",250.1,25.4,,,,,,,,,
62,Josh Sweat,ARI,ED026,DE,DL,256.3,29.1,,,,,,,,,
63,Jonathon Cooper,DEN,ED027,DL,"DL, LB",999,28.4,,,,,,,,,
64,Chase Young,NO,ED028,DE,DL,457.7,27.1,,,,,,,,,
65,Micah Parsons,GB,ED029,LB,"DL, LB",77,27,,,,,,,,,
66,Budda Baker,ARI,S005,DB,DB,205,30.4,,,,,,,,,
67,Tykee Smith,TB,S006,DB,DB,203.4,25.2,,,,,,,,,
68,Quentin Lake,LAR,S007,DB,DB,362.4,27.3,,,,,,,,,
69,Jeremy Chinn,LV,S008,DB,"DB, LB",460.3,28.2,,,,,,,,,
70,Chamarri Conner,KC,S009,DB,DB,999,25.9,S1 Darkhouse,,,,,,,,
71,Kevin Winston,TEN,S010,DB,DB,999,23.3,,,,,,,,,
72,Brian Branch,DET,S011,DB,DB,133.1,24.6,,,,,,,,,
73,Devin Bush,CHI,LB029,LB,LB,465.8,27.8,,,,,,,,,
74,Divine Deablo,ATL,LB030,LB,LB,419,27.8,,,,,,,,,
75,DeMarvion Overshown,DAL,LB031,LB,LB,520.6,25.8,Bounce-back,,,,,,,,
76,Arvell Reese,NYG,LB032,LB,LB,133.8,20.7,,,,,,,,,
77,Cedric Gray,TEN,LB033,LB,LB,292,23.5,,,,,,,,,
78,Daiyan Henley,LAC,LB034,LB,LB,95,26.5,,,,,,,,,
79,Tre'von Moehrig,CAR,S012,DB,DB,252,26.9,,,,,,,,,
80,Jalen Pitre,HOU,S013,DB,DB,319.1,27,,,,,,,,,
81,Dillon Thieneman,CHI,S014,DB,DB,180,21.8,,,,,,,,,
82,Kam Curl,LAR,S015,DB,DB,202,27.1,,,,,,,,,
83,DeShon Elliott,PIT,S016,DB,DB,502.6,29.1,"S1 Darkhouse, Bounce-back",,,,,,,,
84,Caleb Downs,DAL,S017,DB,DB,163.2,21.4,,,,,,,,,
85,AJ Haulcy,IND,S018,DB,DB,186,22.4,S1 Darkhouse,,,,,,,,
86,Yaya Diaby,TB,ED030,DL,"DL, LB",311.9,27,,,,,,,,,
87,Jalon Walker,ATL,ED031,DL,"DL, LB",421,23.5,,,,,,,,,
88,Harold Landry,NE,ED032,LB,"DL, LB",187,30,,,,,,,,,
89,Chop Robinson,MIA,ED033,DE,"DL, LB",267,23.4,,,,,,,,,
90,Rashan Gary,DAL,ED034,LB,"DL, LB",190,28.5,,,,,,,,,
91,David Bailey,NYJ,ED035,LB,"DL, LB",182,22.7,,,,,,,,,
92,Rueben Bain,TB,ED036,DL,DL,152,21.7,,,,,,,,,
93,Dexter Lawrence,CIN,DT004,DT,DL,325,28.5,Bounce-back,,,,,,,,
94,Quinnen Williams,DAL,DT005,DT,DL,331,28.5,,,,,,,,,
95,Leonard Williams,SEA,DT006,DE,DL,335,31.9,,,,,,,,,
96,Byron Murphy,SEA,DT007,CB,DB,999,23.7,DT1 Darkhouse,,,,,,,,
97,Mack Wilson,ARI,LB035,LB,LB,999,28.3,,,,,,,,,
98,Jihaad Campbell,PHI,LB036,LB,LB,210,22.6,,,,,,,,,
99,Drue Tranquill,KC,LB037,LB,LB,999,30.8,,,,,,,,,
100,Alex Anzalone,TB,LB038,LB,LB,433.1,31.7,,,,,,,,,
101,Demario Davis,NYJ,LB039,LB,LB,313,37.4,,,,,,,,,
102,Quincy Williams,CLE,LB040,LB,LB,317,29.7,Tackles Red Flag,,,,,,,,
103,Frankie Luvu,WAS,LB041,LB,LB,244,29.7,,,,,,,,,
104,Cody Barton,TEN,LB042,LB,LB,300,29.5,Tackles Red Flag,,,,,,,,
105,Bradley Chubb,BUF,ED037,LB,"DL, LB",324,29.9,,,,,,,,,
106,Khalil Mack,LAC,ED038,LB,"DL, LB",501.8,35.2,,,,,,,,,
107,Jermaine Johnson,TEN,ED039,LB,"DL, LB",999,27.4,Make-or-Break Season,,,,,,,,
108,Dorance Armstrong,WAS,ED040,DE,DL,275,28.9,,,,,,,,,
109,Nolan Smith,PHI,ED041,LB,"DL, LB",393.9,25.3,Make-or-Break Season,,,,,,,,
110,Kobie Turner,LAR,DT008,DT,DL,382,27.1,DT1 Darkhouse,,,,,,,,
111,Cameron Heyward,PIT,DT009,DT,DL,999,37.2,,,,,,,,,
112,Chris Jones,KC,DT010,DT,DL,391,31.9,,,,,,,,,
113,Ed Oliver,BUF,DT011,DT,DL,340.3,28.4,Bounce-back,,,,,,,,
114,Jalen Carter,PHI,DT012,DL,DL,288.8,25.1,,,,,,,,,
115,Xavier Watts,ATL,S019,DB,DB,470.6,24,,,,,,,,,
116,Tyler Nubin,NYG,S020,DB,DB,270.7,24.9,,,,,,,,,
117,Joshua Metellus,MIN,S021,DB,"DB, LB",330.4,28.3,,,,,,,,,
118,Talanoa Hufanga,DEN,S022,DB,DB,327.9,27.3,,,,,,,,,
119,Antoine Winfield,TB,S023,DB,DB,344.6,27.8,,,,,,,,,
120,Brandon Jones,DEN,S024,DB,DB,341,28.1,,,,,,,,,
121,Zach Sieler,MIA,DT013,DT,DL,431,30.7,,,,,,,,,
122,Will McDonald,NYJ,ED042,DE,"DL, LB",372.5,27,,,,,,,,,
123,Kayvon Thibodeaux,NYG,ED043,DL,"DL, LB",252,25.4,,,,,,,,,
124,Carl Granderson,NO,ED044,DE,"DL, LB",156,29.4,,,,,,,,,
125,Derrick Brown,CAR,DT014,DT,DL,351,28.1,,,,,,,,,
126,Calijah Kancey,TB,DT015,DL,DL,278,25.2,,,,,,,,,
127,Nnamdi Madubuike,BAL,DT016,DT,DL,372.7,28.5,,,,,,,,,
128,Milton Williams,NE,DT017,DT,DL,510.1,27.2,DT1 Darkhouse,,,,,,,,
129,Cooper DeJean,PHI,CB002,DB,DB,511.2,23.3,,,,,,,,,
130,Devon Witherspoon,SEA,CB003,DB,DB,377.7,25.4,,,,,,,,,
131,Julian Love,SEA,S025,DB,DB,307,28.2,,,,,,,,,
132,Jaquan Brisker,PIT,S026,DB,DB,326,27.1,,,,,,,,,
