Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
1,Puka Nacua,LAR,WR,3.36,564.427931,,1
2,Josh Allen,BUF,QB,4.25,540.9856698,Tier 1,
3,Bijan Robinson,ATL,RB,3.62,519.6110485,Receiver,2
4,Dak Prescott,DAL,QB,34.81,511.3192416,Tier 2,
5,Jahmyr Gibbs,DET,RB,3.57,506.8002813,Receiver,2
6,Lamar Jackson,BAL,QB,16.32,486.7324461,Tier 1,
7,Ja'Marr Chase,CIN,WR,3.64,471.9551035,,1
8,Jaxon Smith-Njigba,SEA,WR,6.7,470.6712493,,1
9,Justin Herbert,LAC,QB,35.49,465.6454373,Tier 2,
10,Joe Burrow,CIN,QB,15.94,465.3766806,Tier 2,
11,Jalen Hurts,PHI,QB,35.32,465.0008186,Tier 2,
12,Matthew Stafford,LAR,QB,59.32,464.116958,Tier 3,
13,Drake Maye,NE,QB,16.29,463.5286447,Tier 2,
14,Jonathan Taylor,IND,RB,14.57,460.5791078,,2
15,De'Von Achane,MIA,RB,19.54,454.9777146,Receiver,1
16,Christian McCaffrey,SF,RB,10.52,454.6829623,Receiver,1
17,Trevor Lawrence,JAX,QB,52.07,448.4850662,Tier 3,
18,Brock Purdy,SF,QB,61.8,445.5835061,Tier 3,
19,Jared Goff,DET,QB,65.16,444.5532605,Tier 3,
20,Bo Nix,DEN,QB,68.03,443.2520159,Tier 3,
21,Jayden Daniels,WAS,QB,25.35,442.6092797,Tier 2,
22,Patrick Mahomes,KC,QB,58.04,442.1955171,Tier 3,
23,Amon-Ra St. Brown,DET,WR,11.29,440.3687311,,1
24,Caleb Williams,CHI,QB,33.52,439.7554186,Tier 3,
25,CeeDee Lamb,DAL,WR,13.06,433.0642606,,1
26,Malik Willis,MIA,QB,120.94,430.8765986,Tier 3,
27,Jordan Love,GB,QB,81.96,429.9418045,Tier 3,
28,C.J. Stroud,HOU,QB,109.4,427.1669121,Tier 3,
29,Trey McBride,ARI,TE,9.58,424.7945671,,1
30,Sam Darnold,SEA,QB,103.81,423.4659345,Tier 3,
31,Baker Mayfield,TB,QB,85.59,421.7292439,Tier 3,
32,James Cook,BUF,RB,19,418.3814064,Receiver,2
33,Brock Bowers,LV,TE,6.01,418.0452388,,1
34,Tyler Shough,NO,QB,94.99,413.6199408,Tier 3,
35,Drake London,ATL,WR,19.78,411.5302576,,1
36,Jaxson Dart,NYG,QB,61.49,407.4389245,Tier 3,
37,Justin Jefferson,MIN,WR,12.52,406.5009291,,1
38,Kyler Murray,MIN,QB,96.96,405.9821645,Tier 3,
39,Colston Loveland,CHI,TE,22.12,401.0327485,,1
40,George Pickens,DAL,WR,28.23,399.7823985,Best Ball,2
41,Jacoby Brissett,ARI,QB,157.29,385.3623083,Tier 3,
42,Tyler Warren,IND,TE,29.38,385.3086811,,2
43,Nico Collins,HOU,WR,23.58,379.4873121,,1
44,A.J. Brown,NE,WR,23.54,377.2839454,,1
45,Derrick Henry,BAL,RB,38.42,377.0859928,,4
46,Saquon Barkley,PHI,RB,28.07,371.5893315,Receiver,2
47,Bryce Young,CAR,QB,129.67,369.2652002,Tier 3,
48,Daniel Jones,IND,QB,124.69,368.7276191,Tier 3,
49,Zay Flowers,BAL,WR,44.45,364.835145,Best Ball,1
50,Aaron Rodgers,PIT,QB,162.84,363.6584258,Tier 4,
51,Jameson Williams,DET,WR,51.03,361.0335727,Best Ball,2
52,Geno Smith,NYJ,QB,167.05,359.8097309,Tier 4,
53,Ashton Jeanty,LV,RB,21.74,357.7649535,Receiver,2
