Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes
1,Jahmyr Gibbs,DET,RB1,RB,RB,1.2,,
2,Bijan Robinson,ATL,RB2,RB,RB,2,,
3,Puka Nacua,LAR,WR2,WR,WR,4.1,,
4,Ja'Marr Chase,CIN,WR1,WR,WR,3.1,,
5,Jaxon Smith-Njigba,SEA,WR3,WR,WR,5.8,,
6,Christian McCaffrey,SF,RB3,RB,RB,6.1,,
7,Justin Jefferson,MIN,WR5,WR,WR,10.5,,
8,Jonathan Taylor,IND,RB4,RB,RB,7.7,,
9,Amon-Ra St. Brown,DET,WR4,WR,WR,8.2,,
10,CeeDee Lamb,DAL,WR6,WR,WR,11.2,,
11,Saquon Barkley,PHI,RB7,RB,RB,13.3,,
12,James Cook,BUF,RB5,RB,RB,9.3,,
13,Derrick Henry,BAL,RB9,RB,RB,15.9,,
14,Drake London,ATL,WR8,WR,WR,22.5,,
15,Kenneth Walker III,KC,RB12,RB,RB,19.3,,
16,Ashton Jeanty,LV,RB6,RB,RB,12.3,,
17,Chase Brown,CIN,RB11,RB,RB,18.6,,
18,A.J. Brown,NE,WR7,WR,WR,16.8,,
19,Omarion Hampton,LAC,RB8,RB,RB,14.9,,
20,De'Von Achane,MIA,RB10,RB,RB,17.6,,
21,George Pickens,DAL,WR9,WR,WR,23.4,,
22,Nico Collins,HOU,WR10,WR,WR,23.9,,
23,Brock Bowers,LV,TE1,TE,TE,20.4,,
24,Jeremiyah Love,ARI,RB13,RB,RB,27.9,,
25,Chris Olave,NO,WR14,WR,WR,34,,
26,Trey McBride,ARI,TE2,TE,TE,25.6,,
27,Rashee Rice,KC,WR11,WR,WR,27.5,,
28,Kyren Williams,LAR,RB17,RB,RB,31.6,,
29,DeVonta Smith,PHI,WR12,WR,WR,29.3,,
30,Zay Flowers,BAL,WR17,WR,WR,38.9,,
31,Javonte Williams,DAL,RB16,RB,RB,31.1,,
32,Emeka Egbuka,TB,WR13,WR,WR,32.5,,
33,Tee Higgins,CIN,WR15,WR,WR,35,,
34,Breece Hall,NYJ,RB14,RB,RB,30.6,,
35,Garrett Wilson,NYJ,WR19,WR,WR,42.8,,
36,Ladd McConkey,LAC,WR18,WR,WR,39.4,,
37,Josh Allen,BUF,QB1,QB,QB,17.8,,
38,Travis Etienne Jr.,NO,RB15,RB,RB,30.9,,
39,Josh Jacobs,GB,RB18,RB,RB,37,,
40,Davante Adams,LAR,WR22,WR,WR,49.4,,
41,Colston Loveland,CHI,TE3,TE,TE,43.6,,
42,Terry McLaurin,WAS,WR27,WR,WR,53.6,,
43,Tetairoa McMillan,CAR,WR20,WR,WR,44.3,,
44,Malik Nabers,NYG,WR16,WR,WR,37.2,,
45,D'Andre Swift,CHI,RB23,RB,RB,54.4,,
46,Luther Burden,CHI,WR26,WR,WR,53.1,,
47,Jameson Williams,DET,WR25,WR,WR,53.1,,
48,Jaylen Waddle,DEN,WR24,WR,WR,52.3,,
49,Cam Skattebo,NYG,RB19,RB,RB,41.2,,
50,David Montgomery,HOU,RB20,RB,RB,45,,
51,Mike Evans,SF,WR21,WR,WR,45,,
52,Lamar Jackson,BAL,QB2,QB,QB,40.5,,
53,D.J. Moore,BUF,WR23,WR,WR,50.2,,
54,Christian Watson,GB,WR28,WR,WR,57.7,,
55,Jadarian Price,SEA,RB26,RB,RB,65.3,,
56,Bucky Irving,TB,RB24,RB,RB,56.7,,
57,Jayden Daniels,WAS,QB5,QB,QB,67.3,,
58,Jordyn Tyson,NO,WR34,WR,WR,73.9,,
59,Bhayshul Tuten,JAX,RB25,RB,RB,59.4,,
60,Quinshon Judkins,CLE,RB22,RB,RB,48.7,,
61,Tony Pollard,TEN,RB28,RB,RB,75.6,,
62,TreVeyon Henderson,NE,RB21,RB,RB,47.1,,
63,DK Metcalf,PIT,WR36,WR,WR,80.2,,
64,Parker Washington,JAX,WR35,WR,WR,77,,
65,Carnell Tate,TEN,WR30,WR,WR,63.7,,
66,Rhamondre Stevenson,NE,RB29,RB,RB,76.8,,
67,Brian Thomas,JAX,WR29,WR,WR,62.2,,
68,Chuba Hubbard,CAR,RB27,RB,RB,72.4,,
69,Tyler Warren,IND,TE4,TE,TE,60.5,,
70,Joe Burrow,CIN,QB3,QB,QB,52.3,,
71,Rome Odunze,CHI,WR31,WR,WR,64,,
72,Marvin Harrison,ARI,WR33,WR,WR,70.9,,
73,Drake Maye,NE,QB4,QB,QB,60.2,,
74,Jalen Hurts,PHI,QB6,QB,QB,68.4,,
75,Rico Dowdle,PIT,RB31,RB,RB,88.7,,
76,Tucker Kraft,GB,TE5,TE,TE,73.2,,
77,Jordan Addison,MIN,WR45,WR,WR,102.3,,
78,Jayden Reed,GB,WR42,WR,WR,95.5,,
79,Alec Pierce,IND,WR37,WR,WR,80.8,,
80,Jaylen Warren,PIT,RB30,RB,RB,79.2,,
81,Dak Prescott,DAL,QB8,QB,QB,74.4,,
82,Courtland Sutton,DEN,WR40,WR,WR,89.2,,
