Date,Tournament
2026-01-15,Sony Open in Hawaii
2026-01-22,The American Express
2026-01-29,Farmers Insurance Open
2026-02-05,WM Phoenix Open
2026-02-12,AT&T Pebble Beach Pro-Am
2026-02-19,The Genesis Invitational
2026-02-26,Cognizant Classic
2026-03-05,Arnold Palmer Invitational
2026-03-05,Puerto Rico Open
2026-03-12,The Players Championship
2026-03-19,Valspar Championship
2026-03-26,Texas Children's Houston Open
2026-04-02,Valero Texas Open
2026-04-09,Masters Tournament
2026-04-16,RBC Heritage
2026-04-23,Zurich Classic of New Orleans
2026-04-30,Cadillac Championship
2026-05-07,Truist Championship
2026-05-07,ONEflight Myrtle Beach Classic
2026-05-14,PGA Championship
2026-05-21,THE CJ CUP Byron Nelson
2026-05-28,Charles Schwab Challenge
2026-06-04,Memorial Tournament
2026-06-11,RBC Canadian Open
2026-06-18,U.S. Open
2026-06-25,Travelers Championship
2026-07-02,John Deere Classic
2026-07-09,Genesis Scottish Open
2026-07-09,ISCO Championship
2026-07-16,The Open Championship
2026-07-16,Corales Puntacana Championship
2026-07-23,3M Open
2026-07-30,Rocket Classic
2026-08-06,Wyndham Championship
2026-08-13,FedEx St. Jude Championship
2026-08-20,BMW Championship
2026-08-27,Tour Championship
2026-09-17,Biltmore Championship
2026-09-24,Presidents Cup
2026-10-01,Bank of Utah Championship
2026-10-08,Baycurrent Classic
2026-10-22,Butterfield Bermuda Championship
2026-10-29,VidantaWorld Mexico Open
2026-11-05,World Wide Technology Championship
2026-11-12,Good Good Championship
2026-11-19,RSM Classic
