Rank,,Player,Total
1,-,Scottie Scheffler,74
2,-,Matt Fitzpatrick,23
2,-,Hideki Matsuyama,23
4,-,Si Woo Kim,18
5,-,Cameron Young,16
6,1,John Parry,14
7,2,Ryo Hisatsune,13
7,2,Rory McIlroy,13
9,5,Alex Smalley,11
9,5,Jordan Spieth,11
11,5,Corey Conners,10
11,5,Brian Harman,10
11,5,Alex Noren,10
11,5,Xander Schauffele,10
15,5,Ludvig Åberg,9
16,7,Bud Cauley,8
16,7,Chris Gotterup,8
16,4,Mikumu Horikawa,8
16,7,Maverick McNealy,8
16,4,Kevin Roy,8
16,7,Sam Stevens,8
16,7,Matt Wallace,8
23,8,Sam Burns,7
23,-,SSP Chawrasia,7
23,8,Jason Day,7
23,-,Adrien Dumont de Chassart,7
23,8,Ben Griffin,7
23,8,Rico Hoey,7
23,-,Ben Kohles,7
23,8,Jon Rahm,7
23,8,Justin Thomas,7
32,13,Christiaan Bezuidenhout,6
32,13,Patrick Cantlay,6
32,1,Paul Casey,6
32,13,Harris English,6
32,13,Ryan Gerard,6
32,1,Takumi Kanaya,6
32,13,Kurt Kitayama,6
32,1,Tae Hee Lee,6
32,13,Kristoffer Reitan,6
32,13,Nick Taylor,6
32,1,Doug Tewell,6
32,13,Sahith Theegala,6
44,1,Gaganjeet Bhullar,5
44,16,Brian Campbell,5
44,16,Tom Hoge,5
44,16,Rasmus Højgaard,5
44,1,Wayne Levi,5
44,16,Andrew Novak,5
44,1,Wade Ormsby,5
44,1,Pat Perez,5
44,1,Tag Ridings,5
44,16,Justin Rose,5
44,1,Marcel Siem,5
,,tour average,4
55,5,Byeong Hun An,4
55,34,Daniel Berger,4
55,5,Fred Biondi,4
55,5,Blades Brown,4
55,5,Jorge Campillo,4
55,5,Luke Clanton,4
55,5,Eric Cole,4
55,5,Austin Eckroat,4
55,34,Alex Fitzpatrick,4
55,5,Martin Flores,4
55,34,Rickie Fowler,4
55,34,Ryan Fox,4
55,34,Nicolai Højgaard,4
55,34,Michael Kim,4
55,5,Jackson Koivun,4
55,34,Min Woo Lee,4
55,5,Marc Leishman,4
55,34,Denny McCarthy,4
55,5,Mac Meissner,4
55,34,Collin Morikawa,4
55,5,Cameron Percy,4
55,34,Aldrich Potgieter,4
55,34,Aaron Rai,4
55,5,JC Ritchie,4
55,5,Poom Saksansin,4
55,5,Erik van Rooyen,4
55,34,Jhonattan Vegas,4
82,7,Tyson Alexander,3
82,7,Abraham Ancer,3
82,7,Stuart Appleby,3
82,7,Mark Baldwin,3
82,7,Zach Bauchou,3
