Rank		Player	Total
1	-	Hideki Matsuyama	29
2	-	Ryo Hisatsune	20
2	-	Cameron Young	20
4	-	Rory McIlroy	17
5	-	Chris Gotterup	14
6	-	Sahith Theegala	13
6	-	Justin Thomas	13
8	-	Sam Burns	12
8	1	Kurt Kitayama	12
10	-	Ryan Fox	10
11	-	Mikumu Horikawa	8
11	-	Collin Morikawa	8
13	-	Blades Brown	7
13	-	SSP Chawrasia	7
13	2	A.J. Ewart	7
13	2	Rasmus Neergaard-Petersen	7
17	7	Christiaan Bezuidenhout	6
17	2	Keegan Bradley	6
17	2	Jacob Bridgeman	6
17	2	Paul Casey	6
17	2	Nico Echavarria	6
17	2	Tommy Fleetwood	6
17	7	Emiliano Grillo	6
17	7	Casey Jarvis	6
17	2	Tae Hee Lee	6
17	2	Doug Tewell	6
27	3	Gaganjeet Bhullar	5
27	11	Michael Brennan	5
27	11	Corey Conners	5
27	11	Fabián Gómez	5
27	3	Russell Henley	5
27	11	Beau Hossler	5
27	3	Chan Kim	5
27	11	Ben Kohles	5
27	3	Wayne Levi	5
27	3	Robert MacIntyre	5
27	11	Troy Merritt	5
27	3	Francesco Molinari	5
27	3	Wade Ormsby	5
27	3	Pat Perez	5
27	3	Tag Ridings	5
27	11	Jesper Svensson	5
		tour average	4
43	5	Byeong Hun An	4
43	5	Fred Biondi	4
43	18	Zac Blair	4
43	5	Jonathan Byrd	4
43	18	Ricky Castillo	4
43	18	Davis Chatfield	4
43	5	Eric Cole	4
43	18	Joel Dahmen	4
43	5	Martin Flores	4
43	5	Joel Girrbach	4
43	18	Lucas Glover	4
43	5	Ben Griffin	4
43	18	Mackenzie Hughes	4
43	5	Dustin Johnson	4
43	5	Romain Langasque	4
43	5	Marc Leishman	4
43	18	Pontus Nyholm	4
43	5	Jacob Skov Olesen	4
43	5	Cameron Percy	4
43	5	Poom Saksansin	4
43	18	Camilo Villegas	4
64	3	Tyson Alexander	3
64	3	Abraham Ancer	3
64	3	Stuart Appleby	3
64	3	Yongjun Bae	3
64	3	Mark Baldwin	3
64	3	Laurie Canter	3
64	3	Eugenio Chacarra	3
64	3	Alejandro Del Rey	3
64	3	Harrison Endycott	3
64	3	Patrick Flavin	3
64	3	Rickie Fowler	3
64	3	Oscar Fraustro	3
64	3	Sergio Garcia	3
64	3	Ryan Gerard	3
64	3	Tyrrell Hatton	3
64	3	Bob Heintz	3
64	3	Kramer Hickok	3
64	51	Rico Hoey	3
64	3	Charles Howell III	3
64	3	Si Woo Kim	3
64	3	Jacques Kruyswijk	3
64	3	Min Woo Lee	3
64	3	Alexander Levy	3
64	3	Tomoharu Otsuki	3
64	3	John Pak	3
64	3	Carl Paulson	3
64	51	Chandler Phillips	3
64	3	Doc Redman	3
64	51	Kevin Roy	3
64	3	Adam Scott	3
64	3	Bob Shearer	3
64	3	Conrad Shindler	3
64	51	Jordan Smith	3
64	3	J.J. Spaun	3
64	3	Andre Stolz	3
64	3	David Sutherland	3
64	3	Callum Tarren	3
64	3	Nick Taylor	3
64	3	Peter Uihlein	3
64	3	Brendan Valdes	3
64	3	Harold Varner III	3
64	51	Kristoffer Ventura	3
106	9	Mark Anderson	2
106	9	Matthew Anderson	2
106	9	Bobby Bai	2
106	9	Wil Bateman	2
106	-	Zach Bauchou	2
106	9	Sam Bennett	2
106	9	Lucas Bjerregaard	2
106	9	Davis Bryant	2
106	9	Bronson Burgoon	2
106	9	Ben Carr	2
106	9	Martin Contini	2
106	9	Ugo Coussaud	2
106	-	Trace Crowe	2
106	9	Santiago de la Fuente	2
106	9	Wenyi Ding	2
106	9	Hennie Du Plessis	2
106	9	Rhys Enoch	2
106	9	Michael Feagles	2
106	-	Patrick Fishburn	2
106	9	Nicolo Galletti	2
106	9	Brian Gay	2
106	9	David Gilford	2
106	9	Ian Gilligan	2
106	-	Will Gordon	2
106	9	Mike Grob	2
106	9	Tom Hearn	2
106	9	Kazuki Higa	2
106	9	Grant Hirschman	2
106	9	Scott Hoch	2
106	9	David Howell	2
106	9	Theo Humphrey	2
106	9	Ryo Ishikawa	2
106	-	Jeffrey Kang	2
106	9	Riki Kawamoto	2
106	9	Brad Kennedy	2
106	9	Phachara Khongwatmai	2
106	9	Hanbyeol Kim	2
106	-	Chris Kirk	2
106	9	Jeong Weon Ko	2
106	9	Satoshi Kodaira	2
106	-	Jackson Koivun	2
106	9	Mikko Korhonen	2
106	-	Hank Lebioda	2
106	9	Steve Lewton	2
106	9	Mikael Lindberg	2
106	9	Oliver Lindell	2
106	9	Billy Mayfair	2
106	-	Denny McCarthy	2
106	9	Ross McGowan	2
106	9	Blake McShea	2
106	9	Naoto Nakanishi	2
106	9	Lukas Nemecz	2
106	9	Shaun Norris	2
106	9	Craig Parry	2
106	-	John Parry	2
106	9	Victor Perez	2
106	9	Turk Pettit	2
106	-	Seamus Power	2
106	9	Alvaro Quiros	2
106	9	Jon Rahm	2
106	9	Patrick Reed	2
106	9	Matthew Riedel	2
106	9	Thomas Rosenmueller	2
106	9	Max Rottluff	2
106	-	Scottie Scheffler	2
106	-	Matti Schmid	2
106	9	Marcel Schneider	2
106	9	John Schroeder	2
106	9	Charl Schwartzel	2
106	9	Sanghun Shin	2
106	9	Callum Shinkwin	2
106	9	Bob Smith	2
106	9	Jacob Solomon	2
106	9	Ross Steelman	2
106	9	Brett Stegmaier	2
106	-	Kevin Streelman	2
106	9	Andy Sullivan	2
106	9	Michael Thorbjornsen	2
106	9	Jackson Van Paris	2
106	-	John VanDerLaan	2
106	9	Nicolai Von Dellingshausen	2
106	9	Jeunghun Wang	2
106	9	Tyler Watts	2
106	9	Lee Westwood	2
106	9	Dale Whitnell	2
106	-	Kevin Yu	2
