Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5196625734,jets6070,0,695,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Christiaan Bezuidenhout G Brian Harman G Denny McCarthy,,Scottie Scheffler,G,26.53%,133.5
2,5196687898,cj19751975,0,688,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Emiliano Grillo G Ben Kohles G Joel Dahmen,,Kurt Kitayama,G,25.27%,94
3,5195083974,sprothero,0,680,G Scottie Scheffler G Brian Harman G Emiliano Grillo G Ben Kohles G Zac Blair G Davis Chatfield,,Ben Kohles,G,23.42%,103.5
4,5196694372,duke5021,0,669,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lucas Glover,,Benjamin James,G,22.29%,31
5,5196288336,HammaTyme2122,0,663.5,G Scottie Scheffler G Jackson Koivun G Ben Kohles G Kevin Streelman G Davis Chatfield G Troy Merritt,,Tom Kim,G,21.78%,88.5
6,5194821457,Perrymac79,0,662.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,Max Homa,G,20.82%,21
6,5196017681,fredgeo77,0,662.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,Jackson Suber,G,20.52%,30.5
8,5195503670,whity1winner,0,654,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Ben Kohles G Matti Schmid G Zac Blair,,Hideki Matsuyama,G,20.06%,126.5
9,5195194760,mahaa507,0,646,G Scottie Scheffler G Ben Kohles G Michael Kim G Jesper Svensson G Denny McCarthy G Davis Chatfield,,Zac Blair,G,17.87%,103
10,5195078516,b-rad1969,0,643,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Casey Jarvis G Zachary Bauchou G Zac Blair,,Corey Conners,G,15.77%,78.5
10,5195867492,stefze65,0,643,G Scottie Scheffler G Ben Kohles G Denny McCarthy G Zac Blair G Patrick Fishburn G Kevin Roy,,Emiliano Grillo,G,14.72%,118.5
12,5195981492,Bgoebert,0,639,G Scottie Scheffler G Brian Harman G Casey Jarvis G Ben Kohles G Zac Blair G Davis Chatfield,,Mac Meissner,G,14.47%,36
12,5196475783,TwoLeggedLOTTO,0,639,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Patrick Fishburn G Davis Chatfield,,Casey Jarvis,G,13.54%,77.5
