Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5196512512,mskellett (2/20),0,715.5,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Brian Harman G Ben Kohles G Denny McCarthy,,Scottie Scheffler,G,27.49%,133.5
2,5195460118,craigger34 (3/9),0,693.5,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Jordan L. Smith G Brian Harman G Chandler Phillips,,Kurt Kitayama,G,24.19%,94
3,5196013329,Reboot78 (16/20),0,691.5,G Kurt Kitayama G Jackson Koivun G Davis Thompson G Brian Harman G Ben Kohles G Michael Kim,,Tom Kim,G,20.78%,88.5
4,5195369209,coachneilson,0,681,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Ricky Castillo G Denny McCarthy G Zac Blair,,Ben Kohles,G,20.02%,103.5
5,5195139181,mlief (7/20),0,680,G Scottie Scheffler G Brian Harman G Emiliano Grillo G Ben Kohles G Zac Blair G Davis Chatfield,,Hideki Matsuyama,G,18.48%,126.5
6,5196116304,stock2mail (19/20),0,679,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Michael Brennan G Brian Harman G Michael Kim,,Benjamin James,G,18.34%,31
7,5196483681,kellyzboyz (3/4),0,675.5,G Hideki Matsuyama G Jake Knapp G Jackson Koivun G Emiliano Grillo G Ben Kohles G Matti Schmid,,Jackson Suber,G,15.53%,30.5
8,5194843477,6Tino4 (5/10),0,674,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Emiliano Grillo G Lucas Glover G Zac Blair,,Mac Meissner,G,15.44%,36
9,5196857479,jradesanmi (11/20),0,673,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Rasmus Neergaard-Petersen G Brian Harman G Zac Blair,,Zac Blair,G,15.14%,103
10,5196663178,DanL79,0,671.5,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Brian Harman G Ben Kohles G Lucas Glover,,Maverick McNealy,G,14.56%,87
11,5194697228,jrevelle3 (2/20),0,668.5,G Hideki Matsuyama G Jackson Koivun G Jordan L. Smith G Rasmus Neergaard-Petersen G Kevin Yu G Emiliano Grillo,,Max Homa,G,14.22%,21
12,5196453655,musicman777 (19/20),0,667.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Emiliano Grillo G A.J. Ewart G Zac Blair,,Casey Jarvis,G,14.04%,77.5
13,5196496108,Fluffhead017 (11/20),0,666,G Jake Knapp G Jackson Koivun G Corey Conners G Christiaan Bezuidenhout G Brian Harman G Emiliano Grillo,,Corey Conners,G,13.31%,78.5
14,5195294808,jlee20 (2/6),0,665,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Ben Kohles G Denny McCarthy G A.J. Ewart,,Christiaan Bezuidenhout,G,13.22%,93
14,5195301782,jlee20 (4/6),0,665,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Ben Kohles G Denny McCarthy G A.J. Ewart,,Jackson Koivun,G,11.46%,155
14,5195301850,jlee20 (6/6),0,665,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Ben Kohles G Denny McCarthy G A.J. Ewart,,Emiliano Grillo,G,11.29%,118.5
17,5196668363,Maloneymat16 (9/20),0,664.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Brian Harman G Casey Jarvis G Joel Dahmen,,Doug Ghim,G,11.00%,28.5
18,5196453649,musicman777 (13/20),0,663.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Christiaan Bezuidenhout G Emiliano Grillo G Troy Merritt,,Keith Mitchell,G,10.98%,74.5
19,5196846749,lightsoutdnb (1/3),0,663,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Emiliano Grillo G Michael Kim G Rico Hoey,,Sungjae Im,G,10.21%,26.5
20,5194973821,vertabrae (11/20),0,659.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Austin Eckroat G Chandler Phillips,,Johnny Keefer,G,9.88%,39.5
21,5195496056,EHulseDC (11/20),0,659,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Ben Kohles G Lucas Glover G Zac Blair,,Rasmus Neergaard-Petersen,G,9.60%,96
22,5195560490,yepjnelz (19/20),0,658,G Scottie Scheffler G Brian Harman G Emiliano Grillo G Ben Kohles G Kris Ventura G Davis Chatfield,,Sam Stevens,G,9.52%,65
23,5195028772,Vegeta32 (15/20),0,657.5,G Hideki Matsuyama G Jake Knapp G Jackson Koivun G John Parry G Ben Kohles G Lucas Glover,,Jordan L. Smith,G,9.26%,80
24,5196756813,myres12384 (6/8),0,656,G Kurt Kitayama G Hideki Matsuyama G Christiaan Bezuidenhout G Brian Harman G Emiliano Grillo G Zac Blair,,Jake Knapp,G,9.15%,100
25,5196496100,Fluffhead017 (3/20),0,655.5,G Scottie Scheffler G Brian Harman G Ben Kohles G Lee Hodges G Seamus Power G Davis Chatfield,,Tony Finau,G,9.10%,28
25,5196512518,mskellett (8/20),0,655.5,G Maverick McNealy G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,William Mouw,G,8.60%,34.5
27,5195388024,B32044 (6/20),0,653.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Billy Horschel G Zac Blair G Joel Dahmen,,Pierceson Coody,G,8.52%,22.5
27,5196655540,Bigb16 (3/20),0,653.5,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Michael Kim G Denny McCarthy G Davis Chatfield,,Brian Harman,G,8.35%,121
29,5196453651,musicman777 (15/20),0,652,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Ricky Castillo G Emiliano Grillo G Troy Merritt,,Sudarshan Yellamaraju,G,7.53%,33
30,5194720063,stewie1963 (10/20),0,650,G Hideki Matsuyama G Keith Mitchell G Jackson Koivun G Ben Kohles G Lee Hodges G Zac Blair,,Ricky Castillo,G,7.52%,81.5
31,5195780020,YardieKnoe (3/20),0,649.5,G Maverick McNealy G Tom Kim G Jackson Koivun G John Parry G Michael Kim G Denny McCarthy,,Michael Brennan,G,7.18%,95.5
32,5196074147,LTskelter (6/20),0,648,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Ben Kohles G Michael Kim G Rico Hoey,,Tom Hoge,G,7.13%,27
32,5196477433,LonghornAggieMom (2/2),0,648,G Kurt Kitayama G Hideki Matsuyama G Michael Brennan G Max Greyserman G Davis Thompson G Brian Harman,,Lucas Glover,G,7.05%,77
