Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5144712154,Timmy_Mac,0,721.5,G Si Woo Kim G Ryo Hisatsune G Wyndham Clark G Sungjae Im G Tony Finau G Yongjun Bae,,Si Woo Kim,G,41.12%,143.5
2,5145433953,bobbybrew22,0,719,G Si Woo Kim G Wyndham Clark G Max Greyserman G Eric Cole G Tom Kim G Tom Hoge,,Jordan Spieth,G,31.56%,104.5
3,5146077081,cburke0286,0,699.5,G Brooks Koepka G Wyndham Clark G Max Greyserman G Blades Brown G Stephan Jaeger G Austin Eckroat,,Blades Brown,G,25.17%,98
4,5144418837,yanksfan1702,0,693.5,G Jordan Spieth G Brooks Koepka G Sungjae Im G Stephan Jaeger G Tony Finau G Tom Hoge,,Ryo Hisatsune,G,22.58%,100
5,5146234902,djmalps01,0,687.5,G Si Woo Kim G Sungjae Im G Max Greyserman G Blades Brown G Stephan Jaeger G Austin Eckroat,,Scottie Scheffler,G,21.84%,137.5
6,5146457221,kblamt,0,684,G Si Woo Kim G Wyndham Clark G Eric Cole G Blades Brown G Austin Eckroat G Sam Ryder,,Brooks Koepka,G,21.27%,109.5
7,5146496363,highdiamond,0,682,G Si Woo Kim G Ryo Hisatsune G Pierceson Coody G Doug Ghim G Taylor Moore G Tom Hoge,,Christiaan Bezuidenhout,G,20.90%,37
8,5144704239,ToNyOnTiLt,0,681.5,G Si Woo Kim G Jordan Spieth G Sungjae Im G John Parry G Tony Finau G Zachary Bauchou,,Tom Kim,G,20.22%,78
9,5144788142,PicksMcGee,0,681,G Si Woo Kim G Pierceson Coody G Sungjae Im G Blades Brown G Chris Kirk G Tony Finau,,Eric Cole,G,17.90%,88
10,5144379048,justnthezone,0,680.5,G Si Woo Kim G Jordan Spieth G Ryo Hisatsune G Tony Finau G Tom Hoge G Emiliano Grillo,,Stephan Jaeger,G,16.62%,115
10,5146397947,robertebert10,0,680.5,G Jordan Spieth G Wyndham Clark G Sungjae Im G Tom Kim G Rico Hoey G Tony Finau,,Austin Eckroat,G,16.32%,92.5
12,5145678432,jtoon12,0,680,G Brooks Koepka G Ryo Hisatsune G Wyndham Clark G Blades Brown G Chris Kirk G Taylor Moore,,John Parry,G,15.38%,75
12,5146402171,Meatplow43,0,680,G Si Woo Kim G Wyndham Clark G Mac Meissner G Stephan Jaeger G Rico Hoey G John Parry,,Matti Schmid,G,13.29%,31.5
14,5145602214,Ship1992,0,679.5,G Si Woo Kim G Jordan Spieth G Keith Mitchell G Sam Ryder G Zachary Bauchou G Neal Shipley,,Michael Brennan,G,11.64%,36.5
15,5145377587,Teevols,0,678.5,G Si Woo Kim G Ryo Hisatsune G Rasmus Hojgaard G Stephan Jaeger G Tony Finau G Tom Hoge,,Max Greyserman,G,11.51%,118.5
15,5146231462,RINO19,0,678.5,G Keith Mitchell G Pierceson Coody G Wyndham Clark G Rico Hoey G Austin Eckroat G Doug Ghim,,Kevin Roy,G,10.80%,22
17,5146286125,monkeybrains,0,676.5,G Si Woo Kim G Jordan Spieth G Stephan Jaeger G Austin Eckroat G Tony Finau G Steven Fisk,,Tony Finau,G,10.40%,119.5
18,5144882113,buckeye4452,0,674.5,G Si Woo Kim G Ryo Hisatsune G Max Greyserman G Blades Brown G Chris Kirk G Tony Finau,,Pierceson Coody,G,9.59%,105
19,5144915471,markm22,0,671.5,G Si Woo Kim G Brooks Koepka G Max Greyserman G Rico Hoey G Taylor Moore G Sam Ryder,,Hayden Springer,G,9.29%,44.5
20,5145712918,crowdixon,0,670.5,G Keith Mitchell G Pierceson Coody G Wyndham Clark G Max Greyserman G Stephan Jaeger G Danny Walker,,Taylor Pendrith,G,8.85%,76.5
21,5145790946,TEDDYB12345y,0,668.5,G Si Woo Kim G Jordan Spieth G Eric Cole G Stephan Jaeger G Austin Eckroat G Tom Hoge,,Sungjae Im,G,8.78%,120
22,5145930015,bisonation33,0,668,G Jordan Spieth G Brooks Koepka G Sungjae Im G Max Greyserman G Tom Hoge G Luke Clanton,,Adrien Dumont De Chassart,G,8.34%,31.5
23,5145736630,rramsey23,0,667,G Si Woo Kim G Jordan Spieth G Eric Cole G Stephan Jaeger G Tony Finau G Garrick Higgo,,Rasmus Hojgaard,G,8.31%,75.5
24,5144288571,bruc0074,0,665,G Si Woo Kim G Brooks Koepka G Sungjae Im G Jordan L. Smith G Rasmus Neergaard-Petersen G Taylor Moore,,Davis Thompson,G,7.74%,25.5
25,5144843759,dannync,0,664.5,G Si Woo Kim G Jordan Spieth G Wyndham Clark G Tony Finau G Sam Ryder G Billy Horschel,,Jhonattan Vegas,G,7.34%,33
25,5145736278,sredman7,0,664.5,G Si Woo Kim G Brooks Koepka G Ryo Hisatsune G Tony Finau G Zac Blair G Tom Hoge,,Rico Hoey,G,7.30%,92.5
27,5144180154,ttollette15,0,664,G Jordan Spieth G Wyndham Clark G Eric Cole G Blades Brown G Stephan Jaeger G Austin Eckroat,,Michael Thorbjornsen,G,6.97%,42.5
