Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5146507682,HyliaReborn (1/4),0,759,G Si Woo Kim G Wyndham Clark G Sungjae Im G Stephan Jaeger G Seamus Power G Tony Finau,,Si Woo Kim,G,37.26%,143.5
1,5146507683,HyliaReborn (2/4),0,759,G Si Woo Kim G Wyndham Clark G Sungjae Im G Stephan Jaeger G Seamus Power G Tony Finau,,Jordan Spieth,G,28.08%,104.5
3,5144517395,mackers5757 (9/20),0,742,G Si Woo Kim G Brooks Koepka G Wyndham Clark G John Keefer G Rasmus Neergaard-Petersen G Taylor Moore,,Scottie Scheffler,G,23.18%,137.5
4,5144493726,BTigers19 (17/19),0,731.5,G Si Woo Kim G Wyndham Clark G Sungjae Im G Patrick Rodgers G Chris Kirk G Tom Hoge,,Brooks Koepka,G,19.32%,109.5
5,5146556731,bclegg_22 (16/20),0,727.5,G Si Woo Kim G Wyndham Clark G Sungjae Im G Stephan Jaeger G Austin Eckroat G Mark Hubbard,,Ryo Hisatsune,G,18.48%,100
6,5145631704,lbquadz (3/10),0,727,G Si Woo Kim G Keith Mitchell G Wyndham Clark G Rico Hoey G Rasmus Neergaard-Petersen G Steven Fisk,,Blades Brown,G,17.33%,98
7,5144171556,topher54 (9/20),0,726.5,G Si Woo Kim G Ryo Hisatsune G Wyndham Clark G Stephan Jaeger G Tony Finau G Chad Ramey,,Tom Kim,G,16.04%,78
8,5145451110,rodmartin23 (4/4),0,726,G Si Woo Kim G Brooks Koepka G Wyndham Clark G Stephan Jaeger G Zac Blair G Tom Hoge,,Christiaan Bezuidenhout,G,15.03%,37
9,5146445344,kirks91 (7/20),0,723,G Si Woo Kim G Ryo Hisatsune G Wyndham Clark G Rico Hoey G Tony Finau G Steven Fisk,,Austin Eckroat,G,14.58%,92.5
10,5145537514,kev4454 (5/7),0,718.5,G Si Woo Kim G Wyndham Clark G Sungjae Im G Eric Cole G Patrick Rodgers G Zachary Bauchou,,Michael Brennan,G,13.83%,36.5
11,5145558806,moldova (1/20),0,718,G Keith Mitchell G Ryo Hisatsune G Wyndham Clark G Stephan Jaeger G Rico Hoey G Zachary Bauchou,,Eric Cole,G,13.80%,88
11,5146370994,gene139p,0,718,G Si Woo Kim G Wyndham Clark G Sungjae Im G Max Greyserman G Patrick Rodgers G Emiliano Grillo,,Stephan Jaeger,G,13.40%,115
13,5146459999,lyeo91 (16/20),0,715,G Keith Mitchell G Ryo Hisatsune G Wyndham Clark G Stephan Jaeger G Doug Ghim G Taylor Moore,,Matti Schmid,G,12.22%,31.5
14,5146478602,johnrhight (3/5),0,714.5,G Brooks Koepka G Ryo Hisatsune G Wyndham Clark G Sungjae Im G Tony Finau G Seung-Yul Noh,,Pierceson Coody,G,11.98%,105
15,5144855238,JohnZaps (19/20),0,713.5,G Pierceson Coody G Wyndham Clark G Sungjae Im G Mac Meissner G Stephan Jaeger G Tony Finau,,John Parry,G,11.64%,75
15,5146034079,epulsinelli (4/20),0,713.5,G Si Woo Kim G Brooks Koepka G Wyndham Clark G Sungjae Im G Justin Lower G Ben Silverman,,Jordan L. Smith,G,10.44%,82.5
17,5144393437,fairwaykid (10/20),0,711,G Keith Mitchell G Wyndham Clark G Sungjae Im G Mac Meissner G John Keefer G Rasmus Neergaard-Petersen,,Michael Thorbjornsen,G,10.07%,42.5
18,5145934188,MnMoney (17/20),0,709,G Si Woo Kim G Pierceson Coody G Wyndham Clark G Austin Eckroat G Jordan L. Smith G Tony Finau,,Rico Hoey,G,10.03%,92.5
19,5145463038,David7491 (1/3),0,708.5,G Brooks Koepka G Wyndham Clark G Sungjae Im G Max Greyserman G John Parry G Tony Finau,,Max Greyserman,G,10.02%,118.5
20,5145350249,bigballerbd (1/8),0,704,G Brooks Koepka G Wyndham Clark G Sungjae Im G Thorbjorn Olesen G Stephan Jaeger G Tony Finau,,Taylor Pendrith,G,9.96%,76.5
20,5145468709,jsteelman69 (1/2),0,704,G Si Woo Kim G Jordan Spieth G Wyndham Clark G Taylor Moore G Sam Ryder G Chad Ramey,,Kevin Roy,G,9.94%,22
20,5145478946,jsteelman69 (2/2),0,704,G Si Woo Kim G Jordan Spieth G Wyndham Clark G Taylor Moore G Sam Ryder G Chad Ramey,,Doug Ghim,G,9.48%,97
20,5145562441,gottastack (8/20),0,704,G Si Woo Kim G Wyndham Clark G Sungjae Im G Eric Cole G John Parry G Taylor Moore,,Keith Mitchell,G,9.46%,125.5
24,5145493343,Fozzil (14/18),0,703.5,G Si Woo Kim G Wyndham Clark G Max Greyserman G Eric Cole G Austin Eckroat G Seamus Power,,Mac Meissner,G,9.39%,88
24,5145735305,jram7919 (2/3),0,703.5,G Si Woo Kim G Wyndham Clark G Mac Meissner G Mark Hubbard G Tony Finau G Sam Ryder,,Davis Thompson,G,9.22%,25.5
24,5145766477,Gracie007 (4/8),0,703.5,G Si Woo Kim G Ryo Hisatsune G Wyndham Clark G Austin Eckroat G Jordan L. Smith G Zachary Bauchou,,Sungjae Im,G,8.97%,120
27,5144434447,RMann82 (18/20),0,702,G Brooks Koepka G Wyndham Clark G Max Greyserman G Austin Eckroat G Tony Finau G Sam Ryder,,Rasmus Hojgaard,G,8.62%,75.5
28,5144355841,badgerboy0513 (1/5),0,699.5,G Brooks Koepka G Pierceson Coody G Wyndham Clark G Eric Cole G Taylor Moore G Tony Finau,,Wyndham Clark,G,8.49%,166
29,5145493935,Fozzil (15/18),0,699,G Si Woo Kim G Wyndham Clark G Max Greyserman G Tom Kim G Blades Brown G Seamus Power,,Adrien Dumont De Chassart,G,8.38%,31.5
30,5145040245,kratli68 (2/4),0,698.5,G Si Woo Kim G Ryo Hisatsune G Sungjae Im G Stephan Jaeger G Chris Kirk G Tom Hoge,,Tony Finau,G,7.41%,119.5
31,5146074847,eoh1994 (20/20),0,697.5,G Keith Mitchell G Wyndham Clark G Sungjae Im G Taylor Pendrith G Mark Hubbard G Zachary Bauchou,,Hayden Springer,G,7.23%,44.5
32,5146236534,Hawkeye1992 (14/20),0,696,G Si Woo Kim G Wyndham Clark G Max Greyserman G Tom Kim G Stephan Jaeger G John Parry,,Thorbjorn Olesen,G,6.64%,74
33,5146461527,gdollars (2/2),0,695,G Jordan Spieth G Keith Mitchell G Wyndham Clark G Austin Eckroat G Seamus Power G Taylor Moore,,Hao-Tong Li,G,6.61%,37
33,5146484275,jeffwotruba (5/7),0,695,G Si Woo Kim G Jordan Spieth G Sungjae Im G Taylor Moore G Tony Finau G Sam Ryder,,Patrick Rodgers,G,6.55%,82
35,5144850223,gjcampbell7 (9/10),0,694.5,G Si Woo Kim G Jordan Spieth G Sungjae Im G Taylor Moore G Sam Ryder G Zachary Bauchou,,Beau Hossler,G,6.52%,41
36,5145081091,jeffbarclay (5/5),0,693.5,G Keith Mitchell G Ryo Hisatsune G Wyndham Clark G Blades Brown G Austin Eckroat G Taylor Moore,,Max McGreevy,G,6.34%,34
36,5145733239,gillyunc0542,0,693.5,G Si Woo Kim G Ryo Hisatsune G Max Greyserman G Stephan Jaeger G Doug Ghim G Tony Finau,,Jhonattan Vegas,G,5.85%,33
36,5146034381,GanorGanor (16/20),0,693.5,G Jordan Spieth G Wyndham Clark G Max Greyserman G Stephan Jaeger G Rico Hoey G Doug Ghim,,William Mouw,G,5.37%,37.5
36,5146122804,jr_dk (14/20),0,693.5,G Keith Mitchell G Rasmus Hojgaard G Wyndham Clark G Blades Brown G Stephan Jaeger G John Keefer,,Taylor Moore,G,5.18%,111.5
40,5145456263,KyleBretsch (6/20),0,693,G Si Woo Kim G Brooks Koepka G Sungjae Im G Seamus Power G John Keefer G Taylor Moore,,Chris Kirk,G,4.92%,95
