Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5162955630,Sloman57,0,580.5,G Sam Burns G Wyndham Clark G Ryan Fox G Bud Cauley G Sudarshan Yellamaraju G A.J. Ewart,,Alex Fitzpatrick,G,34.52%,78
2,5161756329,union575,0,574.5,G Matt Fitzpatrick G Sam Burns G Nick Taylor G Ryan Fox G Jackson Suber G Jimmy Stanger,,Aaron Rai,G,27.55%,31
3,5163431334,Codymuck,0,574,G Matt Fitzpatrick G Robert MacIntyre G Bud Cauley G Christiaan Bezuidenhout G Sudarshan Yellamaraju G A.J. Ewart,,Kristoffer Reitan,G,27.20%,66
4,5162064804,2briar,0,573,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim G Tony Finau,,Eric Cole,G,27.17%,38
5,5162050474,AllieC22,0,570,G Wyndham Clark G Kristoffer Reitan G Alex Fitzpatrick G Ryan Fox G Bud Cauley G Jackson Suber,,Tommy Fleetwood,G,25.15%,85.5
6,5162019355,sportspalace,0,568.5,G Tommy Fleetwood G Alex Fitzpatrick G Keith Mitchell G Ryan Fox G Bud Cauley G Tom Kim,,Nick Taylor,G,24.28%,65.5
7,5162443133,ydoja2,0,567.5,G Tommy Fleetwood G Wyndham Clark G Bud Cauley G Sudarshan Yellamaraju G Tony Finau G Tom Kim,,Sam Burns,G,22.15%,79
8,5162073571,zanaze,0,562.5,G Tommy Fleetwood G Alex Fitzpatrick G Ryan Fox G Bud Cauley G Taylor Pendrith G Davis Thompson,,Wyndham Clark,G,21.91%,84.5
9,5162948703,jbbyers1188,0,559,G Matt Fitzpatrick G Collin Morikawa G Sudarshan Yellamaraju G Aldrich Potgieter G Max Homa G Rasmus Neergaard-Petersen,,Jacob Bridgeman,G,17.24%,84.5
10,5162795756,BRJ8024,0,558.5,G Wyndham Clark G Alex Fitzpatrick G Jacob Bridgeman G Sahith Theegala G Bud Cauley G Sudarshan Yellamaraju,,Corey Conners,G,15.81%,28
11,5161850081,BrotherTerrance,0,551.5,G Tommy Fleetwood G Kristoffer Reitan G Alex Fitzpatrick G Bud Cauley G Sudarshan Yellamaraju G Emiliano Grillo,,Brooks Koepka,G,13.90%,63.5
12,5162789917,WHITGAR,0,546.5,G Matt Fitzpatrick G Tommy Fleetwood G John Keefer G Aldrich Potgieter G Tom Kim G Jackson Suber,,Shane Lowry,G,13.76%,75
13,5161650225,dechols2000,0,546,G Matt Fitzpatrick G Robert MacIntyre G Viktor Hovland G Tony Finau G Emiliano Grillo G Matthieu Pavon,,Sudarshan Yellamaraju,G,13.38%,102
14,5163490015,winesorbe,0,543.5,G Wyndham Clark G Alex Fitzpatrick G Michael Thorbjornsen G Bud Cauley G Sudarshan Yellamaraju G Tom Kim,,Justin Rose,G,13.06%,26.5
15,5161718930,moose_jaw,0,543,G Matt Fitzpatrick G Harry Hall G Nick Taylor G Ryan Fox G Taylor Pendrith G Sudarshan Yellamaraju,,Sahith Theegala,G,12.26%,74
15,5162600567,icemike23,0,543,G Wyndham Clark G Robert MacIntyre G Jacob Bridgeman G Ryan Fox G Doug Ghim G Aldrich Potgieter,,Ryan Fox,G,12.02%,103.5
17,5163243566,bstewart006,0,540.5,G Matt Fitzpatrick G Alex Fitzpatrick G Eric Cole G Ryan Fox G Bud Cauley G Taylor Moore,,Zachary Bauchou,G,11.91%,23.5
18,5163489494,Jmelou21,0,539.5,G Sam Burns G Wyndham Clark G Sahith Theegala G Bud Cauley G Taylor Pendrith G Keita Nakajima,,Matt Fitzpatrick,G,11.77%,111.5
19,5163491176,CottonPunch,0,537,G Shane Lowry G Kristoffer Reitan G Alex Fitzpatrick G Jacob Bridgeman G Bud Cauley G Aldrich Potgieter,,Nicolai Hojgaard,G,11.18%,28
20,5162615433,nickyflash1,0,534.5,G Wyndham Clark G Brooks Koepka G Kristoffer Reitan G Bud Cauley G Tom Kim G Jackson Suber,,Andrew Putnam,G,10.69%,36
21,5162701438,stefze65,0,533.5,G Tommy Fleetwood G Kristoffer Reitan G Alex Fitzpatrick G Ryan Fox G Aldrich Potgieter G Jackson Suber,,Alex Noren,G,10.45%,21
22,5162930979,Raider5029,0,531.5,G Sam Burns G Wyndham Clark G Ryan Fox G Taylor Pendrith G Sudarshan Yellamaraju G A.J. Ewart,,Bud Cauley,G,10.38%,135.5
23,5161996446,ThanksToTheBay,0,527.5,G Tommy Fleetwood G Brooks Koepka G Harry Hall G Bud Cauley G Aldrich Potgieter G Adam Hadwin,,Tony Finau,G,9.47%,77.5
24,5161412501,bigmac70,0,527,G Wyndham Clark G Brooks Koepka G Viktor Hovland G Tony Finau G Kevin Yu G Jesper Svensson,,Collin Morikawa,G,9.44%,75.5
25,5161260105,mjurek1113,0,526,G Collin Morikawa G Wyndham Clark G Jacob Bridgeman G Ryan Fox G Sudarshan Yellamaraju G A.J. Ewart,,Keith Mitchell,G,9.16%,83.5
25,5163339590,Tbwspartan,0,526,G Tommy Fleetwood G Sam Burns G Alex Fitzpatrick G Jackson Suber G Jesper Svensson G A.J. Ewart,,Tom Kim,G,8.71%,82.5
27,5162507261,MUCHODINERO,0,525,G Wyndham Clark G Brooks Koepka G Robert MacIntyre G Sudarshan Yellamaraju G Jesper Svensson G Emiliano Grillo,,Mac Meissner,G,8.12%,29.5
28,5162202725,JLong456,0,523.5,G Matt Fitzpatrick G Shane Lowry G Eric Cole G Bud Cauley G Tony Finau G Rasmus Neergaard-Petersen,,A.J. Ewart,G,7.70%,76
29,5161397874,Fatal1ty67,0,523,G Sam Burns G Viktor Hovland G Keith Mitchell G Jacob Bridgeman G Doug Ghim G Emiliano Grillo,,Taylor Pendrith,G,7.56%,86.5
29,5162416640,sheesh26,0,523,G Matt Fitzpatrick G Wyndham Clark G Alex Fitzpatrick G Sudarshan Yellamaraju G A.J. Ewart G Adam Hadwin,,Jackson Suber,G,7.14%,102.5
29,5163133352,Spocker14,0,523,G Matt Fitzpatrick G Wyndham Clark G Bud Cauley G John Keefer G Jesper Svensson G Nick Dunlap,,Michael Brennan,G,7.04%,33
32,5162565852,ROUGHRIDERS76,0,522.5,G Matt Fitzpatrick G Harry Hall G Keith Mitchell G Nick Taylor G Ryan Fox G Emiliano Grillo,,Aldrich Potgieter,G,6.58%,98
32,5162844065,GSHStaleys,0,522.5,G Matt Fitzpatrick G Kristoffer Reitan G Alex Fitzpatrick G John Keefer G Aldrich Potgieter G Jackson Suber,,Christiaan Bezuidenhout,G,6.06%,63.5
34,5161562470,Gatorslug,0,522,G Matt Fitzpatrick G Kristoffer Reitan G Alex Fitzpatrick G Sudarshan Yellamaraju G Jackson Suber G Kevin Roy,,Mackenzie Hughes,G,5.82%,22
35,5162746632,gsbuckles,0,521.5,G Wyndham Clark G Shane Lowry G Alex Fitzpatrick G Keith Mitchell G Aldrich Potgieter G Jackson Suber,,Robert MacIntyre,G,5.50%,85.5
35,5162957213,caldwelltylerusng94,0,521.5,G Tommy Fleetwood G Alex Fitzpatrick G Jacob Bridgeman G Bud Cauley G Sudarshan Yellamaraju G Andrew Putnam,,Jordan L. Smith,G,5.43%,24
37,5161303104,Mcad23,0,521,G Tommy Fleetwood G Eric Cole G Bud Cauley G Taylor Pendrith G Tony Finau G Aldrich Potgieter,,Max Greyserman,G,5.29%,32
38,5162077176,lazydog4369,0,520.5,G Matt Fitzpatrick G Tommy Fleetwood G Christiaan Bezuidenhout G Tony Finau G Tom Kim G Billy Horschel,,Viktor Hovland,G,4.60%,104.5
38,5163399262,Jonnelson17,0,520.5,G Tommy Fleetwood G Shane Lowry G Harry Hall G Keith Mitchell G Jackson Suber G Billy Horschel,,Doug Ghim,G,4.46%,87
40,5162183128,gappa3,0,520,G Sam Burns G Robert MacIntyre G Nick Taylor G Ryan Fox G Taylor Pendrith G Billy Horschel,,Tom Hoge,G,4.42%,26.5
40,5163480228,belledoug,0,520,G Tommy Fleetwood G Collin Morikawa G Ryan Fox G Doug Ghim G Max Homa G Tom Kim,,Michael Thorbjornsen,G,4.14%,61
40,5163596884,AgentRP,0,520,G Collin Morikawa G Viktor Hovland G Alex Fitzpatrick G Sudarshan Yellamaraju G Tony Finau G Tom Kim,,John Keefer,G,4.04%,66.5
43,5163433845,Sean18222,0,519.5,G Tommy Fleetwood G Sam Burns G Ryan Fox G Bud Cauley G Andrew Putnam G David Skinns,,Harry Hall,G,3.59%,74
44,5162886165,otoolebr,0,519,G Wyndham Clark G Viktor Hovland G Aaron Rai G Jacob Bridgeman G Bud Cauley G William Mouw,,Ricky Castillo,G,3.52%,73.5
45,5162435988,bobsaggot123,0,518.5,G Matt Fitzpatrick G Kristoffer Reitan G Aaron Rai G Bud Cauley G Sudarshan Yellamaraju G Benjamin James,,Taylor Moore,G,3.41%,74
45,5162580573,PokerChump,0,518.5,G Matt Fitzpatrick G Kristoffer Reitan G Aaron Rai G Bud Cauley G Sudarshan Yellamaraju G Benjamin James,,Rico Hoey,G,3.38%,29
47,5162782975,joelle,0,518,G Sam Burns G Kristoffer Reitan G Jacob Bridgeman G Ryan Fox G Doug Ghim G Aldrich Potgieter,,John Parry,G,3.24%,23.5
48,5162647343,28frankie,0,517,G Sam Burns G Wyndham Clark G Eric Cole G Bud Cauley G Tony Finau G Jackson Suber,,Max Homa,G,3.24%,86
