Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5163372314,LOCNOTM (4/20),0,605.5,G Matt Fitzpatrick G Kristoffer Reitan G Ryan Fox G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim,,Tommy Fleetwood,G,26.73%,85.5
2,5161251821,marvink (2/12),0,602,G Matt Fitzpatrick G Alex Fitzpatrick G Ryan Fox G Bud Cauley G Taylor Pendrith G Doug Ghim,,Aaron Rai,G,26.13%,31
3,5163018216,freeatm (12/20),0,595.5,G Matt Fitzpatrick G Jacob Bridgeman G Sahith Theegala G Ryan Fox G Bud Cauley G Taylor Pendrith,,Kristoffer Reitan,G,24.42%,66
4,5163080699,stenzy0314,0,594,G Tommy Fleetwood G Wyndham Clark G Ryan Fox G Bud Cauley G Tom Kim G Jackson Suber,,Alex Fitzpatrick,G,23.68%,78
5,5161799440,bgwig500 (4/20),0,591,G Matt Fitzpatrick G Viktor Hovland G Bud Cauley G Davis Thompson G Doug Ghim G William Mouw,,Eric Cole,G,22.27%,38
6,5162864922,andybonds (6/12),0,589,G Matt Fitzpatrick G Alex Fitzpatrick G Ryan Fox G Bud Cauley G Davis Thompson G Doug Ghim,,Sam Burns,G,21.21%,79
7,5163450684,datt_1296 (1/9),0,587.5,G Tommy Fleetwood G Viktor Hovland G Bud Cauley G Sudarshan Yellamaraju G Tony Finau G Tom Kim,,Nick Taylor,G,19.76%,65.5
8,5161728867,Black1130 (1/4),0,587,G Matt Fitzpatrick G Wyndham Clark G Bud Cauley G Sudarshan Yellamaraju G Tony Finau G A.J. Ewart,,Wyndham Clark,G,18.14%,84.5
9,5162506140,Brandolito (17/20),0,586,G Tommy Fleetwood G Robert MacIntyre G Ryan Fox G Bud Cauley G Davis Thompson G Jackson Suber,,Jacob Bridgeman,G,17.38%,84.5
10,5163203414,dtnichols09 (11/20),0,585,G Tommy Fleetwood G Harry Hall G Jacob Bridgeman G Ryan Fox G Bud Cauley G Sudarshan Yellamaraju,,Matt Fitzpatrick,G,15.87%,111.5
11,5163432678,ryanland (16/20),0,583,G Matt Fitzpatrick G Wyndham Clark G Bud Cauley G Tony Finau G Aldrich Potgieter G A.J. Ewart,,Bud Cauley,G,15.45%,135.5
12,5162745409,Dubbzz (6/20),0,581.5,G Sam Burns G Shane Lowry G Ryan Fox G Bud Cauley G Taylor Pendrith G Sudarshan Yellamaraju,,Justin Rose,G,13.51%,26.5
13,5163330897,rs868412 (17/20),0,579,G Matt Fitzpatrick G Kristoffer Reitan G Bud Cauley G Taylor Pendrith G Sudarshan Yellamaraju G Tony Finau,,Nicolai Hojgaard,G,12.03%,28
14,5163096965,jgoody (13/20),0,578.5,G Wyndham Clark G Viktor Hovland G Nick Taylor G Bud Cauley G Taylor Pendrith G Sudarshan Yellamaraju,,Brooks Koepka,G,11.99%,63.5
15,5163174993,fantasygolfinsidercm (16/20),0,577.5,G Matt Fitzpatrick G Brooks Koepka G Bud Cauley G John Keefer G Aldrich Potgieter G Jackson Suber,,Tony Finau,G,11.92%,77.5
15,5163386523,mattsib (13/20),0,577.5,G Tommy Fleetwood G Kristoffer Reitan G Keith Mitchell G Bud Cauley G Sudarshan Yellamaraju G Jesper Svensson,,Shane Lowry,G,11.72%,75
17,5163154988,bionicknee (9/20),0,573.5,G Matt Fitzpatrick G Kristoffer Reitan G Jacob Bridgeman G Ryan Fox G Bud Cauley G Benjamin James,,Alex Noren,G,11.64%,21
18,5161967142,jdwize (4/20),0,573,G Matt Fitzpatrick G Kristoffer Reitan G Jacob Bridgeman G Bud Cauley G Tony Finau G Aldrich Potgieter,,Collin Morikawa,G,11.44%,75.5
18,5162056557,2briar (19/20),0,573,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim G Tony Finau,,Ryan Fox,G,11.37%,103.5
18,5162323358,zacamu (13/20),0,573,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim G Tony Finau,,Keith Mitchell,G,11.25%,83.5
18,5162631886,bookert21 (12/20),0,573,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim G Tony Finau,,Sudarshan Yellamaraju,G,10.89%,102
18,5162632032,LTskelter (16/20),0,573,G Matt Fitzpatrick G Kristoffer Reitan G Sahith Theegala G Ryan Fox G Bud Cauley G Tom Kim,,Corey Conners,G,10.76%,28
18,5163448649,reichj29 (4/20),0,573,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Doug Ghim G Tony Finau,,Mac Meissner,G,10.69%,29.5
24,5163405761,ZachAnge24 (6/11),0,570.5,G Matt Fitzpatrick G Wyndham Clark G Sahith Theegala G Bud Cauley G Jackson Suber G Austin Eckroat,,Zachary Bauchou,G,10.58%,23.5
25,5161828615,westh8bamix (5/20),0,570,G Matt Fitzpatrick G Alex Fitzpatrick G Nick Taylor G Bud Cauley G Sudarshan Yellamaraju G Tony Finau,,Sahith Theegala,G,10.53%,74
25,5162631894,bookert21 (20/20),0,570,G Matt Fitzpatrick G Alex Fitzpatrick G Nick Taylor G Bud Cauley G Sudarshan Yellamaraju G Tony Finau,,Andrew Putnam,G,9.93%,36
27,5161917540,jjbbliss (4/4),0,568.5,G Sam Burns G Shane Lowry G Ryan Fox G Bud Cauley G Tony Finau G Aldrich Potgieter,,Taylor Pendrith,G,8.05%,86.5
27,5162056548,2briar (10/20),0,568.5,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Tony Finau G Tom Kim,,Michael Brennan,G,7.82%,33
27,5163154983,bionicknee (4/20),0,568.5,G Matt Fitzpatrick G Tommy Fleetwood G Bud Cauley G Tony Finau G Rasmus Neergaard-Petersen G Benjamin James,,Tom Kim,G,7.54%,82.5
27,5163464721,zandwich (13/20),0,568.5,G Tommy Fleetwood G Robert MacIntyre G Bud Cauley G Sudarshan Yellamaraju G Tony Finau G Tom Kim,,Robert MacIntyre,G,7.33%,85.5
31,5162069745,Odie1171,0,566.5,G Matt Fitzpatrick G Keith Mitchell G Jacob Bridgeman G Sahith Theegala G Bud Cauley G Tony Finau,,Jordan L. Smith,G,6.56%,24
31,5162143701,bnoll1412 (4/4),0,566.5,G Sam Burns G Alex Fitzpatrick G Harry Hall G Bud Cauley G Sudarshan Yellamaraju G Aldrich Potgieter,,Christiaan Bezuidenhout,G,6.50%,63.5
31,5162443119,ydoja2 (7/20),0,566.5,G Matt Fitzpatrick G Keith Mitchell G Jacob Bridgeman G Nick Taylor G Bud Cauley G Rasmus Neergaard-Petersen,,Doug Ghim,G,6.06%,87
31,5162652782,statnerds (2/20),0,566.5,G Matt Fitzpatrick G Shane Lowry G Jacob Bridgeman G Bud Cauley G Tony Finau G Tom Kim,,Viktor Hovland,G,5.88%,104.5
31,5162917293,thackspaz (15/20),0,566.5,G Matt Fitzpatrick G Keith Mitchell G Jacob Bridgeman G Nick Taylor G Bud Cauley G Rasmus Neergaard-Petersen,,Harry Hall,G,5.53%,74
31,5163464712,zandwich (4/20),0,566.5,G Matt Fitzpatrick G Keith Mitchell G Jacob Bridgeman G Nick Taylor G Bud Cauley G Rasmus Neergaard-Petersen,,Max Greyserman,G,5.45%,32
37,5161812677,mlief (8/20),0,566,G Matt Fitzpatrick G Kristoffer Reitan G Jacob Bridgeman G Bud Cauley G Max Homa G Tom Kim,,A.J. Ewart,G,5.43%,76
38,5161781537,harley122 (2/8),0,565,G Matt Fitzpatrick G Sam Burns G Ryan Fox G Max Homa G Tom Kim G Jackson Suber,,Michael Thorbjornsen,G,5.36%,61
39,5162119826,surfoasis (20/20),0,564.5,G Matt Fitzpatrick G Tommy Fleetwood G Jacob Bridgeman G Aldrich Potgieter G Jackson Suber G Matthieu Pavon,,Aldrich Potgieter,G,5.17%,98
39,5162541373,northroutter (19/20),0,564.5,G Tommy Fleetwood G Wyndham Clark G Keith Mitchell G Ryan Fox G Jackson Suber G Jesper Svensson,,Rico Hoey,G,5.14%,29
41,5161929576,Brenden5258 (11/20),0,564,G Matt Fitzpatrick G Viktor Hovland G Ryan Fox G Taylor Pendrith G Aldrich Potgieter G Max McGreevy,,Jackson Suber,G,4.91%,102.5
42,5161321645,Stubbs0001 (5/20),0,563,G Matt Fitzpatrick G Alex Fitzpatrick G Sahith Theegala G Bud Cauley G Taylor Pendrith G Tony Finau,,Mackenzie Hughes,G,4.73%,22
42,5162203198,JLong456 (4/20),0,563,G Matt Fitzpatrick G Alex Fitzpatrick G Sahith Theegala G Bud Cauley G Taylor Pendrith G Tony Finau,,Steven Fisk,G,4.48%,27
44,5161892750,oicu812bwr (1/2),0,561,G Matt Fitzpatrick G Alex Fitzpatrick G Keith Mitchell G Ryan Fox G Sudarshan Yellamaraju G Tom Kim,,John Keefer,G,4.30%,66.5
44,5161987322,vegasguy16 (10/20),0,561,G Matt Fitzpatrick G Tommy Fleetwood G Doug Ghim G Max Homa G Rasmus Neergaard-Petersen G Jesper Svensson,,Ricky Castillo,G,3.91%,73.5
44,5162407310,Brody2001 (8/20),0,561,G Tommy Fleetwood G Sam Burns G Bud Cauley G Doug Ghim G Aldrich Potgieter G A.J. Ewart,,Taylor Moore,G,3.88%,74
47,5162714532,jwclark311 (11/20),0,560.5,G Tommy Fleetwood G Robert MacIntyre G Jacob Bridgeman G Bud Cauley G Aldrich Potgieter G Sam Ryder,,Davis Thompson,G,3.74%,73.5
47,5163413674,dxb13 (10/20),0,560.5,G Sam Burns G Kristoffer Reitan G Harry Hall G Ryan Fox G Bud Cauley G Jackson Suber,,Stephan Jaeger,G,3.63%,18.5
47,5163575823,TTY313,0,560.5,G Tommy Fleetwood G Wyndham Clark G Bud Cauley G Taylor Pendrith G Max Homa G Tom Kim,,Matt Wallace,G,3.42%,40
50,5162045662,freeatm (4/20),0,559.5,G Matt Fitzpatrick G Jacob Bridgeman G Eric Cole G Ryan Fox G Bud Cauley G Taylor Pendrith,,Max Homa,G,3.19%,86
50,5162203200,JLong456 (6/20),0,559.5,G Matt Fitzpatrick G Kristoffer Reitan G Jacob Bridgeman G Bud Cauley G Sudarshan Yellamaraju G Max McGreevy,,Tom Hoge,G,3.16%,26.5
50,5162434945,blondeflame19 (9/20),0,559.5,G Collin Morikawa G Viktor Hovland G Alex Fitzpatrick G Bud Cauley G Doug Ghim G William Mouw,,John Parry,G,3.07%,23.5
50,5162516948,Wingman91 (14/20),0,559.5,G Matt Fitzpatrick G Kristoffer Reitan G Jacob Bridgeman G Bud Cauley G Sudarshan Yellamaraju G Max McGreevy,,Austin Smotherman,G,2.99%,26.5
50,5163544771,JohnZaps (19/20),0,559.5,G Matt Fitzpatrick G Tommy Fleetwood G Harry Hall G Bud Cauley G Matthew Anderson G Ben Silverman,,Austin Eckroat,G,2.96%,62.5
