Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5152209347,Brenden5258,0,571,G Russell Henley G Ben Griffin G Alex Smalley G Doug Ghim G Michael Brennan G Steven Fisk,,Ludvig Aberg,G,39.23%,72.5
2,5151872576,2briar,0,548,G Ludvig Aberg G Russell Henley G Ryan Gerard G Andrew Putnam G Eric Cole G Michael Brennan,,Alex Smalley,G,28.69%,98.5
3,5150896242,Mikey_Deeze,0,547,G Russell Henley G J.J. Spaun G Alex Smalley G Andrew Putnam G Eric Cole G Max Homa,,Ryo Hisatsune,G,27.77%,56
4,5150658432,stewie1963,0,540.5,G Russell Henley G Ben Griffin G Gary Woodland G Mac Meissner G Max Homa G Emiliano Grillo,,Rickie Fowler,G,26.68%,28
5,5152306215,PlayboyHermes,0,529,G Russell Henley G J.J. Spaun G Akshay Bhatia G Brian Harman G Eric Cole G Matt Kuchar,,Justin Thomas,G,25.03%,79
6,5152023991,terpterman,0,527.5,G Russell Henley G Ben Griffin G Mac Meissner G Ryan Gerard G Doug Ghim G Thorbjorn Olesen,,Tony Finau,G,18.24%,27
7,5150889860,kochy1,0,527,G Russell Henley G J.J. Spaun G Gary Woodland G Matthew McCarty G Andrew Novak G Michael Brennan,,Sungjae Im,G,18.06%,18.5
8,5151441730,JHammersley,0,525,G Ben Griffin G Alex Smalley G Pierceson Coody G Gary Woodland G Andrew Novak G Michael Brennan,,Hideki Matsuyama,G,16.97%,71
9,5151553469,nwspring52,0,524,G Ludvig Aberg G Pierceson Coody G Gary Woodland G Mac Meissner G Rico Hoey G Michael Brennan,,Sahith Theegala,G,16.26%,57
10,5150629197,dirkhnz,0,522.5,G J.J. Spaun G Alex Smalley G Akshay Bhatia G Mac Meissner G Eric Cole G Zachary Bauchou,,Max Greyserman,G,15.67%,20.5
10,5150793497,scionboy23,0,522.5,G Russell Henley G Gary Woodland G Mac Meissner G Sahith Theegala G Ryan Gerard G Christiaan Bezuidenhout,,Stephan Jaeger,G,14.17%,9
12,5151124189,jlwill13,0,522,G J.J. Spaun G Alex Smalley G Pierceson Coody G Gary Woodland G Taylor Moore G Eric Cole,,Christiaan Bezuidenhout,G,13.58%,65
13,5152213798,mister_eddie6,0,520,G Russell Henley G Ben Griffin G Mac Meissner G Brian Harman G Michael Kim G Emiliano Grillo,,Sudarshan Yellamaraju,G,13.25%,36.5
14,5152223437,Krystalizer,0,519.5,G Ludvig Aberg G Russell Henley G Gary Woodland G Michael Brennan G Max Homa G Austin Smotherman,,J.J. Spaun,G,13.08%,92.5
15,5151792420,jmcfall,0,518,G Hideki Matsuyama G J.J. Spaun G Pierceson Coody G Gary Woodland G Rico Hoey G Michael Brennan,,Mac Meissner,G,12.16%,97
16,5151609497,bonesteelm,0,517,G Justin Thomas G J.J. Spaun G Alex Smalley G Eric Cole G Jordan L. Smith G Zachary Bauchou,,Akshay Bhatia,G,12.13%,67
17,5152064734,Zrios85,0,515,G Ben Griffin G J.J. Spaun G Alex Smalley G Matthew McCarty G Andrew Putnam G Eric Cole,,Keith Mitchell,G,11.98%,28.5
